Speaker 1:          00:00:08       Experience,

Speaker 2:          00:00:17       everybody. My guest today, if you've ever seen the movie Gasland or gas land to the man who made it,

Speaker 3:          00:00:23       created it and uh, the, the best friend of the oil industry, Josh Fox, ladies and gentlemen, what's up dude, thanks for doing this. I really appreciate it. I'm happy to be here.

Speaker 2:          00:00:33       You know, I uh, I put on Twitter and I put on a, you know, online on my message

Speaker 3:          00:00:38       board people were talking about this Josh Fox from gas land movie and you either have people who love you who are so happy for what you're doing or there's people and even people that don't even have a vested interest in the oil business that get really aggressive about like debunking your claims or calling you a liar or calling you fraudulent. I think those people are mostly not people. I think they're from the oil industry really. I mean if you really look into it, a lot of those Twitter accounts, they have like 10 followers or five followers or zero followers and then they are, or you have like hyper conservative Twitter people who, who like echo those. It's, it's, it's a pro oil lobby, echo chamber. Well, the hyper conservative peep that is, that's a thing that people do do. That's like the same people that deny climate change, the same people to deny, you know, the direct link there.

Speaker 3:          00:01:34       You see the climate change deniers now having in, in this whole new fracking denial, uh, camp, right? And that's been a sustained campaign for the last six years. But it's not so surprising considering that when we first heard from the oil industry, everything they said was untrue. So when they first came to my backyard, right in Pennsylvania to lease our land, to lease the land of all my neighbors to come to the Delaware River basin, their whole claim was that this was completely environmentally friendly. And you know, we probably won't even drill here and you should just take this free money. And they didn't let anyone know what the real consequences of this stuff was. Did they know what the real consequences where you think so? Oh yeah. Oh yeah. Well, there's a number of ways to prove that. They know. I mean they, they disclose to their shareholders when they're courting for you dollars in the financial world that there is the possibility of spills and have these kinds of things have water contamination. So they, they make their investors aware of the fact that they could be sued down the line or something like that. So that's one way that we know that they know, but they know, I mean, they know what they're doing. They have, um, uh, reports that we show in gas. Then part two, partially because of their denialism that show their own investigations into their leaks, into their contamination. Because when they leak oil and gas into an aquifer, they're not

Speaker 4:          00:03:00       recovering that oil or gas. So that means it's a profit loss for them. Right? They're not investigating this because at some they want to not contaminate water supplies. They investigated it because, um, it's, it's loss of product. So when that oil or gas leaks out the side of their gas wells for oil wells, which they've punctured through the aquifers, they're at a loss. And currently one of their studies, you know, oil industry, his own studies shows that about 40% of the oil and gas wells in the Gulf of Mexico are leaking, um, that they have very, very high leakage rates, um, in horizontal wells, like 60 to 70% in studies that they did in Alberta. And these are studies that were done by Conoco Phillips 60 to 70%. Yup. Yup. Jesus clubs, the wells, not saying that they're, the wells are leaking 67%, but that 60 to 70% of them are leaking.

Speaker 4:          00:03:50       Oh Wow. Currently so, so, um, society, petroleum engineers, uh, did a report on this 2012, I think, and their PowerPoint slides were leaked to me in which they said 35% of all oil and gas wells in the world. And there are 1.8 million of them are currently leaking. So they know, well, they know what's going on. Um, so, you know, to go out there and do this kind of vicious attack campaign against the films is just that it's the same thing that the tobacco industry did. And the same thing that they're all industry did with climate change.

Speaker 5:          00:04:26       Little different than the tobacco industry of course, because the idea is that there is some benefit to this fracking that sort of cancels out the environmental concerns. There were benefits to smoking. That's what they say. Yeah. But I mean, financial benefits of smoking, smoking makes you feel good. Yeah. But I mean, finance cost benefits to communities that, uh, you know, employ these people. I mean, that's a lot of the pressure. I know in Canada, like I've talked to people about the oil industry in Canada and they're very, there's two sides. There's the people who greatly benefit from the oil industry. There's so many people that have jobs up there. And then there's so many people that have seen those, um, overhead photos. You've seen those a when they fall out past Edmonton, when they fly over these areas where they just decimated large chunks of,

Speaker 4:          00:05:15       that's incredible. And you see that I just flew from Houston to La Cause I was coming back from this trip where we were shooting in the Amazon, in the, in the, in the jungle investigating oil spills, investigating deforestation for this new film on Climate Change. But when you fly from Houston to La for the first hour leaving Texas, you go through the Eagle Ford Shale, you go through a lot of oil exploration areas. Those places are decimated. I mean it is unbelievable. You look at out the window of the plane and you see Justin gas well pad after scorched landscape after, I mean it's just wild apocalyptic. It's really um, I myself have never taken that route. I've seen a lot of the new fracking fields as you go. Like if you would go for from Salt Lake City to fort worth or something, you'll see your capacity. A lot of them in Colorado, but I was, my jaw was on the floors looking at these yesterday.

Speaker 5:          00:06:05       It's, it's very weird how many people are willing to sacrifice like big chunks of, of natural landscape and environments in order to profit. There's like, there's like this point of like d there's a point of diminishing returns. Like if you could ruin like the up like a, say a small patch of land where a house is, if that, if you knew that's all it's going to be ruined. This is one spot and not have that spot. We're going to get enough oil to power Los Angeles period. You know everybody be cool. Yeah. That's the only one lot. Fuck it.

Speaker 4:          00:06:36       Well look, I mean so much of this is a discovery and a learning process, right? I mean we learned that smoking was bad for us. We learned that climate change was happening. We were learning that fracking is devastating to water supplies in air and then it has a huge effect on the climate, not only because of the gas burned and the CO2 burned from the gas, but also because of the methane leakage, which is a huge other piece of this all. Because when you're drilling all these holes in the ground and you're running pipelines for natural gas, you're going to be leaking a lot. Right? And what they're discovering is that methane is, you know, um, about 80 to a hundred times more potent than co two is in the atmosphere. Carbon dioxide as a warming agent. So it's like if see o two is one blanket methane is a hundred blankets, so you're that much hotter by, by leaking methane, which means if you're at anywhere, you know more than one to 3% of that methane is leaking into the atmosphere as Ron Methane, then you're worse than or on a par with like coal, which is the worst of the fossil fuels.

Speaker 4:          00:07:36       Currently in Los Angeles, they do both production and transportation and consumption of natural gas and methane in that whole cycle in Los Angeles, the measurement was 17% of it was leaking into the atmosphere. So this drilling for natural gas, um, you know, is on a par or way worse than coal in terms of effects for climate. But what I'm saying is that that, you know, we have to, the overall message here is not okay, we're going to ban fracking here. We had to keep it out of this place. We care to keep these things a localized effects. The overall message is starting to become very clearly. We are, we have to start living much more sustainably, which doesn't necessarily mean a whole sale change in the way that we do things. Um, we can still have, you know, podcasts, computers, we just have to start to switch our energy source.

Speaker 4:          00:08:25       I mean, if you can imagine the technology that's sitting in front of you right now, you know, what would be the equivalent of that a hundred years ago? An abacus and a bull horn or something? Well, actually if you never changed the, your technology, well that's the same stuff. That's the, these are the same fuels that we were using a hundred years ago. Oh, we have new fuel sources. We have solar, we have wind power. Um, they have tons of energy innovations, but we have left are we have, because of the power of the oil and gas industry and the coal industry, we have let sector of

Speaker 3:          00:08:56       our technological development be completely inhibited and, and, and doesn't Prague progress. But now you're starting to see it just the have, they have so much money to too much money, so much power. Now when you see these responses to your documentary, I mean, even the New York Times had some sort of a negative response to two documentary. What did New York Times was really mixed? Um, in fact, a year after the documentary came out, it was the day after the Oscars that we didn't, when we were nominated for best documentary for gasoline, part one, the day after a front page article ran about, um, uh, gas drilling contamination hitting rivers and contaminating water supplies. And that was the first in a series of about 10 articles by Ian or being an inner being and one of the best investigative reporters for the Times. And he was actually, he told me later a year later did, he was asked to investigate all these claims of fracking contamination because they wanted to find out if my film was true.

Speaker 3:          00:09:57       And you know, because obviously there was this gigantic smear campaign is still is against the films. And um, he came back with, with even more evidence than we had turned up that fracking was contaminated water supplies that it was doing, do an addendum who, what in the New York Times like Combo. You can look up the drilling down series right now. Right. But what, what they wrote about your, your documentary was he was fairly critical when I remember, I don't read reviews. If it was the film review, I don't read reviews. Oh, I'm, I'm interested in what their political reporting as though, well, I mean, I just think that was the New York Times. I mean, there's one of these headlines Gasland debunked even in New York Times. This was on one of the websites that I write, but that's probably not the truth. That's probably a headline written by the oil and gas industry pointing to align in the New York Times.

Speaker 3:          00:10:47       It may be as critical about from one point or another, but this is the thing that they do. They will take a sentence out of context because sentences that I've said and put them out of context and then say, I said this, you know what I mean? Or said. The New York Times said this. There's very little checking up on all of that stuff. But the bottom line, Joe is, um, New York state of New York just did exhaustive seven year process of environmental review and a two year health study. I'm not an activist, he kind of government, they were extraordinarily cautious about doing this over a period of seven years and they just came back with a complete and total ban on fracking. Yeah. Indicates everything that we've been doing and all the reporting that we've been doing because they just said, look, this isn't about activism. We, we, we got, yeah, obviously the protestors got our attention, but this was about a scientific review. And when you look at a scientific review, the health commissioner in New York state said, I wouldn't want my kids living there this period. End of story. What have been the criticisms though? And what, I mean, if you, if you broke down what you've heard, that people

Speaker 4:          00:11:54       try to debunk about your film. Like what, what the oil industry or whoever was behind it, the far right wing ultra conservative groups that decided to attack, what would their criticism, well, their mom, their mantra in spite of this preponderance of evidence is, you know, hydraulic fracturing has never contaminated water supplies that sound over and over and over. That seems to be impossible. It's crazy. Yeah. But it's like saying smoking doesn't cause lung cancer. It's like saying smoking is not good for it. Smoking is good for you. You know, it's crazy. Right? But see the point of this, and I put out a short film, um, a couple of years back and it was, it was in rolling stone and it was, it's online, you can watch it for free. It's called the sky is pink and that's at pink sky. And why.com so pink sky and wine.com and sky is pink.

