Speaker 1:          00:00:02       [inaudible]

Speaker 2:          00:00:06       is it actually happening? Should it be all right ladies. Gentlemen, flight companion and started Brian couns in route. Brendan shops in the house. Eddie motherfucking bravo with the new haircut. Yep. I like it dude. You're going straight up Tom Po as you grow up. Ponytail on the back of that motherfucker. All right. If you've never listened to this before, this is a podcast where we watched the fights and we talk. Shit, we're day drinking. It's 11:15 AM Eddie Bravo hasn't cracked open one yet. Here you go. I'm scared. I'm scared. Especially Post Epstein is a lot of conspiracy. Glen in the circle. What's the big deal? That's what I've been telling everybody. [inaudible] Tyson. Mom's a fucking beast and he's about to fight Diego for Hara. And that is an excellent fight. So if you never heard these before, we're just, we talked shit while the fights are going on.

Speaker 2:          00:00:56       We kind of commentate on the fights, but not really. Let's be honest. It depends. Most of it's not. There's a very good fight. Um, mayor back tie some off is a fucking killer. Diego Ferera is a very good fighter too. So this is a, this is a good fight and they're in Abu Dhabi. So you know, when you think about a guy like tie some off, who's Muslim, you gotta think that there's a lot of, lot of pride him fighting there, but maybe a little bit of extra pressure home field advantage. Right. So I don't know about home field advantage man. Cause sometimes guys don't fight well when they're fighting in front of everyone that they love and care for too much pressure and there's a lot more to worry about. Did you hear, I forget what journalists is, cage side, but I guess the, around the cage and the mat, it's hot as fuck.

Speaker 2:          00:01:40       Oh, it's hot dude. No, but they're saying it's like unheard of hot around there. So as the rounds getting going, yeah, I think, I think it could affect some of the fights. Most, most people in most teams do play better with home field advantage. It's kind of like, yeah, it's like you have no choice. You can't, you can't, uh, crumble under the pressure. It's like there's too many of your loved ones watching. You have no choice. It's like some people just fold man tie some. I was looking good though. Just landed a good left leg kick and a good one too. He's, he's a solid fighter man, but he's one of those guys who's had a hard time. I think he's had a hard time getting into the u s I think that's, I think he was denied visas or something like that. I would imagine a lot of these guys on this car did like Khabib's dad can't get in, but he's in his corner for this site. Crazy. What do they think he's going to do? But the problem is he's got a tie to that guy from Chechnya. Tough. Yeah. Oh Diego forever. Just cracked him. Tossed him off as the St Barbara's Brian Callan.

Speaker 2:          00:02:41       Can we get the fights on this TV too? So Iris, cause I don't have to. So you have to [inaudible] no, it's on apple TV and my neck, Bro. You don't know where we're lying. I'm looking right now. It says there's people watching, but I can't find it. So, but looking, I'm looking. Are you watching it? Can you see it? I can see it on my thing. My having

Speaker 3:          00:03:00       a little bit of an issue with Youtube, ladies and gentlemen. Um, when you get it to me, uh, get it. Do me a favor. Um, give me a link. Just, just, uh, tweet it or something and I'll retweet it.

Speaker 3:          00:03:14       Something, something, something. When I was over there, uh, when Anderson Silva fought Damien Maya, it was hot as fuck. And it was outdoors. So you, you were there. That's right. You went to, that was fun. That was [inaudible] man. We for the UFC we had no choice. Yeah. And you have to go at all. Did you have to go to Oregon back then about it though? We were like, damn, it's going to be honest. We were pumped, but bro, there were bugs the size of dogs flat like bugs I'd never saw before. Like I didn't even know existed. I heard it's cool out there though. I heard it's a great, well, Dubai is gorgeous and there's so much money. Henslowe said it's like Las Vegas on steroids. He's hurt, he's hurt. It's over for era's hurt. Oh really? Hurt. He's really hurt. He's a smart dude though. He's, he's gonna, he's gonna stay away. Look, he's popping out just to make sure that, uh, he knows it's okay that he's, uh, still still a dangerous fighter, but he's in, he's in real bad. [inaudible] Baxter's 45 or 55 55 I believe. I might be wrong, Jamie and find out for us. I think Tyson, Mt. 50 55 for sure. Lightweight. Yeah. Yeah. 55 Diego though. His Diego fought at 45 before.

Speaker 4:          00:04:29       [inaudible]

Speaker 3:          00:04:30       maybe I'm wrong. It's hard to tell man. There's so many fighters in the UFC now. It's just, it's so difficult to keep tracks on all, dude. How about Nate miles, but all woo secured the bag. It's happening. Yeah. Was it November 2nd Madison Square Garden November 2nd. And they're still working on Colby and smog, but they're not though. Cause they want to pay. Well they are trust don't they? They don't want to pay Colby with Colby wants. Oh we cracked them again but did, but the Dana said that that will be the main event. They don't want to put a title fight above that. So then so, so there, there's no way you'd make Kobe, you so Mazda, don't Nate Diaz is the main event. Is that I'm almost positive Jim. That's, I mean it's five rounds and Dana said he doesn't want to put a title fight above that. Well, if that's the case, then I figured it out.

Speaker 3:          00:05:15       They're going to, we are alive. They changed the fucking way it works now. Okay, so is it Joe Rogan. Dot Live. Okay. And Dana's making a belt for just for that. Like the people's champ belt. Oh, like the streets not, well, Nate says it's the baddest motherfucker in the game belt. Yeah, that's what, that's what he's making. You got to say that on TV. You can't say bad ass motherfucker in the game. Maybe it's just like the hardcores belt, you know? That's the, that's the fucking, I'm so happy they made that fight. I didn't think it was going to happen. Dude. I got, I didn't think was going to happen when I saw it on my Instagram feed this morning. I threw my arms up in the air, like somebody got knocked out. I was like, I want to sell you at the Improv. I was like, I don't think it's going to happen. Then I was like, I feel like Nate needs too much. It's just

