Speaker 1:          00:00:00       And three, two, one. No.

Speaker 2:          00:00:11       Yes. Okay. It's a lot. It's been fucking up a little bit lately. How are you man? Thanks for having me. My pleasure. My pleasure. Yeah, you brought me a nice conspiracy book. I want you back. I want you to get bored with it. I know. I just had a lunch with Eric von, Danica. Uh, he's the author of Church of the Gods. The last two hours we've been talking to ancient aliens. I was deep when I was like in, in my late teens. I was deep in Zachariah stitching and Inaki filium I'm pronouncing it wrong. That lead my thing. Nephilim, planet x Nibiru all over. Yeah. That's a lot of the conversation we had today at lunch. It's very interesting. The problem with someone, I mean, it's not that he's not a dishonest person, I'm not saying that, but the problem with anybody that is involved with like a book like this is that you're so all in, you're so committed to this idea.

Speaker 2:          00:01:07       Like I asked him, the first thing I asked him, I was like, what is the most compelling piece of evidence? And, um, he said the, the tablet and [inaudible] I don't know if you're aware of that one. Yeah. The one of the, the Aztec Aztec or a mine I guess the mind guy. It's mine. Um, who's laying back. Uh, it looks like in some sort of a throne with five below him and he's manipulating these knobs and shit. And that means that aliens landed and seeded them with technology. Yeah. They always make a little bit of a jump. It's a big one that's like evil Knievel. It's a little bit of a jump between that bird is really a symbol of a flying saucer. I've heard that too. I've heard that one like that bird. And I'm like, well, let me ask you a question. Why didn't they ask you a flying saucer right into the cave?

Speaker 2:          00:01:56       And they're like, well, let you don't know how things work. The more interesting ones and the art depictions that there's some really ancient depictions of people that look like they're in these flying saucer type things, like flying through the air and they're in some sort of a like, you know, some, some painting. Yeah. Those are, those are really interesting cause like what were they trying to say? Like what were they, what were they depicting? And those things. I mean it's all very interesting, but I think you, and you've had Graham Hancock on. So to me when I heard him, I was like, that makes more sense that we were just a civilization that had reached an apex and it got wiped out by some cataclysmic event and then we had to rebuild. But is does he think that we got all of our technology from other worldly sources or no, not really.

Speaker 2:          00:02:42       It doesn't, it doesn't. Ram is much more in line with this. Um, this theory that doctor Robert Schoch has been putting forth, he was one of the weirder ones that I've had on the podcast. First of all, because he's a rock solid geologist, professor at Boston University, like really well established. His credentials are, you know, they're, they're as good as it gets. And he was saying that he thinks that there was a mass coronal mass ejection somewhere around 12,000 years ago and it was literally raining lightning all over the world. And decimated the population of land mammals and, and people. Just what got the dinosaurs? No, no, no. This was way late. I apologize. This is like my bad. This is a, they think in the neighborhood of 12,000 years ago. They think this is recent. Yeah. This is what Graham Hancock's work indicates as well. See, Graham Hancock and him were together on the Sphinx because Robert Schoch was the geologist they brought in to examine the erosion marks on the temple.

Speaker 2:          00:03:46       That's Sphinx. Yeah. And his conclusion was that this is the result of thousands of years of rainfall. Right. The problem with that was the last time there were significant rainfall in the Nile Valley was 9,000 BC. So you'd have to have thousands of years before that to create these deep water based fishers or water created fissures to, they're saying the Sphinx was there a lot longer than we imagined. Yeah. So that coincides with a lot of these, the, the, the people that want to push back the dates of civilization, what they think is that it all points to something big happening at the end of the ice age. Yeah. So something big happening between 12,000 and 10,000 years ago. Why don't mainstream scientists just go now? I'm sure there's a reason for this. And I think there's a reason that mainstream thought leaders in any area don't allow the fringe in why?

