Speaker 1:          00:00:05       Okay.

Speaker 2:          00:00:06       We're good. Yeah. Ladies and Gentlemen, please welcome Peter Boghossian. Hello. Thanks everybody. Thanks for doing that. Appreciate it man. I good. I think I found out about you through Sam Harris. I'm not sure, but, uh, you're also friends with my friend rory singer. Oh, Roy, he's a great guy. Great Guy. He got excited when he found out that you were coming on. Roy, of course, uh, martial artists, a former UFC fighter. Right. And, uh, kept me many times. I'm sure he taught me many times too. So you, you're, uh, you, you work at, um, University of Portland State, Portland state. Yeah. Work Portland state, teach philosophy there. And you're also a guy who is your, you described as an atheism advocate, like not just an atheist, but someone who actively promotes, hey, you should probably try this. Um, I promote critical thinking and reason and rationality and I, and the two go together.

Speaker 2:          00:00:59       Yeah. And I think that naturally leads to to atheism if people are honest with themselves. And, um, and you know, you mentioned rory. Uh, I've been a longtime martial arts my whole life actually. Really? What did you start off with? The fantasy based martial arts? The bullshit. Like which ones? Uh, I did everything. I mean I did, I tried Kempo I tried, I literally tried if you were to put all of the emotional arts together that don't work and put them into one suite, I tried them, all of them. Well Campos got some good striking techniques. They just don't have a, an overall comprehensive system to deal with grappling. Yeah, I tried [inaudible] I tried taekwondo. I tried, uh, I tried tai cheese so I tried them all. And then I actually, one of my turning points was when Ron van Cleef, who was in the original UFC as early UFC, he was in like ufc three or four or something like that early on.

Speaker 2:          00:01:56       And he was like in his fifties he was older. He's in still in very good shape. He, he liked competed in a tournament, a karate tournament I think deep into his sixties. Yeah, I trained with, with Ron and I trained with this guy, she on Hector Santiago who was quite something and I trained with them for years in New York City. And when Ron van cleef got taken down and just dominated, that was a huge moment for me. That was then I then that started me on this whole other path. And then I trained with Greg Jackson for New Mexico. Will you in New Mexico? Yeah. W having there, I've trained, I started in New York City before the UFC came, came along and I trained there and then I trained in New Mexico and now I train with Matt Thornton from straight blast. Uh, his John Calvin, ours coach who's obviously conor mcgregor and, and Nelson's that's, that's a great lineage man. So you saw Ron van cleave get dominated by hoists, gracie? Yeah, like fairly easily. It was kind of interesting watch like a guy

Speaker 3:          00:03:00       who is this ledge really, really well respected in the karate. We're whole legend. Legend. Smoked like a beginner. Yeah. And I saw those guys, like I saw Hector Santiago fight in real life and he is a very dangerous person. You saw him fight like in a street fighter. So I used to live in the lower east side between a and B and a d. So, so all of this, this was just part of my, my experience and I thought a lot of this stuff was real and it just turned out to be fantasy. It just turned out to be make-believe. Well, I think that's an interesting parallel. When we were talking before the podcast, we're talking about critical thinking and Brazilian Jujitsu and martial arts in general, and there are a lot of people that have very distorted ideas of many things, not just of their ability to handle themselves physically, but just of the world in general.

Speaker 3:          00:03:50       And I think martial arts sort of highlights a lot of that curriculum, those critical thinking issues. Yeah, and I think that's, that's one of the reasons that I was so excited to come on this podcast today is because I think you are ideally situated to have it have that conversation with me because Jujitsu, Brazilian Jujitsu, specifically alive in his training, training against resisting opponents, we don't talk about, this is a huge area that nobody is talking about. We can understand all of reason and rationality through Jujitsu, through corrective mechanisms, through aligning your beliefs with reality. I mean little things from, you know, testing ideas yourself, not having to take it on faith. I just talking to 'em as talking to uh, uh, uh, cause the name eludes me now. I think, I think that there's something Chris harder I think is super good guy. Great Guy.

