Speaker 1:          00:00:00       Nodoz

Speaker 2:          00:00:05       motherfucker, my voice is froggy to like get them. Thank you for. I gotta go tenor. Okay, good tenor. Thank you for having me. We were talking about opera before we started the podcast and that I was saying that those people are like aliens, like what they can do with their voice is so far beyond. I kinda like I could look at someone doing a backhand spring and I was like, okay, I bet if I practiced for a long time I'd figured out how to do that. I would need some help but it takes some time but that doesn't seem insurmountable, but what I hear,

Speaker 3:          00:00:48       yeah,

Speaker 2:          00:00:49       I hear these fucking dudes or

Speaker 2:          00:00:53       I can't imagine it. That has to start with some kind of natural gift. I guess it's maybe it's just like getting them when they're really young and then developing those muscle ups talking totally out of my ass. But you know who used to opera saying Jim Jefferies did really. Jim Jefferies was like a legit opera singer apparently that crazy. I know Jim very well. I'm surprised I didn't know that at all. I didn't either thing he told me on the podcast, I thought it was coke guy. Got a family? No, he's a general. He used to sing opera and uh, apparently he had like, what was it, like nodes on his throat that he had gift cert polyps. Polyps. So you had to get surgery on his throat. A gym. If I'm fucking this up, I apologize. But uh, he had to get surgery in his throne and killed his singing short is opera career.

Speaker 2:          00:01:42       Well, I don't know if he really wanted a career in it and who's doing some acting stuff and shit too. I mean he's a guy like, you know, he's like this, he's, he's at his best doing stand up. Everybody wants to chase other shit on top of the stand up. Sure. But when it comes down to it, like the standup is the most fun, it's always going to be the most fun, you know that. And I do think radio in a capacity as. Oh yeah, there were similar, like a similar beast. Well, what this is cool is like it allows someone who's not near us to have a good time talking to a guy like, you know what I mean? It's like, no, absolutely it does. It brings people in. You know, your is great. I think. I think it feeds the same beast as comedy.

Speaker 2:          00:02:28       It's also when you're live it's like immediate reactions to like as soon as you're done you check social media or anything and people like the feedback is immediate. Just like when you're on stage, you know? Yeah, there's definitely that. Definitely that aspect of it. But it's also cool aspect because it allows people to kind of work out ideas, workout ideas in the sort of open forum, you know, talk about stuff and it's. So. There's so many different places that people don't do that though. They really just stick to the 25 minutes they were so on and just do forever. Yeah. Well as far as standups. Yeah, that's brutal. I mean that used to go across the board. I was such a fan of comedy growing up, but I remember like you'd see people in like five, six TV shows and you're like, Holy Shit. Like I know their act.

Speaker 2:          00:03:12       Yeah. That was a problem in the early days, right before the early to mid. Like I guess like all through the eighties. I think in a weird way, def jam really did like make comedy, have to step his game up across the board, not as a comedy on that was always that great. But I mean like it brought it back until like, you can't just be like, you know, standing there with your blazer sleeves rolled up and, you know what I mean. You might have to like just show a different version of comedy act. Really attacking the people with it, doing comedy at people. Yeah. There's a few examples of that, right? Like, Kennison was definitely an example of that. Kennison came out. I remember, um, I've probably have told this story. I apologize. Have you heard anybody listening? But, uh, I found out about Kennison through a girl that worked with.

Speaker 2:          00:03:55       I was 19. I was working at the Boston athletic clubs, like this little health club and that was a teaching people how to lift weights and shit. And uh, this girl who worked at the front desk was hilarious. She was just like big volleyball check. She was like six feet tall but fucking hilarious. She was like, she had gotten into standup. This girl was really funny and she was a fan of standup and she knew that I was a fan of standup too. So she told me about this guy who was doing this bit about these dead people getting fucked in the ass. She said, she said his name is Sam kinison and how she did the bit she laid on the Sam candidate had an all time classic bit and it was about a homosexual. Necrophilia acts was about gay guys are paying to fuck dead bodies and she did the bit in the parking lot of the athletic club. She got down on her stomach and she was like,

Speaker 4:          00:04:42       oh, life keeps fucking in the ass even after you're dead. It never ends.

Speaker 2:          00:04:48       And she made me laugh so hard that I couldn't imagine what this guy was like. So he was like a mythical creature by the time I saw him on a vhs tape, I got a hold of a vhs tape. He wasn't even like, I don't even think blockbuster was around then it was like this little mom and pop places or places that had a name that I don't even remember. I got a vhs tape of Sam Kennison and I remember going, Holy Shit. Like, this is comedy too. Yeah. Whoa. Yeah. He was. So yeah, for me that that person was dice. I always say he was the guy where I was like, oh, this is. I loved stand up comedy and like this is a different thing. It's funny, my dice is, you got to watch him age from like a young guy to like where he is now.

Speaker 2:          00:05:28       We lost Sam Kinison so young, but he always looked 40. Like Sam kinison never looked here. You always have like a 40 year old, like your uncle who will come over. But his star appearances were like legendary. Well he was. He just went for a man who was such a pioneer. It's, it's hard to imagine, but all guys like us, like those guys, if it wasn't for them, we will be so far behind as far as like what we can and can't say what we can and can't get away with what, what is and isn't taboo and what,

Speaker 5:          00:05:58       what and also the, the, the recognition that when someone's saying something fucked up like that, he's, he's doing it for humor. That's it. It's no different than someone making a movie about someone shooting people. They're not actually killing people. Like it's not like the intent behind it. Intent behind it is humor and entertainment, which people do have to get a grip on better. But I also think that like, even like that def jam version of comedy should pay more homage, I think to like Sam kinison dice very much because that was like, to my knowledge, we're the first braggadocious comedy. Most comedies brooded in such like self deprecation with dice, but Sam kinison till was never a belly. He never talked about being like a big fat guy or it was always outward. Yeah, I know, I know the answers and you idiots got to listen to me and dice was more of like, you know, how great he is and everything, but that is like, that's the, I think the main difference between like that black circuit comedy and like the mainstream circuit because the mainstream circuit is not white comedy, but the black circuit comedy is its own kind of beast and that still has all the, you know, I got a big old Dick and I'd be choking the bitches with it because one bitch last night and you're like, wow, who are you relating to?

Speaker 5:          00:07:14       All these black people in the room. Well it was also the rap culture, which is very braggadocious as well, you know? Sure, yeah. There's like a bunch of things going on, a bunch of different elements, but for sure just as the art form for the art form as a whole dice is super important and kinison and super important. Yeah. Because both those guys came out with like really controversial acts. There was a lot of blowback, there was a lot of like a. and if you could listen to some of the stuff like that era, like some of the stuff in the eighties, it's really homophobic. Oh yeah. Yeah. Like in a mean, nasty way, which is where I always seen it for sure. Yeah. But we don't do gay jokes like that anymore. Like gay jokes today or like it's kind of a geek. It's, it's sort of wrapped around the idea that you could completely accept someone being gay, but it doesn't make it not funny if a dude is sucking the dude's Dick.

Speaker 5:          00:08:05       No. Yeah, exactly. Funny Concept. Yeah. No, without a doubt. I think people are coming. I think we're actually leveling out where now the pc police are running rampant of course funding. But they are funny. But they really, uh, the best point is like the person. You're joking, supposedly offending rarely offended that person. Right. It's always a white college girl who wants to like write a blog. Yeah. Well that, it's also the choosing to be offended recreationally. You know, that this is something that's a hot topic. So you know, this big Jay Oakerson guy eats. I'm going to take him down a peg. I keep after him. I can't fucking believe. I've never had blowback at all. I'm just probably. My name's not out there enough, I guess, but there's comics like a little lower down the totem pole than me. They just happened to be performing at a night where there was a blog writer and that goes viral and that becomes a whole thing.

