Speaker 1:          00:00:00       I got to high four, three, two, one.

Speaker 2:          00:00:06       Mr Henneghan, you were talking in the background. Yeah. Brian Hennigan is. He's worried about the link he's waiting for. Oh, Joe Rogan.live. Yeah. I should tweet it right. I didn't. That tweet tweet. Tweet it while I'm talking to you. Douglas. Dan. Hope the mayor of Fizz B. Wow.

Speaker 2:          00:00:22       You're becoming the mayor of La. That should be your thing, man. Three hundred square miles of studio space. A twitter. I knew when I pulled up. What will you. What the Uber dropped us at the wrong place, but then we walked a few buildings down and I saw a pickup truck loading epsom salt into a side door. I go, yeah, that's flotation tank shit right there. We get the right door. Yeah, that's exactly what it is. Going live with Douglas. I only did a flotation tank once for a shoot at your house for the man show and you had the one in the house and we were doing it for a shoot so you can't really sit back and enjoy it, but for that 30 seconds they shut the door until they go, uh, action. You're like, wow, this is fucking weird. It's fucking weird. It's weird. And it never stops being weird.

Speaker 2:          00:01:14       Like even though I've done it, I don't know how many times, every time I do it, it's fucking weird. It just, it's a very strange feeling and you could shut it off anytime you want. That's the best part about it. Like I love the fact that I could just get out of it. Like if I, if you want to do shrooms or something like that, that's a commitment. I mean, you're in, you're in six, eight hours. You don't know where you're going or who's going to call or stop by. Yeah. You can't, that you, you're not shaking that you're just not going to get you. I tweeted it. Got It. All right. Beautiful. Um, yeah, but the tank you just get out. It's awesome. Just open the door. It's over. I'm sure there's some kind of upkeep that's necessary that I wouldn't do and I'd forget and I'd go on the road and I come back and there's bushes growing in there.

Speaker 2:          00:02:00       And you know what you should do. You should start a tank center in Brisbane. If nobody has money in business, you don't, it doesn't have to cost a lot of money. You get like one or two tanks and you just rent them out all day long. Yeah, it's a, again, it's like people have a disability is the biggest form of income there. I bet insurance will pay for it. Maybe I made that up. You should probably check. Um, I think that they'll. Well, I think it's a form of therapy for sure. The point is I'm not good at upkeep. I know you don't have to have above ground pool that is just nothing but algae for eight months out of the year. Dude, I moved into a house once in Encino and uh, nobody had lived in it for I guess like over a year. And they didn't do anything with the pool and the pool would become this green pond and there was schools of mosquito larva swimming around in the pool.

Speaker 2:          00:02:57       Like I was like, why in the fuck that? Like you could see them. It was the weirdest thing, man. That's a problem with getting rid of the fucking thing. Dude. It was a real problem. Like I was looking. I was like, you've got like a big stew of life out here. There are so many mosquitoes. Who was crazy? There were like little schools of fish. I was like, this is madness. All these little things are blood sucking. Little Vampires. They're going to fly around and find things to bite at. Where I live, there's no other body of water for 100 miles other than my above ground. Crazy. Those little cons, you can't kill them off. They just find a way to just breed and like back east, they're way worse now. They're way worse than they are here. It's something about the weather out here, I guess that keeps them in check.

