Speaker 1:          00:00:01       Five, four, three, two.

Speaker 2:          00:00:07       Yes.

Speaker 3:          00:00:10       Hello Hannibal. What's up man? How are you sir? I'm good. Good to see you. Good to see you too. You have notes? Yeah. I don't know. So I just wanted to be prepared. I had, I've had notes other times but I just didn't have them written down. You know what all you had to like get in your head. I had him in my head but I'm an older man now.

Speaker 2:          00:00:28       Do you mind starting to slip away? Mine started to slip away so I had some notes and drink it. Alpha brain. And you've got notes. Yeah. Dude, you're ready. What's her notes? What do you want to talk about? What's going on? Oh, we don't have to get right into it.

Speaker 3:          00:00:45       Naturally. It was just more for like, you know, sometimes if stuff leg or something or if I feel like I don't have something right. And then a peak at it real quick. Oh, okay. Right now we fresh. Oh, we're fresh. Good to see you too, man. Yeah. Sorry about Monday. Oh no worries man. Shit happens. I just did not. I was still in New York. I just had booked my flight in the morning and I just could not go. You just couldn't do. It was just too tired. I was, it wasn't just a tidy, was just more of a. just didn't feel like going. He was just a like to to. It was the five hour thing and I did it today. Actually. I flew in today, but it was just that sometimes you just don't want to do it. It was just that flight. I was like, oh, I don't know if that's the beautiful thing about being a young, successful single man. You can do whatever the fuck you want to do. It was A. Yeah. Yeah. But I'm uh, excited to be back where it got weird last time.

Speaker 2:          00:01:48       Oh, here. Yeah. Last time. Was the Sam Harris One, right? That's, that's been a year. Oh yeah, that's right. Yeah. That did get a little weird alcohol. Alcohol is a motherfucker. It's amazing. It's legal.

Speaker 3:          00:02:00       It is, it's amazing. It's like, what else? It was just A. Yeah, I should have. I should've went to the comedy store

Speaker 2:          00:02:09       was. I still did do, yeah. Did a terrible set dj. Well, we got trouble set. We did a podcast. I got drunk. And then you hung around for the second podcast. Yeah. You said sit in, sit in. It was Sam Harrison. Who else was it?

Speaker 3:          00:02:27       It was, uh, the guy whose podcast it is.

