Speaker 1:          00:00:03       Three. Two one. Yeah.

Speaker 2:          00:00:08       I walked in. You guys were watching soccer. I was hugely disappointed. England's and penalty kill. My God. Is that okay dude? What happened? Like the, we'll cut man, if they, when they move on. So the penalty kick and they just won. They just want England. Just one. They just fucking done. You guys rooting for England? You? I'm English man. I'm happy English. My mom, my mom was born and raised there, bro. I thought what's up bro? I know most people do English. So you really root for England? Yeah. Big Time. No Shit. Yes. I don't know if us isn't in it. You know what's happening when they're playing or do you want me to know when the ball goes in? No, I have kind of an idea. I would say I'm a blue belt in soccer, a blue belt. Wham. Like I wake up early and watch the games.

Speaker 2:          00:00:48       The only world got World Cup, Dude, I was in boulder. You know Boulder's like the People's Republic of Boulder. I don't have to tell you. You're from Colorado. You know what it's like. I went to school. Their son bowlers rough. Yes. It's uh, they're, they're like super duper liberal and people were unnaturally happy about the World Cup, like super excited that they know so much about soccer and yelling. I was at a bar and I was like, that'll make you hate it. That'll make you hate it. But if you just, if you go to England, you'll feel good about it. But he was this certain type of white dude. I, let's see you, you know, I mean, well they probably had a dad that was in the navy or some shit got bullied around at home and they just went the total opposite hard way. No, that shit happens. He's a tough sell.

Speaker 2:          00:01:36       Especially if you're like an athlete, like a black athlete. Oh God. This is like, that's what I know why they struggle a little bit. Like look at the beautiful mountains are like, bitch, I don't hike. I don't give a fuck about your mountains. That's why they struggle. I think recruiting really, it's so beautiful there though. Yeah. Yeah. If you're into fucking hiking and fucking water rafting in shape or super nice too though. They're all right. They don't give a fuck about sports. Where if you go to like a southern school like Georgia, Tennessee, they get pumped. God, oh, every fucking period. Is that bad that they don't care? Is it good? Like balance bat makes your work hard. No, it sucks. You've got nature out there though. Eagles and shit like fucking feature thing sucks. You know that a wolves and bears and wolves and grizzly bears and making their way back into Colorado. Really? Yeah. That goddamn time. Interesting. Why were they gone? They killed them off in the 18 hundreds and then they reintroduced him to Yellowstone and mostly they stayed around Wyoming and Montana or Yellowstone is and they made their way into Idaho, but now they've definitely spotted them in Colorado and they've also a very credible source. In fact, my friend Adam Green tree took video of what he said it was a grizzly bear and he knows the difference. He knows his shit. Yeah. It was in the San Juan Mountains in Colorado last September. So they think

Speaker 3:          00:03:00       that there's a population of grizzly bears. Adam would know. He would know. And if you watch the news, like the local news in La, which I do, especially when I get depressed, you there's, there's a bunch of black bears like a hot tubs in shit popping up in Pasadena chilling. Huh? Why did they love the tubs? Well, they don't know that it's a hot tub. They just know it's water. And so like for them to find a spot that's filled with water, it's probably terrible for them. And once you have a salt pool, they know how hot it is doing. The chlorine, the chlorine, that's what I'm saying. Like it's a bear's drinking all that chlorine goes in that pool. You know what you're doing hot tub. Yeah. That's like, that's dick soup. Conch soup and then black mayors. Yeah. What percentage of hot tubs to people?

Speaker 3:          00:03:41       Fucking 100% is the answer. 100% well in Pasadena expressly Pasadena, they're just rocking it out there. Yeah. There's a lot of bears up there. There's a funny video man at this dude in Pasadena and he's on his phone and he's walking down an alley and as he turns and walks down the aisle and he just on his phone and he's looking down, he's not looking where he's going. He looks up and there's a fucking bear right in front of him and the beer didn't do shit. The bear doesn't know what to do and he just runs really find that dude, homey is just not paying attention. I would shit my pants. Oh yeah, for sure. It's like you saw the, you saw the homeboys in Seattle yet fucked up. Well one died by the mountain lion. Yeah, that's super hungry. Mountain Lion. Yeah, just on a bike.

Speaker 3:          00:04:20       Apparently the mountain lion was a Macy ated. It was all fucked up and sick and it only weighed like 90 something pounds. But it's still fucked. Both of those dudes up. But they, they tell you like, oh, use your bike as a shield and scare them off that Lens. Like, what? I don't give a fuck about your trek button. They hit it with the bike. Apparently it didn't do shit. How about homeboy was like, dude, you're going to attack. I'm going to run and get help. Way to go. Asshole runs off in that line goes where the fuck you going? And they can't kill him. Yeah. Homeboy got away. You know that happened in Beijing to with the lady who got out of the car and a tiger attacked her at the wild animal park. Yeah, that's what you get. She got out of the car. The Tiger tanks are here to stay. Dan. That's a big bear. Big Bear. That's a fucking terrifying bear. So this guy, he's on his cell phone. Where's the uh, that's a big ass beer. Here it is. Here it is. Watch the dudes on his phone.

Speaker 3:          00:05:14       He's like, fuck. Which by the way, the worst fucking thing you could do, just go run. Super Lucky. See if you could pull back. You can see like where the bear walks behind those bushes. Yeah, right here. This is hilarious, dude. Look, the bears walking right there. That guy walks down. He's not even looking. Dude, you're supposed to get loud, right? Like get as big as possible. Yes. You definitely don't want to run away because their instincts that have chase. Yeah, but they say when you get loud and like challenge them like you hear about that, it's fine. I don't want him having your about that boy scout leader know who they rent. They solid bear and you know it's like play dead or, or do your thing, you know, or you know when you play dead or get real big and loud. Like they don't know exactly what to do.

Speaker 3:          00:05:56       But I bet I guess the boy scout fucking handbook says to get loud and like make a scene. I'm gonna Forget loud made a scene and that beer was like, oh cool. Hey kids watch this. Atum asshole first and from the whole squad. Oh No. Yeah. So they don't, I don't think they know exactly. Well the problem is bears are just like every other animal, right? Like think about dogs. All dogs are different men. Some dogs just come over to their house and they're like, hey, what's going on? How are you doing? And it's some dudes, you come over to their house and dog's checking you out and like, I dunno motherfucker. I'm not sure about you, Austin. They get around you and the hair comes up and you're like, oh my God, his hair's up the worst. Your dog has his hair up. What's going on here?

Speaker 3:          00:06:33       I think bears are probably just like dogs and they're just, they vary. They say. It also depends where you're at. Like they walked into his cave so he's like, you're in my house. Give me that ass hole. It's terrifying. I don't think if you're that cub scout you're like, oh my God. Apparently the worst thing that could happen is you walk into a female with their cubs game over a female grizzly with her cubs. She'd just light you up, do you don't have no chance. It's not like you're going to, what do you do? I was listening to some bitch on the news because they're talking about black bears in hot tubs and few run into one. This lady is saying, go, solar's punch him in the nose on my nose. They're noses are super sensitive or go for the eyes. Yeah, let me try that.

Speaker 3:          00:07:12       They bite each other's faces. You people have to understand like when they fight with each other, which they do all the time, they do all the time. They're always fighting for sure. There's in person fight in the wild. I've seen it. They just fight, especially during the Rut, like in the springtime, they fucking bite each other's faces and it doesn't even look like anything happen. They bite the shit out of each other and nothing happens. So you contacting clothes with you little bitch ass hands. Like what are you going to do? Cowan has an old bit where, uh, it's, he did on a special, so he won't mind me saying it. We count as a little bit where people would go, oh, just punk punch a shark in the nose. Secure, tried punching underwater. He's like all slow. I've taught that exact same thing. I've thought that exact same thing.

Speaker 3:          00:07:58       Like how much could you generate underwater? Like people go under water to work out. You've seen that famous photo of Ali. Ali used to do a lot of shadow boxing in the water water and John recreated it. Have you seen John John's one? It's fucking dope. That's right. Know GSP does a lot of work in the water. He was the first one I knew it was doing work in the water and actually for, I mean months would drive down to Laguna Niguel where he's working out and we do water workouts and we're in the pool when the pool for like two hours. I was like Bro, I did it for two weeks and think it, he goes, you coming in on Wednesday and I go, oh worst. Just the worst. That sounds more like someone with a mental disability from that sounds like a rice. I like Stephen Hawking.

Speaker 3:          00:08:40       Definitely sound like someone who doesn't know English. That good. Not Good. So anyways because you come in on Wednesday, I won't do that cause then again and I was like Nah, I'm not man. I'm thinking of fucking pull. You'd be in there for like two hours. He'd have these things. You just have been doing this stuff. He does a lot of jumping, which is really interesting. I was thinking about, I was like, yeah, you could generate maximum force, like jumping in the water and it's probably like real easy on the joints in comparison. It's easy on the joints. But um, I was listening to one expert talk about it. Um, actually I think Loren Landow is telling me this, he's a strength coach for the Denver Nuggets, the Denver Broncos. Now he was saying it's good to mix in, but to do it every week all the time, especially in the sand or water, you're not going the same explosiveness.

Speaker 3:          00:09:22       You're not generating the same explosive power. So you should mix it up. Yeah, he goes, if you're just doing that, you're actually, it's actually gonna make you less explosive. Wow. See though, she just, B plus p begs to differ like land out. But those dudes that are just on the cutting edge, they're constantly let comparing studies and just trying to get that little extra edge. And it is so interesting now. It's so like the world of strength and conditioning has never been like more complicated because there's no more bro Science. They'll also, because there's actual experts are like, you can look it up now, right? Like back in the day, my buddy like, dude, just eat fucking egg whites, which we know the terrible thing. Just the eggs and drink milk and get fucking swole. You wish that no. Everyone had all sorts of weird fucking diets or just take this Bsn enecto explode and you'd be jacked, Bro.

