Speaker 1:          00:00:00       Yoga

Speaker 2:          00:00:09       three, two, one and we're live sugar Shawn and uh, Tim Welch, your friend that you brought with you here today, friend, teammate, coach from Montana, Montana people. It's good. It's a good place. Yeah, it is. But for what we do, it's not the best place. Yeah. How much training can you get in Montana? It's not, not the best buy. Like when I was there, uh, two years ago, pheasant hunting with Anthony Bordain and that guy is such a maniac. He trains everywhere. He goes every day and he found some club, some local Jujitsu club in Montana and Bozeman. I was rolling with people. Yeah. Bozeman is probably one of the better places to train. But the one thing good about being from Montana is when we're in Phoenix, it's like a big process. Getting a fight. Sugar. How many amateur fights you have? Yeah, I had 14 and the nae fights, amateur MMA fights for kickboxing, couple of boxing.

Speaker 2:          00:01:04       It was every weekend. I, if Montana, Montana, people just angry, just want to fight the fight, you can just sign up that week and fight. So we get a ton of fights. No Commission, no commission. Oh, so it's a manly place that Montana. Yeah, it is. It's quite manly. I mean, you guys have grizzly bears and shit. Lots of grizzly bears, wolves. You know, I was there, uh, two summers ago I went and just was like, man, I need to figure out a way I spent more time here. Wasn't Bozeman. Oh yeah. It's beautiful. Oh yeah. It's fucking stunning. Yeah. I definitely want to, I enjoy being away from there right now just because I grew up there. Right. Being in Phoenix is like, I wouldn't, I don't want to be anywhere else. I love being in Phoenix. The training there is insane. Yeah. Where we're at. Phoenix is like the fucking Mecca man.

Speaker 2:          00:01:51       Like we get a train without Gusto Mendez to Keanio every day. Like he beat Hoffa Mendez. He beat Cabrina. He'd be Ryan Hall. He's, yeah. He all these people and almost every mile there's a really good gym like boxing, Gym, Jujitsu, gym, wrestling. Jim Henry Cejudo has a club. They're the MMA lab. A junk crowds. Like where we trained killers everywhere. Yeah. That's one of the best spots in the world for sure. Phoenix is a, there's a few hotbeds for MMA. Obviously la is a big one. Miami a big one. Phoenix is a fucking huge one too though. Yeah. The lab, like it's, it's a different type of gym than a lot of other gyms. I haven't seen many gyms like stay together and I think a big reason is because of John Crouch. He's like one of the best facilitators out there. He keeps everyone together. If you don't show up to practice, he'll text you and say, Hey, where are you at? We got to get our priorities straight. And he really holds everyone accountable and I think that's why it makes it a really good, strong place. Yeah. He's one of my favorite coaches. He's a, he's just a super no nonsense guy. Never blows his own horn, not looking for any attention and absolutely knows his shit. Like when you hear him in the corner, he knows his shit. Yeah. He's good to have there in the corner, man. He just, uh, be the leader kind of everything and look over

Speaker 3:          00:03:00       everything. And like he brought up Benson from when he was a small like just starting. So it's like we're lucky to be able to learn after that and then be around Benson in the room. Like the, he's got a work ethic like no other like is no other joining the military. I heard he was thinking about joining the military I think is too old now. Izzy. Yeah, I dunno, I was too old five. I heard about that too. How old? What is the limit? I thought you could join the military like up to like 36 or so. Like once you get across a certain age they have to make an exception for you. You'd make that exception. He's an animal. Can Beast. Yeah. So we're lucky to be around him. Like the work ethic he brings in the rooms like no other like two and two wrestling drilling. I, I feel like he'd break any man on this planet. She put the pace on you and it's, it's pretty cool to learn from. We're lucky to see it every day.

Speaker 4:          00:03:50       Yeah, I mean that is one of the most important quote. Like there's a bunch of important qualities in a fighter, right? Um, being able to perform under pressure, uh, creativity. Creativity's be, I think that's one of the places that you excel. You really excel in creativity. Like when I watched you fight like this, kids fucking around out there like you're having fun, you're flowing. You know, when you were telling me today where we're doing a little practicing, you were saying that you were doing some stuff in fights where you just thought of it like, why you're doing it. It just felt like doing it. Like there's people that can do that and there's people that never do that right now when they're in the fight, they're tightened up and they're fucking sticking to the script and maybe even sticking to like the real basics, you know, like barely even speaking in sentences.

Speaker 3:          00:04:34       Right. I don't even think a lot of people think too much when they're in there. It's easier to say. Um, I feel like when I'm in there, I'm reacting. I'm letting my, letting them all my training takeover. I'm not really thinking, I'm just reacting to what they're doing. And I think that it helps me do what I've been doing is just reacting to certain situations and I just feel like I'm on a step ahead of them. Whoever I'm fighting, I feel like I'm a step ahead of them. He's really good at like, the greater the chaos, the calmer he becomes. And that's the, that's the truth. The bigger, the brighter the lights are, the more he shining and completely calm. And before that last fight against, uh, Andre, we watched probably four of Connor's fights right before we walked to the Reno and sugar sitting there, zoning in on those fights, watching the way he walks out, watching the way he's good with his energy, smart with his energy.

Speaker 3:          00:05:21       And uh, you can really see it in the fight the way he may make some and sugar can watch someone, someone do something and he can do it right away. It's a really cool talent. Yeah. Before the last couple of fights, um, before we go to the arena, we just don't fight pass. Watch Conor, watch them walk out, watch, just watch him, his body language, Connors, he's the man I love. Gone or I've always loved Konner since, since I remember watching his first fight against, what was the first, like Max Holloway was at his first one. UFC and the UFC. Yeah. I remember watching him and like, that dude is going to be good.

Speaker 4:          00:05:51       I think that was his first fight. He blew his ACL out in that fight.

Speaker 3:          00:05:54       Maybe that wasn't as first. Maybe you think it was image? No, might've been

Speaker 4:          00:05:58       Marcus perimeter. Right? Yeah, yeah, yeah. I stopped. He stopped image and then he blew his ACL. Ah, I want to say in the first round against Holloway. And then he started controlling them on the ground and taking them down. But that was a very young Max Holloway too. You know, you're dealing with Holloway when, I think he was like 20 or something. He was young. Yeah. Super, super. Yet be, fuck. He's a beast. He's cool. He came down to the lab once. I didn't, we just kind of play around spar, but he, I'm, I'm excited for that. He's fighting Ortega next July 7th. Yes. Very, uh, very excited about that hope and I get to get, get in there. I hope we can get them tickets. That's going to be sweet. Yeah, dude, I'll hook you up. He's, he's fascinating to me. Uh, Max because he's just this guy that like, I knew he was really good and the knees kept getting better and kept getting better.

Speaker 4:          00:06:40       I'm like, where's the ceiling on this guy? And then you saw in the Aldo fight when he beat all of the first time and then the second time, the second time you're like, Jesus Christ like you, you, you really don't know how good a guy is. Like you see them in a fight and go, wow, he's really good. But then you don't see him for a while and you're like, is he better? Has He slipped? Is He, is he training hard? Like where is he at? Like you don't know until you see him again. And then when I saw him in that second Aldo fight him like, Jesus, he's so much better than he was before he, he yelled at the end of the first round, he looked over at us and he goes, demands tired. Like at the end of the first round, I was like, Jesus, he was in and all though was throwing bricks at him.

Speaker 4:          00:07:22       He was really throwing hard in that first round to try to like establish some distance at all. He hit him with some shots, but he, I mean, he had his heartbeat and rock them. You know, Max lost. He's only lot, well in the UFC, he lost to Dennis Bermudez caught somewhere early in his career. He lost it. Connor, I think he only has two or three losses in his career. Three there. Three losses. Who are they to does it say and Dustin, Dustin, Dustin, Dustin, one 2012 oh, okay, good. I love watching him fight that fight against catchy. I was, I watched it live. That was, whew. That was crazy. He's a good, I thought that was kind of going how, how that was going to go. He's going to outbox and he was down some good combos. Justin's leg kicks are a motherfucker, but he takes too many shots.

Speaker 4:          00:08:09       He's just, he's so intent on breaking people and just keeping that pressure on you that, I mean, he's a fucking really good wrestler and you never see any of it. And his fights, I think he posted something that he's going to kind of switch up to say that. Yeah, I think he did. But then he also said he might only have five more fights left if he keeps fights that way. Yeah. I mean he's just, he's just fucking chaos. It's just, he's a Berserker, but it's so fun to watch him. It's like you don't want to say anything to, I'm pure entertainment. No, I mean, fuck yeah, he's the Eddie Alvarez fight and the Dustin Poirier fight, but they're so similar in a way that he like almost gets the guy with his leg kicks hall. Most breaks him with those leg kicks and then he got caught. But it worked in the Michael Johnson fight. So it's like when you see it in the Michael Johnson fight, when you see like Johnson's leg just starting to give out.

Speaker 2:          00:08:59       We watched Luis Watch file fight, Luis Palomino in a elephant with another fe. It was a world series. We watched that. He's gnarly to watch live and he kicks low from real close man. Generates a lot of power. Yeah. He's like, he literally tying up with you and he's chopping down with low kicks. He's got real loose hips with that, you know, he's able to really bend his body and chopped down. Nice, tight high garden. Wait, let me come in. He fucks people's legs up, man. He does Telford Shit. It's crazy when you see guys like that, like when they start to get beat, you wonder if they're going to start, use those losses as informative or demoralizing. Start to define themselves and then start questioning themselves. That's why with sugar in training and in a fight, even in training, like he'll find the toughest guys to go with and he won't go with those guys and be like, oh, they're better than me.

Speaker 2:          00:09:46       And started to find himself. We'll just use it as informative and learn from it. So it's like, it's another good mentality. He's has super positive, good mentality and I think a lot of that comes from eating good and having the right rest. And hydrating and eating good year round, not just eating good during a fight camps and blowing up. And I think that's a lot to do with it for sure. Even the lifestyle, just eating healthy, like you said, all year round, not just getting healthy for six weeks and then eating like shit after getting injured. Once I really started learning about eating healthy, a ton of small little injuries went away. My back would hurt every morning cause that what you're doing wrong before like what were you eating? Pop tarts, sugar can just anything shitty. I don't know. Hot pockets, top ramen and any, all that stuff that was just raised eating and all.

