Speaker 1:          00:00:08       The joe rogan experience. Joe Rogan podcast by night. All Day.

Speaker 2:          00:00:15       Yeah. Back for round two. Ladies and gentlemen, we're here with Randall Park. Wait, none. Eddie Wong, he's stuck in traffic coming over to Panga. Probably Dodge and hippies. You ever take that ride over to Panga? Oh yeah. Pass by those fucking weird organic people. I pass by a guy with a sign. A lot of, a lot of hemp. I know a lot of beads. Let a dirty feet a pass by a guy who had a sign that said Vegan Gardner. Like what does that mean? Like what? No, it wasn't Vegan Gardener. It was Vegan landscaping. That's what it was. I was like, what the fuck does that even mean? I just wanted to hit him. Just want to fucking have bears chase him or something. Son of a bitch ran a park. Ladies and gentleman happened and yeah. Good to see you brother. Good to see you, man. Thanks for coming on here.

Speaker 2:          00:01:01       I appreciate it. Yeah, sure. You are in the middle of the, one of the most controversial movies in the history of the world. Yeah. Yeah. You are. You play? I play Kim Jong owner. Yeah, in the interview, which is fucking crazy, man. I didn't think it was crazy when I signed on I realized it was crazy. You know, in the midst of all that, what is the verdict? Because they say that it's not, it's not North Korea. Someone was saying it was an insider at Sony. They had it. They had it narrowed down to a woman who hacked it. Right. That you know, I don't know. I don't know. Cause after they came out with that, the FBI came out and said, no, it is North Korea. We have a lot of information that we haven't released but it is trust us. But then you know the, the private kind of security experts still think it's not North Korea.

Speaker 2:          00:01:54       I would almost always go with private security experts over the FBI. Almost always I am. I kind of feel like most people now what also, which is kind of sad, that's sad for the FBI, but I think most people are questioning it. W W would you be willing to go over there ever one I ever do. You mean like, do you mean North Korea specifically? Do you mean Oh yes, very specific. No, not go over there. I would never go with it. Especially if you went over there under the guidance of Dennis Rodman. No, no. I, I would say I wouldn't go near Dennis Rod in America. I would not go near him, but I would not go near North Korea at all. I mean, if the regime topples and changes and uh, you know, I don't know 20 years from now, what's the likelihood of that though? I don't know. I don't, I don't think it's fine. I think it's possible, but in our lifetimes I think, but uh, yeah, that's the only way I'd, well, we were talking

Speaker 3:          00:03:00       about this before the podcast started there. They exchange flashdrives yeah. Back and forth to each other.

Speaker 4:          00:03:06       Yeah. Like in the eye, a huge part of the underground economy there is, is basically these flash drives with, with South Korean TV shows, movies, American movies, you know, just glimpses into the outside world that they're not supposed to see. It's a huge underground market. So I think the people there, especially the younger people that they know what's going on, you know, and if they get caught, not only they fucked. Yeah. Well this is what I read and I don't know how it is now. It might be even worse now for all I know. But yeah, if they get caught, they go to a labor camp for, I don't know how long that, it's like a three generational thing. There they are, kids go to a labor camp there and their parents will go. Like the whole family ends up being punished for their action, which is wild.
