Speaker 1:          00:00:02       Okay,

Speaker 2:          00:00:04       yes, yeah, yeah. Natasha, put your phone because you're trying, but the struggle was real. I wasn't sure it's not coming up. There it goes. This interface. It's very hard. It's very hard. Um, are you guys worried that by calling your tour endless honeymoon, you might put the jinx on it? Sorta like how rob and black China and doing a reality show. A jinx on what our marriage or the tour. We can pivot. We can pivot into the endless divorce tour very quickly, right? Because you guys will be friends. Even if you miss, you hit the rocks strictly homeys tour.

Speaker 3:          00:00:44       Well, the way we thought of it as we're in Newport, Rhode Island, we learned about this rich couple who went on a 10 year honeymoon and then they came back with four kids and I just thought that sounded so romantic to be so rich that you dislike. Went away for a decade.

Speaker 2:          00:00:56       Yeah. You have kids on the fly. You Go away, newlyweds, you come back. Grandparents. That's super bowl too. Like they don't even know their doctor. They're in fucking Sweden. There are rich people. Those people were so richmond. Do you know about the newport that the seat of wealth? That was newport, Rhode Island. Oh yeah. I used to do a lot of gigs in Rhode Island. There's Caesar's insane mansions. They're the in the,

Speaker 3:          00:01:19       well in the gilded age, 1900. Basically 90 percent of the wealth in America was in Rhode Island and then everyone else was living in squalor.

Speaker 2:          00:01:28       They hadn't established personal income tax yet. It was like the years right before personal income tax had been established in this country.

Speaker 3:          00:01:37       So people had like 35 indoor servants, 55 outdoor servants like you could. People would come from Australia and boats and you would just make them your. It was like slavery, but

Speaker 2:          00:01:47       the show, the endless listen to mature. We do an extended lecture on personal income tax and the history and slavery. Yeah, no. Nice.

Speaker 3:          00:01:55       So another period is based on that. That's how we know about it,

Speaker 2:          00:01:58       but yeah, they were like these people. It was the carnegies and the rockefellers and these like seat of power, like Illuminati old.

Speaker 3:          00:02:05       You had a billion dollars a hundred years ago. Like these people or they were just. But now we've come full circle and people have figured out how to legally steal money and not paying income tax. So but not that many. I mean the other thing, but don't like the Romney's of the world. Don't they know how to not pay or are you talking about? Well like the like politicians don't. They kind of know how to.

Speaker 2:          00:02:27       You're talking about. She's talking about big old corporate oligarchy billionaire people figured out any super rich people are going to try really hard to hold onto their money and pay as little taxes as possible and form llcs and corporations that don't kind of jazz. But it is funny. The comedians are like mostly super liberal and they were all like, man, we got Bernie and we gotta like pay these high tax rates and anyway I'm incorporated on my llc name is. Sounds like you're doing a corporate fiction too. Differ

Speaker 3:          00:02:56       for entertainers, but here's the problem. Like where's the going? Like I'd

Speaker 2:          00:03:00       be willing to give away more money and tax dollars if I knew that it was a rock solid establishment. They really knew what to do. And if you could pick, if you could tick like little feel, a little bubbles, like, oh, I like most of my money to go to education. No, nothing to. Nothing to that. That'd be amazing. Would be. But the country be fucked. Yeah. The roads to fall apart quicker. Everything would fall apart. You know, cops would be out of business. Well no, because half of the country at least would be like all my money. The cops, all my mother did defense. I would love to see. I would love to. I don't, I wouldn't love to do it because I just don't think that that amount of power should be in people's hands without a lot of research first. You know, I think that's big part of the problem. Even running for president and voting for president, you don't have to have any research done before you choose a candidate. You just like them. And also you don't have to have done any research to be the president.

Speaker 2:          00:03:53       I guess I'm a hillary person. Yeah. Yeah. You can become a hillary person just because you didn't want to reality show contestant or whatever the fuck you was. What? That's the crazy thing about, and I. I do think, I think we're talking about this last time. I do think trump, if he's doing anything good for American society, he's pointing out how ridiculous and arbitrary the worship of the American president is. Oh yeah. That's not presidential. Presidential means that you look dignified while you bomb a village in Yemen, like we should just destroy presidential. As an idea of adult said that he called it the uniquely American religion of President Worship President worship. Yeah. That is really. I mean it's really just a new version of King's. Oh, that's so funny that our whole foundation mythology is based on the rejection of the king and we immediately established king kingship, which is what they did in.

Speaker 2:          00:04:45       In Christianity. I think of Christianity this way, like it's based in this Judaic religion that says, let's get rid of the idea of a man that you worship or a figure or a God that you bow in front of them. There's one right in front of us, right? Let's get rid of a statue that you bow down in front of and the next religion was like, oh, let's watch a human being like, it's so weird that it's so in us. Well, it's Alpha male chimpanzee stuff. We always try to look to the number one though, the one that knows the most, the oldest with the most scars. It's gone to the battle as the most wisdom lead us because you want to know which snakes are poisonous and what plants you can eat and what's going to kill you. Right. And and, and everybody worships the past. That's what's so funny to me about an American. It's the day after July fourth and everybody talks about the founding fathers is like, those were dudes who had the education of it. There were brilliant people in the 18 hundreds and 17 hundreds, but I'm not like trying to. I'm not trying to go to a doctor from the founding fathers days. Yeah. People price dunk people probably did probably stank. It probably just would let people smelled like back then, like if you call it a gal after a bath, you were psyched.

Speaker 2:          00:05:58       Bath is that. Let's be honest about what a bath is. It's asshole and vagina soup. You're sitting in a big teapot, but you don't buy your balls in there. It's just the vessels in women put their vaginas in. Men they have. They hold up their assholes, their dicks and balls, so they don't concern me what a guy smells like, but what a girl smells like, concerns me, but maybe it wouldn't have back then. Maybe it wouldn't have. Yeah. Maybe just your standards change. I mean, if you're horny enough, you don't care. That is true. I'll never forget this passage always, but you're an incredibly horny person because my wife. Let me just say, guys, my wife is so horny. I love that word. How you did it in a sort of a gay. Why don't listen to funny that like being more mobile is gay is gay.

Speaker 2:          00:06:49       If you just start going like this, people go as gay as fuck. There's A. There's a story about Tom Cruise. We heard this, that he came to, I can't remember who it was, some comedy person who's like a normal human being, right? Like, but famous but not like Tom Cruise fairness. Right. Tom Cruise, like connected with that person. I can't make it a better story if I remember who it was. But if somebody like that, like your level or or, or, or like a mark duplass or. You know what I'm saying? Like I don't know who mark says, well he's the guy at your level. No, no, no. Is the duplass Jamie knows who everybody is. I don't know who the duplass brothers there. They made the show togetherness on Hbo. My point isn't about the duplass brothers is like, they were just like semi famous. Not like Tom Cruise cruise got so horny she wants to get to the fire.

