Speaker 1:          00:00:03       Five four, three, two, one.

Speaker 2:          00:00:07       Boom. And we're live. Peter Schiff. How are you sir? I am good. I am good. Thanks for having me back. Thanks for coming back. Yeah, it's been three years. It has been a while. You've grown a lot. I'm so impressed with what's happened to your podcast, your popularity. Thanks man. Thank you. Hopefully a little of that trickles down to me. I'm sure it will. You look good dude. You look healthy. You look at vibrant. Well, you know, I got a little bit of a beard going. I've been living in Puerto Rico. We were talking about that off air. Tell me about that. Like what, what prompted that decision? Well, you know, I live in Connecticut and unlike southern California where you are fortunate enough to still live, I lived here for a long time, years and years ago. But uh, we have, uh, seasons and uh, one of them is winter and it tends to be very long and it normally Kinda, you know, kinda moves into the fall and the spring a bit.

Speaker 2:          00:00:55       And so I had been thinking for years about kind of splitting my time between Florida and Connecticut because I Love New England in the summer. It's beautiful this time of year. Yeah. And I like the beginning of fall, you know, with the leaves are still on the trees and it's not that cold and it's pretty. And you know, spring is nice too. So, but yeah, I can forget all the winter. So I was going to move to Florida until I found out about Puerto Rico. And I found out about this actually because I read an article interviewing John Paulson and Halston was John Paul, John Paulson, billionaire hedge fund guy made a lot more money than me shorting subprime. I did the same trade. I just didn't make as much money as he did, uh, because I didn't start out with nearly as much money, but in any event, but, but, but he made a lot of money shorting subprime and he's a hedge fund guy.

Speaker 2:          00:01:40       And, um, he was investing down in Puerto Rico and I was like, well, what's he doing? What's, what's going on down there? And I found out, and I had never known this, that Puerto Rico as a US territory, Americans who live in Puerto Rico don't have to pay federal income taxes on the money they earn from Puerto Rico, which would include any of your capital gains on your investments. And I'm like, wait a minute. I mean all I have to do is move to Puerto Rico, don't have to pay any federal income taxes cause anybody can move there. You don't need a, a, a, you know, a work visa. You pick up and move there. It's just like moving to another state. Right. And so the minute you move there, you don't have to pay federal income taxes, but Puerto Rico has its own taxes. So you have to pay the Puerto Rico taxes instead.

Speaker 2:          00:02:22       And up until recently, I mean, Puerto Rico's income tax, I think tops out at 30% it's still cheaper than the u s and there's no state income tax. It's, that's all you've got, right? Is that the 30% but a few years ago, Puerto Rico got smart and they said, well, how do we attract businessmen, entrepreneurs to move to Puerto Rico if they're not already here? Well, let's just drop that income tax down. And so they basically created these two laws, act 29 22 and act 22 is for individuals. And it says, Hey, if you move to Puerto Rico, you have zero capital gains tax on any capital gains and you have zero on any interest in dividends that you earn locally. And then they passed another act, which is at 20 and they said, hey, if you open up a business here, you have a company, you're going to pay a 4% corporate tax to Puerto Rico, and then you can pass on all the profits in dividends to yourself, tax free, no tax in Puerto Rico, no tax in the United States.

Speaker 2:          00:03:20       And you know, that's, that's a great deal. That seems to be worth a tremendous amount of money. It is. I mean, it depends on, but you effectively double your income by moving there practically. So, because you're not, you know, you're not splitting your income with the government. Right. Right. And, and, and, and so I checked it out when I heard out about front, heard about, because first it's like Puerto Rico. Do I, you know, do I really want to live there? And you know, I'm thinking west side story. I don't know. But, um, you know, it's beautiful. I mean, I live in a town called Dorado beach. Ah, and you know, it's just, it's very, very nice. The, the, uh, the weather and just the tropical location and there's a lot of good people there. A lot of people have been moving there. Obviously I'm not the first person to take advantage of this.

Speaker 2:          00:04:04       And so there are a lot of people that have come from California to get out of, you know, California taxes or the northeast, the Midwest, you know, plus when you come from the Midwest or the northeast, you also, you know, help yourself get out of the cold weather, California. It's pretty much all a tax thing. I mean, no one's leaving southern California, uh, other than really the taxes because you got such great weather here. Um, but I, I, we enjoy living there. My wife enjoys it. She's met a lot of people. I've met a lot of people. And you know, the crazy thing is, you know, you have this movement now in Puerto Rico where they want to become a state, which is ridiculous because if they became a state, all the problems they have would be that much worse because Puerto Rico is in trouble today, despite the fact that you don't have to pay federal income taxes there.

Speaker 2:          00:04:48       I mean, that what happened was the Puerto Rican government is, which was very socialist. They borrowed a lot of money and they, you know, they, they spend a lot of money to get elected. And uh, you know, a lot of people in Puerto Rico work for the government and a lot of people are on welfare, food stamps and stuff like that. But big government is what destroyed the Puerto Rican economy. And they, and they borrowed a lot of money. But if on top of that, Puerto Rican residents that actually had jobs had to pay the federal income tax, you know, it's not just the federal income tax doesn't apply down there. It's the obamacare tax. You know, people wanted obamacare repealed. If you move to Puerto Rico, you've repealed it for yourself because the taxes don't apply down there. They don't even have to pay the federal gas tax. So without all those taxes, they're still in trouble.

Speaker 2:          00:05:29       So can you imagine how much worse it would be if they had all these taxes? If all of a sudden the irs descended on, on Puerto Rico, like an infestation of, you know, mosquitoes and be worse than the Zika virus down there to have the irs. Uh, so, but you know, there's people, they've told a lot of people, hey, if we become a state, you'll get more welfare. Like, oh, so vote to become a state. But what Puerto Rico, the last thing they need is a more, more incentives to be on welfare. Right? They need freedom. They need less government. They need to default on a lot of this debt. And a lot of the people that own the bonds unfortunately have to lose some money. But I think that as more and more people move to Puerto Rico, I've got two businesses down there now. I'm hiring people, I'm renting space.

Speaker 2:          00:06:10       I bought a lot of property down there. You know, more and more people like me as people come to Puerto Rico, the economy's going to improve, it's going to get better. Uh, but if they become a state, they're going to destroy all that potential. They, they have to exploit the fact that Puerto Rico can offer such a great advantage to a businessman. Somebody he wants to create a company, employee, people provide goods and services. They can do it in Puerto Rico. I know on a, on a much favorable, uh, basis relative to anywhere in the continental United States. So this is a recent thing for you. How long have you been down there for? Well, I moved by asset management company. So I have a company called Euro Pacific asset management. And I moved that company from southern California. I was based in Newport beach with that business and I moved to San Juan I think in 2013 and then I moved to Toronto.

