Speaker 1:          00:00:02       Good.

Speaker 2:          00:00:04       Four, three, two, one.

Speaker 2:          00:00:10       Live Brian Red Ban. Feeling Buddy. Great. Feeling it in here. Angry. Alright. Sore. But I got it. I love this new studio. It's so amazing. It's crazy how much stuff you're going to have in here. It's going to be bad ass. Yeah, we're working on it. We're making it happen. Before we do this, I have to apologize. I have to apologize for something I said last week, last Tuesday in passing, we were watching a corey feldman clip and uh, corey feldman was doing this crazy dance and Greg Fitzsimmons was in and Corey Feldman had some little tight jacket and it's just weird song he was saying and I said that jacket was wearing that jacket when he was young and he got diddled his. I was trying to make Greg left, right? You're trying to say fucked up things to make comedians laugh, which is what we do and we get together.

Speaker 2:          00:01:02       We say the most heinous shit, but I felt terrible after somebody pointed it out. Like I didn't even remember saying it. Some pointed out. And then Saturday I watched it and I felt so terrible because the especially like out of context, like it's just me laughing about him getting detailed. Right. And it just, it's horrible. Anything that's taken out of context, like that's going to make you feel weird if you don't see that, but there's no excuse like what it is. It was, you swing it a lot of pitches when you do an live podcasts and sometimes you hit yourself in the Dick with a bat. And that's what I did. It was, it was totally wrong. It wasn't, it wasn't funny. I took a swing at it was, it was the wrong thing to do. It was what the best way to describe it is.

Speaker 2:          00:01:51       It was thoughtless because I didn't really didn't think I was just trying to say something fucked up to make greg lap. I wasn't thinking like this is a real person. And I've watched him the other day in a movie man. I saw him in Gremlins. I was watching gremlins with my kids after. Actually we did the podcast before. I watched the clip though, because I didn't, I hadn't seen, you know, I do it and then I'm done with it, but I didn't think about it. I said, you know, first of all, he was doing the Michael Jackson thing, you know, he wears a Michael Jackson jacket and dance like Michael Jackson. He didn't. He said Michael Jackson didn't even do anything to them, so it didn't even make sense. It was just a stupid line to say, but I felt terrible. I couldn't sleep Saturday night. I felt really bad.

Speaker 2:          00:02:33       I felt really bad. I felt bad for a bunch of reasons. One, I felt bad because it's a mean thing to say and I didn't. I didn't mean it to be. Even though it was just, I was just trying to be funny. You know patrice o Neal said something once when he was defending opie and Anthony, he was saying, when someone says something really funny or the same person says something really fucked up, it all comes from the same place. Like they're trying to do the same thing. They just miss you know. But that was without a doubt, the worst miss, the most embarrassing to me. I'm the most depressing the most. Uh, what's the best way to describe it? Just so disappointed that I did that because he is a, he was a kid, you know, I don't even think he actually got molested.

Speaker 2:          00:03:23       I think he was actually saying that Corey Haim got molested and he didn't. Well, that would make sense where I, Corey Haim did so much drugs, you know, if he did get molested. But. Well, I started looking into this shit more and more recently like Hollywood molestation with children. It's, it's no joke, man, like just as. It's no joke with sexual harassment and assault with women. When you see me, this Harvey Weinstein thing and these other directors now are getting in trouble for the same thing. The same kind of shit happened to a lot of kids that were involved in, in these child movies. You don't think about that when you're just trying to crack a joke. And I just want everybody know if, if you were disappointed, there's no. If you were disappointed in me, there's no way. You were more disappointed in me than I am disappointed in me.

Speaker 2:          00:04:09       I didn't sleep Saturday. I had a hard time sleeping last night. I felt bad about it all day. I felt terrible and I went to underwood farms. You know what an underwear ad farms is a great family. Time. Had a good time with the kids. You know, we're picking out pumpkin's and doing all this stuff, but the entire time I was there there's like this blanket of like, how did I say that? Why did I say that? Like sometimes you'll say something fucked up and then after you did it, like you can't believe you said it like it. Especially when we're doing this live. Right. If you and me were just out at a diner, we would probably say that and laugh to each other because no one's getting hurt by it. We're just making each other laugh and we do that all the time. Right. We say started shit to each other all the time, but when other people hear it and then the guy hears it, like of course you heard it.

Speaker 2:          00:04:58       Like that's just wrong, you know, I didn't mean to have that impact and I didn't think about it. It was very thoughtless, so I was extremely disappointed myself. But what's interesting about it, trying to look at it from a different perspective, trying to like examine it, like the feeling of doing something that you shouldn't have done that might have hurt someone's feelings because you were senseless and thoughtless. That feeling is a terrible feeling and it's, it's weird. Like it overcomes your whole day. Like, no, I don't think anybody knew because I was still having fun with the family and everybody was laughing. We did a lot of kid stuff. But at the end of the day that was with me all day. I mean, it was just, it was like a fucking wet blanket that I was carrying with me, like a depression blanket. And um, there's no, uh, there's no other way to put it.

Speaker 2:          00:05:57       Then you know that I'm sorry and then I shouldn't have done it. But what I was thinking while it was all happening, I was like this feeling of letting a bunch of people down and hurting someone's feeling, doing something in a mass way, like on the Internet. This is a new feeling like before you could, people could be upset at you, maybe someone you know or people you work with and it's a bad feeling. But this is a different kind of bad feeling. It's an intensified bad feeling. Especially like the way I did it because it's so stupid. And I would think that at this age I'm 50. I would see like a don saying stupid shit. Obviously I'm not, you know, I'm, I'm not done. Like that's the fucked up thing about being a person. It requires constant diligence. Like you have to constantly pay attention to your thinking.

Speaker 2:          00:06:45       You have to constantly pay attention to the way you behave and who you are. You can't just go off the cuff. And the other thing, it's making me think of, you know, doing this sober October thing. And um, obviously I love pot and uh, I've always loved pot and I've been a regular pot smoker for 20 years, but what, there is a difference in my personality when I'm not smoking pot, grumpy, uh, more, more tense, less kind and I have to like catch myself before I get upset about things. Whereas when I'm high or if I even then I'm not, if I'm, if I'm not even if I'm high, but if I'm just smoking on a regular basis, I'm way more mellow, way more relaxed about things and way more. Um, I guess the right word is humble. It's not like I'm cocky when I'm sober, but I'm like really aware, much more aware of gratitude.

Speaker 2:          00:07:42       And Fortunately I'm lucky and appreciative of my friends. I want to hug people more. Like pod has a lot of, for me from my fucked up brain has a lot of really positive effects as a lot of really positive personality effects. But I think I might be downplaying my dependence on it. Like I think that might've been going like that's nothing. I'll just fucking quit pot. It's nothing man. I don't know about all that. Um, my dreams. Here's another thing. You remember him, dude, I don't remember them. They're fucking crazy. They're all wolves and bears and drowning and falling off buildings and, and fucking lava coming at you. It's all primal shit. Wow. It's weird, man. I'm having all these, uh, these Predator dreams. It's, it's very strange. Like, um, I had these dreams, these, these cart almost cartoon wolves at these giant feet and they will like running through the woods and uh, somehow or another trying to get away from them.

Speaker 2:          00:08:40       I had a dream that I was for some reason I was crawling through some fucking cave and there was an enormous bear inside this cave and it was looking at me and I was like, I gotta get the fuck out of here. And it was like trying to figure out whether or not the bear was going to come after me, but I mean super vivid. I don't, I don't remember my dreams when I was getting high and last I took the Alpha brain before I went to sleep. That, that will fucking spark you up some crazy lucid dreams. But other than that, I would just sleep good. I never had a problem sleeping. I'd get up in the morning and I'd be fine. But there is a, there is a big difference between me when I'm using pot and me when I'm not using. I'm noticing the same thing with Ari and those are. He gets a little more intense about things, a little more upset about things. He's fucking gets really mad at people on comments. He fucking fights with people online. They call them a Welsh fuck you. I'm not a wheelchair. He's like super intense.

Speaker 3:          00:09:39       Have you ever switched in it? They. Have you done anything more since you've done this? Like are you drinking more coffee everyday, are you?

Speaker 2:          00:09:44       No. Well I'm doing so much goddamn yoga that because we have this hot yoga challenge and the hot yoga challenges, you have to do 15 in a month. Well my dumb ass did one the first week and two the second week. So yeah, so I've been on a rampage where, um, I've done eight straight days of yoga in a row as of today. Wow. Yeah. And I have four more to go. Um, so the Thomas biggest problem. Tom? A week? Yeah. Black Ford to do though. I mean I have until next Tuesday so I could kill it on, on Thanksgiving. The 31st could be my last one, but I'm not going to do that. I'm banging them all out this week. We're doing it together for the first time. Ari? Tom Burton. I would do it together. I don't want to say where. And I don't want to say when, because I don't want you fucking freak showing up, but we're going to do it together one day this week.

Speaker 3:          00:10:34       You also, that's what Tom's biggest problem is. It's just he's so busy trying to fit in you, you, you kind of do a 90 minute hot yoga, which I thought was insane because they've never done it.

Speaker 2:          00:10:43       Right, right. Every 90 minutes is a long time. Well, I do it every week, but I usually only do it once or twice a week. And now I've done eight fucking days in a row as of today. It's rough. I'm shredded though. Son. Ken Shredded my bobby. I'm burning off so many fucking calories. I actually had blood work done today, so I'm very interested to see what my mineral levels are live because I'm sweating out so much and I'm not really supplementing minerals that much. I might have to do that. I do that on a regular basis, like every three months I get blood work done. The sealer where my nutrient levels are.

Speaker 3:          00:11:16       I just found this company, I don't know if you've heard of it. I think it's called like simply well and it's like they have all these DNA tests that you can do, so I ordered the testosterone test, but they also have our gi tests. They have all these tests and they send it to you. You spit in a vial, it takes some hair or something like that. And then it's kind of like 24 and me. What words? Like the DNA testing, but they have it for everything. Vitamin D deficiencies and. And you could have it like on a subscription where you get it done every. They send you a new kit every three months to see if it's changed. Nice. A testosterone. That's what I got. I just got it yesterday. Huh? Um,

Speaker 2:          00:11:46       so to get off this corey feldman thing, just the end of the day, I just want to say that, uh, that I'm sorry, and if I disappointed anybody, I'm sorry to it. Just when you, you know, comedians try to say fucked up things to each other and I was talking to Colin Quinn about this the other night. Collin was at the comedy store and I told Carl and I were talking. I go, man, I miss tough crowd. He goes, oh, I miss it so much. He goes, but you know what? We could never fucking do it today. He goes, [inaudible]. Think of the things that Patrice and nick depaulo would say to each other. He's like, if you did that today, people would have riots. They would be protesting. They would, they would try to have the show shut down. Comedy central would freak out. People get fired. I was like, you probably right. But that was like the best show ever on comedy set next to the Chappelle show. No, next to South Park. Okay. South Park number one, Chappelle show, number two, tough crowd number three in my opinion.

Speaker 3:          00:12:34       South Park still go in for it. They, they, they don't give even the video. Fuck. They have this new video game. It's called butt hole fractured, but whole fractured saw that I saw that, but it's a, there's like a part where you're like these little boys and you're dressed up as strippers and you're in a strip club getting lapped at. You're doing lap dances for guy, so you're on a guy's junk and rude. It's such a good kid.

Speaker 2:          00:12:55       So, so anyway, these moments where you fuck up these terrible feelings, like this is how I'm looking at it. I wish I could take it back, but I can't. Right? There's nothing you can do. And if people are mad at me now because of that, you're right. You know, I don't, I'm not trying to make any excuses for myself. I shouldn't have said it. But when you do have these moments where you fuck up and you feel terrible, there are an amazing opportunity to grow. You know? And I think people need to look at stuff like that this way, or at least I've been looking at stuff this way for the last like 10 years or so. And it's made a big impact in my life because I think regular change happens in like a regular change and growth happens in like a grinding slow sort of progress or progression.

Speaker 2:          00:13:42       But when you, when something fucked up happens, when you do something fucked up and you get that terrible feeling, you have this opportunity for these leaps of understanding and these bad feelings that happen. They're just, it's a big alarm to let you know. And one of the things that I was thinking about is that human beings now, the way we interact with each other, like there's this, there's a lot of pressure now on people because it's all this call out culture. You know, people are getting mad that people are doing dumb shit. Like white girls wearing braids, you know, cultural appropriation that going after, you know, white guys wearing dreadlocks and people are mad that people are dressing up like Geishas and they're calling them out there. There's a lot of silliness to all this shit, but what's interesting about it is everyone is expressing their displeasure and pleasure of things there.

Speaker 2:          00:14:32       They're expressing their anger with things and their happiness with things at a level we've never seen before. And I think people that experienced this like if it makes sense. Like it's one thing if somebody gets mad at you for something like, you know, you shouldn't be wearing that blue hat man. You know, I'm in the crips and you know, we, we only support red hats or is it the bloods? I don't even know. I think the bloods, the crips or blue, right. If someone gets mad at you for something that doesn't make any sense that stupid, but if someone gets mad at you for poking fun at someone being molested, that that bad feeling is valid. Right. And I think these bad feelings that like Donald Trump must feel 24 slash seven, like there is probably. I mean part of it. I think part of the reason why he so angry at people and bitter and barking and fake news.

Speaker 2:          00:15:24       I think he feels like shit all day long because you know, this guy checks his twitter, you know, he does check, he reads his company, he's a fucking ego maniac, right? So he's paying attention to new shows to talk shit about him. He's paying attention to late night comedians that make jokes about him. He's paying attention to center. He can't help himself. He's constantly commenting on it and he hears all these people laughing at him and mocking him and he uses all these people that think he's a terrible person. I read his twitter when he'll put up a comment, he'll put up something on twitter and then I'll read the comments under it. It's like, Holy Shit. People just go hard at him. You know that motherfucker reads that stuff, you know? He does and he's also involved in a lawsuit, several lawsuits now where he's blocked people on twitter and they're questioning the constitutionality of someone being able to block someone from commenting whether the president of the United States.

Speaker 2:          00:16:16       I mean this is a new way to communicate. You don't want to hear what people have to say because it's negative. Well that's, you know, we're not, we're so people are questioning this in court, but I think that that feeling that's hitting this guy, he might be too old for it and he might not be ready for it in his he. So he's got so many things wrong with them to begin with. You know, with his, the way he treats the world and his, his ego and the way he's the, the, the non presidential and non statesmen like behavior that people thought was cute when he was running for office and the LLC is a giant problem when he's threatening war with nuclear weapons, with Korea and shit like that. But this thing is a new thing. Is this, this swarm of bad feeling and in return, good feeling when something good happens is a new thing and I think that it's going to shape the way human beings interact with each other in a really radical way. Because I don't think it's ever existed like this before. It hasn't

Speaker 3:          00:17:14       really has and if you, if you look at it is if it's a good thing or a bad thing. Like, I forget what I was listening to the other day where when you were a kid, uh, you used to just go outside, say bye mom, and then come back at night, you know, when it's time for dinner, eat dinner, then you go play some video games, go to bed now it's like the communication between your mom and stuff like that is so much more intense. Constant. It's constant all day long. It's like if you're not there, you're getting texted by your daughter's son and it's like constant communication where it's more parenting. So that's good.

Speaker 2:          00:17:44       Do you facetime with people all the time? Yeah. Yeah. Yeah. I mean remember when we were a kid that was some jets and shit. Yeah.

Speaker 4:          00:17:50       I heard George Jetson do it on your phone. I do a phone call. I was talking to my on my phone the other day and I'm like, I am doing Dick Tracy right now, but better than Dick Tracy. Right. Dick Tracy's was bullshit to answer my. I was in the steam room the other day and my phone and I was like, ah, I can answer it. Yeah. Hey, what's up? Because it actually has a cell phone chip. Yeah. This guy was at my door. I was like, just go in. I'm not there, but just go in and pop out of the bushes. Shaking your hand. Right. She's got the moon apartment building that make yourself comfortable. Come on in some of my package. Oh, you can take the concept or coming at Fedex. Guy should be here soon together. Take pictures of you too. I like Brown and I like to Fedex Elf. It's cool too. We don't fuck around with DHL. Got a disease last time. Oh Dhl on track to Dhl was like the RC Cola of delivery services.

Speaker 4:          00:18:48       Totally is RC Cola. Like if someone said, hey, do you want to own RC Cola? You'd be like, yeah, fuck yeah, it's a lot of money, but you know, it ain't Pepsi, which is. There's got to be some people out there that look huge RC Cola fans that have like RC Cola tee shirts on shit has got to be dialed. RC Cola. Super underrated. That diet. Right? What are, what are all these obscure ones like Figo Wu Tang, au fait with Mr Pitts. CP CP that. What's that bad ass root beer? IBC. IBC. That stuff is fucking fantastic. Yes. God. Damn. That stuff's good. I wish that she wasn't bad for you because God damn it. Taste delicious. That is the best fucking root beer on the planet that I've experienced. I've tried to not drink sodas much lately. That's my Arnold Palmer honor poem or somebody new thing like I go through. So like, that's like an old person thing, right? Arnold Palmer? I am. I get it. Like it's so funny. I get Arnold Palmer's now. I drink them all day long. It's like living delicious. Yeah. Little little lemon in there. Now let me ask you this. Um, because I don't think

Speaker 2:          00:19:56       that I would have ever done this many yoga. No, I wouldn't have done this many yogis. And I know I wouldn't have taken a month off weed and I know it would have taken a month off. Well, the mother booze. Not Hard. I mean, the only thing that I went the other day to a Mexican restaurant and I wanted a margarita so bad have to, we having, they had these delicious uh, um, there were rib eye tacos. I was like, oh, that looks good. They fucking with Habanero sauce on. I'm like, give me a fucking marguerite. Oh Shit. I can't have one. It really hurt me. He could have a fake Margarita. Nope. Can't have it. I wanted a beer too. I wanted a beer and a Margarita. Um, but that's not hard, but I would have never done this. Might take a week off or something like that. I would never have taken a month off if weren't doing this challenge.

Speaker 4:          00:20:41       What would you do? Like, what kind of challenge would you do? I tell you, hang in there and stick with it because a lot of people don't know, but you lost like 70 pounds once, over, like a short amount of time. You went crazy. Brian broke up with his girlfriend. Fiance. Yeah. Same thing. It's all semantics. Anyway. Broke up and said, you know what? What am I gonna do with this? Right. You got a picture of a all skinny. Look at the edge is Jesus Christ. Jesus is still not the guy on the left though. Boy, you got to 43 to 45 to one 63. Wow. Look how skinny legs. Lower righthand side. Dude, you're a cute little bitch. Little look at that. We'll get the phone. You're holding up. It's my job to look at that phone. Isn't that hilarious? That back then that phone was the shit.

Speaker 4:          00:21:34       And if you had that, now you would assume that you live in like assisted housing. I still have that phone to you. What do you do with it? Sits in a box in storage texts. Isis with a burner phone. But this. So you, you. So what did you lose? How much did you lose their two? 40th five to one 63. Jesus Christ. Dude. Eighty two pounds. Eighty two pounds. More than I thought I had lost. You lost a shitload of fucking weight, man. That's amazing. That's weightwatchers right there buddy. So you did it at one point in time. By the way, what the fuck is going on with your underwear line? Like where is it? Is it like, oh, I did that. The, if you did it, it's right above the peers. That's the Deq root. Look at the picture of you holding up the old pants.

Speaker 4:          00:22:15       Yeah, that's crazy. That's just crazy. And that wasn't even my biggest pants either. That's crazy. Well, okay. What would it take? What would, what, what would you be interested in doing? What kind of challenge? My challenge is I talk, I've been talking to Hinchcliffe about this and a few other people because one of the biggest things for a lot of us is smoking and it's cigarettes and uh, I've been trying to get like we had nine slash 11 last year. It was supposed to be nine slash 11. We had a month notice. All of us were supposed to click on nine slash 11. So we went and forget the date said, click, click, click, let it go. It comes out of your mind is so simple, so easy. You're so used to say, but then I was the only one that did it. I did it for two days and then everyone else didn't do it and they're all smoking when you're at the commissary and all your friends are smoking around you.

Speaker 4:          00:23:02       It's almost fucking. And Tony smokes a lot. Tony smokes a lot. A lot of people smoke a lot at the comedy store. So my whole thing was like, hey, let's, let's quit cigarettes and everyone seemed down on it. Then yesterday I was like, Hey, we still quitting next month cigarettes. And I was like, man. So you guys are going to do in November? Yeah. Yeah. I was going to try to quit and. Well listen, why don't. Why don't we set up a chair at least when I get back from Columbus, Ohio. I'll be there next month. Let's think of a challenge that you could do and who would you do it with? You need like Tony Hinchcliffe for sure. No sugar. This is, this is you for a month. No sugar, no booze, no cigarettes. He would lose 30 pounds just doing that without having cigarettes. I'd gained weight because cigarettes actually like, I think it's like your heartbeat and stuff.

Speaker 4:          00:23:49       Like when you quit cigarettes, you start munching more like on food. You use again, a lot of weight if you use it as an appetite suppressant. I use it for breakfast. Isn't it also, isn't it also a stimulant though? It's a stimulant. Um hmm. I definitely need to lose weight, but I also more importantly I want to quit cigarettes. Like the drinking I. that's easy. Like I quit drinking the other day for like four days and I smoked while. You mean I didn't train for four days. I smoked weed though instead next day I had, I was like, why do I have a hangover? It was a weed hangover. Like we'd hang on. Yeah. I didn't even realize that when you first start smoking weed used to have these. Like the next day you're like, man, I smoke so much weed. I feel like dumb or something like that.

Speaker 4:          00:24:35       The next morning I hadn't had. It had been wild because usually when I'm smoking I'm drinking. So I was blamed on the drinking. Like God damn, I feel like hungover. Well, I've never had a weed hangover. I don't think you're going to have one. When you start smoking, you're going to be a so fucking high. You're going to smoke half a joint and be like, oh, I want to be handled. I'm legitimately nervous, legitimately nervous about smoking pot again. But here's my real concern. I'm really wondering like, what is going on where I am dreaming so much more vividly without pot and is that a bad thing that I'm not dreaming when I'm smoking pot? Like am I somehow or another doing some damage? Yeah, I think so. I think, I think for sure that marijuana, if you smoke a lot of marijuana that you don't have as good a dreams.

Speaker 4:          00:25:20       I don't, I don't think you realize you are not a neuroscientist. Dr Brian, Dr Brian here, Dr Red Band. But what exactly do you think is what's causing the lack of dreams? Another thing you might have, you know, thc in your fat and so you're getting thc, you know, still, you know, burning off. Especially since you're doing yoga. It's probably like, you know, it's probably still fucking with you a little. I don't know, maybe I don't know, but I mean we got high before most of the podcasts with comedians. I got high before most comedy shows, so that's like three, four nights a week at least now I take a day or two off and it was nothing super easy to do. It was never a problem, but I never took a month off. So when I would take a day or two off, even if I go on vacation, right, if I went on vacation, I would take a week off people.

Speaker 4:          00:26:07       People were mocking me relentlessly online before I told everybody that I was taking the month off when they started doing all this. Pray for Joe People was going, Joe, uh, I don't, uh, in quotes, I don't smoke weed on vacation Rogan, like, that's not a problem. It's not a problem, but it, it was just like, you know, I'd be in Europe or something like that, you know, you can't get weed, don't bring it with you, you don't wanna go to jail. So just don't smoke weed. It was no problem. So I was like, I don't need pot. It's not an issue and I don't need it. Obviously I've gone through this whole month, but I'm really. I'm stunned at

Speaker 2:          00:26:44       the differences in the way I'm dreaming. Like stunned. Like I never expected it to be so extreme, so vivid every night I'm having fucking crazy dreams every night

Speaker 4:          00:26:56       and they're almost all primal. They're almost all like animals and waterfalls and fucking ocean and it's all a lot of falling, like a lot of like

Speaker 2:          00:27:08       balancing on shit. Like Ooh. It's interesting. Weird. I think I'm too busy. I've been thinking about that lately. I think I'm too busy. I think I do too much shit and I never thought that before. I never thought that. But you would think that like smoking pot would make you think you're too busy but not smoking pot. It makes me think I'm too busy. It makes me think that

Speaker 4:          00:27:30       you're probably thinking clear though in some ways. You know, your mind's not fogged with. Like, you know, you're overthinking about music instead of like life, you know? Yeah. Well, food does not taste as good. Tell you the food's way better when you're smoking. Weed is good. Movies aren't as good. Music doesn't sound as good.

Speaker 2:          00:27:49       I think the key to it is using it occasionally. I think that's the key. I think marijuana, like daily, Terence Mckenna talked about this many years ago and he was a, he was a daily smoker and one of the things that he was saying he was doing some sort of a lecture and he was saying that the correct way to do marijuana is to not do it for a long time and then do as much as you can stand and then just fucking hold on. And that's how he would do it. He would do, um, cannabis when he was doing it correctly, when he wasn't like a, an inveterate daily smoker. He would do it like a psychedelic who would do it in these big bursts where he would, you know, and he was recommending like that's the way to do it. And that people will think they know what cannabis is if they smoked cannabis on a regular basis. You don't really know like the way to really know what it is is to take a lot of time off

Speaker 4:          00:28:46       or obviously eat one of Joey's edibles. No, I don't do edit was anymore. That's one thing I quit completely. I don't fuck with edibles at all. I would like to see what happens with Joey. If he took a week off, a month off, joey would be violent. He would attack people. Yeah. It took a month off of edibles or whatever. Right. Did you ever give it up for lent choice about religious? Give it a full month dog. He's going to be here Friday by the way, folks. Oh yeah. Yeah. Um, but if he did take a month off, I mean he didn't take a month off weed though. I don't think it was smoking. I think it was just eating it. Yeah. He told me that once he told me he was, I can't do these fucking edibles anymore. The too much. Too Much Joe Rogan. I'm fuck it up. I'm taking too much. It's messing me up. The next time I saw him, next time I saw him, he was down and stars to death. Literally the next time I saw him, I go, how much? How many milligrams was 1:25 throwing down to slash 25 milligrams stars of death. I'm like, you are a monster. You saw the episode

Speaker 3:          00:29:41       where he passed out right on the microphone. Right? I can't even see. He's looking at life to be like slits like he's like barely crack in the page of a book. Like hilarious. I was listening to his latest episode. It's Felicia Michael. So who has a new movie that I'm in called pervs. Uh, where we went through this. When those strip things, we put the money in and the curtain comes up and there's a woman naked masturbating. Well, Felicia did this movie where she asked me to do. It's in north Hollywood, deep in north Hollywood where you shouldn't go and it's so great. You're eating this growth sections in north Hollywood. Growth in this curtain comes up and there's all these cameras. Just this woman. They're masturbating while asking me questions and it's so hard to answer when there's somebody doing that and you're just like, what kind of question?

