Speaker 1:          00:00:05       Okay,

Speaker 2:          00:00:05       boom. We're alive. That's it. Just like that. So thank you for doing this. Welcome. What's going on? Total pleasure. Nothing. Happy to be in La are you? I am always New York's could right now though. Right? It's good. It's like June ish. It's like an addictive relationship, but most of us would rather be in California. New York is, yeah, yeah, yeah. It's, um, you're a psychiatrist and um, I would think that there was ample work in New York, just the environment that New York provides people stacked on top of each other, like that beep, beep Hong Kong. Fuck you all that like, I would just assume all that stress leads to a lot of people with a, yeah, absolutely. It's like if you're a fisherman, you want to live near a river. Right? Right. And it's fetishized in New York too, to have a psychiatrist. It's sort of almost expected that you do.

Speaker 2:          00:00:56       So not only is there like ample supply and demand, but then it's, you know, it's a thing you're talking about. Yeah. Yeah. What, what's that about? Can you explain that? I think it's like, you know, Woody Allen level, right? Like sort of embracing your shadow and then there's something refreshing about it because we don't pretend to be okay. I mean we're deeply not okay in New York. Chronically bullied someone. Okay. Like in general anywhere. Is there a spot like, oh yeah, Seattle, they've got it nailed. I mean there's this term actually in the medical literature, believe it or not, called Paleo deficit disorder and it just refers to like how far have you strayed from the path in your lifestyle? Like basic stuff, greenspace movement, you know, sleep. And I would imagine that if you have more of those components intact, you're probably a bit more okay than if you're living, you know, right.

Speaker 2:          00:01:46       In midtown Manhattan, like Seattle in the summer to me is a really good place because it's so green and it's so pretty. And the ocean's right there. So you're getting some good air and then you're getting sun cause it's the summer. So you don't have to seasonal depression thing that goes on. I mean I imagine they're doing better. They're doing it, they've been there. You never know. I've heard it's like crazy beautiful. Yeah, it's awesome. It's awesome. But those winners, they get to you after the 30th day around and you're like, come on, this is stupid. Like how much water do you need? I'm like a big, big winter complainer and I have been my whole life. So I complain 10 months of the year of what it's like to live in the northeast. But recently I've been playing around with the idea that there's actually something cool about like, you know, sort of cyclical living. It's almost just like if you embrace it, then there's something just like everything did and miserable for a period of time and then it blooms. You're getting to experience like this rebirth and then it, you know, flourishes and then it dies again. But there's another perspective on that actually being, I don't know, like if you work with it, it's sorta like a woman who's on birth control

Speaker 3:          00:02:59       has no idea that there's any point to, uh, you know, a cycle of energy over the course of the month range. She sort of thinks is that, that's annoying. But there's a way you can wrap your mind around it where you work. Okay. So like if you're on birth control, you have no menstrual cycle, right? So you're just like, you're like a man, you're like a flat line the whole month. But there's actually something really empowering if you understand how to work with your energy shifts because naturally like a woman's natural men, I know this is really what you want to be talking about, right? It's salient to me. So I do want to hear like I figured this out, I'm 39 I was on birth control for 12 years, so I never knew what it was, what it meant to have like a menstrual cycle until very recently.

Speaker 3:          00:03:44       Cause then I had two kids breastfeeding. So a couple of decades into my life, I'm just figuring this out. But you have like totally different kinds of energy over the course of the month and you have to know how to work with that. So there's a kind of energy that you want to go out and socialize or you want to stay in and work or you want to sleep more or less. And if you don't know how to ride that, then you could be sort of taken off guard by it. But if you know how to work with it, it's so much more powerful than just having this like artificial hijacking of your endocrine system.
