Speaker 1:          00:00:00       Mm,

Speaker 2:          00:00:06       first of all, Mr Ventura, I'm a big fan, but I'm a bigger fan now that I know that you're pro fanny pack. This is huge for me. I've been trying to bring back the fanny pack for years. I've been nothing but ridicule James. I sent my way. I find that strange because I'm a huge fan. I care. I have one locked in my hotel right now in the safe. You know you gave because they give you them little safes in the room. Well I carry my passport in it. I carry the things that I need to travel. If I'm doing airline travel, my schedules, I carry two sets of reading glasses. I carry my sunglasses. What could be better than a fanny pack to carry all that sucker. I don't have the, you know, I tend to wear my pants a little tight and I can't put things in the pocket.

Speaker 2:          00:00:55       Things break when they get in the pocket. No, I'm a huge fanny pack advocate. I, I've warned them now for 20 years I've had them. Me Too. And now you have one of ours. Yup. Happy to take it. Thank you. Thank you. I'm honored. It's a superior carriers stuff and I'll put it to use. Thank you. Well, and I also, I've stated this in Minnesota, I have legit conceal and carry where I can carry a weapon. Right. Where do you think I carry it in your fanny pack? Well, they make fanny pack specifically that Velcro open instantaneously. They. They pop right open. Yep. Well if I'm, if I'm not wearing my shoulder holster, it's in my fanny pack. Do you mean how does that work? Do you. You're only allowed to conceal carry in Minnesota and if he goes state? No, no. Many of the states now are honoring the others.

Speaker 2:          00:01:44       I say you got to check though, but generally speaking, if you can shoot pretty much across the country now for most part, if you have a legitimate conceal and carry in your home state, the other states will likewise honor it, but you can't go to the airport with it. Right? Of course you can't do anything like that with a judith to be driving. That's one of those subjects were much like the subject of your book marijuana manifesto. It's one of those subjects where as soon as you bring up that subject, concealed carry, people just go, oh, well, it's interesting because it's, it's. I help shepherd the law through when I was governor in Minnesota because, uh, I was mayor of Brooklyn Park first and I went to my police chief to get conceal and carry and he denied me. I was the mayor. How could he deny it?

Speaker 2:          00:02:33       Because it was up to police chiefs. But why says he don't like it? Oh, we just didn't like it and you didn't like it. And so I sat back and thought, wait a minute, this is ridiculous. A police chief shouldn't have that power. It should be uniformally. Yeah. Shall issue if you're qualified. It shouldn't be left up to him because like in Minnesota, if you lived in northern Minnesota, the rural north, you could get a concealed carry, like nothing because the police chiefs up there didn't care. But if you live down in the cities, Ha, you couldn't get conceal and carry if you bribed them. That's interesting because there's a state law that's Washington wasn't. It was, but it was left up to the police chiefs, so if you went up, I went and changed that and made it universal across the state shall issue, but we required you had to go through an accredited gun training course.

Speaker 2:          00:03:30       You had to go to the range and shoot a minimum of 70. You had to have a complete background check done on you criminal background, everything, and in the case of a five point, oh, eight with alcohol, with driving, I made conceal and carry point zero, zero. Well those are good and if you're carrying your weapon, you are not under the influence of any alcohol. None. That's a. those are all excellent ideas and that's where we passed it. Now if you qualify for all that, it shall issue. What? So what do you stand with? The NRA has been. They pushed back and I understand why they push back against Gun. Any gun regulation, anything that comes up. Regulation in regards to background checks, regards to anything because they feel like ground lost is lost forever and ever. It is and it. And it is a.

Speaker 2:          00:04:25       where I feel is is that you, let me put it to you this way, life experiences. I was physically in the Philippines, Philippine islands. I was physically in the Philippines. The Day Ferdinand Marcos became a dictator who I was there now. I was in the US military on a US military base, so it didn't really affect us. I mean, we'd go into town and all that, but there was a. Then you had a soldier on every corner with a machine gun. When he did it. Well, here's what I'm getting to. He became a dictator and gave himself the power of the president, the Congress and the supreme court, complete dictatorship. The first thing he did as a dictator, he gave the people of the Philippines a 10 to 12 day grace period to turn in all guns, or it was the death penalty. Now, my question to the people who oppose gun rights are, are are anti guns. Why would a dictator make his first thing of business to disarm the public? Why would he make that as number one priority? And it's pretty obvious he doesn't want to. Alicia. Exactly. Yeah, and people fail to realize our second amendment is there for us to be able to defend ourself against our own government. That there it's not there for hunting and fishing. When they wrote the bill of rights, if you didn't hunt and fish, he didn't eat.

