Speaker 1:          00:00:00       We smoke weed,

Speaker 2:          00:00:04       we're elaborating. I asked should we smoke weed right when Jamie gave me the. The, the gun sign. What's up, brother? Good to see you, man. Yeah, you too, man. It's good to. It's good to be back. It's good to have you back. Yeah. This is warm time though in Toronto. Like you didn't really want to leave that, but you know what, but I kind of felt like today out here was almost the perfect weather anyways. Like not too oftentimes I'll come out here like I'm not a guy who needs to be in the heat, you know, I'm not one of these people when it snows or whatever. Like I'm complaining I can handle it. I feel like genetically I'm built for that environment where you're a Canadian. That's right. Canadian born and bred. They can deal with it. So yeah. So I'm not, I'm not, you know, I don't mind.

Speaker 2:          00:00:47       I don't mind a little bit of the little bit of the cold, but today, here in La, this is God's. Whether this is like, I think if every day could be exactly like this out here, there'd be a compelling argument, but it's those hot days getting into the car and burning. Am I? Am I fired up today? Am I fired up? This is coffee number three. All right. Blame, blame the caffeine. Did the argument. There's two arguments, right? There's the argument is if it's really cold out, you can always dress for the cold when you can't really dress for the warm. Yeah, right. Undressed, but you could freeze to death. It's super hard to heat up to death. Really fuck up to heat up to the desert, the desert, the desert and kill you. Pretty good to go to death valley. Yeah. Actually no dude that died like that.

Speaker 2:          00:01:33       Really? Yeah. He went on like a sort of a spiritual walk about and kind of a thing. This Guy Evan Tanner who was a UFC fighter, former middleweight champion to me. I've heard that. Yeah. He was into, uh, these, you know, these long periods of solitude and spiritual quests and he decided to go out into the desert and, you know, just try to find himself or whatever. I don't know exactly what his purpose was, but when you get out there and it gets to like 120 130 degrees, you, you get disoriented and he couldn't figure out where he put his water. Wow. Yeah. He couldn't find where his stuff was. Funny. How about that stuff in movies and whatnot. Cartoons, where every time somebody is in the desert, they're seeing a mirage. What is that about? Well, you can definitely hallucinate before you die. And do you think that that's what that's predicated on is an actual history of people having seen these oasis situations?

Speaker 2:          00:02:29       Well, you know what it is. You know how when you're driving on the road and the road is really hot, it looks like it's wet and it looks like there's water on the road right from the heatwave. Exactly. That illusion on the road can recreate itself, I'm sure in desert situations and it only makes sense. Right. And it's what you want to see. You're like, no, you're in rough shape. You create what you need to see. Can you manage? If you did your manager, if you like almost dying and you find water, he'd be like, yes.

Speaker 3:          00:03:00       I mean I think that's the. Those are the kinds of moments that make people really truly appreciate life. And I think that's one of the reasons why people in la are so fucking spoiled and ridiculous is because they don't experience real. Whether it gets a little warm and then the worst thing they have to do is turn the AC on, but they don't have to shovel their way out of snow. They don't have to drive on slippery roads, they don't have to. And there's a certain amount of community that comes with everybody sort of bonding together because it's a blizzard. Right? You remember those? Oh yeah, sure. You need experienced them all the time. Yeah. It's kind of a is the kind of situation I think where any time as a human being you kind of you have, you lose a little bit of control over a situation, whether it's the weather or something else.

Speaker 3:          00:03:44       You kind of take yourself outside of that realm of, of how we like to compartmentalize things. We'd like to like the epitome of self centeredness is being in control of absolutely every experience you have and never letting go and the rest of the world around you as well. Yeah. Just your experience. No, exactly. You try to control kind of situation and choosing to live in a place where where you know, shit can go wrong or or you can have a snow storm or whatever is a. it's kind of. It's kind of an element in that is he says it's an aspect of losing control over the space and so what ends up happening, you've got people slip sliding around. You've got a essentially people coming to the realization that the planet can come kick the shit out of you. If it wants to know. I guess an earthquake would work that way.

Speaker 3:          00:04:33       Earthquakes do work that way. Um, even a horrible thing like nine slash 11 works that way. It did when I was in New York, we filmed fear factor in New York like less than a year I think after nine slash 11. It was pretty close to when it happened. And Man, it was just such a different vibe. Everybody was so friendly. Everybody was so friendly and so nice. And uh, I had a friend who a blacked out. We were all hanging out in front of this bar and we stepped outside and a couple of them smoke cigarettes and uh, I pulled out a joint. I go, who wants to get down with this? And the. And they're like, oh good, let's go there. Like these producers like agreeably, we're doing this right, right. One of them, I guess she just doesn't smoke pot or she just, for whatever reason, she took a hit and then you see like her eyes rolled behind her head and her legs go down and she almost fell like we had a catcher passed out.

Speaker 3:          00:05:28       Yeah. She blacked out from weed. I mean like, do you think it was the weed or it was just in conjunction with kind of the drama of the whole event having happened? No, no, it was definitely the weed because she was from La and we flew into film fear factor there and she just. Oh, okay. I just had a weird reaction to pot, whatever it was, fucking space we need to go. Anyway, so we called the first responders, right? We call the whatever they call. I don't know who they called, paramedics, firemen up and I swear to God these guys were treated like fucking superheroes, a fireman and then cops came behind them and everybody was so nice and so friendly to him because it was at that sort of honeymoon period after nine slash 11 when you realized, Hey, when when shit gets awful, we need these people, we have to count on these people.

Speaker 3:          00:06:16       So people were more friendly in the city in general and then like really thankful when the firemen showed up. Yeah, there certainly is a kind of reset button effect when some kind of disaster happens where we, where people feel like they've lost control even for a moment. It is, it is dude, like I'm out here on the highway in la or anywhere for that matter and you kind of have those moments where you're sitting around looking at all these vehicles and wondering how the hell this shit is staying together. Like what is like, how is everybody on this path because it only takes one asshole one. What percentage of individuals is that to like, screw it up for everyone else, whether you're flying a goddamn plane into a building or swerve in the wrong way or looking at your text messages or whatever it is.

