Speaker 1:          00:00:03       Three. Two. One. Okay.

Speaker 2:          00:00:05       Hello Jeffrey. Hello Joe. How you doing man? I'm a young and handsome. You are young and the amps. Yes. We all are. If we're not dead. I don't know what that means. It's all good. I'm all jet lagged. Yeah, it's cracking. And how are you? I'm a big bowl of wonderful. You're a big bowl. A big ball of fucking huge bowl of wonder. Aggressive with that statement. I am. I am the head. Don't doubt me with dendrifund. Don't doubt you. Yeah, it's good to see you, man. Good to see you too. What's the latest, what is the latest, uh, about to start another season of the Goldbergs, another season of curb after working with the fabulous Brian Cowen. I love working with Bryan County. He makes me laugh all the time. It's here later. He's going to guess a two o'clock. Oh, so then I'll see him or three.

Speaker 2:          00:00:56       Yeah, maybe not. But Anyhow, point being is I dig Brian callen very much. And he likes you too. Yeah. That's cool. That's cool man. What's the latest, uh, with the, the standup career? Uh, see you around the store a lot at the store. On occasion. I don't do the store that much anymore because I've stopped doing showcase spots for the most part. I just do, I have a regular show every Friday night at the Improv in the lab and I do, you know, an hour, hour and 10 minutes. And then occasionally I do flappers, which is a horrible name yet in Burbank, but they'll look club but a great room. A great room. Yeah. And I do there on occasion on Sunday nights. So I do an hour, uh, going out of the House for 15, 20 minutes. Not Worth my time. Does it, um, do you, when you do like an hour set, do you plan your sets out or do you have like some material that you'd like to be working on in?

Speaker 2:          00:01:53       Is that why you like the freedom of having an hour or so you could just kind of fuck around? I have no preparation whatsoever, except I may think, oh, I'll talk about that tonight, but I have no preparation. It may bring up a story I've told before, but I have no idea. Literally when I step on stage, I have no idea what I'm going to talk about, what does help me, what I've done for quite a while now as I come up to a different song every time I come up and then I just talk about that song, the story of the making of that song, who sang that song, what that song means to me and that will usually lead me to something. That's all I need. Yeah. The reason why I asked is you have a very unusual style, like I've seen you a bunch of times at the store, very loose, very loose. It's a great thing because you have the confidence to do that. Like a lot of people have to be like super rigid and their preparation without a doubt. Yeah. Same thing. Set up punchline in the correct order every night. I'm only confident in the fact that I'm funny. I am not competent. And any other fact in terms of going on stage that's going to support it is the most important. And so I go up with the knowledge that no matter goes down.

Speaker 3:          00:03:00       I am funny and we'll be funny. Boom. That's it. Goodnight. And Are you doing the road at all? Hardly ever. When I do the road it's, I did London in December, that a couple of weeks of shows a week, a couple of weeks at a theater there. What they did. Oh, theater. It's a small cool theater. That's like 500 seats or something. I don't even know. I don't even pay attention. How's that? I've done that. I've done uh, leister square. Have done a couple of different of squares. Good. Yeah, I just, I got to London, I go to New York on occasion and perform. I use, I played everywhere. I played everywhere from Indianapolis to Seattle to Miami, like an all points in between, you know, um, Tucson, uh, you know, Phoenix, I mean, like all over. I mean, I've done it. I'm, I'm 56 years old. I've got two TV shows, I develop a bunch of other stuff.

Speaker 3:          00:03:57       I'm passionate about my stand up, I get enough, I don't know if they earn a living by going on the road, which I have had to in the past. So I stay home and do my standup when I can, which is every Friday for sure. Because the thing is it's a very nice and I've worked towards that and that's a beautiful thing to work towards because the thing that does get you is that travel. Oh you know it was the thing that no one understands is the only joy that you can possibly get when you travel is the moment when you're on stage. And if that's troublesome or not fun, it's a drag. It's depressing. But those moments on stage, if they're great, it's all worth it. Yeah, no, it's the thing that also when you go on the road, if you have to do morning radio, that's your health.

Speaker 3:          00:04:48       It screws up your time. You know what time you go to bed. Cause I, I like to set, I don't worry as much on a consistent basis what time I wake up cause that'll automatic b automatic. I tried consistently to go to bed at the same time every night. It's a different approach that a psychiatrist told me and it has worked wonders for me. A psychiatrist told you yeah, that it's bad because everyone always focuses on waking up the same time every day. He said focus on going to bed at the same time every night and that'll be more productive for you. And I do that with a sort of a half hour bump to fall asleep to maybe read for a minute, whatever. But I'm in bed usually by 10 I've never gone to a psychiatrist, but a one, one of the shows that it was on, I was like the only person on the set that didn't go to a psychiatrist.

Speaker 3:          00:05:43       And I'm like, maybe I'm fucked up. No, by the way, if you're functioning in the world, that's great. Congratulations. I have sometimes trouble functioning in the world. How's, and, and, and a well, it's like I find going on stage, I'm fearless and I don't even like leaving my house. I prefer to stay home. I love napping. Oh, do I love napping? If I could smoke some endeca and take a nap every day. I do transcendental meditation. I do all the chill things at home and I leave to work. I don't like going to parties. I like a good dinner party because that means I can have an actual conversation with someone. But I was just at a party the other night, a goodbye party for a friend of mine. It was a Jeff Ross House and I had the worst time. I lasted 20 minutes. The only people I could talk to where Comedians I there were looking to be a Jeff Ross, his party, but comedian, some people with man buns in the hot tub.

Speaker 3:          00:06:45       It was very unsettling and wrong. I wanted nothing to do with it. I said my goodbyes to my friend and uh, uh, she's moving to Japan. So I um, I uh, said my goodbyes, but I was out of respect to her that I went, but out of respect to myself, I didn't stay long man buns in a hot tub because we never see combination in a hot tub. You Go, I don't belong here. You don't belong there. Yeah, I can't be done. No, it's bad. When did that start happening? When did the man bun stones to me like in a big way a couple of years ago and was like Samurais and then there was a big dropoff for a long time and then a big drop off. That's exactly it. I don't get it. Maybe why grow your hair long if you're going to wear a man bun?

Speaker 3:          00:07:32       I think either lawyer, you have the idea, but it's ridiculous. I was at a gas station in studio city and I was seconds away from talking to this dude. He had a man bond that looked like a bird's nest with Kaitlyn with a waterfall on the outside and I just went, why? I just want to pass him. I go on being totally friendly. I want to make this a conversation. Why explain? I don't get it. I feel like what it is is it's like they're, they're letting you know that this is me when I'm out, but when I'm at home and I'm feeling sexy, I just undo that and let it down. I don't know what it is. I just relax and I unwrapped the big ball, the wrong. It's a big bouldering and no, you're not sexy, Douchey, douchey. Just what's your hair's ever been mine.

Speaker 3:          00:08:22       I had like a Jew fro type festival happening when I was younger. Like longer curly, but not like shoulder length. No, it's ridiculous. It's weird that hair grows that long. Only on your head. That's what's weird. Rocker arm and you're grown like Robert Plant's had cool hair. Like, go for it. Don't man bun it. Yeah, go for it. I'm all for long hair. Rockers of different rules. I saw a guy last night, a bay in a band, a bass player, a big man bun. Big baller wrong. You know what? I'm uncomfortable with a cel haircut in a rock band.

Speaker 2:          00:08:56       Oh, what are you doing with that fucking button down conservative haircut? I dig the play in a band. I think playing against type is a big bullet. Delightful. Nah, not Angela. We differ on this one. We differ on this one. Yes we did. I think a group of men, like I thought David Bowie's band, tin machine. I didn't really dig their music, but I love the look of all of them wearing the suits with the close cropped hair. Well Bowie's so odd and so undeniably creative that he was allowed to get away with anything and he's allowed to do anything he wants. But, but truthfully, if you have any sort of a confidence you can except the man bun. There it is right here. There it is. History of Bowie's. Yeah, but that there should have cut his hair short. The one with the long hair maybe, but he's Kinda John Travolta and he cut it short.

