Speaker 1:          00:00:00       Doom, doom, dum, dum, dum, three, two, one.

Speaker 2:          00:00:08       Oh, ladies and gentlemen, we've got a sweet show today. Cameron Hanes is in the building. Ladies and gentlemen, Cameron Hanes. So what's up brother Scott? Motherfucking eastwood is in the House and if you can't see me it's because I'm wearing this sweet underarmour cammo shirt and I do tend to blend into the background. So if you get confused and go where it was, Joe's head just floating in the air like that. But if you, if you could see it, you'd be, you'd noticed you look Jack Jack's right. Is tight form formed into an appealing a tail on it. It's a floating head. So a cams in town were shooting both today. And I know he gave you a bowl yesterday.

Speaker 3:          00:00:41       Yeah, yeah, yeah. He, uh, we, we went down to riverside, riverside our tree and to check out a show me throw me a blow by blow. So that was

Speaker 2:          00:00:53       cool. You had an old, had an old bow. We'd, we had an upgrade. Didn't way. What was the old bell? It was an old Ross. It was Ross probably from like, yeah, same company. No, I didn't, I didn't even hurt. Is Ross in archery company a big archery company? No. Small. Yeah, it's small. I don't know. I'm not even sure if they still don't make them anymore. This was like a secondhand Bo. I bought off somebody a years ago. So is this something you wanted to do for awhile and somehow or another you've got to hold the cam?

Speaker 3:          00:01:21       Uh, I don't remember how we got connected.

Speaker 2:          00:01:24       Did we instagram? He likes to say I slid them a dad. Desperate girl. I think. I mean I always put up hunting stuff obviously and I think you commented maybe or something. So it wasn't like an unsolicited dom like, hey, I'd like to get to know you a little better, but I think it was a little bit okay too, you know, if you know, it's all good. I mean it's 2017. Everybody's free to express themselves. So if something like that built on. And then we just started archery and are talking to archery than hunting and you know, he, he grew up in hunt his hunted and had the bow and so he got done with this movie stuff and was here and thought, hey, let's get together. Also

Speaker 3:          00:02:09       the public land stuff to uh, you know, been noticing you guys both been talking about that. And so I was really interested in that. So I started reading up about it and, and I just said, you know, hey, how can I help? How can I get involved because this means a lot to me. I'm a native Californian and I grew up going to yosemite, you know, going hunting and fishing, uh, using the public lands. And so it was really important to me. You know, my dad was a state parks commissioner. Uh, most people don't know that. So when was this? This was, this was gonna be before he was the mayor? No, no, no, no, no. After this. Really? Yeah. This was after. So fairly recently then? Yeah, probably in the last, I would say 15 years. I know he, he, he, he did it for awhile and then got out. Um, but you know, he was, he was big and um, in the, uh, do you remember the toll road going through the

Speaker 4:          00:03:00       San Clemente? No, I'm not aware of that. Yes. So they, they, they were proposing a, this was an arnold Schwarzenegger was a, was an office and they were proposing a toll road to go through San Clemente which goes through a trestles, which is a popular surf break and uh, he was, you know, everyone, you know, got behind it, um, surfrider foundation because he didn't want it because it was going to destroy the wave and ultimately destroy the national park there. And so he was big on that kind of stuff. And so I've always been, you know, sort of following in his footsteps and hang on, we gotta we gotta get in front of this problem. Did you dad's clint eastwood crazy. Yeah. That is so crazy. What is it like having Clint Eastwood as a dad? What's Your Dad do? My Dad is clinics would bitch would just be like, oh shit.

Speaker 4:          00:03:47       He just walk away confused like what happened to me. I just got hit with a rock and you look like a weird, like when I'm looking at you, I see your dad like from the old outlaw Josey Wales days. Yeah, yeah, yeah. It's, you know what's crazy is looking at photos of him when he was 12 and I was 12 a, you cannot tell the difference. You put them in both in black and white. You can't tell the difference. Wow. Yeah. That's a trip. Yeah. What was it like growing up with him as a dad? When did you realize like, Holy Shit, I think I realized I'm 31, so I'd probably realized when I was about eight, I watched unforgiven. Yeah, he let you watch that when you were eight. That's my favorite movie ever. That high plains drifter is right up there too. Wow. I don't know.

Speaker 4:          00:04:35       It's, it's hard to lock them down, but the unforgiven is a dark movie man. It's dark money. William money killer of women and children. That's a dark movie, man. Y'All got to come in. What he says in that, when I learned that I'm just like probably one of the most realistic killers too, like the way handled stuff and the way everybody else was like falling apart. You never saw that in those movies. What was it about regret? It was about a, a life filled of, uh, of regret and filled the things that you did wrong that you wish you could have done better. And um, you know, it was sort of a last one last ride to be, to do something better for his kids, you know, so that, I think that was sort of interesting. It was, it was sort of a final culmination of all his westerns.

Speaker 4:          00:05:19       It really was. And almost like he updated the mall too because like in the old movies, like you'd have cowards, you need to have heroes and stuff like that. But in the unforgiven he took it to a totally different level. Like psychologically, you know, like even the way he, like the switch goes off when he starts drinking and then he started just fucking merch and everybody like the way it was handled, it seemed so realistic the way everybody would fall apart and gunfights and the way you get to watch it again now. It's been awhile now. I'm like, that sounds awesome. Fucking great. That's fucking great movie. I remember seeing it. I remember the movie I want to see in the movie theater and when the credits roll at the end, I

Speaker 3:          00:05:57       just want to do this powerful one. Yeah, it's intense movie man. Fucking intense. So when you're eight you figured it out like that movie, right? It right around then. Yeah, I remember watching it and I'm not sure if I watch it with him or shortly after he had made it. Um, and just thinking, you know, that is the coolest thing and I want to do that. You know, I wanna I want to be in movies. I want to tell stories like that. Wow. So how many, and you have brothers and sisters and so how did all that work? Uh, yeah, I've got, I've got a few sisters and my dad was a busy guy. How many kids in the family? Uh, how many wives? Uh, yeah, let's just go with that. There's a, he's only had two wives, but he had a few, few girlfriends, few babies.

