Speaker 1:          00:00:04       Ah,

Speaker 2:          00:00:06       the Joe Rogan experience podcast is brought to you by the fleshlight. Got a fun new way to say that, Brian. I can't keep saying it that way. Back. This last slide is our sponsored. Okay. This is the deal folks. It's been very controversial, but they've been with us since the beginning and we are, uh, we are anything if loyal or loyal, if anything, loyal. If anything, we're loyal people. They've always been our sponsor. And even though it's a controversial subject, we, Brian and I both feel the controversy is very silly. What's the controversy? Controversy is being sponsored. That's Ari Shaffir lays gem and are the great.com being sponsored by a sex toy that it's, it's stupid. It's ridiculous. But I have to show is nonsense. This show we're talking about, we're talking about sex toys. We're talking about nonsense. It's not like there's this noble content that's continuously being brought up on the show and it doesn't deserve to be associated with something like a masturbation, do you mean?

Speaker 2:          00:01:00       Right. Does everybody must have to the fucking girls. It's so silly to me. I will never give it up. I won't give up the flush like, fuck you. You're ridiculous. They're paying us. They've always paid us. There's nothing wrong with what they're doing. If you think there's something wrong with what they're doing, you're crazy. If you don't want to be associated with them, good. That means you're a silly person. You're a silly person. What do you care? It's nonsense. We are known to have arguments like that. I'm always like, oh, let's not even talk. [inaudible] is ridiculous. Really pretending that we don't masturbate. Really? Why would you not you silly person. Have you ever pretended to masturbate? No. When you pretended yeah, like Ron Masturbate. Yeah. Who were you trying to fool? Will Brian, do you remember the time you were going to do that fucking movie and I talked to you out of doing it, man, I'm just going to do a film where they tied him up and a trunk of a car with his girlfriend and I was like, Yo, you don't want to have those videos out there, first of all, for people to get excited about what?

Speaker 2:          00:01:58       It's a very specific type of porn. It's like a, um, they want to see people that are kidnapped and they want to see people that are completely have fantasies of kidnapping people they don't like maybe. Yeah. And they don't, they don't really go through with it, but they want it like kidnap this guy front of them, you fucking piece of shit. I just allow guys to feel like that. So they make it was going to be a fuck film with you. Well don't you think of, that's true. Michael C. Hall was somewhere like, like shivering, crying, hiding, you know, the guy that played Dexter or somebody like that. You know, all these people that are serial killers all, yeah. Do you think that your have to think about that? That's, that is a real legit concern. I mean when you look, I'm not in any form or any way trying to say that we should have any, any kind of censorship in this world, but the reality is there's people that watch a show like Dexter and say, I would like to do that too.

Speaker 2:          00:02:47       Oh, have you seen my Twitter Avatar, Doug? I in Kennedy got arrested for doing the exact same fucking three's company to [inaudible] the guy even filming the people in the doing completely Dexter style and then, oh, they tried to copy it. Oh, he did do it. He did. He was inspired by Dexter, so he went out and killed a bunch of people. Oh really? Yeah. I tried to kill some bad people. If you see my Avatar, what's your Twitter? You would probably get really mad at me if you saw my Twitter avatar. Right Brian, where they were going to keep fucking this thing. What we're thinking of bucket fucking this thing or is it just a film? No, no. They were just going to kidnap us and like tie us up and, and then like going to do it for money. Yeah. It's acting. Yeah. Was actually seen that picture before.

Speaker 2:          00:03:28       Yeah. My heart's torn out and that, that's like gory. You know, there's blood dripping down my face picture forever. Yeah, it's gross. You should, uh, you should be careful of those things. It's, I mean, look, it is what it is. I mean, you're expressing yourself. You feel the need to express yourself getting murdered? Go ahead. Oh, that's what I think. There's a little something creepy about putting out videos of you getting tied up in your fucking truck. Cause it might 99.9% of the people. You're absolutely right. That's nothing that's not going to trigger anything weird. But there's that one 10th of 1% that just sees that and just thinks, I would like to fucking do that to him. Yeah. Well I'm glad you talked me out of it so I could torture my fleshlight like the one that killed the president cause of taxi driver.

Speaker 2:          00:04:12       Exactly. You can't really worry too much about crazy flux flashlights. A hell of a product. Torture you to fleshlight fucking strangle that. It was just before fuck stress. That was the best fleshlight commercial ever. If you're going to Joe rogan.net, click on the fleshlight link, entering the code name Brogan, you will get 15% off. How's that flashlights? Don't have hearts. They'd tell him, but don't be mean to fuck it all. It's just, it's a spiritual thing because people that are mean to them and that's what I get off on punching it. We're also brought to you by [inaudible] Dot com o n n I t, makers of Alpha brain, the cognitive enhancing supplement, new mood, the five serotonin enhancing supplement. We also have shroom tech, sport and immune. One of them is great for endurance. The other one is a little pumped me up for your immune system.

Speaker 2:          00:04:57       It's all explained on on a.com it's all stuff that I use and we use and it's all right. Now, today is Monday is the last day, March 19th until midnight. It's 35% off. If you just have a single 30 count bottles, if you just use the code on it or excuse me, try it, try it. So if you use the code t r y, I t just today, if you're listening on Ustream, iTunes, people probably mess this, but there's always 10% off every, every order. You can always use the code named Rogan and get 10% off and we stand by all this stuff. And it's also 100% money back guarantee on the first count of pills. So if you buy like a 30 count bottle, it's a 100% money back guarantee. You don't have to return the product. If you don't like it, you just say you get your money back.

Speaker 2:          00:05:45       We are, the most important thing is we are much more concerned with not having a bunch of people that feel like they got ripped off. Much more concerned with that then with making money. And it's all products that I use and I believe in, I've been a fan of nootropics and vitamins and minerals for a long time. And if you're interested in nootropics, it's an o, o, t, r, O, p, I, C S. And they're essentially nutrients that a stimulate brain function. They stimulate neurotransmitter's. It's, it's all fascinating stuff and it's very controversial. Uh, but I, uh, I've been a big supporter of it for awhile. So Google that go checkout nootropics, checkout on it. Oh and and it, and if you want to buy anything, use a code name. Rogan, get yourself 10% off our right freaks are either great. Is here

Speaker 3:          00:06:28       my pal Ari Shaffir ready to break shit. Damn. That was one of the greatest [inaudible] wait for that. I realize that's just music started. I'm like, Oh, I want to wait for that. Dan was the coolest shit ever when he did that in the middle of the fucking,

Speaker 2:          00:06:47       when he said that, I was like, wow, we just got the best commercial of all time. Nick Diaz throws his arms up in the air, says Joe Rogan got mad at me on Twitter recently for, for um, for uh, going against the suspension. We're talking ill of it. Really the B, well if folks don't know Nicky has get suspended or he's in the process of a hearing right now about as a use of marijuana, he only tested positive for the metabolites in his system. And I guess what his lawyer is arguing is that metabolites aren't illegal and that the marijuana is illegal and you're not, you're not allowed to have marijuana in your system. But you don't even have a law firm metabolite. Oh, I thought it was like metabolites only remnants. And the last time he was smoking when he got those remnants was when he was legally smoking.

Speaker 2:          00:07:30       But the state of California, the metabolite that actually was in his system is an inert metabolite. The metabolite that he tested positive for is not psychoactive. Oh. So the only thing that he tested positive for was a non psychoactive cannabinoid. There's, you know, I don't know how many cannabinoids, I shouldn't, I shouldn't talk about this until I talked to Todd McCarthy. Just let him smoke pot though. It's not a performance enhancing drug and it doesn't hurt the person. I get in this argument with people. I get in this argument with people. Um, and um, a lot of people have been angry at me about this because I've said that I think marijuana is a performance enhancing drug and it is, if you're good, if you're good with pot, and it is, if you're good with the martial arts, it is enhancing it and it's, it's, it's not necessarily enhancing.

Speaker 2:          00:08:16       Like you could give it to one guy and his emotions and his nerves and everything just because the fact that he's about to enter into a cage fight. It might overwhelm him and he might just lose his shit. But you could give it to like, I guarantee you you could give some weed to Bj Penn and he'd go out and fuck people up. Yeah, Bj Penn. I don't think he would have any problem with it. He's an old gene. You know what I mean? He's a veteran. You think he'd be better? I think the Jujitsu, those guys, those guys. Yeah, those guys never roll sober. You got to understand there's a lot of these guys like high level guys name any names because some people don't like people talking about it. So I'm going to tell. But high level Jujitsu guys that you've heard of [inaudible] videos and everybody like mimics them with their, their own game.

Speaker 2:          00:09:01       A lot of those guys smoke weed a lot. Like, it's a big picture and they smoke weed and train. You know, and look, I always go back to Eddie Bravo, you know, cause he's my best friend, but he's also one of the best Jujitsu instructors in the world. And I've never seen Eddie do Jujitsu when he wasn't high. It sometimes it gets so high, it's really teaching. It's like any, but he'll tell you, he'll tell me that it enhances him. He'll tell you that it enhances the sensitivity. It puts you in the flow better. It lets you, okay, but so does, so does, let's just say vitamin B or whatever else. They're very different though. Vitamin B is very good as far as your body's ability to perform. Yes. But not as far as being able to change your state. The idea that, well, the thing about marijuana is it's so, it's so euphoric and it's so mind expanding and it's, it's what it does when you have the fam.

Speaker 2:          00:09:51       This is by the way, is not for everybody. Obviously everybody's brain works in different ways, but with my personal experience, I get this wave of understanding when I get high and that prepares me for things. Man, that's one of the reasons why I like to get high. Before I do big giant shows. It slows everything down for me. I played poker tournaments, Huh? Yeah. Pool is fantastic. Hi. I play a ball better when I'm high. I really, yeah. That's another thing you'll say at a tournament, you'll see all the poker pros. You know you're wanting to do their cars at bricks isn't an enhancer. It is an enhancer. It just is. Do you think it affects your judgment though, to do stuff like, like in Jujitsu, like, I mean you watch a movie stoned and it, you might think it's awesome the next day. You think it sucks.

Speaker 2:          00:10:33       If you're doing Jujitsu with somebody or MMA, maybe you would do something you normally wouldn't do because you're thinking something different, you know? Well you could, but that could lead to Pepsi. What you're saying is like, hold on a second, but we, you're saying is that you would like make a big mistake. I think that what makes me stick, you'd just do something that you normally wouldn't do. Well that would be a positive though. A lot of times. As long as you're good again, as long as you're good. Because if you're a good Jujitsu player, if you're a good grappler and you have a fundamental understanding of where you're supposed to put yourself, where you're in danger, where you're not in danger, what can be done. You know there's all these moves tie into each other. You know when you learn how to do butterfly hooks, butterfly hooks, you know, you, you, you learn how to manipulate people's bodies, that that all of a sudden becomes a way to move people around just like with your hands.

Speaker 2:          00:11:23       And that adds to all these other techniques that you do. So there's like, there's, there's like literally in a limitless number of moves and positions. I mean there's so many different variations, so many different counters to those variations that you, if you long as you have a deep understanding of positions and as long as you have a deep understanding of what's dangerous and what's not, you're not going to usually put yourself in a bad spot. He'll occasionally, if you're training with friends, you'll like say, can I do, let me just try to do this because you won't worry. Like if you get mounted or something like that,

Speaker 4:          00:11:54       you know, you, you know like in a competition where it's for your life. Whereas if you were in a fight, you wouldn't try this position. But I think that's where a lot of like new cells, it helps you like with standard word helps you riff a little more like let me try this. But that can also lead to a bad place where like my nowhere lock up man all the time. We all, we both do it all the time. I mean, I did it this past week and a couple of times a, um, it's like 203 fuckups. It's like plenty of, but when you do a new shit, when you're doing new shit, especially like at the Ice House, I did a lot of new shit this weekend and you know I'm preparing for this special in Atlanta, which by the way, if you go out of my Twitter feed or go to Joe rogan.net there's a link for it.

Speaker 4:          00:12:30       It's war at the Tabernacle on four 20 and I'm going to be filming my special, she already to sell it one show. The first show is gone and then the second one selling fast. So if you, if you want to get it and I would love to have you guys come down. It's going to be a lot of fun. It's going to be crazy. I'm psyched. I'm psyched to do it in Atlanta too cause I haven't been in Atlanta in a long time. What is a tavern? Nippon Napal I called Brian. That's in the video. It is the terra now. What is it like? What is that like a nut? Because everyone acts like bags. Everyone knows what one of those is. I have never had gotten rid of one. It's just the name, the tabernacle choir. Yeah. It's a nice, a nice name for something for, well, it's like, I don't know. I mean I should [inaudible].

Speaker 4:          00:13:18       I feel stupid for not knowing what it told me. It was the tabernacle buffet, I would say. Wow. It must be an excellent buffet. I'm sure it's like it's fuck. It's like Rolls Royce or something. You know? It's like some name a pedia residents are dwelling place. Wow. The Tabernacle Hebrew Bro. That's why I don't, it's English. Your people man. Yeah. Well that's what he, the Tabernacle is a, a, a residence or a dwelling place according to the Hebrew Torah. Old Testament. See, it just sounds annoying. Well, I don't know how that got to Atlanta. Is there a lot of Jews in Atlanta? No. Christian started using it. Is that what it is? Yeah, I guess so. Maybe that was the English translation for them. For a hut. Huh? That's interesting. So it's just a house. It just, it's like a super fancy way to say house tabernacle. Never.

