Speaker 1:          00:00:02       Three, two, one.

Speaker 2:          00:00:12       Jamie was giving us the, the almost double of gun finger. Not Yes.

Speaker 3:          00:00:18       One Papa Sam's glasses. You got a new look right now, buddy just said fuck it. While they're their uh, their uh, reading glasses dirty. They're dirty. They're progressive's. What's that mean? That means that the top. Oh, look, yes. Three levels. Oh, far. Medium reading.

Speaker 2:          00:00:38       Fuck Dude. What are they going to fix? That? It's pretty good. I fixed what your eyes? Yeah. I only have, um, I have reading glasses that I've worn over the last few years, like two or three years. I think I hit like 46 and that's when it just started going eee. Like I'd look at my phone like, hey, why does that look like shit? It really is bad. And then Adam Carolla did my podcast and he left some glasses over who loved reading glasses and I picked up his reading glasses and I put them on. I went, fuck, I can see, I can fucking see clear now. I know it's really frustrating

Speaker 3:          00:01:13       and uh, I can't wear contacts because I have a scar on this eyeball. Low from A. I don't know what from the only thing I can think of is he said it was something as a child, there was a pillow fight I had with my friend Keith in like third grade and I remember him hitting me in an open eye and just being down for awhile. But just as kids, you know, you're like, oh, that hurt. Right. But you only thing I could. Totally, yeah, there's a scar on the outer layer of my eyeball. Can they do something about that? And they like, no, I mean you can start messing with it with this guy is a really good eye doctor. And he's like, don't mess with it if you don't have to. But if I look through that, I, it's a little cloudy always even with the glasses. So this one, uh, because of the little bumpy scar I can't put a contact on so they'll go with the glasses. But uh, you say it's a new look when I don't have glasses on, I just had these glasses for like two years. But everyone I've

Speaker 2:          00:02:11       get used to people wearing glasses, like greg fitzsimmons wears glasses and sometimes he doesn't wear glasses and I'm like, Oh man, what do you like better? What's Tom Papa to you? I just like you buddy. Oh, I don't really care if you wear glasses. The glasses or the odd thing that makes girls sexy. There's something about a girl wearing glasses. It's kind of sexy. Yeah. Worked in every eighties movie. What's always like girls pulled up with their hair, pulled up tight blouse, a skirt, dropping off papers. Why is that? I don't know. A smart girl is sexy. Yeah. And then at the end of the movie takes it off and gets all slutty and lets her hair down. Yeah. Is it like an alternative thing? Is that like what it is? Like you see the girl with the glasses and you like, oh, she's different. She's out reading and

Speaker 3:          00:03:00       she's focused. Yeah. She's got her act together. Shit, what shouldn't be? She'll be able to see my flaws. Maybe she can help me. She'll know if I really read those books. I don't know if you think it's the same for kids now though, because there's so many weird looking kids now. Like when we were young it was like the glasses girl or like the blind girl, that cheerleader girl. Now everything's so much together. You mean like what is attractive? Just like the classifications of people. We had like teams that you were a part of the job or the nerd or the burn out? I was a jock and a class clown. Oh you were a class clown.

Speaker 3:          00:03:42       But like, but like I had a lot of friends because I was the class clown so it wasn't a, it wasn't a douchey. You just liked sports? Yeah, it was A. I played football from kindergarten till I graduated and then uh, I was the captain. I was all league. No shifts. Spoil you. Tom. Papa. I was a fullback. How many a head collisions did you have? Tons. How's your head? Fine. Really? Yeah. I mean it all depends who you're playing against. You know what I mean? Like we were a white suburban school running into other suburban kids that were going like this. We played, we played in a scrimmage. PASSAIC, passaic, New Jersey is like one of the big cities, you know, and they had ironhead heyward. Remember that guy? He went pro, big man's giant man size black man from passaic and we scattered like deer. Just we saw him coming after our all white league and then not just a black guy, but like an ultimate job.

Speaker 2:          00:04:53       Oh my God, look at this size of that guy. He, when you see them, especially with football pads on the shoulder pads, you're like, oh my God, how big is that guy? If they would just hand them the ball and just tell them to run straight, what are you going to do about that? That's so not fair. That's why I think fighting is so much safer because there's weight classes. Yeah. Like a dude like me and a guy like that should never be involved in an altercation. Not Fair. How big is he? Oh, he's only five slash 11 slash 65. Jesus Christ so thick. He's a tank from his back to his front. On the side was probably six feet thick. You have to be to be five slash 11 slash 65. That's what Mark Hunt is. Mark Hunt the a kickboxer reference in the UFC. He's so sick. He's like five, 10, five, 11 to 65. Just a massive, massive Samoan though he's the Super Samoan, like samoans in general are really powerful people. It's just a thick people. They are a durable, powerful race of people. It's amazing because you need to think about it. Those people, the

Speaker 4:          00:05:57       and his island folk, they were traveling in canoes back and forth across the oceans. They probably. It probably required severe physical strength. Right? But when you see Polynesians, Hawaiians, a lot of them, they're fucking stout people. Big Time Midi. Well just like just solid built, fucking powerful. But there are big download too, so when you're in a canoe, you're just all upper body, but they kind of carry those canoes to men. You've got to carry stuff. You're probably packing out your camps and running up hills and eating coconuts with your feet. Well, how would you do that? You hold the Samoans. They were able to hold the canoes over their head and then pick up coconuts with their toes as they walked and bite it. Like an apple. No, that's not true. Almost had me son of a bitch. I was like, wow. I was going over my head.

Speaker 4:          00:06:53       I was doing it like I was. I was mimicking it. Why would they put the commute down? I mean, how, what kind of a hurry are they in that he can't pick up on? Looking at the whole thing was so confusing and then when you said bite it like an APP on my. He got me. No, but wow. I was a kid playing football. There was, there was. I kind of went between groups, but there were the jocks and the burnouts where the kids get into high in the back and then there were the band kids. My kids are in school now. They don't. Those classifications don't really exist anymore. Yeah. They're like Bros, jocks and skaters and yet we're so old. We shouldn't be talking about these kids. They're going to be mad like you don't even know what the fuck you're talking about.

