Speaker 1:          00:00:04       Five, three, two, one go.

Speaker 2:          00:00:07       Yes sir. Oh, Jesus Christ. Sorry. This episode of the podcast is brought to you by your mother's vagina. That's how you got here. Whoa. So everything's brought to you from that. Do you personally, not me, I don't know your mother. Just what a terrible way to start a show. This episode is brought to you by Squarespace. Squarespace is the all in one platform that makes it fast and easy to create your own professional website. And I really do mean professional. They, they make fucking amazing websites. If you go to the desk squad.tv and check out the website that Brian has created along with the online store that has created, he did an amount fucking 10 minutes. It's incredible how easy it is. Drag and drop interface, 24, seven support and it works great on everything on Android, iPhone, Unix, Linux, work on whatever you want. Windows, Mac, PC, very easy to use.

Speaker 2:          00:00:59       Um, plans start at $8 a month. That includes a free domain name. If you sign up for a year, responsive design and your design will look awesome on any device. Online commerce. Very easy to set up. Easy as peasy. I don't even think that's a real thing to say. Easy peasy. Yeah, it's awesome. That's what I'm trying to tell you. Every site comes with an online store. Really, really easy to do. Squarespace has a logo creator. We can create a clean, simple design for yourself in minutes and every design automatically includes a unique mobile experience that matches the overall style of your website. So your content will look great on everything all the time for a free trial and 10% off your first purchase. Go to squarespace.com and enter the code word Joe Squarespace. A better web starts with your website.

Speaker 2:          00:01:50       We're also brought to you by nature box, the official snack provider for the podcast, the Joe Rogan experience podcast. That's this one. It's the one you're listening to. Nature box. I'm eating something that shit right now. If you hear me gum, that's cause I have Santa Fe corn sticks stuck in my teeth. I'm a fan. I'm a fan of all this shit. Naturebox is a way we can get healthy stamp. Well, we'll run this shit by Mike Dolce. See how healthy it really is. Chocolate keenwah granola. How are you going to fuck with that? My goal charity. Good. I'm as good shit dude. Um, naturebox has zero trans fats, zero high fructose corn syrup. Very, you can get find snacks that are low in sugar, non GMO. If you want gluten free, you can get that and they ship for free. I know a lot of you folks work in offices and you know, sometimes you get hungry and you can't leave the office and you're stuck.

Speaker 2:          00:02:41       You're stuck with that stupid vending machine. We're probably, if you're lucky, if you're lucky, there's peanuts in there. Most likely it's just bullshit though. Chips and chocolate bars and all that shit. You can get naturebox shipped directly to you and you can get 50% off your months first by going to naturebox.com/rogan. They have over a hundred different choices for you to try various different snacks. I I fucked up and I talked too much about Sriracha. Cashews. They'd been out of stock for months now. It's amazing how easy that works. Um, those blueberry almond, Ooh, those are awesome. The dark cocoa almonds. Those are fucking pretty fantastic too. There's a lot of great choices with naturebox. Hopefully they'll figure out a better supplier for their fucking serratia cashews. They're too good. They're that good. They were the cat. I'm not bullshitting. I've had so many people tweet me going, dude, you are fucking right.

Speaker 2:          00:03:36       I thought you were exaggerating. They're real. They're legit. Go to naturebox.com right now for a 50% savings off your first box, a free shipping. Go to naturebox.com forward slash, Rogen. That's naturebox.com forward slash, Rogen and last, but certainly not least, are brought to you by legal zoom and legal zoom is a way that you can handle a lot of legal bullshit from the comforts of your own home naked and on heroin. You can do all sorts of legal stuff and no one can fucking stop you. You could be drunk, you could be masturbating. They can't do a God damn thing about it. Baking the love, breaking the law, but you're not breaking the law. That's the thing. You're doing it illegally. What naturebox is, is a way that you can get snacks delivered to what legal box is. Legal box. Legal Zoom is, is a way that you don't have to leave your fucking house.

Speaker 2:          00:04:33       You could just stay put and deal with. You can get a power of attorney. You get a personalized will you get a living trust? Legal Zoom has an a plus from the better business bureau. Ber Berlin. That's a weird word. Need a better word for bureau. It's a weird word. It's like some fucking 1800 shit. Better business bureau furniture. Yeah, it's fucking dressing. It's ridiculous. But point is whatever that thing is, the BB, whatever the better business be. BBB legal zoom has gotten a plus for them. Um, for legal, legal zoom has for over 10 years, they've helped protect people's assets with Llcs, s corporations, trademarks, real estate documents, and more their service developed by some of the best legal minds in the country. And they make it painless for you to get legal protection that you need. If you call or visit legal zoom, they will take care of you from start to finish.

Speaker 2:          00:05:27       And for special savings, please make sure to enter the code word Rogan in the referral box at checkout. Legal Zoom was developed by top attorneys to provide self help services at your specific direction. But they are not a law firm. They can't, however, connect you with a third party attorney, like if you're one of those panicky fuckers and you can't handle it. So if you, uh, if you freak out, they can, uh, they can connect you with someone that tells you don't freak out. You're going to be okay. It's easy to do though, folks. Very easy, step by step, they'll take care of you from start to finish and it's, it all can be done. Like so much can be done for a fraction of what it would cost you to paint attorney to do these things. Not, not to mention the fact that you don't have to drive to an office.

