Speaker 1:          00:00:02       Three, two, one.

Speaker 2:          00:00:11       I'm gonna. Do what you're doing. What are you doing over there, man? What is this? Well, actually I was thinking about making sure that I'm in a position mentally and spiritually to talk openly and clearly connect, but you're doing it with fists on interest. You're going to talk openly, but you're going to be strong about it. It's not like this. There's this thing that the meditation thing where you're just gently touching your fingers together. Yeah, right. I suppose then I'm looking to be embodied as well. Tense. You're like a hybrid. Yeah, that's right. That's what we've got become these days. A little bit of both. A little bit of spiritual, a little bit of warrior, the whole thing. We've got to survive in this world, so you can't be all the theories. Can't be. It can't all be in the consciousness. Yeah. Otherwise you'll never get anything done.

Speaker 2:          00:01:03       Right. You'll just be constantly dealing with other people's wants and wishes and no. Unless you going to make the decision to be one of those cave people unless you. Because last time I was thinking about that, like this, put on robes, meditate. I that I only live in the consciousness, but given my extreme levels of attachment that I've experienced over the years to physical things, I don't think that's my path. You know, I'm here, I'm in the world, I'm sending books, I'm having a baby or caring about what people think about me. I'm wondering if I'm going to be in a film. I'm dealing with the world, being a man in the world, being the type of man I am. It's not like, oh, you know, I'll just real life myself off in a cave. Well, there's a certain amount of attraction that I think we all have this idea like, hey man, I'm just going to get away from it all.

Speaker 2:          00:01:47       But the problem is you, it's going on whether you like it or not, it's happening. Even if you're not there. So you should probably be there just to go, what is this? Yeah, what is this? Even in Christianity, Christ says in the world, but not of it. So trying not to be defined and determined by other people's opinions of you, the systems and structures that are set up around you, particularly if you question those systems and structures and think, well, I don't trust that system. I agree with that, you know, just having how you don't want to be defined by that. But the fact is we are here and I think there are certain people you know, but do have a monastic tendency that should be meditating, that aren't equipped for the material world. And one of the great things that make me sad about at times is if you don't have economic and productive value, then you are nobody. You know? And there were some people that don't know how to resource themselves. You've found a way of turning yourself into an economy of creating a kingdom. I found my own way. If I can make my mental illness work for me, people me money, it'd be this crazy, you know, but not everyone gets those kinds of breaks or has that kind of skillset. Yeah, I mean obviously there's some people that really do thrive on that monastic lifestyle does. Have you ever seen

Speaker 3:          00:03:00       this, a vice documentary on this guy? His name is [inaudible]. He lives in the believers that eastern part of the, uh, of Alaska. He's in this, uh, this Arctic region. It's a, there's a, a vice piece called Heimos Arctic adventure. That's it. Arctic refuge. Hi Mo. H e I, m o heimos high malkuth is his name and this guy is a very. HE lIves in the elastic arctic national wildlife refuge, 100 miles from tHe nearest human and he lives there with his wife and he lives in this little log house that he's sort of built himself and he thrives up there. It's very strange because we're, we're attracted to these people like to just go, okay, wHat do you do all day, man, like, what's, what's your life like and what do you do? Do you miss people? And he has like a vcr and he plays old movies and it's a fascinating thing because I think when you watch soMeone like that, you always run it through your head. Like, could I live like that? Like, is this, is this, got happier? And he says he is. I mean, he says that the, the hunter gatherer lifestyle that he lives is a uniquely attractive to people and, and uniquely satisfying and it's something that we don't get in our everyday world, so we're never like completely even. Whereas he is just running around fishing and hunting caribou and stuff,

Speaker 4:          00:04:27       we're fitting in with someone's else's idea of what life should be. The system within which most of us operate is not this. What I would do if, if I had to free star, you know, I don't mean just personally me, russell, I mean anthropologically yeah. We're designed to be nabad nomadic tribes people. When my podcast, as I said gestion by you, I had on as a guest, yuval noah harari, he wrote that book sapiens and he does a lot of anthropology stuff and says about like that, you know, look, we're designed to live in tribes of about 75 to 100 people, or at least that's what chimpanzees do when they get bigger. THere's normally a conflict and a separation and a split in that nomadic tribes would follow the food sources that were available to them. so in a way, if you can replicate that or get close to that in some way of your own, in your own life, it would make sense that it would make you happy.

Speaker 4:          00:05:22       And we're like, when you were saying that about the guy is a hundred miles away from the nearest person I fought people, there's people that live in suburbia that mentally or 100 miles away from the nearest person that you're just really. Your life is. You sit in front of a screen, you don't connect with. People hAve not spoke to people for days. You know, I think about this when people make these desperate attempts to connect through dog in his finger in my country where people meet up in labels and just having anonymous sex masturbating in public dogging. It's a uniquely british for nominal dogging. That's where I heard of this. Well welcome, welcome to britain docking is people go la bise quite buyers and it still could be sort of suburban is a bit like swinging, you know, but it's like you pull up in a car with this isn't.

Speaker 4:          00:06:02       This is. I've never done this. I'm just clarifying. You put up in a car with a partner, it could be, you know, I think it's kind of heterosexual thing or home that you can do it wherever you know, wherever your persuasion is. This particular place of particular people and you know the lights go on and people jerk off and you know you can have sex and so thinking these are desperate attempt to find some connection to nature to sort of drop anchor and hit your prime or self to get into who you are because you wake up and you've got to do your job and you've got a screen in front of you and you're a consumer and you're not living in the world anymore. You want some visceral experience. One of the things I get from these New York guys, he's like, oh, your person.

Speaker 4:          00:06:36       That's questing after with the whether it's the artery or the dmt, looking for what is it that we're meant to be as humans and I'm doing that in my own way. Having unfortunately written off substances because my stupid stupid mistakes in my twenties. I can't go into the dmt iowaska world's much as I would like to and like I want to find how is it that I be me in this world and yeah, I don't think it is through isolation isn't. I don't think it's like, right, I'm going to try and get an island and I'm not going to participate. I think it's like write what you know. We are nature. We created this. This is a form of nature. Our civilizations are manifestations, but is it the best we can do? Can we change it? Can we pull back from what seems more than ever like some kind of apocalypse with your current president?

Speaker 4:          00:07:20       No disrespect them with our country breakfast of sort of like a weird time of fracture and the manifestation of ugliness stuff bubbling up. Affiliate like dark unconscious matter. Bubbling up, man. I was in the airport traveling to here and I was in New York and like just the people that are working the lines. When you put your cases through that people felt seem heavy and low and like, because if you're british Donald Trump, just something that you know, you kind of make jokes about, you hope that there isn't going to be a nuclear war, but he seems like a sort of a comic figure, but here I sort of sent, oh, there's pain now. I know there's a lot of people that obviously liked him enough to have made him president of United States, but I think even in those cases he speaks to a particular rage. Something that wasn't being addressed.

Speaker 4:          00:08:00       The failure of neoliberalism that lies of the last 30 years of a kind of politics that was just about management and not about giving people truth. I don't know joe. I like, you know, like our individual journeys. How can our individual journeys, informal social and tribal journeys now national journeys and he's ever even hope anymore for such a thing as United States of America or great britain. Or should we start looking at smaller projects? Because you know, if the United States of America and great britain leads the colonialism, mass capitalism, consumerism, ecological meltdown. If that's what you believe in, then maybe we need to look at breaking down some of these great institutions.

