Speaker 1:          00:00:01       Okay.

Speaker 2:          00:00:09       Experience fresh off of Ari. She fears comedy central show. This is not happening. It's Ms Pat again. Welcome back. Thank you for having me. Thanks for coming back again. And uh, I'm sorry to hear that a bunch of people were fucking with you online the last time that you were on here. A bunch of people have contacted you. You made the cru crucial mistake of paying attention. Now you can't pay attention. Well, you know, I used to fight back in the day, so if you say something about me, I'm like, well, meet me at the gay coffee shop so I can whoop you away. It's the gay coffee shop. What's the gay coffee shop? He's style books. Why Starbucks? The gay coffee shop. You allow the white dude's got on dockers and shit. There's a gay full, I don't date guys in dockers. Do you? Why don't they guys?

Speaker 2:          00:01:02       But if I did, I probably wouldn't have a problem with dockers. Well, I'm used to jeans, baggy jeans. I'm black. Okay, okay. What were dockers exactly like a type of pants? Yeah, I was thinking of what they keep. No, I think it was like, yeah, they keep the big wallet in their back pocket. Okay. And that's not good. I don't, I don't know. I mean, I'm just saying, I don't think those types of guys, do you date types of dudes who like have their pants sagging? Nah, I'm been married for 23 years. No, but I mean if you did, no, no, no, no, no, no, no, no, no. You wouldn't do that. Does that gay too? Yeah. There's gay too. And raggedy looking and very inappropriate. I mean it's something breakout you can't ruin. Right, exactly. Yeah, that's, that's a confusing thing to me that that pants sagging thing has lasted so long.

Speaker 2:          00:01:51       I'm so confused. What's confusing to me is that the young girls think it's cute. Do they think it's cute? Yes. You know, my niece lived with me and she loved them. They got a hell of they pants sagging real the father down the cuter. They look really? Yes. They get excited by that. My knees do with me. That represents, you don't have a job and you stupid and you look crazy and use an ass hole. I got a son and he's 28 and I was like, don't fucking let your pants Sag Sun. You know you can, you can barely get by now. Pull your fucking pants up. But he's not bad with it. He's not bad when it's like meet him. Well he's kind of fat so he ain't got no A's. So his pants just kind of sag on the old. He ain't trying to be cool.

Speaker 2:          00:02:34       That's how Joey Diaz is. Joey does. Parents are always falling down so much. So at one point in time you started wearing suspenders. Yeah. So sometimes I think my son Joey, I didn't say that shit. He did. He did. He was wearing fucking suspenders done with his fucking pants falling out. Bullshit you wearing. But he didn't last. It didn't last with suspenders. Exactly. It didn't want to accept the fact that he was a dude that wore suspenders. You know, this is a very particular type of dude that wears suspenders. Orgasm Golf. Who Golf. Yes. You got a bunch of categories. Gay, gay coffee shop is cause there's white dudes and dockers old guys who golf. That's who wear suspenders. Yes. Unemployed black means make that the best sex and the, yeah. You said they have the most delicious thick. I didn't say that's what you said. Delicious.

Speaker 2:          00:03:24       Delicious. It is what you said. It's exactly what you said. There's a difference between when a person is employed and unemployed, how good this stakes is. Really. I think so. I really do. I think a person who has a nine to five don't have time to really throw you against the wall at night because he got to go to work in the morning versus a dude who don't do shit during the day. Who can watch Jerry Springer with you and y'all can just practice on getting better and better and badder. So due to work too much. Don't have the energy to fuck correctly. I think so. Don't you think so about a woman who, fuck, a lot don't. But yeah, I would imagine that the women that work all day or exhausted, but I think anybody who works all day is physically. That's why I say unemployed Dick is the best.

