Speaker 1:          00:00:01       Okay,

Speaker 2:          00:00:08       boom, and we're live. How are you? Welcome to the show. I'm doing great Jeff. Thanks for her rehab. Close. There you go. I know you've done a podcast for. You did Tim Ferriss podcast. I heard you on that. Actually three of them. I think I did for three. Three really cast. Oh, I need to listen to the other two then. What is this one you brought me? Man, this is crazy. That is. Do you think I'm a drunk? This is what. This is. Maybe the dry farm wines. Guys think that this giant magnum. I'd have to have a party. It's a, it's a wine that's pretty legit in regards to if you want to stay on a ketogenic diet. And a, I tested this in my office actually and just found that to be. It's non glycaemic for one thing, which means it doesn't impact the sugar content is so low. There's not an elevation in blood glucose and uh, I can stay in Ketosis on this one if I do one glass two or three. Three starts to kick me out. But to glasses of wine, you can completely stay in Ketosis.

Speaker 2:          00:01:10       Most glasses, most wine will kick you out of Ketosis. Uh, yeah. I mean it's highly dependent on like a merlow. A dry wine typically doesn't, but a smart little more dry, uh, most of it, yeah, most of the time. Yeah. A white wines tend to kick me out more. And of course something like a sweet wine, we'll go bowling or something like that. Really sweet. Uh, St Maria, you know, that'll take you out very fast. Just sugar. And even beer does, even though it's supposed to be low carb beer tends to kick me out. Really Michelob ultra and maybe one, you know, one or two. But other than that, yeah, I mean I get that question a lot so it actually got me interested in studying this so I can answer some of the questions with some level of knowledge and after testing these wines and uh, I came to the conclusion, yeah, you can drink two glasses of wine a day on a strict ketogenic diet.

Speaker 2:          00:02:05       And I think this is important for people that are doing it to manage their health long term and um, especially people with actual health issues were ketogenic diet, ketogenic diet benefits them, like epileptic. Absolutely. Like when I got into this, it was a pediatric epilepsy like in 2007 or eight and now the applications are expanding, you know, a dozen or more. So we hold a conference and Metabolic Therapeutics Conference where the top tier people in academia and like from Johns Hopkins, they probably one of the spearheaded ketogenic diet application clinically and a top tier scientists from Yale and Harvard and other places, uh, present here. And it's, I think the applicate it was like 11 or 12 applications for the key to genic diet where there's good peer reviewed research to support the efficacy, uh, as a metabolic based therapy for a number of everything from, you know, polycystic ovary syndrome to acne to rare.

Speaker 2:          00:03:08       Even genetic disorders like Angelman Syndrome is something that we're studying, a, it's a, it's a genetic disorder where a housekeeping gene is mutated and it results in seizures and a motor function impairment and the ketogenic diet is remarkably effective. Uh, not. It's really drug resistant seizures that these kids have, and even in the presence of a persistent molecular pathology, a genetic pathology, the key to genic diet, uh, through altering metabolism with the Diet, you can largely silenced the pathology and the motor function impairments associated with this disease. And that, that's amazing to me that you have a disease that is persistently there due to a genetic mutation and you can largely silence the symptoms that is yours

Speaker 3:          00:03:56       in the interest of addressing people that are probably on the ground floor. And I feel like there's very few people today that don't understand what a ketogenic diet is, but just in case for people who don't know, there are people that use carbohydrates mainly for fuel. And then there's the mutagenic diet which makes your body run on fats and ketones. So try just kind of explain that to people, like how this came about. Um, how people started to, uh, researching this and how you got involved. Okay.

Speaker 2:          00:04:28       Uh, I mean this goes back to if not centuries, millennia, you know, dating, back to the time of hypocrisy when it was observed that fasting was a quote unquote cure for seizures and with the observation. Yeah. So fasting puts you into fasting Ketosis, right?

Speaker 3:          00:04:45       So even intermittent fasting, like I do the 14 hour thing where I, 14

Speaker 2:          00:04:50       hours, you know, that's, that's clinic. I mean technically that's kind of, I call that semi a semi fasted state when you achieve that, you know, when you're eating breakfast, it could be 12 hours or more a you've eaten last and you're breaking the fast essentially. But with severe epileptic patients, uh, it was found that when you, when they restricted food and in some cases water after about two or three days, you had profound seizure control or it silenced even the worst seizures. And this was observed, uh, you know, for Millennia, like I said, and uh, the, there was some work done in the, the early 19 hundreds and 19 twenties. Uh, there was some work done at the Mayo Clinic that I observed the presence of these ketone bodies and people that were eating a carbohydrate restricted diet that was primarily a based on eating fat and with a minimal amount of protein just enough to ensure there's not protein malnutrition.

Speaker 2:          00:05:49       And it was observed that there was an elevation of ketone bodies, Beta hydroxy butyrate acetate in the blood. So they called it a physiologist called it the key to genic diet. Uh, even technically, maybe Beta hydroxy butyrate is not a ketone, but physiologists called these ketone bodies, Beta hydroxybutyrate acetate and acetone, and it mimics the physiological state of fasting in many ways. So if you were to draw blood off someone on a ketogenic diet, it would sort of look like they had been fasting a few days, uh, because it's mimicking the way I think about it. It's suppressing the hormone insulin and kind of mimicking the fuel, the substrate utilization that you would be using in a state of being fasted, which is primarily fats, ketones. And, uh, to a lesser extent a of, I mean, a glucose from amino acids from protein. You are mobilizing some gluconeogenic amino acids from your skeletal muscle when you are fasting.

Speaker 2:          00:06:45       Ketones are protein sparing though, so they are anti catabolic in that way. So because we make ketones and our large brain has a massive demand for energy and the ketones fulfill that for the most part. When fasting, uh, it prevents us from breaking down muscle. Uh, it prevents us from liberating the gluconeogenic amino acids that would otherwise be chewed up and use to maintain our glucose levels. So the ketones sort of replaced the glucose. The brain has the metabolic flexibility to adapt from using glucose to using primarily ketone bodies in those ketone bodies really have a protein sparing. Anti catabolic.

Speaker 3:          00:07:22       No. Is this an ancient system that was in place back when people, you know, obviously couldn't go to the store and your diet varied depending upon what was available and it just allowed people like say, like maybe inuits that lived off a lot of fats because they really don't have many carbohydrates. If you're living off a whale blubber and things along those lines like they had to back then.

Speaker 2:          00:07:40       Yeah. Uh, I mean it's hardwired in, in humans and other animals. My, my wife Studies Manta rays and uh, and they, they're the, like the Einsteins of the sea that, so they're the fish with the biggest brains of all animals and we've done metabolomic studies on them and looking at the blood and they produce a significant amount of ketones, like two millimolar, uh, they dive really deep so it may help protect them from that. So yeah, animals will go into ketosis during fasting or even if you manipulate their food source, uh, the Quito pet sanctuary actually treats dogs that have cancer and they implement a key to genic diet in dogs, uh, in addition to some other things to help. Uh, and the many of these are our dogs from kill shelters and, and put them on an anticancer therapy program and they can get into ketosis for the most harder.

Speaker 3:          00:08:33       But most of them, most dog food is not kidogenic is like documents have grain in it, right? Yeah. For fillers and things along those lines.

