Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:10       and we live these gentlemen, we're live supporting the latest round earth Shell. We're just coming out with it. Round Earth. She'll tee shirts. Both Jamie and I get $3 per month from the federal government to tell you that the world is round and Mick West is a big part of it all. He is one of the main shills that tells everybody that he knows that he has a whole website dedicated to arguing against people that think the world is flat. Yeah. The differences that don't get paid for it. And stop lying. I know you're getting 3:50 per month. Yeah, I wish I did. I would have to pay for my web hosting and it's a command in my pocket and nobody pays me anything. See, Mick West is serious. He's not joking around with us. Um, what this is to be one of the most bizarre trends.

Speaker 2:          00:00:55       And Jamie, I think you said at first that you thought it was originally a troll. You thought that they were fucking around, like, I still think some people are for sure. It's. Yeah, but I feel like it started out with like four Chan or something like that, or maybe you read it, these crazy kids, these wacky kids, they decided to start trolling saying that the earth is round or the earth is flat. Some of it. But a lot of it is just people who, uh, yeah, they, they actually believe it. Yes. There's a lot of extra people actually believe it. And then there's people who see that this people out there who believe it and then they start like kind of egging these people on. Yes. And then it becomes really, really hard to tell where the dividing line is, who's actually trawling and who's actually a genuine, true believer.

Speaker 2:          00:01:41       There are absolutely a lot of true believers, but there's also a lot of people with like little green frogs in their avatar that think it's fucking hilarious. Yeah, I think it's the kind of, uh, that type of person that's kind of uh, adopted it. Yes. Yes, yes. Uh, you know, you talking a shit posting the other. Yes. Yes. And that's just something that you could do is if you want to just annoy people, buy shit posting, you'll just post a bunch of flood earth memes because the so infuriating to the average person. But I just kind of a what the heck is this person is posting and uh, you know, the shit poster enjoys that type of thing. I was watching a video with this guy was ranting on and on, and then it's not theory that we need to stop accepting that the flat earth theory, but that it's a fact. We need to start accepting the fact that it's a effect. He was hilarious when we find this because I saved. It is a, I think his name was like Vegan warrior or something like that. Which is always a yes. The Egan Warrior. He's a realist. It says it's no long. He's not only a flat earth or he's a realist. Yeah, I think I've come across. I think this is actually a relatively small number of people who were really active in promoting the flood of stuff on, on Youtube. What's in the world is that they

Speaker 3:          00:03:00       keep claiming that all the photos of earth are fake, but they don't have a single photo of this fucking ice wall that's supposed to be around Antarctica and they keep saying erroneous Lee, that you're not allowed to fly over Antarctica. Like, yes you are. They keep saying that there's no photographs of earth from space that they're all composites. No, that's not true. Why do they keep saying that? They keep saying that there's a fucking saddle is a bunch of satellites, but there's one from Japan that takes high resolution photos of the earth every 10 minutes. The full earth from 22,000 miles away.

Speaker 4:          00:03:36       Yeah, that's the Japanese hemaware. Yes. But there's also like a, as a US satellite that was just launched last year that goes 16 satellite, which is basically the same resolution. Pull this sucker right up to your face. And the Russians, the Russians have a satellite, a. everyone's got their own satellite because he's basically the way that satellites. So they put him like, uh, oh, uh, the equator so they can see their own, uh, their own country. So Russia has one, you can mostly see India, China has one, it's not as good as the other ones, but the Russian one is there like a, you know, the same resolution, 121 megapixels as the size of the image that I do. It's like a 11,000 pixels by 11,000 pixels view of the earth and you can zoom in and you can, you can see cities, you can see contrary cells and you can actually use these images from the satellites to actually match up with the views of clouds and controls from the ground.

Speaker 4:          00:04:27       So you can actually check to see if these images are actually correct, at least for where you are. Right. Then you could like finding friends and somewhere else and ask them like, do you have this type of cloud overhead so you can actually verify whether these, uh, these images are actually real on it. Well I brought it up to my friend Eddie and he said it's all fake. He said all the photos of fake, they look fake. I'm like, but how would you know what a real photo of earth from 22,000 miles looked like? Wouldn't look exactly like earth. And I think when you get to that stage of deep belief, you kind of have to believe that they're fake. There's no way, a real challenge. Like how do you actually break through that for somebody? How can you actually, um, convince them that something isn't fake if they just automatically assume it's fake.

Speaker 4:          00:05:11       And I think has, has the person actually looked in detail at these images, most people know and how they looked at the fact that, you know, you get one every 10 minutes. I went every 15 minutes and do a, you know, every single images is 121 megapixel image and the old matches up exactly with what the weather is around the world and it matches up with all the other side images. One from the Russians were on from the Chinese run from the Japanese. Uh, they all match up. And I really don't think that the people who say, ah spake, I've really actually looked. No, you're absolutely right there. They definitely haven't, nor nor do they have any desire to. It's a belief issue and it's almost like a religious issue. It's a really fascinating. It's completely infected. The world of professional pool players, really professional pool player, a professional pool players.

Speaker 4:          00:05:58       There's a guy named cj Wiley's, a top pool player who's 100 percent convinced the earth is flat. There's another guy named Max everly's. A buddy of mine out of his mind thinks the world is flat. I wonder if that's related to their like obsession with the table being flat. No, I don't think so. You'd have to make sure that the temple's level, but then they got this little round balls on the table as well, so that's confusing, right? Yeah. You got a little solar system going on with your pool balls. What's confusing is they're smart guys like you. We talked to them. You'd be like, this is a reasonable intelligent guy. Are they really believing that his blood 100 percent, they're not shit posting jewel. This unusual people, they go down a youtube rabbit hole and that's part of the problem is once you believe something, yeah, it's very difficult to unbelievers.

Speaker 4:          00:06:40       It is and there's so much out there. Yeah. If you tell people to do some research or the end up doing is just looking at more videos, the confirm what they. They believe that they prefer the ones that come from it of course, but it's just amazing to me that people would decide that all of these photos were fake so that they don't believe the world is round, but yet they don't have a single photo of this fucking flat earth. Not One one photo. Not only that, every planet you see is round. You can. You could follow them. You could look at them with with if you have a reasonable telescope, you could see the difference as the change and spin. I mean you can tell that they're round. There's a lot of flood earth. Have the same camera that I've got, which is a Nikon p 900 flat earthers have an excellent camera.

Speaker 4:          00:07:29       They have A. I brought one with me. They have like Nikon has a deal with the flat earth society. Is this, this camera? It's just like, it's not like an slr or anything. It's just like a $600 camera, uh, but it's got this really, really long a zoom lens on it, like a, it's like a 200 millimeter zoom lens so you can see, you can zoom in on the move and you can zoom in on the stars and planets and you can use this camera. I've used it a few times to actually take pictures of Jupiter and have a Venus Mars and you can actually just make out the roundness of the planet and the actual shadow of the sun use. You'll see Venus as being like the move and being like an arch and you'll see jupiter and you see the bands of Jupiter and you can do that with this camera.

Speaker 4:          00:08:11       And this is a camera that a lot of them have because they're obsessed with zooming in on things that are on the horizon, like ships going beyond the horizon. But if they just start, take the same camera that they haven't pointed upwards, they would actually see things in the. In the sea, the solar system, basically the rudy come be explained any other way. One great thing is the moons of Jupiter. If you look up a Jupiter really closely, even with some binoculars, you can see it's got these four little moons that are orbiting it. Then it looks like to just follow the lights in the line with with Jupiter and they actually move around in a regular pattern and they move around. They've got all bits of like some of them are thinking like 80 hours or something. So they move around really fast. Like everyday is a completely different pattern of these little dots around Jupiter.

