Speaker 1:          00:00:01       Okay.

Speaker 2:          00:00:04       Hello Alonzo. What is up, Joe? Good to see my brother, man. It is so good to be back. I'm out. It's my first time seeing the new joint. It's absolutely amazing. So I thought you'd been here the new spot, but no, like I said, you were building this when I did the last one and this, this when you said you could do everything here, it's like, yeah, this is the bunker. I don't live that far from here. Come on. So when the bomb hits, I'm like, yeah, I'm going to Joe's spot. Well, if you live in the, if you're in the neighborhood, you want to use the gym, it's always open. Thanks. Come on down. I'll bring canned goods. Bring Water for fires. Yeah. If the shit hits the fan, Bernie had me nervous. Bernie Sanders was just here. He had me nervous about climate change. Whenever someone brings up climate change, it's like a build that you didn't pay.

Speaker 2:          00:00:48       Like Ah, fuck. Yeah, it's, it's real. And, okay. So now I'm gonna do my first shameless plug for my new special, when I use it out now, August 23rd on Amazon prime, it's called the new wave of Amazon's because I'm very excited about them. They're, they're testing the water so it's good to be in. So, uh, it's called heavy lightweight and I call it that cause I do some heavy topics and then I mix it in with lightweight shit. Cause that's like if you do all heavy, like it's, it's wow. That was depressing. Yeah. And you know, and I talk about the climate change thing, but it's like, to be honest, like look, I'm a black man. 57 I got what? Like 10 years left. I don't give a shit. You know what I'm saying? Like statistically, God bless you. Millennials have wish you luck. But I had a good run.

Speaker 2:          00:01:34       So Nah, Nick's amazing for 50 cents. Thank you. Yeah, don't crack it. Well, and this is why I talk about right up until the day it does. Right. So like, like literally, right till the day before I die. Look Great. And then what happened? Some bitch died from what black been black. His whole life shit just caught up with him. You got fucking diabetes, sickle cell and high blood pressure and the same day and wave of malady. But no, but the, the climate change thing is real. But I think the big problem is it's slow. It's not dramatic. So people, it's easy to, to not think about it because you know that, yeah, the oceans rising, but it's an inch a year, which, you know, I may not, that may not be exact, but you know what I mean? It's a lot, right? So people don't, people don't see it with the urgency.

Speaker 2:          00:02:23       And I, and I think that's why you have the young congress pupil talking about it because they're like, hey, this is going to be in our lifetime. Right? But then you have the older generation where it's like, Eh, you know, it's interesting. I'm pretty sure, and we should check this, make sure this is correct. And I think we learned about this from Randal Carlson, that they increase CO2 to rates also increases vegetation because vegetation and greenery, they use go use carbon dioxide, right? Yeah. The increased rates actually this is like one of the greenest times ever. Yeah. But

Speaker 3:          00:03:00       I wonder how does that offset versus the, there's less land for these plants to grow on. You know what I mean? Like, so when you look at like rain forest jungles being with like that like is the opposite of that was they say that it's makes it harder for them to grow. When, what article says that? Uh, is there any articles that say that's not the case because it seems like that's not something Randall would lie about. He was talking about how um, this is like one of the most, uh, green times ever in the increase of forest and in green trees. I guess I'm seeing both of them then. So the very first things that pop up are high carbon levels, make it harder for plants to grow from ThinkProgress. Second thing, increased carbon dioxide levels and air restrict plants ability to absorb nutrients from science.

Speaker 3:          00:03:48       Dot. G. Dot. Se to another country. I think Sweden, yes. About think progress. Sounds like a bunch of fucking hippies. Bunch of tree hugging mission. NASA says though, it's making a greener for now. Yes. So I would buy that. The thing about that thing, and this, it didn't this funny like with science you have to check because you have to see if there's a political agenda. NASA one you have to see if there's a political agenda behind the science, right? Yeah, for sure. But with NASA, I'd go with what NASA says. I think there they say go, scroll back up please. Uh, CO2 is making the earth greener for now and then says, uh, a quarter to half of earth vegetated lands have shown significant greening over the last 35 years, largely due to rising levels of levels of atmospheric carbon dioxide. According to a new study published in the Journal for Natural Climate Change on April 25th.

Speaker 3:          00:04:40       Yeah. See an international team with 32 offer authors from 24 institutions in eight countries led the effort, which involved using satellite data from NASA's moderate Resolution Imaging Spectrometer and the National Oceanic and atmospheric administration's advanced, very high resolution radio, radio meter instruments to help determine the leaf area index or the amount of leaf cover over the planet's vegetated regions. The greening represents an increase in leaves on plants and trees equivalent in areas to two times that continental United States, Blah-blah-blah. So Randall's right, I think, but I think, uh, either way we're fucked. And then on top of that, we'll just be, we'll all die in a very green planet. How much, if everything melts, if the polarized caps mount, like, where could we, can we live in South Dakota or some shit? I don't know. I don't think so. Make it in. I, I don't keep inside, you know, I don't think so. Like, like, uh, you know, they want California to fall into the ocean. Right. You always hear that Texas. It's like, yeah. And the title wave will kill you. Yeah. You know what I mean? I don't know. Um, I don't think that safe because it would be such a drastic, I mean, right, so much

Speaker 2:          00:05:58       of the earth's weather is controlled by the polarized caps, the magnetic poles, the, the rainfall, you know, glaciers and it's all interconnected. Right? That's why the hurricanes are getting stronger, right? Yeah. So if you lose like the oceans controlled Earth's climate because the Wa, you know, having to do with evaporation and so on. So anyway, for sure you shouldn't be getting weather information from you or me. Listen, we got to two experts, scientists here. We've been, we've been talking about this for minutes and they get better for hours. All totaled over our lives. But no, it, it's um, it's real. Yeah. But it, but it is something, I think it's definitely younger people are going to be more interested because it could be a major thing. Like if you're 30 now when you're 60, this could be a real, real big issue. It's a bad time to buy real estate in Miami.

Speaker 2:          00:06:58       No, you don't want, you know, when is a good time to buy real estate? A lot of coconut and you'll get a party if found out you have stage four cancer, but you do have a large bag that, you know, I love that you mentioned that because this is been a thing. So the the weed industry be illegal, right? And they say there's all this money that people can't figure out what to do with, right. The banks don't want it. Like Miami was built with cocaine money. What happened to those money laundering guys who cleaned up all of that money, built all that real estate. Like where are they now? Different era. I can't believe that there's not people out there who can figure out how to clean this weed money and boost the economy. They will be able to figure it out. But it's going to take a long time.

Speaker 2:          00:07:46       And the people that are trying to figure it out right now, like the, the weed dealers that are selling it legally, but then have all the stockpiles of cash, they've got their halftime, they hire hire mercenaries and they hire blackwater guys. And Shit. The fucking special ops guys to watch their money, they really have to. Um, my old, uh, Condo I rented out, right. So I was renting to a guy, his business was, he handled the credit card transactions for the weed places for the dispensary's and stuff. And you know, the bank shut him down and this, and he didn't pay the rent late. And I was like, I got the only guy in the weed business who can't make money like I'm renting to, there's one guy in weed who can't. I was like, listen man, I take cash. Just pay the rent. Like, like how can you, everybody's buying it, selling weed on credit cards and you can't pay your rent.

Speaker 2:          00:08:38       How did I end up with this gun loser? People are flying here to get some weed. Yeah. They tour, they tour tourism and my guy, nothing, you know, really took it on the fucking Chin is Amsterdam. Remember when people are talking about going to Amsterdam, let's go to HIMSS dam to get high. Yeah. They can get high here. Stupid. Right? Nobody's [inaudible] windows though. That's true. They still got that. That's true, but been there before you, if you could just see the line of, if you see a video montage of all the guys coming into this school, you're like, oh, oh, oh just over the last couple of weeks. Joe just ruined Amsterdam tourism. Yeah. Amsterdam tourist board is like, why is he picking on us? What did we do? Well they have good fights over there, but they fucked up when they made mushrooms illegal. They, they, they stopped people from selling mushrooms and the cafes.

Speaker 2:          00:09:32       Now is that because it is, why would they do, I don't understand why they would do that cause I was wanting to say it's doors they can regulate, but no, it's dorks go over there and blow their brains out. They eat too many mushrooms and freak out and try to jump in the river and you know, that's what it is. It's dorks. It's always dorks. They ruin everything. Yeah. Yeah. You know, it's one of those, it's weird. It's weird to me cause it's like, listen, if you can hit get a handle on your drug tourism, you know, just don't do it. But I don't know. It can be done correctly. I think if you want to do drug tours and correctly, first of all, you need to check people, make sure they're okay, find out what kind of medication they are and like do a blood test on them.

Speaker 2:          00:10:12       Find out what kind of medication. Oh look, you're on SSRI. He didn't even tell us, hey stupid, you're not supposed to take this stuff. This is gonna fuck you up next. You know, and, and really, really test them. Then, you know, find out about their psychological history and start them off with a nice light dose today. Today's Tuesday, today we're going to give a nice light dose, like a half a gram. We're just going to say that you react. That would be it. Just, just, you know, this is how much you get in. See how you react. Exactly. And then, then come back on Wednesday. Right? You think about it for 24 hours. You come back on Wednesday and Wednesday we're going to give you two grams. Yeah. And then we go, got to cut you off. Yeah. And then you come back on Saturday and you get that five grand.

Speaker 4:          00:10:58       Oh

Speaker 2:          00:11:00       yeah. Just do it right with doctors nearby and ivs filled with vitamins. I'm sure that's why they don't because who's going to pay for all of that part to works, you know, the same door they would pay if you had like a, if you could save up your money and have like a real safe mushroom trip, like a legit safe mushroom trip at a medical institution where they've got everything locked down and everybody's safe and the mushrooms are safe and yeah, people would pay a few hundred bucks for that. But I haven't done mushrooms but would that, no, you want to try it? No, no. Thanks man. I'm retired man. You know that from everything. Yeah, yeah, yeah, yeah. We talked about this like when did you retire? Uh, 88 oh yeah. That's crazy. Yeah. I mean, you know, itch. No, no, I, you know, I've been high enough that I don't feel like I'm missing anything.

Speaker 2:          00:11:52       So when you talk about it, it's like fascinating to me. But then, but then there's also that case of like, now, like I don't want to be that high, you know what I mean? But, and again, I don't knock what anyone else does, but this is what I wanted to ask you. If you did it under those medically supervised conditions, would it still be as much fun? Yeah. It's fun no matter what. As long as they leave you alone while you're tripping. Yeah. Long as they don't bother you, you know? Okay. I mean, I, like I say, I have no idea. I have no frame of reference, so I can't say like, that would be, you know, not be cool or whatever. I don't know. Fuck with CBD at all now and good for you and it doesn't get you high. Yeah, I know. And I don't, again, I don't knock it.

