Speaker 1:          00:00:00       Oh No, no, here we go. Good. Here we go. Three

Speaker 2:          00:00:11       to live. Boom. We live. Gentlemen. Joe Freda. Hey, good to be here. Good to see you guys. It's happening. Not much. We're in Sunny California. Yeah, it's a too close to the sun. A little bit barbecued over the last week and a half. I've been hiding in a hotel for six days.

Speaker 3:          00:00:28       How proper that we're here to talk about, uh, the apocalypse.

Speaker 2:          00:00:32       I was going to say your book is Joe Beef. Surviving the apocalypse. I'm a cookbook for surviving the apocalypse. What is the, what's the purpose of the, uh, the title? Just a goof.

Speaker 3:          00:00:43       We haven't written a book in years. I don't think we really wanted to write a second book. Uh, when we started getting a bit of pressure to write a second one, we Kinda, you know, laid down the gauntlet to the editors and said, we're going to write what we want. Are you in, are you out? And they said, well, you know, show us a little bit of the framework of that this is going to be. I said, I want to talk. I mean, I'll cooking doesn't define me or Fred to stop all that we do. Like it's, you know, you see some people, they seem to like eat live and breathe cooking.

Speaker 3:          00:01:13       I said, no man, I'm into the outdoors. I meant the mushroom picking. I meant the fermentation of berries. I'm into canoeing. I know all about canoes. I love swimming in lakes. I want to talk about multiple subjects. I want to talk about the native Mohawks of Quebec. I wanted, you know, so I said, let us write a book about the multiple subjects of which were into, you know, a joy. If we're not cooking, we're building first they'd get in survival gets for real, really goes to like ll bean. He has a lifetime membership there and I have an off grade cabin up north, like north of Montreal, about an hour and a half. You can only get there by, by boat, a say kilometers from the landing, a 2000 watts of solar power. Completely off grid. You can't even, you can barely walk in because of the jagged cliffs all around it. And behind me is an old growth forest that's protected federally and I have a suture kit and salient my car always cars outfitted, like he's got shovels on the roof and a propane tanks on the roof. Two years ago I drove to Alaska down South Arizona, back home. Wow. Twenty thousand miles.

Speaker 2:          00:02:25       I grew up in Boston and I did stand up in Montreal for the first time I think in like 1991 or something like that. And I remember thinking Boston was cold until I went to Montreal and I went, Oh, this is a different things.

Speaker 3:          00:02:40       We had the polar vortex last year come roaring through. I think all the pipes blue in all the restaurants I'm sure like January second, you know,

Speaker 2:          00:02:49       boy, I was going to say is, do you think that living in such an extreme environment in a beautiful city, amazing city, but it's an incredibly harsh environment in the winter. Do you think that makes you more,

