Speaker 1:          00:00:02       Me,

Speaker 2:          00:00:05       as we prayed, sadness that I tell you that this Joe Rogan experience is not brought to you by the fleshlight. We've come to the end of our long road with the flashlight and they've been. They were the first sponsor ever on the Joe Rogan experience podcast and we appreciate the fuck out of that. They took a chance when we were on a laptop, what snowflakes in the background, and we did two hard years together and we hope to really hard years. We hope that we sold you a lot of fake pussies. That's what we sincerely hope. We hope that our relationship was profitable and we just want to say that you guys are cool as fuck and we enjoyed working with you and best of luck and all you do with your rubber pussies in the future if you have a solid product. And it was an honor to represent you to the field of battle sharing this moment of silence real quick. Okay. Do what? What mobile ready?

Speaker 2:          00:01:03       Okay. We're good. We're, uh, we're not sponsored by alienware. People keep asking because we changed the laptops. We only are doing this because I think it's a good idea to support companies who support mma and alien ware to stepped up and they them and Dell. That's a big deal. When a company like alienware start sponsoring fighters. I mean when I see that alien logo on fighters shorts, that's a big deal. To me. It's like that's a big fucking company. Like an Anderson Silva was burger king. I don't eat burger king, but if I was going to eat burger king, I would eat burger king because they sponsored Anderson Silva. Not that Andersen needs it as much as like mma gets a lot of these fighters, what they get in, how they get

Speaker 2:          00:01:46       money for training and to pay for. It's not just their salaries from fighting, it's from their sponsors. So if you see young guys and they're fighting, you know, for 10,000 bucks or whatever it is, it's not. You don't get paid a lot of money when nobody knows who you are. You get paid a lot of money when you can sell tickets. But what keeps these young guys going is, especially companies like alienware, like really high profile companies, when they start putting the logos on your shorts, that's. That means that there's a big company that's invested, there's a big company and it's stepping up. I think that should be rewarded and that's why we decided to do this and we're, we're working with sucker punch entertainment and alienware MMA and they hooked us up with some laptops and we're trying to support a company that supports mma.

Speaker 2:          00:02:31       And by the way, these are not cheap laptops. They're fucking expensive, but they kick some serious ass if you want to play games on laptops, these things, the shit. And people are like, well you can make yourself for cheaper. I maybe you could make a laptop, I don't know how you could buy shells for laptops and you can kind of do it, but you're not going to make a fucking alien if you can afford it though. They are the shit. I mean these, the frame rates and these things are ridiculous. So you know, you watch full resolution on these things, but they're very fun when I'm using it. Even Three d, which is a fucking trip when you're really, really baked in, you want to play some games in three D in your bed. Yeah, it's, it's a very solid gaming laptop and we support them.

Speaker 2:          00:03:11       We support a alienware period for nothing for free or sort of sort of free shit and laptops. Get a little money out of it. So, uh, we are also sponsored by [inaudible] dot com. That's o n n I t, makers of Alpha brain. I haven't even mind yet. Fuck. I'm getting insecure now. Did you hear that on it? Rattle snake. Is that the onnit rattlesnake? I'm Scott. My battle rope. Just got battle ropes in the mail. It'll tell me some of the time. Your brain time to get caveman style in the backyard. Scare the neighbors, you know, bitches know. Yeah. When you hear your neighbor to kettlebells in the backyard here, that's dude like you probably not gonna wanna. Invite that guy. Barbecue. Fucking Weirdo. Especially human noise. You make me uncomfortable. Like when we go work out together, if you look, if you're working out correctly, it's really hard, you know, you gotta work out to the point where your body's failing to with a ball gag in her mouth and they basically have something like that.
