Speaker 1:          00:00:19       Oh, strange

Speaker 2:          00:00:46       editing this song, all we remixing it and everything. Video that's about to hit. What does this bear call it? What's her name? I bought a bunch of their shit on iTunes and all these Austin people were talking shit about them. Yeah, well they just say that to them. It's like, like a, uh, what was that band? That cheesy band? Uh Oh, nickel bag. Nickel bag. It was like nickel back to them. And I'm like, I don't care. This, this song is Badass. Ladies and gentlemen, joining us on the podcast is the Great Russell Peters from points unknown. My man's a and soldier.

Speaker 3:          00:01:20       They're making it happen. Made it free world. We are sponsored as always by the fleshlight. If you go to Joe rogan.net, you ever fucked one of these things? Fine. No fill it. No one's fucked that you don't have to worry. That's the, uh, the tissue. There you go. Now you know, patent, if you ever wondered, now you know, oh yeah, they're great. I don't want, you know, it's, it's, it's very embarrassing when you're done, but when you're doing it, it's awesome. The fact that you've done this word guilt jazz does your fucking, you've hit the bottom like you fucked a rubber pussy but, but it feels great. And if you go to Joe rogan.net, uh, and you type in the password is Rogan. If he clicked the link and type in the password, Rogan you get 15% off. So it's cheaper to Pete off. There you go.

Speaker 3:          00:02:06       Save some taxes. Kids Save the taxes pitches. Um, this is the two year anniversary for Twitter for me. Brian today, two years in RC for Twitter. Really? Years ago I got on Twitter. I don't know how long I've been on two. I'm not even good on, you can imagine being free of it, but I'm at a restaurant Bro. I have to like put, keep my shit together. Don't check the iPhone. Don't check the iPhone. Yeah, right. I'm sure it's fascinating and I might just want to know what's happening. Yeah, you never know. It could be some fucking revolt and I ran some shit. Could be don't going down right now. Wiki leaks as you speak. You up on the Wiki leaks, man. Do you know, I don't really know what's happening with the wikileaks. Is it one of those things that you would normally pay attention to and you just avoiding it or are you just not know? I really just don't know what's happening railing. You don't know anything about the story. I know that this guy don't leaks some like stuff, but I don't know what he's leaked. Have you ever been to

Speaker 4:          00:03:00       Wikipedia? I have been to Wikipedia, so at least you're half there and such. Don't trust Wikipedia cause you're can, yeah, I'll try and to anybody's information. Sure. Right. Wouldn't it be hilarious if someone was just sending over some bullshit documents and you know, he thought that this was all US military shit and it was actually just some fiction and somebody made up to see how much you can manipulate the press. That'd be a good spin for them. It's possible. You know, look immediately smart. They was immediately smart. Yeah. Well the media that can be calling him a rapist over and over and over again. Rape, rape, rape community right there. CNN. This is the thing he didn't, they're not even the women are not even calling it rape. But Sweden has some of the most liberal sexual offense laws. Like they have really crazy laws.

Speaker 4:          00:03:44       And in Sweden if you like, if you're like having sex with someone in the condom breaks and you don't tell the person, then it can be considered rape because you ruin. Yeah, there's a lot of weird shit man. If you know there's raped by coercion and there's like instead of pimp game, which is, you know what you'd call it in America, have some flavor, no how to kick it. So the girl gets confused and fucked you. What you ordinarily wouldn't in Sweden, that shit's like a crime. Like they're making being clever to get pussy a crime and that is hilarious. They want weak sauce. Have you ever seen watered down milk? Ever seen the pictures in the Ikea things in Dubai? Yes. They're all was very dumb looking at us. So it was a guy lifting would. Yeah. Do you the last thing you want as a culture like that, a non fucking flavorful culture, you know, anything, nothing clever comes out of their Abba.

Speaker 4:          00:04:33       People shouldn't be shame, ashamed of sex. If you shouldn't be ashamed of sex, then you know you shouldn't have somebody fucking crazy laws where people do dumb shit and fuck. A lot of times when people fuck, they feel bad afterwards. You know, they've, I shouldn't have done that. I have better morals in this. What's wrong with me? What if my family knew? Well, tough shit. You shouldn't be able to cry. Rape, you know, and a lot of people can, you can just cry. Rape. You know, there's a lot of feminists that absolutely believe that if a woman feels like after the sex is over, that somehow or another she was talked into this or manipulated, that she should be able to file charges for rape. It's like buyer's remorse. It's crazier than buyers. Rutgers, it's the most ridiculous shit ever. Real rape is terrible, but this is just as bad as real rape the other way, you know, cause they're raping the man.

Speaker 4:          00:05:21       Yeah, you're, you're, you're raping someone of freedom for doing something that's natural that you want it to. You fucking skank has you dirty bitch. You know you wanted that deck. They all want it. They want it. It's natural. If you're fucking heartbeats and you're young and your body moves right, your want some Dick. All right. I would get in so much trouble if I was involved in that country at l. I'm of course you would. We all would. Anybody who lives in America, anybody who lives in a land of where there's a fucking game going on. Okay. All right. This is a reason why comedians become comedians in the first place. Be Honest. There is a, there is a vaginal call, Goddamn game going on and there's a, there's a, there's a game going on, you know, as far as like a human interaction, you can't flavor down, watered down the game for sex.

Speaker 4:          00:06:05       You know, there's a Pr, the personality game is the reason why all art comes from, why do you think biggie smalls was such a fucking good rapper? Because he wanted to be the man so we can get some pussy. Okay? He wanted to be a pimp. He wanted to be a player who want to be a dude at the top of a pile of money. Why? Because that's how you're going to get the pussy when you're ugly. Fuck. It's the best in your face. The best shit you got bitch. And if the best shit you've got gets you locked up for coercion cause you were paying at two chicks at the same time, you're going to have a flavor list fucking country. You crazy. Cons and Sweden just cause you make good cheese. Don't get crazy. That's not the same country, right? It's social. In Sweden they hold beer very well in Sweden.

Speaker 4:          00:06:43       They hold beer, they can take it and they make cheap furniture. Oh those Paul Saint Pauli girl. There's going to get cheap furniture and strong by the way that does not a dis against Switzerland was just joking. Whatever. If you're from Switzerland, you get all uppity. He didn't know that. We don't make the cheese, bro. Come on. These are jokes, man, and make cheese and chocolate and not jokes. Just jokes man. But Sweden's got to lighten the fuck up, but it's weird that they can fucking Interpol warning and they're trying to export, export this guy back to Sweden from fucking London for having sex without a condom. That's ridiculous. It's amazing though. It's so wait rans parent, he had sex without a condom and that's one of the condom broke or some crazy shit. It's like they're not revealing all of the details, but no one is saying that.

