Speaker 1:          00:00:01       Okay.

Speaker 2:          00:00:05       The Joe Rogan experience podcast is brought to you by the fleshlight. If you go to Joe rogan.net and click on the link for the fleshlight and entering the code name, Rogan, you will get 15% off the number one sex toy for a minute. Did I give you one last time? You got my brother? Nice tight one. All right. Buckle up bitches. Michael Chavela was in the house. This would be the spot where it played the music, but I don't have any here. My, my assistant is not here. So we're going, we're going commando style. It's good to be back here, brother. Good to see you. My friend [inaudible] nationally known and locally respected Michael Chavela, my pal, my, my, my colleague. Yeah, you're like, uh, we are, we have a, an interesting friendship. You know, where this is only like a few of us that do a, this, uh, martial arts commentary shit, you know, professionally a small handful.

Speaker 2:          00:00:58       Yeah. You know, so it's, uh, it was always, it was cool when I first met you. You know, it was cool. It was cool. You're a good dude. It was fun to hang with you, man. You too. We first met in Edmonton. Yeah. After your show there. Yeah. Yeah. It's, it's always nice when you know someone else does what you do when you actually liked them, you know? Very true. Very true. Thank you. Yeah, for sure. No one's better at the k one shit and there's no one better at, at Moitai commentary than you, man. You're the greatest. I listen all the time. I watch that HC Nan, I told you when you got here, when it, Mike and his wife got here, uh, I was, or his fiance rather. I was fucking working out in the garage with his voice on the TV. Yeah, I got it set up.

Speaker 2:          00:01:35       So there's a TV back there and that's all I ever watch. You'll sit up out there is insane, man. It's so nice to, it's crazy. I can never, I have no excuse for not being in shape. There's you as a gym right there. Yeah. I can't, I don't have to go anywhere. I step out of my house and water into it, man. It's nice. Nice. That's good to be here. This has been a long trip. It's in the final stretch now. Michael's thinking about moving here, ladies and gentlemen. Yeah. He might move to United States of America, so long way to travel brother. Every two weeks from Melbourne to La. Then wherever we do the shows on HD net and all the way back home. Then when I have to go to Europe, like before I came here, this trip I was in Europe in the last month I was in Europe for Bama.

Speaker 2:          00:02:12       It's just, it's how far is it to Europe from Australia to get to, let's say Italy were just ones before this trip, 35 hours from the time I left my house to the time I arrived in Rome was like 35 hours. Oh my God. Yeah. That doesn't seem like it would be right. It seems like you're in the wrong way. It seems like there must be a quicker way. Can we go the other way? Can you go over the pole, the wheel back around like superman? Did you otherwise? I mean that's like, that's like flying from Sydney to Melbourne by going all the way around the planet. Yeah, but going the opposite way. Really. Yeah. Well where is, is there another way to go? No, there's not like it would be a way to go. That's shorter. We have to go from a, we got Melbourne up to Hong Kong, then from Hong Kong we switched planes and fly across China, Russia, Siberia.

Speaker 2:          00:02:58       I need a of the [inaudible] to really wrap my head around this. I'm gonna need to look at a map of the world. It's nuts, man. We very far away. That's what I was used. Travel so much. You know you were just on a holiday recently and you said you saw a lot of Aussies around. You also use a traveling because Al Della is good and you'll della sucks. So it's a good time for us to travel. Yeah. Everything's cheaper than the moment does at work, man. After all is killing. You'll della for the first time. I can ever remember in mind in my life. Well, I never knew whether or not you guys have a strong dollar or a weak dollar, but what I, I'll never understand the dollar. I'll never understand. I don't understand how shifts and moves and I didn't understand how it has is so strong.

Speaker 2:          00:03:29       It's such a small population as well. How there's the same amount of people. Okay. There's the same amount of stuff and then somehow or another boom, there's not as much money and things are closing like it's, it's, it seems a logical, it seems like if you look at it just from a pure resource based standpoint, okay, there's a certain amount of oil is a certain amount of wool and they're starting to my plastic, certain amount of material to make things certain amount of desire and need for these things. So once money gets moving, it pretty much stays moving. What, what is it that creates some giant hiccup that fucks the whole system sideways? I mean if you watch like inside job or any of these movies on it, you get to find out what it really is and see how deep the corruption is. But to a lay person like myself who knows very little about economics, it almost seems like it can't happen, but just even countries getting into debt and I'm like, grace, grace is almost bankrupt on what did they do when they run out of money?

Speaker 2:          00:04:22       Now what does someone by grace, we're right there too. You know you guys were on the brink of it as well and what happens when that happens? I mean they'll know. It's like several trillion dollars, trillion dollars. Who Do we have the money to understand who your barn is it other countries? If every country in the world is in debt, is that the game? That would be the most ridiculous shit ever. If that is the case, that would, it would really, it's someone needs to write a book about that. The world as bankruptcy because if that is the case, every country in the one that we have to figure out who they might own the money money too and once you find out who they owe the money to, then you find out the new world order. Exactly. When you find out the real CFR and that might be grace and now America is taking me to listen from Taiwan, how to spend too much money and not be able to pay it all back.

Speaker 2:          00:05:07       We were talking about this before, you know Michael's been doing the k one commentary forever and all the great k one events, the grand prixs, the k one max and the Max Grand Prixs and the finals and fuck you call it some amazing fights, but apparently it's just not as popular as it used to be and now I'm there. They're hurting financially unfortunately. Wouldn't be Tom Financially, most of their top fighters money that a lot of this stuff, money as well. It's just not coming, coming through. So without the money to be able to pay for is how do you, how are they even going to stage a grand Prix this year? How is the rain going to get to defend the title if you can afford it? Yeah. Alistair's and your butter, Harrison, he's sent me Schultes and you're removing on jet skis. I really don't see how that isn't a home run.

Speaker 2:          00:05:51       If somebody wanted to pick it up, you know, and I, I talked to Dana White about this, I said, dude, if you ever thought about buying the k one and it's like, can people don't give a fuck about k one and it's like, you know, people you know, don't want to see kickboxing and sort of like pka karate kind of like ruined it. Like there's some really good fights but people, you know, MMA is so huge and it's so popular that it almost be like, and I saw his point, it's like almost like creating your own competitor or something like that or building up a business that doesn't exist and but, but that they product though is pretty much one, somebody sees it then you're hooked on it. Yeah, but that's what I'm saying. It's like, you know, you, people might say that like some kickboxing never took off or maybe maybe he's not.

Speaker 2:          00:06:33       As, I know Dana doesn't spend nearly as much time watching kickboxing as I do. I'm a, I'm a huge k one fan and I love watching it. I watched it all the time. There's guys who don't get into like Eddie Bravo can't get into it, man. He goes, I tried to watch, I can't watch it. I mean maybe it's just, cause I started off in striking base martial arts, so I can appreciate that Giorgio Petrosian or the massage autos and those kinds of characters. But to me, man, how the fuck do you not want the k one heavyweight Grand Prix? I said, ever been anything but fucking crazy. Exactly. Every year. I don't think I can remember a boring grumb pre might be like, oh three Oh four when Remy want to both times and both times you went like the distance in every fight, every other Grand Prix has been amazing.

Speaker 2:          00:07:15       Really is an interesting case, isn't he? He's so technical. He's an interesting guy and we're a lot of fighters don't like him. A lot of fighters don't like his personality. They don't like what he represents. Remy, he's an interesting guy. A gentlemen. Yeah, like an absolute gentleman. So well mannered. But then you also have to wonder if that is not just foreign. It's in public. A lot of the fun is not unlock remi. I personally liked the guy. He's a cool guy. I don't know if he's a guy, could spend 24 hours. We thought hanging out at nightclubs or parties with always a gentleman. But you know, I never see many of the other fighters hanging out with remi for the people that don't know what we're talking about. This is k one deep inside shit. Remy is Remy [inaudible], who is one of the greatest kickboxers, uh, to ever come out of Holland, which is one of the greatest kickboxing centers in the world where America has really kind of lost touch with kickboxing.

