Speaker 1:          00:00:04       That's fresh.

Speaker 2:          00:00:06       Yes, we're live. Ladies and gentlemen, we're live and we're here to talk about Brendan Schaub shoes. Those fucking shoes that you wore to the Mayweather. Mcgregor fight. What in the fuck you bought? Those are they, someone gave new and some opinion. Aware. Yeah. Fill me duties. Paying me like Jared Leto sense what? Brian sent you a video of him. I was like, Oh God, he's going to judge me. He's going to judge me so hard and it's part of you though. I like it, man. Fanny pack. I got to shut the fuck up no matter any, any time where there's any sort of fashion discussion. I just got to shut the fuck on. He backs make sense though. The only, the only tap shoes you are you like a handmade from from Britain are delicious. Lots of black hole. What the fuck is that about? Game of Thrones shits.

Speaker 2:          00:00:54       I'm Khaleesi buckle that. I just can't get a number. What's the beat and the bag? Is that a B? It's a gold be sun. I get more cots. Gold? Yeah. Is this like one of those that black or blue dress thing or it just looks weird picture. I get more compliments on the shoes then any shoe I've ever had. And then hold on. Mr. Ryan, you, you're six foot four gorilla scared of no j Lo I saw Jayla she goes up your shoes. She goes, I love your shoes. I want, she does. She's a check the check station code sign while she's probably also trying to make a rod jealous cause they probably been together long enough where she's starting to feel bored. Yeah, he, Raj was just trying to basic the crackle going Jamie, does that look like gold to you or am I going blind?

Speaker 2:          00:01:37       That's a gold beach. Go, go back up to that. Let's go ahead and see that the bucket was like silver. Yeah, I guess so. Go Lock. Make it larger on that. Oh is it? I mean I just don't get the hate on those but I'm looking at him and they are gorgeous. It's so gross. And then on top of them being gross, they have sneaker lasers which makes him even more stupid ass. It's just not for you. I guess. It's like a light gold. I'm thinking of like, you know like hold on that one. Oh No, you're right. How? Wow. Wow. Those are gold TV suck. Is it a contrast then? That one looks different. That one's better. That looks totally like good. I have to walk the red carpet after Bruce Willis in those shoes and some guy goes, killer boots man. Like a dumb and dumber.

Speaker 2:          00:02:26       I'm like, yeah, Bruce Willis, that old ass can't pull these off. Everyone started laughing, but I think he heard it. I was like, Oh, Mr. Die hard. Please, please don't. Please don't judge me, but I will. We'll kick you and these things don't get it twisted. The St the movies. Yeah. There's something about like leaving that foot, that buckle mark on someone's forehead. Embarrassing just for claim guy and skinny jeans and those boots whooped your ass. That's embarrassing. Do you remember when Pete Williams had kicked Mark Coleman? Oh my God. It was just like, why can't the world sound like a bat? It was a, it was also like one of like what the fuck? Like, who saw that comment? Like we thought that Pete who was a young guy is dealing with Coleman who was just all super gorilla, Super Carrillo and then you know, Pete wore his ass out and landed that perfectly place head kick.

Speaker 2:          00:03:14       If he had that buck on dead, you would see that mark forever. That Gucci. Gucci. Yeah. I mean Pika, I'm tired people. I'm such a bad mother fucker back here it is. Boom. Got that Async label on his face though. Yeah. Damn Joy. The may six, that was a big, that was a bad week when, damn that dude is steak and chicken drug tests. See that. If you had that mark like that, like your boots on boom. And just I'm thinking Hootchie Gootchie baby. Yeah. If you notice Pete kicked him to choose on last fights that you can kick people. He thinks I'm more like with the point. Yeah. Hell yeah. Uh, doing a wheel kick, like a spinning heel. Chicken some boots. Yeah, I guess. I think with the heel kicked out, quite honestly doesn't, I don't think it matters. It lands, it lands well. It's so there's so much power in that cake.
