Speaker 1:          00:00:03       Three, two, one.

Speaker 2:          00:00:09       Got a little thing going on here. Now we'll circle co Jeff, merry Christmas. What's up, Joe? You to live it. Not been the easiest week and in my life or my career as last week, but hanging in there to make this a standalone so the people don't have to go figuring this out on their own and I'm sure many, many fans are 20 and already know that. The gist of the details. Let's lay this out from the beginning. John Jones initial failed test. Yeah. So that was July of 2017. He tested positive for approximately 20, anywhere from 20 to 60 Pika grams of a longterm metabolite known as the m, three metabolite of a substance called to hydro chloral methyl Testosterone d, Hcm Tea, also known as oral to rentable. And this was over a year ago. Um, what was determined to be the source of this stuff? Never determined what the source was.

Speaker 2:          00:01:07       So John went through a full arbitration hearing, was never able to determine where it came from, tested all the supplements he was using, you know, went through many interviews with Usada, had a full on arbitration hearing. Uh, the source was never determined where it came from. Why was this suspension so low or so short? Well, it wasn't determined, so I mean there's many factors that go into what that suspension was. I would argue in the totality of the evidence that was presented in that arbitration, that it wasn't a short suspension. Um, because really one key thing came out at arbitration. So John went to arbitration before an individual by the name of Richard Mclaren. Richard Mclaren has an arbitration group up in Canada and Mclaren is probably worldwide known as one of the most credible guys in anti-doping. I know you had the ICARUS producer director on the Mclaren report was the report that came from all that.

Speaker 2:          00:02:07       He basically investigated the Russian state being involved in doping and Sochi Games and put out actually a series of reports on it, detailing that up to 1000 Russian athletes. Um, you know, we're breaking the rules and the Russian laboratory was helping them get around it. So he's a very, very respected guy. He's independent of obviously the UFC. He's independent of Usada. He acts on his own and his determination was his determination, and I'll read you kind of what he said. He said, I find that all evidence available to me leads me to conclude that the violation was not intended, nor could it have enhanced the athlete's performance. So a non-intentional so not intentional ingestion. I mean there's no argument that it was in his system that he found the evidence to show non-intentional use. And then he went further saying that based on the numbers of what he saw in the evidence that was not even a performance enhancing benefit afforded to John for having this longterm metabolite in his system.

Speaker 2:          00:03:10       And I think that's significant when you talk about hey, 15 months was that, that's kind of light being that this is the second time through. I would argue that if there was an argument that maybe it's on the Higher Ed and certainly, you know, we'll talk about the California commission. Andy Foster took that position, uh, in John's recent California hearing, he was a little bit critical of Usada. Um, he thought, you know, he's intimately familiar with is evidence both in the previous case and this occurrence that, and he also saw that there was no evidence that an independent arbitrator, you know, made this a statement and decision of John Intentionally cheating. Um, so if anything, you know, I'd say that potentially there could be an argument that, that it was on the higher end versus the lower end because of the fact that it was an unintentional ingestion. Exactly.

Speaker 2:          00:03:59       Now, what is John's excuse? What is what it. John said how he got this into assist. Yeah. Well look, you know, and it's detailed in the arbitration hearing at all. John John fully admits that, you know, some of the lifestyle lifestyle decisions he was making, you know, the partying and things, you know, probably did not lead to making smart decisions and making smart choices in terms of what was being ingested in the body. But certainly his testimony was under oath that I have never intentionally cheated and did not intentionally put this substance in my body and not only this case, but as we talk about the subsequent case here, I think you'll see that based on the numbers, you know, coming out of his tests and based on some studies that have been done on some of these substances that would tend to support that. Okay.

Speaker 2:          00:04:46       Correct me if I'm wrong, but didn't John tests negative then tests positive for extremely low numbers. This is the initial test before we get into the most recent film he did. So he tested negative then test positive very shortly after with a very small trace amounts. Correct. So you have two negative tests on July seventh and July eighth I believe, of 2017. And then weigh in day, I think it was July 28th. He was positive for a very low level of the three metabolite and, and we might as well start here. So again, going back to ICARUS, remember, remember the doctor, I mean he's the main character in that chunk of in 2011, he put out a study on oral to rentable. He actually my understanding is dosed himself and then studied the excretion of his urine and what was coming out of it over the weeks and months after and determined that there were multiple maybe up to 50 metabolites that once this Dah cmt was ingested into the body, the body converted into other substances and these metabolites stayed around.

Speaker 2:          00:05:54       He identified some short term, some medium term metabolites and some longterm metabolites, specifically the m three that John's tested positive for it. So these longterm metabolites would indicate that it was taken long time ago. They would stay around for the longest. Why? Why was he testing negative and then testing positive for these extremely. So yeah, the numbers. That's a good question and that's, that's basically the question that point, but what was not occurring and what has never occurred in any of John Sampled is any presence of the short and medium term metabolites. And if you look at a [inaudible] study, he identifies a couple of these medium term metabolites, Roman numeral one and Roman numeral two. And he says, these metabolites based on his study will stay in the body at least 22 days. Well, let's look back to the July seventh and eighth. You know, positive tests.

Speaker 2:          00:06:51       He's negative on July seventh and eighth for everything, for the parent compound, for the short term medium term metabolites and the longterm metabolites go 20, 21 days later. So within that 22 day window, which is study shows the short and medium term metabolites would still be showing up and there's no presence whatsoever of the short or medium term metabolites. Now again, we'll get into this a little bit more, but I think the science, what it's showing is a pulsing effect for this longterm metabolite. Meaning once you ingest, whether intentionally or not intentionally, oral Terenna ball into the body, the body breaks it down, produces short term and medium term, which is, you know, visible for a short and medium amount of time. And then this n three, which is produced for a long period of time, I think with the issue appears to be, and we'll get into this, the UFC program is not the only program that seen this.

Speaker 2:          00:07:49       There's another professional sports league that has seen it very frequently. You sat is also seen this on the Olympic side, but we're seeing this strange action with the longterm and three metabolite and the theory is it may be hiding in the fat tissues surrounding organs and maybe have a pulsing effect where it's released at certain times and other times you can't detect it and this is not the actual substance itself, but it's a metabolite correct. Which indicates a reaction to this substance and it indicates the body breaking down the parent compound the, the oral Terenna Ball, and turning it into these other things which are stored in the body. So it's metabolites are not performance enhancing drugs that are the result of the breakdown of the parent drug in the body. Now, what, how much time is it detectable? The actual drug itself? So pretty quick, uh, it's a pretty quick clearance time.

Speaker 2:          00:08:40       I think we're Cenk off study says, you know, maybe a week, uh, so it's not around for very long and that's why he conducted the study ironically enough and I was going to go watch vigorous here last night and I just, I've had too much going on in the last week to kind of refresh mind, but apparently he, he knew this was part of his protocol for Russian athletes. He knew a coach that was still giving the oral Terenna ball to Russian athletes and he had a falling out with the coach, so he goes off on the side and studies, Hey, the parent compounds is going to get in and out of the body pretty quick. It's going to be difficult to detect that. Let's try to figure out what stays around and leaves markers in the body for a long time. And so he developed these short and longterm metabolite tests and was able to catch some of these coaches athletes for using the oral to rentable.

Speaker 2:          00:09:28       Interesting. So the actual drug itself has gone from the system, but the metabolite remains. Now, what is the window that this metabolite is supposed to be detectable in the body? Because we're talking now, what are we at like 18 months? So here's the show. Here's the problem is that initial ingestion, because my question is these same longterm metabolites, these existed a year plus ago. It was more than a year. How long ago that, that's the July 2017. What was your initial test? So with all the experts, and we'll get through this with all the experts are telling us is there is no evidence of reinjection and most likely this is still remnants from the July 2017 tests, however it was to enter into a system. Um, and we'll go through some of these testing numbers that have shown negatives followed by very low level Pika. Pika gram quantities question though, was that the ingestion that happened that he tested positive for in July of 2017 indicated a longterm effect, right?

Speaker 2:          00:10:29       It was a long term chart metabolite, correct. So meaning it had already been an assistant for a year, so it absolutely could have predated, you know, the theory the first time through was something had to have entered his system between July seventh and July eighth. Those negatives and this low pika gram reading on July 28th. Over this last year, there's been a lot of study into this longterm metabolite. As I mentioned, this isn't just a UFC issue. There's another major professional sports league that for the time being wants to keep their, their testing confidential, but they've shared that information with scientists, with Usada, with myself. They saw it on multiple occasions. This pulsing effect over a year where you'd see this positive test over a year. We're two and a half years now, right. If it's a year, if it's a. If in July, July 2017 until you were talking a year and a half, right?

