Speaker 1:          00:00:13       Yeah,

Speaker 2:          00:00:17       I'm here with my brother, Daniella, but lily, one of the few men who can pull off a union gang Bandana, like some renegade bike or on an episode of Grey's anatomy. Look at that fucking thing, but you, you fucking balance it out with a Frank Frazetta, Conan the barbarian tee shirt. That shirt is the shit. Where'd you pick that up? Oh Man. I was looking all over the place for it. They probably had it for like some of the comic book store Milione are sickle and I thought that was a dope shirt. I might have to hide that one for my wife because she probably tried to throw it out. Why? I don't know. You know women are men. Come on. This contains Saturday decent. That's good in life. Maybe it's time to grow up. Maybe you shouldn't have a comic book guy and your shirt. It's not a fucking comic book. It's an. It's a novel. Robert e Dot Howard wrote a series of novels. It's about Conan the barbarian. People don't know. It's like my entire life philosophy is based off of our barrier like galaxies called mentoree. You can get in trouble for that kind of philosophy.

Speaker 2:          00:01:19       Crombs a good God could obviously solid because he doesn't give a fuck of here to help you. Nope. Not going to save you. That's the beauty of the color. It's very real. You know, it's like, Hey, life is tough deal to fuck with it because that's the way it's going to be. Yet there are horrible things that can happen. Yet there's no guarantees about the afterlife. Yeah, all of that. But in the meantime, there are women. There's red wine, there's enemies to be killed, or Marty wants probably parasites, all sorts of weird diseases. Nobody's ever diagnosed yet that parties did last year as I feel you're lucky you live to 30. It's kind of amazing when they keep finding these new species of people, you know, there was, um, they've just, they had this article yesterday where they're, they've examined the teeth, the teeth of the Hobbit, people on the island of Flores.

Speaker 2:          00:02:07       And so now they're like, you know, 99 point nine percent positive. It's 100 percent, not 99 point nine percent positive. One hundred percent, but 99 point nine percent positive that it's a completely different species of human being. They found the teeth of these things and you've got to think like that's the only like 14,000 years ago, you know, and we don't even remember those things. They're there. They've sort of become like this weird little legend, like how many different versions of people were out there and what a hard scrabble life it must have been extinct. Shootings, the name of the game. I mean, when you think about it, like overwhelming majority of pieces that I've ever been around. They've all gone extent. Yeah. More than 90 percent, right? Yep. So it's uh, yeah, it's uh, that's my point. Calling on the throats, you know, with, with bear claws, runs neck.

Speaker 2:          00:02:56       That's a fucking awesome picture. Yeah. That's why I it in my house as a pollster, I might have to be obsessed. I have a bunch of his old books for Zetas, old books like sketch books and books that are collections of his paintings. And God, that kind of art that he did was just so indicative of that time. It was like so 19 seventies fantasy art, you know those days, man, you know, but no one has really captured it correctly in a movie. They just have not done it right. You didn't, you didn't think of. The first one was fun and it was campy, but it was more like the comic book. Then it was like the books. I think Jason Mamoa was the best version of cone and physically he looked just the beginning that it was dog shit. Shameful. Their movie was dog shit.

Speaker 2:          00:03:47       That guy is awesome. I love that. Jason Mamoa. He's great. In game of thrones. He was. He seemed like the most likely Conan might have to get them on the Jews though. I know there's that to get them on some fucking heavy duty powerlifting program where he has to look a little more yoked because Conan was just supposedly ridiculously impressive as a person. I knew in fact, when they put power and old as the first one that's kind of high. That sets the bar pretty high right away. But. But Arnold was built incorrectly. He had all these unnecessary like big titty muscles, like you know, you need a guy who's built more like Yoel Romero, like a, like a barbarian Yoel Romero. The sword was me just to say that. But you're here and I want you to feel embarrassed. It's okay. It's okay. I can accept limits.
