Speaker 1:          00:00:01       Joe rogan podcast all day, the Joe Rogan experience podcast all day.

Speaker 2:          00:00:15       Hey everybody. Let me introduce you to everybody here because we've got a large group of humans. First of all, we have my good friend Dr. Mark Gordon. He's been on the podcast before, brilliant endocrinologist slash all around. Awesome dude and his friend and patient, Matthew Gosney and Matthew and I'm right here to my left. We have Jason Halls, a screenwriter for American sniper and we're going to get into a lot of things on this podcast, but one of the big ones that we're going to talk about is Dr Gordon, if you've listened to the previous podcast that he and I did have, you haven't. It's excellent. Go back and check it out if you're bored. Um, but you're an expert in traumatic brain injury and you contacted me about Matthew and you've, you've done some amazing work on soldiers coming back from, uh, from Iraq and Afghanistan and also athletes with ptsd and the issues that come out of ptsd.

Speaker 2:          00:01:08       Not just psychological but traumatic brain injury, which is something that we're dealing with more with these series of wars. And we ever had before, because of the advancements in medical science, they're able to keep people alive that may have died before and also they're able to recognize what's going on, what shell shock is this term that they used after World War Two and know would they. They changed it a little bit in Vietnam that they altered the name of it, but essentially we're dealing with the same issues. We're dealing with the trauma to both the mind and the consciousness that's happening to people that experienced horrible things, see horrible things, but also experienced damage to their actual brain itself.

Speaker 3:          00:01:49       Absolutely. The point of a foundation is the distinction between what ptsd is versus minimal or mild traumatic brain injury. Unfortunately about 410,000 vets were coming back with what's being late. They're being labeled as traumatic as ptsd when in fact they have a form of traumatic brain injury. The distinction between the two is a psychological one which has ptsd and a physical one which is traumatic brain. Under the psychological. You've witnessed, you know, horrible things out there in the battlefield where you've seen your friends being gutted or ied, blowing them up in being left without any limbs, and then in the psychologic, in the physical one, you actually have the impact of the explosion or a penetrating wound like a shot to the head or being bludgeoned and in football, and it's believed that under the psychological one with the ptsd, that reliving the event that precipitated is what causes you to become depressed and anxious and so forth.

Speaker 3:          00:02:52       Under the minimum or the mild traumatic brain injury. It's the physical trauma to the brain that leads to deficiencies of hormones, which is what my whole premise has been for my treatment of traumatic brain injury. So what's being missed is there are guys that go out there in the field who have already had issues of traumatic brain injury because they'd been fighting a firing weapons which caused jolting action or they've been jumping off out of planes and hitting the ground at 10, 15, 20 miles an hour. These types of impacts are significant amount of to make a traumatic brain injury and interrupt the way that the brain controls our hormone balance in our body, and this is all fairly new, this understanding of these things like jumping out of planes or even playing soccer and heading the ball. Correct. That's what we're finding in in football, you know by the time you get into the national football league, you've already gone through peewee pop warner in high school, junior high school and so forth and college football, and by the time you get to the major games you've already have the entire process of loss of functionality in the brain and then you need just one more hit, one more, not even loss of consciousness to create the scenario of inflammation in the brain that leads to hormone deficiency.

Speaker 3:          00:04:10       Yeah, it's the. The issue has always been thought of as when you. When it comes to brain damage, you, you always thought of people who have been beaten up like boxers that have had long careers or football players who have had long careers and they just stayed in too long, but we're finding that a lot of athletes like mark Henry's, his name was no, what was his name? The young guy, Chris Henry, Chris at the young guy who fell off the back of a truck, did something really irrational. His girlfriend was driving away, jumped on the back of her truck, fell off, died, hit his head, but then when they examined his brain, like this guy has a brain of a 70 year old Alzheimer's patient. Right, and it's all just be. And he was 26, I believe, 26. I'm a mid twenties and just a career of playing in the NFL as well as well as college football, high school.
