Speaker 1:          00:00:13       Joe rogan experience podcast.

Speaker 2:          00:00:18       Why can't, why can't that work?

Speaker 3:          00:00:21       It was. The computer is restarted in it. Every time this computer restarts, all the sounds fucked up on it.

Speaker 2:          00:00:27       We will soon be free of this technological nightmare and into a new one. And Gentlemen, we've got to try castor coming. We tried to order the Sony thing, but it didn't work for us. It just wasn't for streaming. It wasn't the right piece of equipment. So we're getting a tri caster, but John headphone don't give a fuck about that. Ladies and gentlemen, John have fraud comic standing. Hilarious comedian. It's been awhile. It's been awhile since I've been on here. It's been a while since I see you. First Time I saw you at the store. So we haven't seen each other in two years. Three? Yeah. Yeah, because I had to do that thing where you tax them, like who? I don't even know what I mean. And then like all my famous friends, I never put their names in my phone as their real names. Who am I? I would probably, I think probably don't tell me because then yeah. Yeah. So just just in case, not that I'm, I'm like, but just in case you lose your phone, like I was wondering like really famous people who have famous friends like Paris Hilton loses their phone all the time and then two people hack into it and get Lindsey Lohan summer. I mean it's kind of hard to hack into an iphone unless it's connected to the cloud. Right. Like if they got ahold of it, probably be pretty difficult.

Speaker 3:          00:01:40       Crack your pass code. They actually I think have programs I teach, they're just logging in and I'd like taxi drivers I think do it and it turns off all the tracking and then they resell it like immediately. Really? Yeah. Because I've had, I've had the cloud on my girlfriend's phone and she left it in a car and like in five minutes it was already disabled. It never turned back on.

Speaker 2:          00:01:58       Yeah. Well the thing. I bet you're right because the thing is they have a lot of places that buy cell phones now. Yeah. I don't know if they ask like, is this yours? I don't know. But uh, I've seen places that, by cell phone. Have you ever sold an old cell phone?

Speaker 3:          00:02:13       No, because I'm paranoid because I know you can just take anything off a phone like that. Like I could take her phone even though you've deleted it and even reused it for six months. I could still take stuff off of there for like two years ago.

Speaker 2:          00:02:24       Santana, I keep mine. But then I was thinking I'm going to do something with it. Like I have every version of the IPAD. I'm like, well I'm just going to use this for my home security camera. Like, and it never, this ipad it's only gonna be for pre show music and then I leave it at a club and I used to try to do that too. But I felt like I used to bring an actual ipod. I was oil. I want to have an ipod is by itself. You don't just want to have my phone, but now that's ridiculous because you're, the new phones have 128 gigs. Yeah, come on. You're not going to use all that. If you do, you're an asshole. What's going on on your phone? Yeah. Movies on there.

Speaker 4:          00:03:00       Get the whole whole world plan on your phone. John headphone. So yeah, so it's been a year and somebody just tweeted to, uh, they asked him. Now I'm a little bit afraid because I haven't seen you in so long. And then you invited me to be on a podcast. People were worried on twitter that you were going to give me an intervention and that tells me I should quit comedy. I would never do guys. You're hilarious. Standup comedian. This is, trust me. I took that on my own. He's joking around about a conversation that we had with Brendan Shabazz. It was intense. It was intense. I still feel like shit feel like shit today. I felt like shit while we're doing it. There was um, Brendan last. He got beat up and stopped by this guy. Travis Browne is one of the best in the world. And you wanted to talk about it on the air.

Speaker 4:          00:03:50       You know, I wanted to talk about what we felt like on the earn and I asked him if he short. He was like, yeah, absolutely. I want, I want to get it out there, I want to get it out there. I want to hear exactly what you really think. And I mean, I'm sure what he thought I would think and what I did think was different, you know, and then as we were talking I kind of realized like I feel like his perceptions of where he's at and the dangers of what has happened to him and the reality of where he's at and the dangers of what have happened to them were off. And some people feel like I should have done that conversation off the air. And I feel like I probably agree with you. Um, you know, all, all things said and done.

Speaker 4:          00:04:31       The only good thing about having it on the air is that other fighters can hear this and they can, um, they can form a, I want to say educated opinion because I'm definitely not a doctor or a scientist or even smart. But I know a lot of information about chronic brain damage from seeing it, from talking to people who have it, from talking to doctors who are experts on it too. And to know that I don't see a lot of people that are at the front of the tunnel waving a light in mma saying, hey, you know, you guys got to slow the fuck down. We don't know what's up here. And I think that that's the case with a chronic brain damage. Nfl is just dealing with now these players from the seventies and eighties and the nineties and even the two thousands that are just fucked up.

Speaker 4:          00:05:21       Now. Look in the Buckeye player that just committed suicide a couple weeks ago from looking at him, you know, look at. There's just a long list of players. I watched some guy get k Oh the other day. Oh my goodness. Somebody sent it to me on twitter. It was a vine of these two football parents colliding helmets. They just see that one. Jeremy, you're j. you're fucking football freak. Jamie. Probably. He'd probably want him. It's fantasy football. Street stakes. Yeah. Was I was reading from A. Somebody tweeted about it and then I went to. I don't even know what the website was. And then had tweet about like, why you were talking. And, and so I just read the tweets like somebody was paraphrasing what you were saying and without even really known the story, all I got out of it was you wanted him to just be careful with, with getting smacked in the head because that's not gonna work out.

Speaker 4:          00:06:16       Well, it's not that I wanted them to be careful. I'm one of them to consider ending it because I know he's going to end it. He wanted, it ended. He was talking before this fight about like when he's going to get out after the fight. He talked about two years. So they had a 42 year idea, you know, and the reality of getting head trauma is cumulative and that guys who get knocked out a few times, it becomes easier for them to get knocked out again. And the damage is all compounding. You're waiting. It's like buying a bunch of shit on credit and you're waiting for the bill to come and you've, you're driving around this nice car and you have this cool watch. But the reality is you owe a fuck load of money. You're going to have to work your dick off to pay that shit.

Speaker 4:          00:06:59       You're not thinking about that right now. Well, the chronic brain damage things, a debt that you can never pay, like you're putting damage on your brain. It doesn't manifest itself immediately. Always. It takes a while. A lot of these players were fine when they retired and then you've seen them like Jim Mcmahon, the sports illustrated article on, Oh dude, it's terrifying. When I was a kid, I didn't know shit about football, but I don't know who Jim Mcmahon was. He was goddamn legendary quarterback, you know him and the bears and that whole, you know the, the superbowl shuffle and no one knew who those guys were. He's Foxville now. You know, he, he will find himself in the middle of his house not knowing how he got there. He's just looking for his keys. Are Looking for what, what? He doesn't know where he was going to do.

Speaker 4:          00:07:42       He forgets things all the time. You know, I was talking to Brian Stan, we were text message and back and forth today and he was talking about people that he knows that got it from being soldiers from blasts and he's like, it's horrible. It's horrible. Like these guys, they, they can't remember anything. They have no energy. They're depressed all the time. It's not everybody and it's not. I mean there's. The thing about fighting is you never know when it's too late. It's like some guys can get knocked out once and go on from that to have great careers. Some guys can get knocked out a couple of times, but they're still in their bunny. They're just fighting beasts. Like perfect example. That is Michael Bisping gets knocked out by Dan Henderson, comes back, very successful, gets knocked out by Vito Belfort, comes back after that beats the shit out of Kung lean, one of the best fights of his career.

Speaker 4:          00:08:34       You know, like he's, he's been Kao to a couple of times, but it's only because he's fighting the elite of the elite at the top of the level and you know, he's just smudge it off. That's it. I mean, Michael Bisping is one of the best in the fucking world, but I felt like we shop. I was, I was seeing that it was going to happen more often and um, I, I fucking loved that dude. He is a great guy. I mean, Brendan Schaub, he's a really interesting character because he's this big, hulking dude, but he's a sweetheart. He's like the nicest guy. He jokes around about how he's like a, a dolphin and a shark outfit on the outside, but he's a dolphin on the inside. He's hilarious. He's really honest. He's like really honest about everything except like is fighting ability, I think is fighting ability or his position.

Speaker 4:          00:09:25       He's got a slightly elevated sense, but that's why he's a bad motherfucker. You have to have this sense that's almost distorted in order to be a fighter in the first place because when you first started out, how could you imagine ever getting to a championship level when you first started out and you're getting hit every time you move forward and getting taken down every time someone wants you to. It's, it's weird, you know, it takes a long time. So you have to have like almost this like crazed idea of yourself to be a fighter in the first place. It's just extreme confidence and you know he's got that for sure. And there's a lot of fighters to have that. It's great when you're winning, when you're winning that that extreme confidence is awesome because that extreme confidence like gives you like a boost over some other people who don't have that.

Speaker 4:          00:10:11       You might have like a psychological boost. Maybe it's in training, maybe it's in how confident you feel before the fight so you don't get as nervous as he does. There's all sorts of variables, but when you start losing, that's when that can be a motherfucker because that thing doesn't want to see the truth. That ego is a tricky motherfucker because it can help you and a lot of ways they can push you to success, but it can also fuck you up where you're not seeing yourself the way you should. You can't like you. You don't see yourself in a, in a negative way. You don't allow it in so you don't look at the flaws. You don't look at like. Especially true in martial arts, which is a hyper critical, you're, you have to be extremely self critical to be a competitive martial artists because the stakes are so high.

Speaker 4:          00:11:01       You're getting kicked in. The face is one of the worst steaks and all of sports. The possibility to this guide, I'll say his name because I fucked it up during the broadcast, we're seeing salmon at some on police is the correct pronunciation. He won this weekend with this fucking destruction of the head kick. He switched head kick the student the face and boom, the lights go out and the guy went stiff. It was one of those classic like worst case scenario, the worst thing that can happen to you in the octagon, and it was just a beautiful technique. They've just shuffled that front leg and Boehm Shin to the head, you know that is the stakes. So you have to be so fucking critical about your technique, about your conditioning, about your dedication, your psychological outlook on fighting, all those things you have. Keep those in a row.

Speaker 4:          00:11:54       It's so fucking dangerous. If you don't, and when you start, if you lose and you know, you start looking at yourself in a delusional way, it can hamper your ability to work on all those areas they can hit like anytime you have a delusional perspective and introspective outlook, that's just not accurate. You're not doing yourself a favor like you need someone else to give you advice. You know what I'm saying? Like you not see you're selling, you're not seeing like things that you can correct and when you're in that state, as a martial artist it becomes very dangerous and it's, it's common to get to for fighters because being a fighter's extremely nerve wracking, you know, I am barely qualified to speak of it because I only did taekwondo tournaments and some kickboxing, but I just remember competing and being scared out of my fucking mind.

