Speaker 1:          00:00:00       Huh

Speaker 2:          00:00:02       that quickly to one.

Speaker 2:          00:00:06       Boom. And we're alive. Mr Polin, how are you? Pay Good. Good to be here this two way. There you go. Okay. What's happening man? How are you? Good. Good to be in la. Uh, good to have you here. I've been a fan of your work for a long time man. And I got really excited when I found out that you were writing a book on psychedelics and uh, um, I'm just, uh, I think it's a, an amazing subject and I'm, I'm glad someone who's respected yourself is getting it. It's a crackpot subject, right? It's one of those subjects you're like, oh no. Michael Pollan found drugs. Like what's he doing? He's having a crisis and you know, doing mushrooms, it is a bit of a departure. I think that there are people who are expecting another book on food or agriculture. We're a little surprised. Um, but so far people have been following me.

Speaker 2:          00:00:49       You know, who cared about food and ag and there, there's more overlap than I ever would have guessed. I think you caught the perfect wave. I think your book is coming out right when John Hopkins research centers starting to put out these studies on it and people are starting to recognize it. MTMA has amazing results for posttraumatic stress disorder from veterans and marijuana is becoming legal in more and more states. It's like you're catching this wave. And I didn't know that. I, you know, you never know where the culture is going to be. Cause you started book years before. How long did you start it? Well, I started the research in, uh, 2014. I wrote a piece for the New Yorker called the trip treatment, uh, which is online. Um, and it was my first foray into this work. I went down to Hopkins. It's been a lot of time at Nyu.

Speaker 2:          00:01:34       And at the time they were doing this really interesting trial where they were giving psilocybin to people with cancer diagnoses, many of whom were terminal. And that seemed like such a weird idea to me that I, I was curious to explore it. And I spent a lot of time talking to patients, many of whom were dying, uh, about how this single high dose silicide been experience a guided silicide and experience. And we should talk a little bit about how the guided changes things for, you know, it's not the image people have is popping some mushrooms in your mouth and maybe go to a concert or going to the beach. But this is a very controlled internal experience, uh, completely reset these people's attitude toward death and it allowed them to die with equanimity. And, um, uh, and when these results were published, um, just last year, they found that, um, that in 80% of the people who had the session, uh, they had statistically significant reductions in standard measures of depression and anxiety.

Speaker 2:          00:02:32       It was one of the most effective psychiatric interventions that the psychiatrist had ever seen. A, which is amazing, a single experience. And then a molecule could change the contents of your head to the, to the extent that you would rethink your mortality. Uh, and so as I began talking to these people and hearing their stories, many of which were just remarkable, I realized, you know, this is not just an article. There's a book here and there's, so, you know, there are two kinds of articles you write as a journalist. One is you f you, you're sick of the topic by the time you finished and you can't wait to be done. And the other is, God, I just scratched the surface. And this was one of those. Did you have any experiences personally with psychedelics before you wrote this? Very Limited, um, I, for some peculiar reason, never did psychedelics in college.

Speaker 2:          00:03:21       They just weren't around. I went into the round, no, I went to the wrong school and I was like a very kind of progressive hippie school. I went to Bennington college in Vermont and there were, there was lsd there before me and there was lsd after me. But I was in this little wrinkle in time where there was only alcohol. I need a cut there guys. Thanks Jamie. Crazy only alcohol in college and I hadn't, so I had no experience of psychedelics. Uh, until I was in my late twenties, and then it was, um, pretty mild. I had a couple of mushroom experiences that would, I now describe as the aesthetic experiences, right. Once small doses, they were, yeah. I don't, I never measured, it was probably one gram, so I'd never had a big trip. And, um, and there was another reason I was, I didn't feel psychologically sturdy enough and I came of age just when the, the, the scare stories about psychedelics were everywhere in the culture.

Speaker 2:          00:04:16       You know, they would scramble your chromosomes, you'd stare at the sun until you went blind. Um, you know, the person who took all the orange sunshine and thought he was an orange for the rest of his life, you know, these stories are out there. And I was afraid to, I was just afraid. Yeah. Well that's, it's, it's not an unfounded fear. Oh No, I'm, no, people can really get into psychological trouble. I think it's really important that people understand that a, it's a, it's a profound, powerful, destabilizing experience. And depending on your mindset and your, and the situation in which you take it set and setting, it can be I'm ecstatic or horrific. And um, and you know, there are many people who had a series of very good trips and then they have that one bad trip. And uh, so yeah, I and I had heard enough stories about that, um, to, to stay away. Uh, so, so discovering this kind of later in life, uh, you know, I was certainly not something I planned on or expected. It's a

Speaker 3:          00:05:20       great tragedy and in my opinion that our culture has demonized these substances and put them in this category of forbidden fruit to the point where you, you, you're so nervous about doing them, you have to get him from some shady character and you don't know where you're getting. Yeah. You have to do them in the, you know, in secrecy you have to be really careful. But we also at the same time are aware of all these incredibly positive benefits from them. And then if we just had professional places where we could go to and when we have these rehab facilities that are available for people trying to kick opiates and people trying to get their life together. But if we had something similar like a psychedelic facility with registered professionals who understand this and who could evaluate you psychologically understand if you're perhaps taking medication that would adversely affect your trip, try to find out who you are, like where, what state you're at in your life. Have you had any experiences before? Maybe you should put you on a low dose, right? Hold up slowly. Let's try something small and see how you react to it. And then I think, I don't think people like myself or pot smokers or people who've done psychedelics, I don't think we do it any favors either because we're always trying to pretend that there is no adverse effects and that there's like, you know, people, when they get into something, they want everybody to do it. And I've been guilty of this myself and people tell us

Speaker 2:          00:06:44       there's a, there's a occupational hazard of a, of a irrational exuberance. And you know, this is what happened to Timothy Leary, right? I mean, people have an amazing experience and the first thing they think is everybody's got to do this. But it isn't for everybody. And I think you're absolutely right. I think that, look, there are risks, but these are not drugs of abuse, right? They're nonaddictive, they're anti addictive. The first thought after having a big psychedelic trip is not, when can I do this again? Right?

Speaker 3:          00:07:12       Any, whoa. The last one I had, I was like, I don't know if I could do that again.

Speaker 2:          00:07:15       Yeah. I just felt that way every time it's like childbirth or how, how we here try childbirth is you'd, you can't imagine doing it again and eventually you do. You do do it again. Um, so I do think that we have to find the proper context in which to do it. And I, I think your point is really important. We need trained guides. Um, the experience is completely different when it's guided. Um, because you have a sense of safety. There's someone looking out for your body while your mind is traveling. And this allows you to essentially surrender to the experience. And most bad trips in my experience are the result of people resisting what is happening there. Ego is dissolving and it's scary. It feels like a death and they try to stop it and that can make you very anxious. And so all the guides I worked with and interviewed, they were all like, relax your mind and float downstream.

Speaker 2:          00:08:09       If you see a door open it, if you see a staircase go down. It, um, uh, surrender trust and let go. And this kind of advice changes everything. And the chances of a bad trip I think in a guided situation are substantially less because they know how to help you deal with it and what to tell you when it's happening. Um, so I do think that, um, by, by forcing these drugs underground and into this very kind of unregulated use, um, there were not reports of bad trips were much fewer before the moral panic about lsd in 1965 and when it was still legal, um, you didn't hear about bad trips. Um, you started hearing about it when the culture did this one and turned against a psychedelic. So I think you can create situations where the, the, the risks are really mitigated.

Speaker 3:          00:09:02       Well, I think also the fear like you were talking about, right, but for the podcast or right as we started, what some people worried that they were going to turn into an orange or think they're an orange or all those fears. If you take something and those things are in the back of your head and your that you can literally manifest extreme anxiety that might not have been there if he just relaxed and just had the experience alone, you know, a on its own without all the cultural hysteria

Speaker 2:          00:09:30       attached to it or, or episodes of paranoia. That's, that's common too. So, but a good guide can work you through this. And actually they don't even like the term bad trip. They call it a challenging trip because often very interesting material comes up that you then can work on later. Uh, it's like having a nightmare and you know, analyzing it with your shrink, it actually may be very productive. Um, so, so, you know, I, I was kind of a nervous nelly going into this and I really looked at the whole risk profile and on the, on the physiological side, your body, the risks are remarkably low. And I'm speaking here of the classic psychedelics. I'm not talking about Mtma or even pot. I'm really, I'm talking about LSD silicide man, which is magic mushrooms. Um, DMT Mescalin. Um, they are much less toxic than many of the over the counter drugs you have in your medicine cabinet.

Speaker 2:          00:10:23       There's no lethal dose, which is remarkable. There's one elephant that was killed with LSD once. They wanted to see what it would take and it was this, they gave it a massive dose, but to get it to the point where they could administer it, they had to give it a massive dose of tranquilizer. So it isn't actually clear that the LSD killed it may have been the, the Benzos or whatever they were given. I know. What a horrible thing, right? Go online and look up, uh, the elephant who died from LSD. Crazy idea. Uh, and when Quincy was going through the elephants mind before it, animals don't like psychedelics that much. Um, we know that if you, you know, that classic set up that drug abuse researchers use where they put a rat in a cage and they had, there's a lever and they could administer cocaine or heroin, uh, or they can have lunch and they'll press the cocaine lever till they die. You put Lsd in that setup, they press it once and never again. Well

Speaker 3:          00:11:18       set up is always screwy, right, because they really shouldn't be in that situation and it's not a natural setup. Like that's been critical.

