Speaker 1:          00:00:01       Here we go, four, three, two, one.

Speaker 2:          00:00:08       And we're live. Gentlemen, thanks for being here. Appreciate it. Let everybody know who you are. Lane. Uh, I'm a meathead who likes science, got no bodybuilding when I was young. Uh, and then did a bs in biochemistry, phd in Nutritional Science. Um, kept lifting, did powerlifting, won two national championships, got silver medal at worlds within worlds squat record and it also bodybuilding and one of the natural pro card. They actually have natural bodybuilding, believe it or not. And uh, throughout that time, just know when I first got into it, one magazine said one thing and even in the same magazine they have an article one month next month that would contradicted. So I was like, I'm just going to try and figure this shit out for myself. So, which is the place that a lot of people listening are at right now. Yeah. And it's, it's tough because it's kind of like, who do you trust because, nope, not everybody has the time or the energy to go and do a degree in this stuff.

Speaker 2:          00:01:05       So. But that was me. I kinda got down the rabbit hole of, all right, let's try and figure this nutrition stuff out. And of course the more I learn, the more I realized I didn't know. But uh, yeah, it just became a passion for me to enter this day. I'm still very, I love this stuff. This is what gets me up, gets me going. Well guys, like you are very important guys who actually trained very hard and really understand the science this is because it's usually one or the other. Yeah, absolutely. Yeah. And I like when I was doing, I graduated my phd in 2010 when we started. We actually both knew each other from the bodybuilding.com message boards, so that was back before social media

Speaker 3:          00:01:43       trained together back in 2006 or seven

Speaker 2:          00:01:45       seven and experimental biology. So this big, there's a big symposium every year for science geeks and we were both going to it and we found out about each other on the forums and we went and trained together and he's a, he's a beast. Uh, and uh, yeah, we really hit it off and we've been friends since then. So for everybody who's looking for a fight, so sorry, we're probably going to be pretty friendly. Well, it's going to be a conversation. We don't need to have a fight. Dom, you've been on the podcast before, but for people didn't listen to that one. Please tell them who you are and what you do.

Speaker 3:          00:02:16       Yeah. Uh, um, keep this sucker google. Yeah, yeah, sure. Uh, I will go. Getting back, I majored in nutrition actually as an Undergrad but didn't actually see a career in it that much. So I went into neuroscience, the net 90, so it's a decade of the brain and uh, my, my formal training is in neuroscience and it got steered towards basically changing the neuropharmacology of the brain with nutrition and that's what the key to genic diet does and it has tremendous benefits I think for military personnel, which is, um, funded by the office of navy research and the Department of Defense to develop ketogenic strategies to enhance readiness, a resilience and performance and safety and military personnel. And what, what did, why specifically does the key to genic diet helped military people? I know there's a thing with a navy seals with preventing epilepsy. Yeah, so a central nervous system, oxygen toxicity, a limitation of that is a limitation of navy seal diving is oxygen toxicity seizures and a antiepileptic drugs are not really a viable option because they can, their side effects, they can decrease cognitive resilience, physical resilience, it key to jenks strategy is something that's being studied now from a basic science mechanistic perspective to animal work to now human studies.

Speaker 3:          00:03:36       So it's not, you know, out in the field yet, but some guys are actually doing it and I studied the science of that. And so when people don't understand what we're saying, um, for some folks who have epilepsy, the ketogenic diet has been shown to stop seizures. Absolutely. Go Google the Charlie Foundation. So that's how I actually got linkedin. And actually I met a natural drug free bodybuilder. His name was Mike Dancer and he had severe terminal epilepsy, Google, Mike Dancer, Ketogenic Diet. And you'll find an amazing story about a guy who used nutrition to manage his epilepsy when drugs failed and he used it to prep and when bodybuilding shows and compete in bodybuilding and the rebreathers sometimes caused seizures with some of the soldiers they can. So, uh, for example, just 50 feet of sea water using a closed circuit rebreather, like a drager, rebreathers, 50 feet of seawater.

Speaker 3:          00:04:30       Your potential for getting oxygen toxicity seizures can occur in just 10 minutes. So that's a little bit of time and that's not very deep. So there's no way to predict that and there's no way as of now to prevent that. So we study physiological biomarkers that could warn people of an impending seizure. And we also develop countermeasures to mitigate oxygen toxicity seizures. I focus mostly on drugs. I'm in a pharmacology and physiology department, but I realized that people with epilepsy, the ketogenic diet was more effective than drugs. So I got steered into, you know, nutrition, which was my undergrad. And then that kicked off about 10 years ago and I've just been deep into probably a dozen or more different applications of nutritional ketosis. Awesome. And laying up and paying attention to online for a long time. One of the things you do a great job with is just calling bullshit on.

Speaker 3:          00:05:21       I mean, you loved call bullshit clearly, but whenever people are overstating claims or people get ridiculous, and I think this is one of the things that is a problem with any diet where people get really enthusiastic about it. That becomes an ideology. Whether it's the key to genic died or the carnivore diet or the, you know, fill in the blanks, Vegan Diet. People decide this is the end all be all. It's going to cure cancer. Make you smarter, Dick's going to grow a foot. All these things are gonna happen. And you do a great job of calling bullshit on that kind of stuff. Yeah, I mean, I, I'm not anti Quito, I'm not anti. I'm anti

Speaker 2:          00:05:57       bullshit. And one of the problems we have is nutrition is replacing religion for a lot of people. So you find something that you identify with and then people start to try to say because they identify with that movement or like for example, vegans, they identify with many of them. Uh, protection of animals, not my job to judge their ethics on that sort of thing, but then they kind of tried to backtrack to find the science to support them as well and they, they pick and choose. And this is guilty of all groups, not just vegans. This is also a lot of key digital diet cell. It's a carnivore diet, whatever have you. If it has the word diet, there's zealots out there who are going after it and I will stick up for. I've stuck up at a scientific conference for the key to genic diet.

