Speaker 1:          00:00:06       Oh Shit.

Speaker 2:          00:00:09       The Joe Rogan experience.

Speaker 3:          00:00:17       It's sexy too. Cause it's English. Yeah. Who Do you know that person? No, she's not even real. So robot it is, but I just think of her as something dirty bitch and England. Yeah. Weird cat to work. Yay me crooked feet. Yeah. No, no, no. Nice feet. She's hot. She is. She's a big are teeth though.

Speaker 2:          00:00:37       I don't mind it. A little space here and there. I met you. It works. It's fine. It's the discoloration. I can, I'm not down with gray yet. Not even great. But you know how sometimes they have like six different colors? Yeah. Yeah. Or like bottle rot. When did you, when did you stop sucking on your Banky Hooker, ladies and gentlemen. Bobby Lee has joined us. Yes. Finally, I mean, your army. You have an army out there, dude, not mine, man. Well, they have their own, but they forget of army. Uh, before we get started, we have two business. Uh, we are, uh, sponsored by the flashlight. Uh, if you go to [inaudible] dot com or if you go to Joe rogan.net, there's a link for the fleshlight. Click on it and enter in a code name. Rogan get 15% off. I have used one of those. I haven't won.

Speaker 2:          00:01:18       The thing is, is those beads, have you seen the blue one? The beads Avatar One? No, it looks like a flashlight. Right? Right. And you stick the thing inside it, right? If the one, yeah, that one I have that. I have these little beads, beads that you turn on. You stick your balls in it. I know you used to get, I know, but there's these beads on mine that you put in and it vibrates. It's three beats and goes on the side. If you open that up and put beets inside. But the real only last five minutes. Right. And I take 10 minutes to do it. Oh, so last five minutes. You just holding your breath. No, I know. I have a whole system in the side. I have all these batteries. But why don't you just have to, and then you have two flashlights and so you have one on standby.

Speaker 2:          00:01:57       You could cleaning them is a half an hour thing. A half an hour. What are you going to brush? I use hot oil. Use Hot oil to clean them? No, no, no. From the golf. No, I I um, I microwave oil for five seconds and they get it warm. You can't do it too hot. I did it once in a scalded Mike South eyes. Yeah. But Burns. But um, yeah, you put the oil in it, right? Yeah. And then you put the beads in it. It vibrate. It's still, it's so good. It's like go up to an android and then, which is a FNTC during dream and then, um, but at the beads run off, run out of energy. So only five minutes for these whack ass beats. Yeah. And brand new. You'd have to put three of those flat. What do you got? The watch batteries. A little tiny ones. You Watch my 40 bucks a pop when you're doing that.

Speaker 2:          00:02:45       Wow. Where do you get these beats? I've never even heard of these beads that opened that up. I bet you if there's beats slots. No. Yes. You take the share. You're not talking about a competitor. That's it now. No. You tell him what the are my mind. I have three slots here. Oh, you're so yours is designed for it specific. It is a flashlight, a flashlight. But it's a different, it's a different way. You stick in there and go, oh, maybe you've got a vibrator model or something. Or vibrate. Do have the vibrator models. I remember seeing that. Yeah, I have that one. But it's the same. It looks exactly, but you know, this is a controversial thing, man. I do a whole series of, uh, uh, uh, do a whole bit about it. I'm onstage, but this really is controversy because people don't want, it didn't want me getting sponsored by a fake vagina.

Speaker 2:          00:03:28       Like there's somehow or another, it's like bad for your reputation. Does it really take you 10 minutes to come? Yeah, because that now what do you have regular sex is to take you 10 minutes. It takes you longer and I see something I want to, can I see you? I'm sure I'm being very specific on my point. The thing is is that I need the interview. Okay. You know the interview, the interview, the interview with a girl so far around where it, so where are you from? Where you from? I'm from Ohio. You know how many, how much point have you done? Not that much. This is my second time. Well first I need to sense a little fear in her voice. Right. And then check it out. You know, the first time when they get the first timers, when the penis goes into the vagina, I have to look at their eyes in the realize they have to question their decision.

Speaker 2:          00:04:09       How you get excited. You know, how like when the penis goes in the ethical mom, you associate that with any past sexual experiences where you see the look in the girls. I was just like, what the fuck is Bobby Lee doing inside me? And then you get excited, like tricked him again. Josie, I think what it is this, I think that I am my penis. It's not even an ethnic thing, but my penis is abnormally small. I don't care about it because you know what, I'm rapping house. It's just small egg thumb. No. Yeah, it's thick. It's thicker than that. All right. But the thing is is that, and girls, you know, they liked my bubbly personality. I'm like a dream weaver. You know what I mean? And you know what I mean? You're fun.

Speaker 2:          00:04:49       You're fun to be around. You bring a party. Yeah. Yeah. And so then all of a sudden there's parties fucking your mouth. You're like, hey, yeah. And, and when I'm out with the girl, I look in their eyes and it's, I've never had the sensation of like them going, Oh, you know what I mean? Like it's too big. You know what I mean? I have a friend of mine who had that same problem. And so what he started doing was getting, uh, he got a strap on, he got this crazy thing that covers his dick and I was like, his Dick would go on and then this like big fake Dick would go over his dick. Oh, we were talking to him about it. We're like, well what's up? Like why do you, why do you, what are you doing that for? He goes, cause just once I want to see a girl, like I have a hard time taking it.

