Speaker 1:          00:00:00       And

Speaker 2:          00:00:02       An action, ladies and gentlemen, your response to your complaints about the horrible audio quality. We figured it all out. Folks. We have, um, first of all, we have these mics that you have to hold. We're going to hold them this week. Next week we're gonna. Have these little clip on things, but we have a mixer now and we're listening to headphones and we understand your complaints. See the problem was these things, these microphones were in stands and they were over here and it makes a huge fucking difference how it sounds here and here. So me, buddy, to fellow, someone always has the laptop on volume on. But uh, we're live and uh,

Speaker 3:          00:00:46       was that,

Speaker 2:          00:00:50       it's not me fella to. Oh, it's my other computer. We had two computers that were on. Hold on one second.

Speaker 3:          00:01:00       Yeah.

Speaker 2:          00:01:03       So how's it sounding guys that are in there? It should be nice and loud. I would imagine.

Speaker 3:          00:01:10       Much, much better. Okay, we're back.

Speaker 2:          00:01:15       Sorry. Sorry for everything being retarded. I'm drinking coffee that came out of an animal's ass. Oh, that's one of those ones where they filter it through something. It's called a Kopi Luwak. That's the name of the coffee and um, there's a, an animal called a palm civet and this animal eats these coffee beans, eats the bean itself, you know, like what it looks like, a little fruit. Shits it out and then they take them and clean them. I guess hopefully they cleaned them and then they make coffee out of it and it's smoother coffee. It's like a, like a different sort of a different flavor to it because they went through this animal's digestive tract now. Now if the animal ate a lot of berries and stuff as it have, like hints of other different things in it, you know, it doesn't, it just tastes like coffee.

Speaker 2:          00:02:03       I mean it's, it's really kind of gross when you think about it. But I was curious. I had it once before. Remember tate nine. We're in Florida and they had it at a restaurant and I, I'd heard about it. So we tried it out. Apparently it's the, whatever the stomach acids or whatever it is inside the civets body changes the actual chemical structure of the coffee and it just makes it much smoother and it's okay. You know what I mean? It's not really. It's the price. A lot more expensive. Yeah. It's super expensive. It's way more expensive than regular coffee. Yeah. Way more than. I remember the restaurant was like $90 or something stupid like that. Yeah. Animal. But how's it? How's it sounding for everyone? What's the people saying? Oh, I think it sounded good. I think we're golden with this thing. This, this shit is so much louder. Cool. Yeah, it's way, way, way, way better. So, um, anyway, sponsored by fleshlight. By the way, I haven't talk that it's sponsored

Speaker 4:          00:03:00       by poor. Sponsored by a rubber vagina. Yeah. Do you ever fuck the asshole and. No, no, no. I don't think that's necessarily. Well, it's just tighter. It might feel good. It doesn't have to be fleshlight tight enough. Yeah, I think it's good. And think you need the butthole one unless you're just a freak and your wife will let you have the butthole. You can have a rubber butthole, you know, she should be happy. You get your butthole fantasies out of the way. Did you know about the bottom? Uh, that it unscrews and it's like a suction because like, I didn't know the first time I fucked it, it was like this really suction like crazy blow job and it was just too much, too intense. Couldn't take it because Brian's got a giant hog is hitting the back. Brian's got a fucking oatmeal quaker oats box.

Speaker 4:          00:03:41       That's his dick. I unscrewed it and I guess that adds air to it and makes it a lot better. So you get the fuck a slut. Yeah. So it's either a girl or a slut or a big giant slot. Right. And by the way, it was awesome. I fucking love it was crazy though, is that at first I started out putting a bunch of juice in it and it was a juice or whatever that oil is the loop. I'm like, what are you fucking oranges and shit. I wasn't that impressed. I was like, all right, this is just too much, you know, this is like fucking bitch. And then you took the lube down, took it down a notch and now it's fucking fantastic. So you have a formula they use. How many courts will loop? Just a teeny bit around the lips of it.

