Speaker 1:          00:00:04       Experience.

Speaker 2:          00:00:14       Ladies and gentlemen, welcome to the post UFC wrap up show with Tony Hinchcliffe. Hey everybody and be your host Joe Rogan. We are on a flight right now. I'm coming back from Dallas, Texas. Sorry, I sound like just kicked that lady chair. Um, where we had a great old time at uh, the Verizon wireless theater on Friday night and uh, and then the UFC last night and now we're headed back. Shout out to Brian Doobie. Had Breakfast with, turned out to be all right. Turned out to be an interesting guy. I was a little worried about him at first. Came in strong with a future. Many questions. You get interrupted a little bit, but turned out to be a very good dude. Um, but you never know man. You know, meet some strange dude. Have Breakfast with them. Can Be Rough, but you turned out to be very cool. I think I snapped at him. No, I was like, what? Is this a questionnaire, bro. Relax.

Speaker 3:          00:01:16       Nervous.

Speaker 2:          00:01:19       He's a good dude. He just, oh, thank you ma'am. The young ladies bringing us the towels. Thank you. She's got a crazy accent and a, I don't ever think like this, but Tony was wondering what she would sound like if she was having sex. Uh, yeah. Anyway, so, uh, we're on the flight back. We got to give up my little wet towel and uh, do you like to caress the towel?

Speaker 3:          00:01:49       Hold onto it for a little bit. I like it. I like to feel like it cold still hot and she took it back.

Speaker 2:          00:01:55       What does it, what does that four to refresh you on the I do. Would it make you know that you're not in, you're not in business class or coach?

Speaker 3:          00:02:04       Yeah, business costs. They just give you a piece of toilet paper.

Speaker 2:          00:02:08       His class, they, they treat you almost as good, don't they?

Speaker 3:          00:02:11       How does that work? You haven't flown business class in such a long time. You don't remember what it's like? I flew coach just a month ago.

Speaker 2:          00:02:23       That's one thing, like if you can afford it, it doesn't seem like it would be worth it. But what's worth it is you don't have to think about it as much. You have more space, you can relax. Get off quicker. You get on quicker. Yeah, but people don't like it. It's weird, like people like southwest, I feel like it's an egalitarian airline. If you get on southwest and you know everybody's the same.

Speaker 3:          00:02:46       Yeah. I'm not into that at all

Speaker 2:          00:02:51       bad. It's effective. It gets people on board and not too much bullshit. I think it's a good system and you can occasionally get lucky to sit next to

Speaker 4:          00:03:00       some front people.

Speaker 3:          00:03:01       I met a girl over the weekend that works for southwest and she's all like, she's like, hey, you know, you must travel a lot if you ever want, I can get you a discount on southwest flights. I'm like, Eh, I'm okay.

