Speaker 1:          00:00:01       That's very cool.

Speaker 2:          00:00:03       Three, two, one. Yeah. A guy named was his online twitter or instagram handles tgt studios and he makes these. I actually had one made for Elon. Elon Musk loved it too, so we made him one when he made one with like this very beautiful redwood and those are one of those things. May Not have jamie the some diodes or something. Nixey tubes. Tubes. The old. Yeah. Yeah. He has to get them from Russia. That's a. He has them delivered over from Russia. So they might have like listening devices implanted in the most. Well, so Brian, good to see you, man. Great to be back. Yeah. Great to have you back. So tell me about this tour that you're doing. It's a, it's a world. Try to keep this soccer like a fist. There you go. How's that? That perfect. Yeah. So we'll tour starts next week

Speaker 3:          00:00:55       and I'm the UK and then we go everywhere from the South Island in New Zealand all the way to the Arctic circle to Svalbard, which is North, the furthest north that you can go on a commercial aircraft in the middle of where in the states for a month in a mainly may and uh, yeah, it's, it's about cosmology and about the questions that cosmology raises. So Abo, interested in the science of how did the universe begin, even questions of what may have been there is a universal eternal. Is there such a thing as before the big bang. What is the future of the universe? How does complexity emerge spontaneously in a universe. And then we sort of take it for granted that we, there's a big bang and it's all heart and there's just this kind of hot glow of stuff. And I altered that spontaneously in 13 point 8 billion years. You get something like the earth with the civilization and life on it. So how does that, do we know anything about that? I mean, we do. I'm asking the question rhetorically. We know quite a lot about it, so it's, it's really about showing the size and scale of the universe, but addressing those questions I think everybody has about what is it, what does it mean to be human? This tiny little finite life that we lead in a possibly infinite universe. How do you make sense of that?

Speaker 2:          00:02:13       Well, it's incredibly exciting to me that there's a giant audience for this and that what Neil degrasse Tyson had been doing and what a lot of public touring intellectuals are doing now, they're doing these giant theaters and these people are coming out to see these shows and we're realizing that there's. I mean, I hate to use the term market for this, but there's a demand for this and there's a lot of people who are incredibly fascinated by this and it's spreading information and spreading knowledge. Yeah. I mean in the UK particularly, I've been to Wembley arena. For example, you know, you're talking about 10,000 people, 12,000 people in the shows and you're right, they are coming. I'll the big shows, spectacular screens and all that. They're coming full to think that they come into here about what we know

Speaker 3:          00:03:00       about the universe and nature and I think, you know, I think I'm not surprised people are interested because these are questions that everybody asks. You don't to just why am I here? You know, everybody's sat there asking that question, but I, my point is that there is a framework, there's a framework of knowledge, there are things we know about the universe, so it is true that science scientists are not going to tell you why you're here and you're not to say what the meaning of life is, but there is actually a, there are things you need to know if you want to start to explore those questions for yourself. You need to know that there are 2 trillion galaxies in the observable universe. You need to know the Milky Way Galaxy has got 200 billion stars. Most of those stars now we know have planetary systems. We estimate there are something like 20 billion earth like planets or potentially earth like planets in the Milky Way galaxy alone.

Speaker 3:          00:03:51       So if you're asking questions about what is my place in the universe, you need to know those things. First of all, it's a framework within which you can think when you get to those numbers, when you're talking about trillions and billions and all those zeros, my brain just goes numb. I, there's this lack of comprehension that I'm well aware of. Like those numbers get thrown about. I go, oh, $200 million now. And I think everybody does. I think every scientist that no scientist can picture that number. I mean he even the small number $200 billion, the number of stars in one galaxy. And then when you say 2 trillion galaxies, you know that that's. I challenge anyone to be able to picture that. But it is the reality that we've observed. We've, you know, we, I mean we haven't counted all 2 trillion by the way we have.

