Speaker 1:          00:00:05       Three, two, one,

Speaker 2:          00:00:08       boom. I don't want to start off like this is a commercial dude, but this fucking thing, you have this Tim Tam. This is incredible. It's sick. Oh, I mean I've seen some of these different ones online people using them thera things and I don't know what they call them. A third gun I think. But this fucking thing is amazing. This is the most powerful one. It has the the highest travel and is to the best price. So I mean it's that all the different ones of these things online. Yeah, this is the best one. So what this is folks, we took the battery out and I'll pop the battery back real quick. Go for it. That's how impressed I am by this thing. So I've had this nagging muscle in my hip and then like instantaneously you hold it folks and you'd get it like right on the spot. For me. It's like right here.

Speaker 3:          00:01:04       It just loosens that motherfucker up. Like this is so much more powerful than they need. Those massages that you get like from a store. Exactly. Don't move. There's no massage are more powerful than this one on the market

Speaker 2:          00:01:17       from mom and dad. You know, this is where the guy doing a, you know, playing soccer, football, MMA, crossfit, that's for the hardcore athletes. And you invented this? I started the company, I started the company. I bought one of those dms, I don't know if you ever heard of those. It's called deep muscle stimulator. It's kind of talking about that before. And I said save this, save this. [inaudible] exactly. So what is that? The deep muscle stimulator. It's like a stainless steel high powered massager that you have to plugin. It cost me three grand. I bought it. It had a really bad Sadeka for two years. Like I almost stopped training. Like I almost had to take a like a got a problem with that right now. Really sad and okay this is going to help you out. Big Time comes and goes big time. I mean I was, I was so bad I couldn't sleep like I could not sleep because I was just go all the way. I get mine in my calf sometimes really lucky all the way down to the calf for some weird reason me and went down to the hamstring and it stopped there. Like I, I was able to stop the problem there, but they say you can go all the way down to the calf. That's, that's getting bad, you know, get my cat right now.

Speaker 2:          00:02:15       So I bought that.

Speaker 3:          00:02:15       Yeah. Mess. There it is. You know, that's the DMS. Great, great machine, great machine. But it overheats. It costs three grand. And what does that Piston Dude, is it hammer you or how much do you it has this like this. Yeah, but it has a lesser travel. This one has a greater travel. So that one, the DMS is a little bit to vibration. It's not as much travel. It's not as much percussion. Percussion is which you're looking for. And so when I got together with a company from the u s disrupt, we put together the Tim Tam. Dot. Tech Company. We went to

Speaker 2:          00:02:48       China, we checked out a hundred different type of guns. We've got this one going. This was the best one. And, uh, this fucking things in crowd. It's incredible. And I hate to sound like this is like paid me to do an endorsement.

Speaker 4:          00:03:00       He didn't folks, this is this fucking thing you should sell. These should be flying off the chart. They shouldn't even need drones. They should just be flying themselves. So, so, you know what the thing was that deep muscle stimulators, we had to share it in the gym. This is, you buy your own personal gun, you know, and cause the deep muscle stimulator, it's 3000 bucks, you know, to lend it out. Or how much is one of these four? It's 400 bucks. It's a five year warranty. That's a fucking bargain. It's a bargain buddy who trains really hard. That's a bargain. It's a massage for life. It's your health, you know? That's nice man. It's like a saw saw. Exactly. Like you took a saws all and you put like a little rubber ball in the end of it. It's like we tried so many other type of machines, but they're all overheat week, you know, they're not efficient.

Speaker 4:          00:03:42       The most efficient is already been created. So we just retooled it. We just re changed it. We made it so that it's a, you can use it on the human body. There's some modifications made, but that's it. I mean it's pretty simple. It's, it's the most efficient type of design they have. Yeah, it's kind of, it's really hard to find someone who can massage you correctly. It's very hard to find someone as good. Exactly. Someone who could really break up the tissue. But even if you do like what this thing can do, this thing is like vibrating you and shaking everything loose and I have a, I have a cone tip I got to send you. It's even goes even deeper. So if he can handle deep tissue, I'm going to send you a bunch of them. Okay. Yeah, you're going to love it. We have also cold tip, hot tip.

Speaker 4:          00:04:20       It's a, it's of your freezer. You can freeze them because that helps kill the pain. So if you have an acute acute injury like an after like a week or two and you want to start working on it, the cold of the tip helps numb the pain. It helps manage pain a little more and the hot tip helps loosen up the muscle a little further. I mostly used the content, the context for those who have the, your experience with massage, you're, you're, you're able to go deep tissue and uh, for some people that hurts. For me it's, it's, it's perfect. Yeah. So you find like where the scar tissue is actually break it up. Exactly. The surface area on the quantum is obviously smaller so it goes even deeper and, and uh, and unlocks that muscle real quick. So for me, I don't have the time for foam rolling.

Speaker 4:          00:04:57       You know, that's the main reason why I, I wanted a product like this cause foam rolling takes forever to break to really loosen up a muscle and I'm in the gym all day. Do I want to stay in the gym another hour rolling up and down on a, on a foam roller. I think you got to do something though, right? Yeah, exactly. Kind of have to do something. If you're training hard and you want to train for life, do you use those? What? We don't have one in the room, but the reason those, um, what are they calling supernova? Look a little cross bog balls, but it's larger and it's like a big blue one. I love that thing. It's rogue makes it, that fucker gets in there, but this is even better than that. This thing is incredible. I like the ball for my back. When I do my back, I feel like in light down on it, I can get the pressure I want, but when I use, when I do my legs, I used the Tim time. Yeah. When I go on the road, I bring that ball with me and I'll put it on the ground in a hotel room and I bridge on it just like hit like certain spots to amazing pop everything loose and you need a lot of body weight. Sometimes I put a kettle bell on my chest and you get even deeper. Mm. And

Speaker 5:          00:05:58       uh, you could really unlock a muscle like this. I mean, it could really get in there and really unlock it for people who train. They know, you know when you, what'd you get out of that nagging tight muscle in your neck and your shoulder, your shoulder blades. Yeah. And then you're on the mat. You do a quick movement, you know, that's scary. So I did it once in the shower or it's something going on in my neck or gas and I didn't realize how bad it was and I turned the shower to get something and then for like days I was locked up. I've had that done also, but it's, it's all about keeping the muscles loose. Yeah. Good posture. You know, Kelly started wrote a book, you had him on on the show. He's really amazing guy. He's great. He really changed my life.

Speaker 5:          00:06:32       Honestly. I have to, I'm thinking of reading his book, supple Leopard. I know all my, all, everybody who knows me follows me. They know. I always talk about this book, you know, he said something so important. He said, look, it comes down to two things. Good alignment and loose muscles. You got to keep your body aligned and loose muscles and a, I just followed those two principles. I mean, his book is really, really excellent. And when I saw his, when I read his book, that's when I reached out to him to work with George because he, I don't know if you've ever seen, when George does a back flip and he lands, he's, and he's always kind of come in together. If you ever see like watch him do a backflip that's called the, I was reading his book and I saw that's the vulgus fault.

Speaker 5:          00:07:07       He calls that the Volk is fault when you're, when you do a squat in your knees, come close to one another. And he's like, that took him cause ACL tears. And I'm like, I know a guy with two ACL tears and he does that all the time. I see him do that all the time. It's something I've always noticed about George. He's knees always bow. And when we do lifts, when we do jumps, when we do hurdles, I mean, I've watched Jay, Georgia jumped up and done literally thousands of times and I saw his knees battling all the time and he's like, well, then I reached out to him. I said, hey, could you help me correct Georges? There it is. That's the vault, his fault. And he's like, sure. And ever since then, Georgia needs it had been a lot better and we still do to fix it.

Speaker 5:          00:07:41       Well what he does, it's a technical skill. It's a skill. So he does, he has a few different exercises to help you correct it. So you put a band around your knees and you kind of push out on the band. But really what we do is we'll make Georgia do a lift or a jump film it, send it to Kelly and he'll tell us how aligned we are and what directions to go. So he kind of coaches us on how to avoid, uh, um, this, uh, fault. However it really, at the end of the day, it's about keeping your knees turn to the outside. I used to walk up the stairs and have needs in my pain in my knee. You ever have that when you walk upstairs? No. I used to have pain in my knee walking up the stairs and that was from stairs just from walking upstairs and I didn't know why.

Speaker 5:          00:08:16       And then when I read his book and he's like, look, when you walk up a step, you got to keep your toes straight to and turn your knee out. I was like, really? And I started doing that. My pain was gone immediately. Keep your toe straight, right? Like toes turn your knee out, turn you need to the outside. So he says, look, this is your, this is your ACL. See this year, this is your ACL. Cross your ECL, ECL, you put it in your kneecap, that's your knee. When you turn your knee to the outside, look at, tightens it up. That takes away all the slack. So what happens when you're going up the, when you're going up the stairs, your, your, your, your ACL is just jiggling around and getting sheered. When when you tighten it up, you go up, you're secured. So he calls it creating Torque is a brilliant book.

Speaker 5:          00:08:58       Mine is brilliant guy. So even when you run hills, you should do that. Absolutely. You should always be a, whenever your body is under pressure or stress, whether you're wrestling or whatnot, you should always have torque. So like, look, grab your shirt like this. Okay, grab your shirt. Okay, he gives an example in the book. Excellent example. So now grab the shirt and twist it here. Create torque. Now look, you have a much more uh, stable grip. You know, like a judoka is always going to grab the lapels and twist them. So when you grab the bar, let's, you're going to do a bench press. Maybe you know, it's not the best exercise or not, but the principles still at work, when you got the bar, you should be torquing the bomb most. When you're doing pushups, your hands are on the mat and you're torquing even though your hands are not turning, literally you just torquing.

Speaker 5:          00:09:39       When you do that, you feel that all the slack is eaten up, there's no more slack, there's no more a trampoline effect. You know, there's no more jiggling. Everything's tight, the system is tight and it's very, very important that the system be tight and then the weight beyond the muscles. So if you're properly aligned, when you're doing a maneuver, the weight is on the bone, not on attendance. So if you put your, put your weight like this on your fingers, you'll see that the bone is carrying the word. If you bent, if you bend your bones here, look at, look, if you're on the line and you start putting pressure, nice, your muscles are starting to work overtime. So when I'm carrying weight, I need to, I need to have it on my bones and or my muscles, never on the tendons and ligaments, you know, they can then share with backpackers, backpackers, do they, they, they keep their legs as stiff as possible and they take short, like sort of short steps.

Speaker 5:          00:10:26       Like guys who are mountain near guys, they don't take like big high steps. They kind of keep their legs stiff and they walk with their skeleton, right? If trying to let their scale and see me, I'm sitting on this chair, this chair has no muscles, but it's holding me up because of the structure structures, that type of, of uh, strength. Though. If you take an egg and you try to squeeze it in a certain way, you can't break it. You know, you ever seen that experiment? Why? Because you're actually trying to crush a cylinder to crush a sinner. That takes a tremendous amount of force. However, to break a stick and half takes very little amount of force. Why? And has a lot to do with the, with the structure. If you're trying to compress manner on itself, it won't, it won't. It take a tremendous amount of force to do that.

Speaker 5:          00:11:03       Tremendous, tremendous amount of power. However, if you want to separate the material by bending it at the middle, it very easy. But to compress it, to compress material on itself, it takes, would take a tremendous amount of energy. So anytime you're going outside of your alignment, you're allowing things to compress. Yeah. That's why it makes so much sense to keep your leg straight when you're hiking. It's like a horse. It sleeps right? He's sleeping. If he aligns his legs perfectly straight, he's using structure to hold him up instead of muscular strength. So, I mean, and he, I remember he had, you had them on the show and you guys had a very interesting uh, uh, conversation and he was talking about front squatting will make you have a great guard. But I think you guys miss misunderstood each other actually cause you were like, no, France squatting has nothing to do with it. Have a great garden. I, and I agree with both of you, but I think you guys, we're not talking about the exact same thing he's talking about having the mobility

Speaker 2:          00:11:53       to squat down really low and the front squat, we'll help you regard not necessarily having a big lift, but not necessarily, he wasn't talking about heavy lifting. 300 pounds in the front squat is gonna make you a great guard player that that's irrelevant. I think what he was talking about is having credible and mobility in your hips. You ever see a child pick up something off the floor like a newborn baby? He's going to get into this perfect, perfect squat. Well, if you, if you look at guard players, the best guard players always have incredible flexibility in their hips, right? Because I always tell people that the higher you can bring your hips to your chest, the hardest for me to pass your guard. Like if you're one of those guys were, were your knees like this, you know, you're trying to regard and you need it this far.

Speaker 2:          00:12:29       It's the space for me to pass your guard is huge. Yeah. But if you can bring this foot behind your head and your hymns, it's the window. The space that I need to cross to get to side control is so small. Um, Eddie has a, excuse me, one of his students, his name's Sean Ballinger and he has crazy [inaudible]. I've seen him, I've seen the double a. He could do double lotus and literally take his legs and put them behind his head. Yeah. I mean he could just pull those lines back. How many, how many great guard players have you seen who can do that? Swearing like Ryan Hall for instance. Yeah. Keenan, I mean they have this flexibility to them. Passing the guards becomes very, very, it's almost impossible. Almost impossible. It's like they just spend a little bit and you're back in something again and you're, you're tying up and then you in leg locks and you're kind of fucked anxieties there as they're spinning to your leg while you're trying to pass their guard.

Speaker 2:          00:13:16       And hip flexibility is so paramount in Jujitsu for bottom game especially. And it's so devastating when you have a hip injury, hip injuries and you know, I know guys who have had hip replacements and it's like, boy, you know, then you're, you're so severely limited in what you can do afterwards. You got to never let it get there. In my opinion, according to Kelly, he says your joints can last you a 120 years. Like if you take care of them. He said there's 2% catastrophe, meaning you got hit by a bus. Okay, that's something we can, we can't do anything about. 98% of the time is because you didn't take care of your joints, you haven't, you haven't properly use them and you let muscles get tight for too long over a long period of time. So for me personally, I feel like when I was 20, I feel better now than when I was 25.

Speaker 2:          00:14:00       He's at 25. I was really beat up 26, 27. I was really like, hey my knees, my back, my neck, you know, training everyday. Twice a day it was grueling. But after I went through that system, I came back out fresh and now whenever I have a little tweak or anything like that, I take care of it immediately. I kill it. I don't let any tweak creep up, Go Gore he further and uh, I feel much more energy. Like when I, when I keep that, the body healthier Louis, I feel a lot more energy. I feel better. My mood is better. That's the, it's the balance between being tough and, and you know, being mentally strong enough to like push through training when you're, you know, you're not feeling your best and knowing that you're fucking up your vehicle when you're knowing that you're fucking up your body.

