Speaker 1:          00:00:01       Hmm. Hmm. Hmm. Hmm. Hmm. Hello

Speaker 2:          00:00:04       Amy. Hello. The Leopard theme. You have leopard jackets today. You have a leopard top. Is this just a coincidental or is there something to this? Well, I'm a little bit white trash and I want every, no, I don't know. I I liked, I liked married with children. Pulled us up. You don't have to. I'm a little bit, uh, and I'm trying to get comfortable. Are you comfortable? I don't know. You seem comfortable. [inaudible] fine. I'm with the king anyway. Okay, so leopard, Leopard. I like Mary the children. I don't know. I always peg Bundy. Well, I was gonna go for Kelly, but thank you. I like dumb and slutty and a no. I do have my friend who started pegging her boyfriend and my phone has peg Bundy. Whoa. What's her name? She started pegging her boyfriend. She got a new boyfriend. His, I think he's gay.

Speaker 2:          00:00:54       Honestly, I don't sure. Listen, if you get pegged, I'm not saying you're gay for sure. But this guy, this guy, this guy I think is gay. And what does she think? They broke up. She thinks he's getting out when Jesus Christ broke up. Why did they break up? He was emotionally unavailable because he's gay. Wow. I think he's looking for something with a deck. So what was there other signs with him that he might be, I dunno. I think that he just was not he, maybe he's just an emotionally unavailable guy, but he seemed to have a lot of issues around wanting to get Dixonus. So it seems like maybe he needs to try maybe a less plastic one. Yeah, we probably use already trying it. Don't you think? Maybe. I mean, I don't think he just, why would you waste your time with a rubber Dick Strap to a woman if you could just go get maybe Jesus.

Speaker 2:          00:01:49       Jesus made some Christian stuff like, oh yeah, I don't, yeah, maybe it's like internalized homophobia or probably, or maybe he's just like transitionary like maybe two years now. He will look back and go, God, I used to make girls fuck me in the ass. I'm was such a dickhead. Why did I do that? I should have just come out. Yeah. Or maybe he likes the feminine aspects of a woman and the rock hard cock part of a dude. There's a lot of people that liked that. He needs it to get, there needs to be like a, well, I guess that's what a, he needs a Hermaphrodite as well. Whitney Cummings was telling me that those sex robots, you know, you saw her specialist administrates robot. There's, they're really popular where they have a woman's body in a dick. Those ones are really popular. All right. Hmm.

Speaker 2:          00:02:35       All right. You get to live here, you get to live here. You just, you just want everything inside, outside. Give it to me. I had a guy call into my podcast about his wife won't peg him enough and he's a cock, but she won't. Yeah. But she like, she liked me. She like makes love to him while she pegs him and he wants to be just destroyed. You know, Jesus Christ. He, he's a cock. He or she won't fuck black guys, so he's just, he's like, I'm like, I feel like for what you want, you should be very grateful. You have as a woman, that's pretty down, but there's always more. So I'm wondering if he just wants more or if this is the ultimate same with, but just that's how it is with people. If you go back to the early days of porn, it was basically just pizza delivery man and sorority girls and sex and everybody had a bush. But then you look at today, everyone's gagging and slapping and choking and spit and not choking on pubes in his body. There was none of that back then. Now it's like standard, you know? It's like everything keeps getting pushed. Boundaries keep getting pushed. Everyone's getting the fish. Poor Aziz. It's fuck cause he's watched the war, the wrong porn disease. Oh, you got in trouble? Yeah. What a disaster.

Speaker 2:          00:03:51       Have you seen a special, I haven't watched it yet. I watched a clip and it shot so bad. It's like you see him and then you see people behind him in the backstage area milling around and he's on a seat. It's so dumb. It's like there's, there's doors open in the back and then people walking behind the doors. It's like some odd artistic choice to try to be like, it doesn't matter that I'm up here. Yeah. Like it's no big deal. Life still goes on even though I'm up here, which means you were thinking that life doesn't go on and you wanted to show people that life goes on too. That's deep. You are, you are insecure about how narcissistic you are and then you tried to fight it. Well, I was thinking it was the director's choice or was the director who was the director?
