Speaker 1:          00:00:01       Three, two, one.

Speaker 2:          00:00:11       Well, live. Well live. What's up brother? What's up dude? How are you Betty? Good. We got you in here finally, man. How many times do we have to talk about this? Several, right? This was, the universe wanted it. The universe made it happen after the till. Victory. There was a, that was, that was a, for a lot of people, a big coming out party for you. Why is it? Yeah, you were already out, but that was like, Holy Shit. The way you put him out, it was Whoa, that was a holy shit moment. I was going for that moment. That's what I was trying to do. Yeah. And you had decision wasn't going to come my way that way. You know, I not to say nothing about, uh, the English, but I, I don't like the judging over there. I've seen a lot of decisions go like crooked.

Speaker 2:          00:00:52       I don't like decisions in almost every state. Yeah. You know, I mean there's, there's decisions in almost every athletic commission that you just shake your head out and you don't understand. What's the worst thing you can think of? I don't know. I don't know, I'd have to sit back and go over the archives, but I've seen some horrible ones. Even ones where guys, when they like barely when you're like, how the fuck was that close? Like 29 that kind of shit. And you're like, what are the town? Yeah, there's a lot of those. And it's getting better though. Cause more fighters every are joining that force, you know? I see. Or I hear about fighters they used to fight that are involved in the commissions at least second Florida and stuff. So I know 10 years from now is going to be nothing but productive people in the people that know what they're looking at.

Speaker 2:          00:01:33       You know, we can only hope that, I mean that's the number one problem. I think that scoring system sucks to like adopting a ten nine even the new improved scoring systems like MMA is so much different than boxing and to adopt this scoring system just because it already existed for boxing, you know, that's like adopting the rules of tennis for Ping Pong. Like the different things. This is a mafia, is that what is the boxing thing? Huh? Yeah. Why is a boxing commission governing the MMA commission? Shouldn't we have our own thing? Yeah. I think in some places they just didn't have the infrastructure, you know? And nowadays we could do it nowadays for sure. Yeah. In most places. But yeah, it's um, mean time to change. I mean, you been around for a long time. My friend, I remember the first time I ever saw you fight.

Speaker 2:          00:02:17       It was a, a backyard, bare knuckle fight in the Kimbo slice days. That was the first time I heard about you. And then I saw you fight Eve Edwards and Bodog. Oh, dog fight. Yeah. It was a golden age. The golden age is Matt's a while ago. Damn. It's crazy. Like Bodog fight was fun. Organization change. Alaska has fought there. Chill son and fought there. Eddie average. That's right. Yeah. Fade or fade or had a fight over there. Afraid I had a fight over there. Brad Pickett as well. Yeah. I'm Mike Brown. Yeah. But what happened with them? They went under because of the, the whole gambling rules online changed right off from what I heard. If no one I heard was a spending budget, I, well this is what I, what I heard, um, Calvin air, there was the owner of both, right? He

Speaker 3:          00:03:00       put up this huge budget and these are just rumors from what I heard from the people working, you know, but it was like $100 million for Xyz and mine. I used to get them publicity so people would see the fights and then go to the casino. That 100 million got blown out like in two, three years is what I heard. Ah, and I wouldn't disagree cause they used to pay me really good and give us super perks. They usually give us some super perks, you know, take us to exotic locations to fight, be there for two weeks, you plus two that flout take care of you. They really, really took very good care of me. So when I heard that they blow out 100 million in three years, I was like, yeah, it could be, you know. Well they were fighting on the beach with hot girls in bikinis and wandered around dancing.

Speaker 3:          00:03:41       But you were on the beach like in the sun. I was like, what the fuck is fucking ideas and to fight in the sun. But let me tell you the training sessions that went on, there were some of the best that I've seen the world cause they, so you would go and you'd bring two of your corner man. And then somebody found that and then before you know you had like four people, if your entourage going with you from whatever team that was. And everybody was doing that and we'd have a training place in what they had done was laid out tarps and mats and it was huge. So we'd have like a hundred proles 50 pros from all over the world, just training, you know, and when you to know each other and it's like, hey, you want to roll? You know, it gets competitive, you know. So there was some great training sessions that I saw and that I, that I took a part of, you know? Wow. Yeah. It was fun, man.

Speaker 2:          00:04:23       Look, the, the world needs more of those. They meed more one fcs. We need more Bella tours. We need more, you know, composition, whatever the professional fight league is called now. What did they call themselves now? Is that what it is? It's Pfl used to be world series of fighting. That's right. Yeah. We need more, need more of them. Oh, so PFLs world series event. He used to be world series downs. PFL Okay. Yeah, I think pretty sure. Most of the same organization. Okay. Yeah. Do we need, we need more, you know, I need more money. Yeah. That Oscar de la Hoya thing, you know that that's probably never going to happen again after the, the Tito and chuck fight and it doesn't just look like, but someone of that ilk, someone like a golden boy promotions, they started getting involved in MMA and putting together, they get some guys that aren't signed but are super high level with a big name. Like maybe the contract comes up and they decided to do something with a big name promoter. You know, it'd be good for everybody.

Speaker 3:          00:05:18       Yeah. Golden boy tried, uh, many years ago, didn't they? With reflection was an Oscar part of that. I remember Oscar Donald Trump. That's right. Yeah. Was a part of affliction and that's right.

Speaker 2:          00:05:30       Josh Barnett sunk that ship. Josh Brent had tested positive and that ship sunk, remember? Yeah. Yeah. And then the UFC bought it like right afterwards. Yeah. Yeah. That they had some fun fights though. That fucking Tim Silvia Fade or fight was wild as shit.

Speaker 3:          00:05:45       Andrea at [inaudible] art. Look at Donald Trump. He would Thomas

Speaker 2:          00:05:50       10th. Yeah. That's hilarious. Yeah. Back in the day. Sun. Yeah. Donald Trump and Tim Sylvia. That's hilarious. He was a totally different character back then to our troubles. Like a fun guy. Like everybody liked him. People liked him. He'd get cheered on. Now people are so fucking mad at him. Same Guy. I don't see him that when it weren't. No, they don't. They don't, man. That's why he has us security around them now. Oh yeah. You has to. Yeah. You fucked up. Came President yet. It's a huge mistake for anybody. You want to enjoy your life. Don't be fucking president as has, you know, he could disappear and get facial surgery or something. Of course, once you get that booklet with all the secrets of the history, just for that, the CFR book just for that, what do you think gives you that book? Is it a, the CIA, the NSA or who comes to you with the book?

Speaker 2:          00:06:44       Some guy with no face. Nothing. No face. Yeah, like a, the, the guy with the march anyway and the mass. What is the watchmen, who was that guy? Ink Blot. What's his name? Shack. Raw Shack. That's right. That guy. Yeah. He comes to you and come see what the bone to be. Everything's in that book. We, we all know what's in that book. Tell me, I don't know what's in that book. You don't know what's in that book? What's in the book? You think? I'm going to say here in Wa are people are listening to get killed. I can't say I seen the book, but I can't tell. What do you think's in the bone? Joe? What do you think? If you had to guess, like he didn't even want to say President Jorge. You're first day in office. Mr Mosfet doll a word you like to?

Speaker 2:          00:07:20       Uh, would you like to go over first? Is Elvis still alive? What about Tupac? Where the fuck we're super guy. Who else? What's going on with these Amy's Bro, they real witch, which was mine, number one. One. Number one I want to know about aliens. I was hoping, this is my hope when all these people are screaming his treats about Trump, like, Nah, I was hoping the moment he gets in, he's going to ask about aliens because Trump's into conspiracies. Like he used to go on the Alex Jones show all the time. I know he's in conspiracies. If you were going to be the president, the first thing you ask is fucking aliens. What do you got going on here with these green fellows? Now we talk about what's going on with them. You live in Florida. There's plenty of aliens down there now. We don't go, Oh yeah, we've got a lot of aliens, different types of 18 Florida's we're talking about those reps, Florida, the trip.

Speaker 2:          00:08:12       It's one of my favorite places because it literally, especially the whole southern Florida area, like Miami West Palm down, it seems like you should have a passport to go there. It's just, it's so different than the rest of America. It's going to speak English. It's great. The food is all exotic. It's like it's, it's, it's such a different flavor and then the weather's crazy. It, which it's almost like going to another country. Yeah, you needed a little pat. You go to the guys. He's in Trump. Put Gadget. What language are you speaking? Nobody speaks English there. People get upset. I'm always at a gas station and then somebody like an American person will be in the line and fucking, dammit man, nobody speaks English here and then I'll have to like translate it. I'll come down, man. It's okay bro. There's people who speak English and Spanish, you know it's, yeah, and it's also the weather there.

Speaker 2:          00:08:56       It's when it gets crazy, it gets so crazy. I went with Eddie Bravo once and he was doing a Jujitsu seminar. We had to drive from a west palm down to Miami and as we're driving this storm hit, it was so hard. You had to, everyone stopped dead on the highway because you couldn't drive cause you couldn't see in front of you. We were laughing. No one could see anything. It was just all a wall of water that was pounding down in the car for about 10 minutes and then it all went away. We were like, what in the fuck was that? You can't see in front of you. It didn't matter if he had windshield wipers on and you are going nowhere. You couldn't drive. You couldn't see. Sounds about right. That's about right.

Speaker 3:          00:09:34       Right. That's why Mami people, Florida people got that a spastic uh, behaviors. We'll just like the weather. You know where your one moment

Speaker 2:          00:09:43       it's all temporary. Yeah. Yeah. Well, you know, you being down there though, you couldn't ask for a better training environment. I mean with, with Dave established down there, I mean it was great when there was the black silicon zero as well. But I mean, American top team down, they're like, Holy Shit, we are in Florida. I mean black savings, just trying to do that casing to saying that they were killing this competition. I don't whatever happened to that team. Well the guy died. No, but before that it was long extinct. Well, it's, look, Dan Lambert, Lambert's a bad motherfucker. It costs a lot of money to do what he did. And T. Dot. Guy is a, he's one of the treasures of the sport. Yeah. You know, and what he did was not just do it once, but then build a whole new place. Yeah. The giant new place with dormitories and shit. Stay there. Our facility and loves him. And Dan is amazing.

Speaker 3:          00:10:28       Have you, have you ever been to Dan's house? Never have. Oh, he's probably going to get mad at me. I'm going to put him on blast and number. Fuck it. Let's pick out on real quick. He's rich. So he got a really nice house to start with. And, uh, you going inside the house and you don't see any pictures of his kids, but she has a beautiful family, but you do see pictures, massive pictures I'm talking about. They won't fit in this room. They're huge pictures of his finders knocking people out of some baby people all over his living room and you go, wow, I the gym is my baby. I would know where to get rid of this. You know, this is, that's his thing. That's his baby man. He loves him, man. And the hands also. Tough motherfucker, Bro. I rolled with him back in the day when he was maybe like eight years ago. He short with everybody. And if you were world champion at night and be like, let's roll. Just strangers. It's when he's pointing pretty good man.

Speaker 2:          00:11:15       Yeah, he's very good. He's a legit, yeah, he's a great guy too. And I remember when that place is basically just a money hole for him. He just kept pumping, pumping money into it. It was funding fighters. Some of them took advantage of them, a lot of them it was, but he stuck with it. And then he started developing world champions and now it's like, wow, look at that place. I mean we talk about best gyms on the planet. You always have to mention att, you have to,

Speaker 3:          00:11:42       obviously my opinion is biased, but I think we stand alone in the world. I don't think, nobody's just sheer numbers. You know, we just got another title holder on on my card. We got four people from American top team finding against the world. You know, I think for awhile I was like Greg Jackson's an AK. They were producing a lot of people, but as of late, the last like four years, I think he's American top team.

Speaker 2:          00:12:04       Yeah, down. It's also the incredible diversity of talent that you could train with. Yeah. You know, there's so many.

Speaker 3:          00:12:10       That's what attraction, you're one 35 are and back home. You're the only one 35 are and maybe you're a world class guy, you come in here, you got like five one 30 fibers and 30 of them might be in the top 10 in the UFC. You,

Speaker 2:          00:12:21       what do you attribute your longevity to and your enthusiasm too, because you've always been a guy who loves fighting and you always been a guy who mean you've had that enthusiasm for a long time. Man.

Speaker 3:          00:12:36       You know, not a lot of things, uh, can capture my attention, you know, and I, I can't just watch TV for example, you know, like a football game and sit through the whole thing. You know, I'm not trying to digital but on that I just don't have that attention span or basketball or baseball fighting can just like I'm talking to you in a fight goes on and I'd just like almost get zoned out. You know, there's always had my attention since a kid since before I knew that I could make money off of it. It just attracted me, you know, it's that primal instinct, survival, whatever it is, is just hardwired deep into Mino and my longevity. One thing I definitely attribute to is a not taking steroids, man. Just being natural, enjoying this ride, that the natural form, you know, not like pushing my body towards limits that I'm bench pressing 400 pounds where my ligaments are weak like that, you know? And I also think God made me for this, you know, the way that I've been fighting my whole career. You know, I have really good defense. The last white, it didn't show, but I'm also like bill Hardman. I walked out of the till, got clipped

Speaker 2:          00:13:36       one left hand in the initial ft Dick kicked him, which is crazy. He came out as the first one I ever saw with a opening flying side kicked Dick, kick Luke, Hank to the balls. Sorry. Um, but then he clipped you with was a perfect straight left, but you survived on the ground. You survived in the ground. You covered up, you showed great defense on the ground. You got back to your feet and you kept it together, you know, and the combination that you hit him with, you'd hit him with that combination a couple times. You did. Is that something you prepared for that when you were switching and then throwing that left hand? Is that, did you prepare in a way? Pet, yeah,

Speaker 3:          00:14:11       me and my coach, ah, he's, he's the one that'll do like all the techniques. The guy that had been with forever Ballina and nuns, I think the greatest dragon coach ever, he, ah, he showed me like, Hey, let's do this. You know, Oh man, I want to do a new techniques. Come on, let's just do it. You know what I mean? I started doing it, doing it, doing it. And this was like a while ago and then for this fight and I had stopped doing it, you know, cause a lot of the techniques we work on my lap when initiating, when he brings me a technique to the table, we're going to wrap it out 100 times in a week and the next week the same thing to leave fields that I got it. And then he'd be like, all right, cool. [inaudible] they're in the tool shed when we need it.

Speaker 3:          00:14:41       We'll Polish it up. So for this fight, he's like, Hey, remember that technique? Let's, let's bring it, I think it'll work here. And I go, man, but he's just South Isaac. I'm telling you the way he's moving the ways, you know, fighting with you, it's gonna work. So we started doing it and boom money. You caught him with it a couple of times before you put them away with it. Right? I not with that one, with that same exact one. Similar ones, but I didn't, uh, I didn't go full south Pato to the blitz, you know, I did it a other different ways, you know, and I also caught on my lap with like overhand and left hook as he was coming in, especially in the second round. I caught him I think maybe twice with that come. Yeah man, that's a big knockout. That was a big knockout.

Speaker 3:          00:15:20       He's a, he's an interesting guy because he's really too big for one 70. Yeah, he's so fucking tall. But you are a guy who doesn't cut much weight at all. Like how much would you cut for Sec? Well, by the time I get into shape, shape, I'm around 182 pounds. 180 pounds. So fight week, I get over there and I'm like eight pounds away, some seven pounds away and not so light. Yeah, it's nice. I don't cut any at 55 if uh, if everything went right when they used to fight 155 I got there at 174 pounds, 170 30 pounds, 5% body fat, and the rest is just watermelon. It would fucking kill me. So I, I always felt that was too big for 55. You know, I, I loved it because the competition was stiff there, but it was just getting harder and harder once it took those ivs away, forget it.

Speaker 3:          00:16:04       There was no way for me to make that weight. Yeah. And moving up has been very successful for you. I mean, you look better moving up then I think you have ever in your career. I don't think I had any stoppages at 55 with the hands, like ending, somebody had dropped a numerous people, but I never CalEd somebody stiff, you know. And at seven I've got a couple of them in. Is Do you tribute that to having more power at 70 energy hub, healthier, feeling confident. You know, once, once you run that desert to cut the weight and then you still have to fish fight, that's still in the back of your mind like right. You know, do I have 50 good hot right hands in me, you know? Right, right. And those doubts and stuff come in you and also your insights take a beating.

Speaker 3:          00:16:41       When you cut that weight, when you cut it like 12 pounds and up of water, your insights take a beating. So you get hit in the stomach and like, Whoa, that Shit fucking hurt. It doesn't hurt like this in practice. You know? So, um, it, it sucks man. It sucks. Harsh water cuts suck. We were talking about it outside that I think that they, if they instituted hydration tests and more weight classes and just cut it out, just cut out, wait, just cut out weight, cutting all together, cut it out, man. Just, he just figured out a way to eliminate, make people fight it, what they were at. But you've got to have more weight classes. No, definitely. I mean most of the population walks around between like one 45 and one 70 I think, man, you know, most of my friends are not heavy weights or, or very short dude, you know, they're like right around this show.

Speaker 3:          00:17:24       I think definitely knows way classes. They could definitely add more, you know, maybe even seven pounds in those way classes, every seven pounds a difference. And then as they get bigger, they get through like 10 pounds, you know, like 85 95 two oh five you know, I don't think it's, some people said that boxing is too watered down. I think what, what waters down boxing is the different organization. Yes. I don't think it's way close. 15 bells per weight class. Come on. Yeah, I don't think there's anything wrong with a one 47 and one 54 and that doesn't me. No, no. Well

Speaker 2:          00:17:50       that seven pounds, 47 one 54 one 60 and they have one 68 I think that's perfect. Perfect. Yeah. I don't think, I mean I think, look, I always thought it was weird that we didn't adopt. If we're going to adopt the boxing 10 point must system, why don't we adopt a weight classes? Like why do we have our own still weirdest? How is lightweight one 55 lightweights always in one 35 we all know that welterweight one 47 it's not one 70 how has that welterweight like that's ridiculous. There was already a welter weight. Like it's like calling a pound like, oh well those are our pound in South Dakota. It's seven pound, little heavier into South Dakota. What does that, you know what I mean? It's, it's, it would be better for the athletes, but I get the UFC is idea that they don't want to have like all these titles.

Speaker 2:          00:18:31       They don't want to have like 12 different titles. They didn't want it to be watered down, but stone and B, we've got a bunch of interim champions. You're in that door. Yeah. Yeah. Well listen, those two that we had, um, this past weekend, I don't see how anybody could argue with those more fun, great fights. Those are amazing. Wow. And uh, I've been, I've been training alongside the DP for a while. She's like, everybody knows the DPS are ready, but this I think puts him in like a special category for sure. That like Max and to beat him the way beat him to stun them bad and that first round and then just every time he connected he was rocking him. I mean he just, he really showed his power shield the difference between a 5,545 or, and uh, it just showed the how can crack crack for a while.

Speaker 2:          00:19:15       I've seen him layout dude stiff in the gym a lot. You know, he's got one of the higher body counts for lean dude's us not even joking. I believe it, Eh, he's got power. Another guy who would lay dude stiff on the constant was hectic man. Those guys got body counts for the Lombard. Yeah, I can imagine. He kind of sparked hard. Yeah. He's as far as his little heart. He's a wild man. He's also a freak athlete too. You know. I remember when Hector was laying people out in tour before he came over to the UFC. I mean, I think he fought his prime fights over there. Really is. That was at 85 to, yeah, yeah, yeah. 70 was a harsh cook for him. Brutal cut. He's so thick. You know those fucking Cuban genetics, man. Yeah. That's what he looks like. Thickness oil.

Speaker 2:          00:20:04       Another got all nick. She allows ridiculous 42 years old. Even believe this is a real human when every ways, and I'm like, what the fuck is this? He said, just specimen. You know what I mean? Every dude, bro. I've been training along that guy too long. He does. He's one of the freaker athletes. Oh yeah, him Lombard. And to me, one of the best athletes I've ever seen that had been around with, not too many people know him, but he's, he's a wild man. Like the wildest of the button. He, he's the one that when he comes in the mat in the room, me, Joelle, heck to every, whoever's there that knows him takes you off the hat and goes, guys, here the man is years Alexis villa. But that guy's a freak athlete, Bro. Two time a world champion wrestler, Olympic bronze medalist.

Speaker 3:          00:20:47       But man, they guy could play any sport, man like ham ball. When's he, how long has he been over at att? No, no, he's right now. He's uh, he's beating a sentence right now. He's a, he's doing a little bit of jail time for, for a crime that he didn't commit, but he was fine. He find a better too. He beat, AH, Joe Warren knocked him out. Oh no shit. Alexis villa and a man from pure athleticism and this guy would do crazy stuff, you know, play basketball with like a basketball high school team just by like what the fuck was, he was at one 25 and one 35 freak athlete or some crazy stuff. Jabra free. Gathy man. Yeah, there's some freak athletes in the sport now. It's interesting to see the difference between the athletes from like 93, you know, or the first UFC he's to now, it's a crazy difference.

