Speaker 1:          00:00:00       The joe rogan experience showing by day Joe Rogan podcast by nine.

Speaker 2:          00:00:11       Austin's one of them is a drug addled shit. All the other ones in Texas. We're here about 10 miles outside of Austin, Nevada. I'm with my good friend Dan Dodi. Hello. Hello. Say Hello. Hello. We just got back from uh, we allowed to say unsuccessful until it hits the air. Yeah, I think Sylvia and six belt successful in memories and fun. We had a wonderful time chasing unsuspecting undulates with sharp pointy sticks. It did not work out. That means we're bow hunting for deer. It did not work out. Dan Dodi is a, hey, you are a fucking renaissance man, my friend. You're a, an undercover hippie on a hunting show. You're a man of a great fast, wide range of experiences and um, Dan is a work for a mediator for 65 episodes. This is my 65th episode shooting the show at. Dan's been on the podcast before with Remy Warren back when he and remy were, I'm releasing that apex predators show, which is excellent show.

Speaker 2:          00:01:27       I guess they're not doing it anymore. Uh, if you hear noise cause we're driving, we're on the road right now and uh, we're, we're passing through some fucking strange shit. We're a about 150 miles or so outside arena, I think one 70 outside of Reno, Nevada. And um, we, we just saw so much strangeness today. This is lonely country, man, lonely country. I was a lot of, what do you call it? Desert, desert rats, desert rats, all these people there, no offense if you're one of them listening to this podcast right now, I'm sure you're wonderful people. Lots of four wheelers, lots of side by sides, lots of long, weird haircuts, weird haircuts. Like they just, it gets to a certain point all man ago. Go to cut the end. They just free. No is reno is fucking metropolis compared to this. And I've always thought of Reno's being that one of those weird places I really don't want to go to.

Speaker 2:          00:02:25       But um, no offense, if you're from Reno and you're listening to this, if that is is, it's a bigger state than I thought and it's, it's as empty as anything. You know what the game means? What does gaming does that mean the, so yeah, it's like how much it's amplifying the sound that's coming. So if I crank it up way high, it's probably too hot. Yeah, it's making a red. It's like, bitch, what are you doing? There's a clipping going red, that means it's too much. Or I'll leave it right there so jamie can handle this and Jamie knows how to do it. This is a new thing. I think I picked up, it's called an apogee microphone cause some people were complaining about the sound quality of my ipod or iphone recorded podcasts and someone from my message board recommended this is pretty dope.

Speaker 2:          00:03:06       I like how it hooks up. Just hooks it up right to the base of your iphones. And um, this might be the future. This is really your first time. Yeah. This is the first time Dan duty. You're, you're the one who's breaking into in sounds good. So, um, we are about, we're, we were about five miles, or excuse me, five hours outside of Reno in this incredibly beautiful, desolate landscape chasing these deer that have these ears that they're there. Fuck, there's biggest Kim Kardashians ass and they fucking here everything, these animals here, everything. And Dan and I, Dan was behind me with the camera and I was, uh, being a clumsy, sneaky fuck, trying to sneak up on these things and it just didn't work out. But God damn, it was fun trying to do, we got clothes, we got some good stuff. Yeah. I got so close that it could have happened once one time.

Speaker 2:          00:04:01       It legitimately could have happened the time we got kind of close a few times. But one time I got inside of 30 yards and as I was crawling towards them in the bushes, I made too much noise and they'd got up and bolted. But, um, there's two deer that were in, ah, this is too many, too many details and catch it on the show. It's called meet. Either it's on sportsman channel. It's an excellent show. But, uh, this, uh, this fucking trip has been really interesting. First of all, it's nice to be off the grid for seven days. I haven't done that in awhile. God Damn, that feels good.

Speaker 2:          00:04:40       When was the last time you did that? Probably last time I hung with you guys. Probably Prince of Wales Moon with that was, that was not quite a year ago. Yeah, it was miserable. I was less or more miserable than, Oh, this is way more fun. Way Better Mrs just hot. But I don't mind he, he doesn't really bug me as long as we have water. We had plenty of water. I mean you just keep your skin covered. So, you know, burst into flames. Yeah, I have, uh, I've done a lot of these mediators, but I haven't been doing them lately. The last year, and this is the first time I've been off grid and I don't know, a good long time too. And it felt amazing. The first three days just felt like a vacation. Yeah. Well it made me realize like we're so addicted to taking in information, at least I am.

Speaker 2:          00:05:27       I shouldn't say wheat. I'm so addicted to checking the news and finding out what's going on in the world and we just, it's, it's a lot of times, doesn't give you a chance to use your brain and think about what you actually feel about things. Like you don't get a chance. You're just so wrapped up in it. Paying attention to all the news and all the information and all the stuff that's being fed to you constantly through the media, through social media networks, you know, all the, just everything. It's just too much. I tried to keep my phone off for four hours at a time during the days, even if I'm working. That's nice. Just try to shut and put it on airplane mode, put it away, and just step away from it as much as I can. Well, my friend Ari got it right. I can't do what he did, but what he did was he switched to a flip phone.

