Speaker 1:          00:00:03       Three, two, one

Speaker 2:          00:00:08       cool thing going on here. Now we'll circle, oh jeff, merry Christmas. What's up Joe? Youtube not been the easiest week in my life or my career is last week, but hanging in there to make this a standalone so that people don't have to go figuring this out on their own. And I'm sure many, many fans are tuning in already. Know that. The gist of the details, let's lay this out from the beginning. John Jones. Initial failed test. Yeah. So that was July of 2017 he tested positive for approximately 20, anywhere from 20 to 60 Pika grams of a longterm metabolite known as the m three metabolite of a substance called to hydro chloral methyl testosterone, Dh cmt, also known as oral to rentable. And this was over a year ago. Um, what was determined to be the source of this stuff, never determined what the source was. So John went through a full arbitration hearing, um, was never able to determine where it came from.

Speaker 2:          00:01:13       Tested all the supplements he was using, you know, went through many, uh, interviews with Usada, had a full on arbitration hearing. Uh, the source was never determined where it came from. Why was his suspension so low or so short? Well, I mean it wasn't that determined. So I mean there's many factors that go into what that suspension was. I would argue in the toe tap totality of the evidence that was presented in that arbitration that it, that it wasn't a short suspension. Um, because really one key thing came out at arbitration. So John went to arbitration before an individual by the name of Richard Mclaren. Richard Mclaren has an arbitration group up in Canada and Mclaren is probably worldwide known as one of the most credible guys in anti-doping. I know you had the ICARUS producer director on the Mclaren report was the report that came from all that.

Speaker 2:          00:02:07       He basically investigated the Russian state being involved in doping and Sochi Games and put out, actually a series of reports on it, detailing it up to 1000 Russian athletes. Um, you know, we're breaking the rules and the Russian laboratory was helping them get around it. So he's a very, very respected guy. He's independent of obviously the UFC. He's independent of Usada. Um, he acts on his own and his determination was his determination. And I'll read you kind of what he said. He said, I find that all evidence available to me leads me to conclude that the violation was not intended, nor could it have enhanced the athletes' performance. So a non-intentional so not unintentional ingestion. I mean, there's no argument that it was in his system that he found the evidence to show non-intentional use. And then he went further saying that based on the numbers of what he saw and the evidence that was not even a performance enhancing benefit afforded to John for having this longterm metabolite in his system.

Speaker 2:          00:03:10       And I think that's significant when you talk about hey, 15 months is that that's, you know, kind of light being that this is the second time through. I would argue that if there was an argument that maybe it's on the higher end and certainly, you know, we'll talk about the California commission. Andy Foster took that position, uh, in John's recent California hearing, he was a little bit critical of Usada. Um, he thought, you know, he's intimately familiar with this evidence both in the previous case and this occurrence that, and he also saw that there was no evidence that an independent arbitrator, you know, made this statement and decision of John Intentionally cheating. Um, so if anything, you know, I'd say that potentially there could be an argument that, that it was, you know, on the higher end versus the lower end because of the fact that it was an unintentional ingestion.

Speaker 2:          00:03:58       Exactly. Now what is John's excuse? What is, what is, John said how he got this into a system. We'll look and it's detailed in the arbitration hearing at all. John John fully admits that, you know, some of the lifestyle, lifestyle decisions he was making, you know, the partying and things, you know, probably did not lead to making smart decisions and making smart choices in terms of what was being ingested in the body. But certainly his testimony was under oath that I have never intentionally cheated and did not intentionally put this substance in my body. And not only this case, but it as we talk about the subsequent case here, I think you'll see that based on the numbers, you know, coming out of his tests and based on some studies that have been done on some of these substances, it would tend to support that. Okay, correct me if I'm wrong, but didn't John tests negative then test positive for extremely low numbers?

Speaker 2:          00:04:52       This is the initial test before we get into the most recent field test she did. So that's negative then test positive very shortly after with a very small trace amounts. Correct. So you have two negative tests on July 7th and July 8th, I believe, of 2017 and then weigh in day, I think it was July 28th he was positive for a very low level of the m three metabolite and, and we might as well start here. So again, going back to ICARUS, remember, remember the doctor, I mean he's the main character in that were chink of, in 2011 he put out a study on oral Terenna Ball. Um, he actually, my understanding is dosed himself and then studied the excretion of his urine and what was coming out of it over the weeks and months after and determined that there were multiple maybe up to 50 metabolites that once this Dh cmt was ingested into the body, the body converted into other substances and these metabolites stayed around.

Speaker 2:          00:05:54       He identified some short term, some medium term metabolites and some longterm metabolites, specifically the m three that John's tested positive for it. So these longterm metabolites would indicate that it was taken long time ago. They would stay around for the longest. Why, why was he testing negative and then testing positive for these extremely, so yeah, the numbers. That's a good question and that's, that's basically the question, that point. But what was not occurring and what has never occurred in any of John's samples is any presence of the short and medium term metabolites. And if you look at a [inaudible] study, he identifies a couple of these medium term metabolites, Roman numeral one and Roman numeral two. And he says these metabolites based on his study will stay in the body at least 22 days. Well, let's look back to the July 7th and eighth you know, positive tests.

