Speaker 1:          00:00:00       Yeah,

Speaker 2:          00:00:12       so last week I told you I offered you an interpretation of foundational stories, right? More than two, but roughly speaking to, um, the creation stories because there's two of them in genesis and then also the story of the Buddha and I was presenting you with a proposition and it's a multi layered proposition. The proposition is that the archetypal story structure that we've already been discussing is reflected in detail in those stories and the archetypal story structure is something like the existence of a preexisting state where things are roughly functional so that you might think of that as the state of things going well and that's the state where your perceptions and your plans are sufficiently developed so that when you act them out in the world, not only do you get what you desire, but the story itself validates itself through your actions. Right? Because what happens when you act something out and you get what you intend.

Speaker 2:          00:01:23       Just like when you use a map and get where you're going. Not only does that get you to where you're going, but it also validates the plan or the map. And so that's, that's, that's a definition of truth. That's a pragmatic definition of truth. This is the sort of thing that I was trying to have a discussion with about Sam Harris, because the idea is that we have to orient ourselves in a world where our knowledge has always insufficient. We never know everything about anything. And so the question then is how can you ever make a judgment about whether or not you're correct and the answer to that is something like, well, you lay out a plan and you can think about it this way. If this is actually an answer to the postmodernist problem of how is it that you determined whether or not your interpretation of the world is.

Speaker 2:          00:02:07       We won't say correct because that's not exactly right, but no, the postmodernists subject say with regards to the interpretation of a text that there's a very large number of variations of ways in which that texts can be interpreted and that's actually true and need. It's the same. It's actually a reflection of a deeper claim, which they always often sometimes also make. Which is, well, if that's true for a text which isn't as complex as everything, although it's complex, then it's even more true for everything, which is to say the world lays itself out in a very complex manner and you can interpret that in a very large number of ways. So who's to say which interpretation is correct? Okay, fair enough. Which a reasonable objection and it's, it's tied in with even a deeper problem, which is the problem of perception itself because if the world is laid out in a manner that's exceptionally complex, then how is it that you can even

Speaker 3:          00:02:59       perceive it? Well, that's, that's partly the question that we're trying to answer and the answer to that is what you have evolved perceptual structures and they're actually oriented towards specific goals and your embodied. So the, your embodiment as a goal directed entity is part of the solution to the problem of perception. But it's more complicated than that. So we could say, well, you come equipped and this was constant objection to pure reason essentially, um, that the, the, the problem is, is the facts don't speak for themselves. There's too many facts for them to speak for themselves, so you have to overlay on top of them and interpretive framework. Well, where does the interpretive framework come from? Well, the right answer to that is something like it evolves, right? It's taken three and a half billion years for your perceptual structure. You're a body perceptual structure to evolve and it's done that.

Speaker 3:          00:03:51       I roughly in a trial and error process. I don't think that exhausts what's happened over the course of evolution, but it's a good enough shorthand for the time being so, so there's the constraints imposed on your perceptual structures by the necessity of survival and reproduction, but there's other constraints imposed to that. You might regard to subsets of that. One is that because you exist in a cooperative and competitive landscape, the perceptual structures and plans that you lay out, we'll say the maps that you lay out have to be negotiated with other people and so that put stringent constraints on the number of interpretations that you're allowed to apply. So you can think about this in a pig and sense. That is if there are children in a playground and they're trying to organize themselves to play, they have to agree on a game and the game is of course a perceptual structure and a goal directed structure and a structure that delimits action and interactions and so they at least have to settle on a game and so that constrains the set of possible actions and perceptions in the environment to those that are deemed socially acceptable.

Speaker 3:          00:04:55       And then you say, well, what are there further constraints? And the constraints might be, well, let's play the game and see if it's any fun. And that means that you have to take the plan that you've organized consensually and then lay it out in the actual world and see if when you lay it out in the world, it does what it's supposed to do. In some sense, what you're doing is testing a tool. So the idea that the range of interpretations is infinite and unconstrained turns out to be incorrect and now it's that. That is. That doesn't mean it's easy to figure out how they're constrained, but the technical suggested that, well, there's an infinite number of equally valid interpretations is just not correct. It's not correct and it's not correct on biological evolutionary grounds and it's not. It's also not correct on sociocultural grounds because it has to be negotiated and then you know, piaget put a further constraint on that essentially by saying, well, not only does it have to be a game and a game that attains its hands, but it has to be a game that people want to play.

