Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:15       so today I'm talking to Dr James W pennebaker. He is professor of psychology at the University of Texas at Austin, and the Executive Director of Project Twenty Twenty one aimed at rethinking undergraduate education at that university. His cross disciplinary research is related to linguistics, clinical and cognitive psychology, communications, medicine, and computer science. He and his students have explored natural language use group dynamics and personality in educational and other real world settings. He has demonstrated that physical health and work performance can be improved by simple writing or talking exercises. Dr Pennebaker has received numerous awards and honors has written or edited more than 250 scientific articles as well as nine books, including more recently expressive writing words that heal and the secret life of pronouns. He also happens to be one of my favorite psychologists. Welcome Dr Pennebaker. I'm very much looking forward to talking to you guys to be here. Thank you. Great. So, um, as you may know what, because I think we've talked about this a little bit before.

Speaker 2:          00:01:28       I developed some computer online, computerized writing programs with my colleagues, one of which we call future authoring. One's passed, all three ones present, all threatening. There are a suite of writing program said they were heavily influenced in their design by your research. Um, my lab's been interested in narrative for a long time and also in, in clinical work and also in the application of psychology, uh, in the, in the real world setting and the practical setting. And I spent a lot of time developing tests to help employers screen for employees and we got pretty good at that. But while I was doing that, I was constantly bombarded with questions from managers of middle managers usually have medium sized and large corporations telling me that it was all well and good if we could hire better employees, but they wanted to know what they could do with their poorer performing employees, uh, because that was a continual, an intractable problem. And I thought, well, you don't have that much interaction with them and it's not that easy to solve people's problems. So there's probably not a lot you could do, but I kinda got sick of telling people that over and over. And so I scoured the literature. It was at that point, probably about 15 years ago, 10, 15 years ago that I came across your research on expressive writing, so maybe you could start by telling us what you, what you learned and how you went about it.

Speaker 2:          00:02:57       A little bit of background. I'm a social psychologist by training, so

Speaker 3:          00:03:00       I. I don't have any clinical training. I'm a. most of my career has just been stumbling upon one idea after another as opposed to approaching anything with a clear set up where it was going. I had been looking at mind body issues. I've always been interested in how psychological factors influence physical health and mental health and I came across a fighting years ago that just bugged me and that was people who have had a major traumatic experience in their lives that were much more likely to get sick and people who had not. Now that that was an old finding, but as I dug in more deeply, what I discovered was people who had a trauma and kept it secret. We're far more likely to have health problems than people who had the same trauma, but who talked with others about it and it made me wonder what if we brought people in the lab and had them actually write about it, some kind of trauma, ideally one they hadn't talked to other people about would that influence their health and that was really the underlying idea.

Speaker 3:          00:04:00       So the very first study was done in 1983 and we brought in about 50 people. Some of them were asked to write about the most dramatic experience of their lives. The other half were asked to write about superficial topics. I'm simplifying this study some and they wrote for four days, 15 minutes a day, and they also gave us permission to track their student health center records. These were college students and this was at a private college where the student health center was right next to the dorms. Well, what we discovered was that those people who were asked about traumatic experiences ended up going to the student health center at about half the rate as people in our control condition. The ones who had regretted about superficial topics over the next three to six months and this was a really studying, finding it was, you know, what I kind of hoped would occur, but I never, uh, I was so thrilled that it actually worked.
