Speaker 1:          00:00:00       Yeah,

Speaker 2:          00:00:15       I've really been trying to understand the underlying psychology of postmodernism and its relationship with neo Marxism and then the spread of that into the universities and the effect on the culture and what I would like to start with is a description of your understanding of that because our, like I've presented to the people who are listening to me, my understanding of it. I interviewed Steven Hicks recently and he wrote an interesting book called explaining postmodernism, which I liked quite a bit. It's been criticized for being too right wing, although I don't think he's right wing at all. I think maybe you could characterize them as middle of the road conservative, but I would say he's more like a classic liberal, but I'm really curious about your views about what, what, what postmodernism is. First of all, I know you've, you've identified it with the, with the general tricksters, Duroda and Latina and Sukkot and football in particular you've talked about, but I'd like to know what you think about postmodernism and also why you think it's been so attractive to people.

Speaker 3:          00:01:17       Well, my explanation is that there is no authentic 19 sixties point of view in any of the elite universities. Okay. But rather, the most liberated minds of my generation were 1960. It did not go onto graduate school. I witnessed with my own eyes. I saw genuine marxists. Okay. At my college, which was the State University of New York at Binghamton, upstate New York, a Harper College, which had a huge cohort of very radical downstate New York Jews. Okay. Who, in fact, the Harper, what we used to be called Berkeley East. So I saw genuine, passionate marxists with my own eyes. They were not word choppers at. They were not snide postmodernists, right? They weren't in your face aggressive. They use the language of the people. They had a populist energy. Hey, they dressed working class. There were non materialistic. Hey, these are people who lived by their own convictions. They were against the graduate school.

Speaker 3:          00:02:17       So when I, when I, uh, went onto graduate school and it became known that I was going to go to Yale, I was confronted by a leader of the radicals on campus or in broad daylight in front of everyone who denounced me for Grad school is not where it's happening. You don't, you don't do that. If you have to go to graduate school, you should go to buffalo now. And I had applied to these students to suny buffalo because the great leftist critic, Leslie fiedler was there. What a huge impact on me. He's right. He created, created identity politics, but without its present distortions, uh, and Norman Holland, the second one, little critic was there. I will be very happy to have gone onto buffalo, but I needed the library again. So I continued on to. Yeah, the word no in the, in the graduate schools from 1968 to 72 when I was there were only one radical todd Gitlin.

Speaker 3:          00:03:07       Okay. Went on to have a career success. Okay. The actual radicals of the 19 sixties, right. Either when off dropped out of college and went off to create commune. So I or they were taking acid and destroyed their brains. Now I have also written about that, the destruction of the of the minds. Okay. I'll for the most talented members of my generation through Lsd, it was going on all around me towards what's happened is the actual legacy of the sixties got truncated. The idea that these poststructuralist and postmodernist are heirs of the 1960 [inaudible] revolution is an absolute crock. Okay. What they represent as Fuko shows, shows Fuko said, okay, the biggest influence on on his thinking was Samuel Beckett's waiting for Godot. Okay. Which was a post World War Two play written in Paris. That was about the disillusionment and nihilism experienced after Hitler went through occupied France and all of Europe was in ruins and had nothing to do.

Speaker 3:          00:04:09       Waiting for Godot has nothing to do with the authentic legacy of the 19 sixties, which was about genuine multiculturalism, a movement toward India. Hinduism. I a transformation of consciousness through psychedelics, which I take but which identify with totally through the music, etc. Right? It was a turn toward the body. It was a tuRn towards sensory experience. Okay. I'm not this, this word shopping thing and this cynical removal from an actual experience that french import. Okay. Came in. Okay. To the graduate school, it did not affect any genuine 19 sixties person. The real 19 sixties revolution was about young. It was about a way of seeing the cosmos in mythological terms and the union contribution went on into the new age movement of the 19 seventies. Aside from the universities. So who took over the universities were these careerists hey, I saw them with my own eyes.

Speaker 3:          00:05:06       I saw what happened. I thought I was at yale when derrida was being shipped over to, to address the, uh, you know, the, the student is around students and the faculty. And I said to a fellow student after hearing one of these guys speak. It wasn't dairy die. It was, it wasn't another one of the theorists. I said, they are like high priests murmuring to each other. This, this was an elitist form from the start. Okay. It was not progressive. It was not revolutionary. It was reactionary. It was a desperate attempt to hold on to what had happened before. The 19 sixties sensory revolution was this postmodernist thing. Okay. This trashing. Okay. Of of the text. This is this, this encouragement. Okay. Have a superior and destructive attitude toward the work of art that we're going through. It's okay. Primly with red pen in hand.

