Speaker 1:          00:00:00       Yeah,

Speaker 2:          00:00:15       Dr Warren Farrell is the author of books published in 17 languages and they include two award winning international bestsellers, why men are the way they are. Plus the myth of male power. Warren has been chosen by the Financial Times as one of the world's top 100 thought leaders. He is currently the chair of the commission to create a White House council on boys and men. He's the only man in the u s to have been elected three times to the board of the National Organization for women now in New York City. Dr Farrell has appeared repeatedly on Oprah today. Good morning, America and has been the subject of features on 20 slash 20 in Forbes, the Wall Street Journal People Parade and the New York Times. His Co author of his newest book is Dr John Gray. The author of men are from Mars. Women are from Venus. Once again, this is the book we're going to talk not only about the book today, the new one, the boy crisis, but also about Dr Farrell, his career and his goals and his aims and all of that. And so I'd like to introduce everyone to Dr Warren Farrell and ask him to tell us what he's up to and why.

Speaker 3:          00:01:27       Well, I guess what I'm up to sort of the evolution of maybe all that time since 1969. And uh, when the women's movement surfaced, I was very interested in it and we felt that women really need it to be able to be equally respected and enter the workplace and have options open. And I was upset that women were not playing sports to the degree that I felt that was creating the benefits to them of sports. And so I started articulating this and started talking to my doctoral dissertation advisors about doing this. And their first reaction was war in the women's movement. It's just a fad. And I said, I don't think so. I think this is the beginning of the change of, of gender roles from both men and for women. And so I will talk with them about that eventually convinced them that I could change my dissertation and that led me to being seen by now as someone who was a man who was receptive at a time that the feminist movement was getting a lot of accusations of being man haters.

Speaker 3:          00:02:25       And so I think I served the purpose of here's a, here's a man, a real life flesh man who advocates, but we're advocating here, um, get up and say what we're saying. It's going to be harder to call you a man hater. And so, um, the, I started doing that and then ended up speaking all around the world on women's issues and the value of, of women being secure enough and competent enough to be able to share the breadwinning burdens that men handle. Um, and that was my focus for until the mid seventies. And in the mid seventies I began to see that the feminist had made a great deal of progress. And was. Everyone was sort of getting on board who was in, at least in the sort of middle class above an educated. And so, um, that was, but it was also a huge number of divorces occurring.

Speaker 3:          00:03:17       And so I began to say it's important for the children to have both parents after divorce and, uh, Betty Friedan and Gloria Steinem and a woman named Karen necro agreed with me, but I'm now the board. I was on the board of now at that time had gotten elected as a result of advocacy to the board of now and my fellow, um, and you know, female co workers on the board of now said we were at a dilemma here. And the dilemma is that the women are writing us saying they're gonna withdraw from now if they don't have the option to determine what happens with the children after divorce. And we do, we don't want to lose now membership because it's not only important for family purposes, but for all the other agendas we have. And so I said, well, the important thing is not women's rights or men's rights.

Speaker 3:          00:04:08       The important thing is knowing what's best for the children. And they said Yes, Warren, great theory, but we really need to focus on empowering women and at a broad spectrum. And so they ended up all voting in terms of giving women the option to be fully involved with the children or not, depending on the, under the guise that women know the best though the children the best and therefore they know what's best for the children. And so now, and I began to have a significant amount of tension over that point. And Betty Friedan and Gloria Steinem didn't weigh in. They weren't on the board of now. And then all the other boards of nows, um, around the country began to go the same way that the New York City now went. And so that led to my disengagement. And also I started forming hundreds of men's groups, one of which I think, you know, was joined by John Lennon.

Speaker 3:          00:04:58       And um, and that was a, that had a big impact on both the people in the groups that I began to see what memes pain was. And so I began to articulate men's pain in as well as women's pain in my, um, in my presentations and when I was only articulating women's pain and women's challenges, I would always almost always get standing ovations and maybe an average of three invitations for a new speaking engagement. And that was helping me live financially very well. Um, but then when I started to integrate the perspectives and feelings of men from the men's groups, uh, there was a lot of, um, I think I didn't see those standing ovations.

Speaker 2:          00:05:38       Why not? Why not

Speaker 3:          00:05:41       for new speaking engagements went from three to two to one, and then eventually to zero.

Speaker 2:          00:05:46       Well, it seems, it seems self evident in some sense that if you're articulating truthfully and carefully what would be good for either sex in some sense, you have to be articulating what would be good for both and unless you view the battle, unless you view reality as a battle ground between the sexes. And then as an, as a zero sum game, we can't have an intelligent conversation about what's good for women or what's good for man. We have to have a conversation about what's good for men and men and women and women and men and women. And so why do you think, what was your sense of why it was when you started to raise these other issues that you were, that you were admitted immediately unpopular. Two questions. Why do you think that made you unpopular and why is it that you saw early cottoned onto the fact that there was something going on that wasn't exactly kosher in relationship to now push for, for, for a particular kind of family structure and a particular view of women's rights?

Speaker 3:          00:06:51       Yes. I think what happened for me was, um, I, I just, when I started focusing on what was best for children and then I began to, we only had minimal amount of research for that at that point in time. This is your early seventies and, but we had enough for me to make a case to the board and when I saw the resistance, the degree to which there is, there was two things happening. One is we don't want to lose our power base. We don't ever want to have a woman say whatever options she wants should be close to her, and so I began to see that the women's movement was caring more about women than they were caring about the children. That was the first disillusionment that I had.

Speaker 2:          00:07:34       Okay, so you're a first year, first ethical point in some sense is that when you're speaking about families and you have to balance the rights and responsibilities of men, women and children, that it makes sense to you to put children's wellbeing first and foremost, and then to place men and women as individual say or may perhaps even as a couple below that.

Speaker 3:          00:07:56       Yes, exactly. What I was saying was that freedom of choice is wonderful, but when you make the freedom of choice to have a child, you then start prioritizing the needs of the child you made, but you knew that those needs were going to be the child's needs first. When you made that free choice, so it wasn't like you were coerced into the, into or pressured into making that choice. You made the free choice to have a child that incorporates the need to put the child's perspectives before yours. That's part of your free choice.

Speaker 2:          00:08:30       Right? So it's basically the freedom there is the freedom to take on a certain kind of relatively permanent responsibility and then to abide by that come hell or high water essentially into the future

Speaker 3:          00:08:42       that the children should not respect the parents needs because part of what I talked about in the crisis is that ain't nobody happy, that everybody has to be happy at a family and that and that part of choosing a child to be responsible is teachers and the child not just to have its needs met, but to also a care about what, what, what, what their moms or dads needs are being met as well. And that has to be very primary and primal and introduced early. Um, but that the, uh, and then secondly, um, I also felt to end and Betty Friedan and felt this way also that the, the women's movement would never go as far as it could go unless the, unless men were equally involved and proud of being involved in the fathering role because a woman who has to take on the entire response, a woman who wants to break glass ceilings and go as far as she can but also wants children can do that.

Speaker 3:          00:09:38       All of the man is working full time and she's working full time. Either the children get neglected or um, you know, or something, something has to go. And so, uh, when we will often say to me, you know, I want to be a habit or a woman and I say, you can be a habit. All women revere. Find a man who wants to be home full time with the children and let's reshape society. So we're saying that, that men are not only worrier warriors, that we, that we praise and call heroes when they go to war and they die for us, but they're also warriors if they choose. If you, if you choose a man who wants to be fully involved with the child, let's honor him and respect him because we know that the social bribes that we gave men to die allowed men to be willing to sacrifice their lives in exchange for being called hero. Uh, well, if we, if we read frame being a father as being a different type of hero, men will follow because men basically go wherever the praise goes. Okay?

Speaker 2:          00:10:37       Okay. So in the seventies, so you started to put forward the case for children and to some degree as well, simultaneously the case for fathers. And you received a fair bit of resistance as a consequence of that. And it sounds like the way you're setting up the argument is that the conflict. What was the conflict though? Was it that the women who were being appealed to by now wanted untrammeled freedom of choice for them under all circumstances? Because the reason I'm asking is because if you have children, obviously half the children you have or female, and you assume that if it was a matter of of women's opening up, what would be best for women in any kind of medium to longterm manner that the concerns about daughters would be perhaps even if it isn't concerns about psalms, it would be concerned about daughters that would emerge is paramount even over the concerns of the mother. So. So what is it that was. I still don't exactly get why it was that you weren't being successful because it doesn't make sense

Speaker 3:          00:11:39       because the car, the priority. There was two things happening simultaneously. One was such a strong emphasis on freedom and the freedom manifested in two areas. One is in the area of divorce in divorce, that women were often saying, I don't like my husband. I want to start a new life. I want to be able to move out of state if I wish to to get a job that I want or my new husband, my new husband or boyfriend has a. has a wants to move out of state. And so I want to be able to take my children or child with me, um, because, and, and, and I know what's best for my child, which would be like the medical community saying we don't want women to be participating in the medical community because we know what's best for the patient and not, not I, not that women might have separate, um, a contribution to make.

Speaker 3:          00:12:25       On the other hand, there was the, there was women who wanted to have the freedom to be able to have children without being married. Um, and so 53 percent of women under 30 today who have children in the United States have children without being married. And the belief was again, that women knew what was best for the children. So we could, they, they could take this on if they want it to and they couldn't find a man that they really wanted a, that they can raise a child by themselves with the children that themselves. So, so part of it was actually driven by questioning the necessity of the nuclear family. I was the smallest viable unit and part the. That's correct. And B, uh, the, the feminist community started, um, when I, when I would go to a feminist rallies and so on, there would be many books about, you know, then in the nuclear family being the, the patriarchal that were oppressing women.

Speaker 3:          00:13:21       And so there, so I think the feminist, the feminist movement grew out of two huge iterations. One was the civil rights movement where there was an oppressor and oppressed. Then there was the, um, the, the, the movement of not just civil rights, but um, after the, after the civil rights movement came the, the Marxism and the belief that there were oppressors and oppressed in among Marxists. And a lot of the feminist movement, the early feminist movement was very. We had groups like red stockings and many other groups like that that were socialist worker, party type feminists that very much believed in Marxism. And they had the dichotomy of oppressor versus oppressed. So when it came to men, men, because we earned more because our biological, not our biological parents socialized and biological responsibility was to earn the money and do that. That type of nature of providing the feminists movement looked at the fact that we earned more money once we had children and so therefore we must be the oppressor like those, like the porch was he a of Marxism and women must be the press.

Speaker 3:          00:14:31       So we have two things happening simultaneously. This belief that the oppressors are wanting to be equally involved with the children. And then secondly, men having no idea why they had value. Third men who are very few men that did study the value of being a father, how important it was to children didn't speak up about it and women can hear what men don't say. So we had this world then where women were sharing the burden of a bread winning, but no one was even interested in asking the question about whether men could share the burden from women of, of, of earning a [inaudible], providing equally for the family. And, and women weren't even interested in that because there are so focused on their freedom and so men as the oppressor. And so there was no space to articulate the value of fathers and men in the family.

Speaker 2:          00:15:28       Okay. So, well, you know, your terminology is interesting too, because you're attributing the, the desire of the women who were pushing against what you were saying, say you're attributing that to a desire to freedom, but it seems to me that you could easily use irresponsibility as a terminology there, you know, because free, free, well freedom without concern, for the medium to longterm consequences of your actions, especially when you're bringing in, when you're dealing with minors, when you're dealing with children, that's not freedom. That's irresponsibility.

Speaker 3:          00:16:05       That is absolutely a responsibility. And that is where we as a society have failed to come in and say, um, you know, first of all, whenever either sex wins, that is a woman wins custody, for example, whenever either sex winds, both sexes lose. And it's worse than that. Whether they're whenever either sex winds, both sexes, Lewis. And in the case of, of family, the children lose enormously. And we also need to sort of understand exactly what is it that, that leads to children and doing so much better when they have fathers involved. I was, I started researching that and it ended up, as you know, with the boy crisis, ended up with more than 70 different ways that when children have their father involved in about an equal way that they do so much better than. Yeah.

Speaker 2:          00:16:54       Well it would be a lovely thing if you could detail out some of that now and then we'll go back to the, the, the political ideological story here, but, but see, one of the things that's happened in Ontario recently is that we've, our, our government is introduced legislation that is predicated on the idea that all families are equal and the, the idea behind that you could argue is laudable. I, I wouldn't argue that, but you could argue it, that you know, people have a variety of ways of solving the problem of having children and that there's a variety of viable solutions to that problem and that no one family organizational type should be privileged above the others. I mean, I suppose with the exception of multi-partner marriages, which we still don't approve of, let's say the problem with that as far as I can tell is that it does appear from the research that the nuclear family is the smallest, smallest viable unit, which is not to say that there aren't single mothers or single fathers who do an admirable job under trying conditions, but part of the problem, this is a deep problem, is that whenever you.

Speaker 2:          00:18:10       Whenever you pause it, something as a value, so you might say, well, we want intact families, mother and father. That's that. That's the value we're heading for because that seems to be best for the children. Then you produce a rank order of accordance with that and the people who aren't in accordance with that value. You can easily make a case that they're being discriminated against and we're in a situation in our society now where even if the discrimination occurs, let's say, because of the pursuit of an admirable value, it's regarded as prejudicial and I think that's fed by that underlying hypothesis that was anti nuclear family. That any sort of hierarchical structure is part of the tear radical patriarchy. It's something like that that's running underneath it. So anyways, let's review if you would be very helpful. I think for everyone, some of the many ways that it's necessary for children to have fathers, why that's better and perhaps also for for society as well, not just for children.

