Speaker 1:          00:00:15       Okay.

Speaker 2:          00:00:19       Welcome to the waking up podcast. This is Sam Harris. Okay, well today back by popular demand, I have Jordan Peterson. Jordan is a clinical psychologist and professor at the University of Toronto. He formerly taught at Harvard University and he is published articles on drug abuse and alcoholism and aggression, but he has made a special focus on tyranny and a of late, he has, I've been fighting a pitched battle against political correctness up in Canada and he's attracted a lot of support and criticism on that front. As I said last time around, he is far and away the most requested guests I've ever had and we did a podcast about four or so episodes back entitled what is true podcast number 62 and that to the disappointment of everyone was a fairly brutal slog through differing conceptions of epistemology. You've ever the phrase bogged down applied to a podcast. I it applied there. Some people enjoyed it, but most of you didn't. Okay. But as I say in the conversation today with Jordan, I did a poll online and 30,000 of you responded and 81% wanted us to try again because there was much more to talk about and as it turns out there was, we had a much better conversation this time around. It was very collegial and if you have anything to say about it, feel free to reach out to Jordan and me on twitter or make noise wherever you want. And now I bring you Jordan Peterson.

Speaker 2:          00:01:59       I am back here with Jordan Peterson. Jordan, thanks for coming back on the podcast. My pleasure. Let's just take a moment to bring people up to speed. While we can assume many of heard our previous effort at this all won't have. So we did a podcast a little over a month ago. It was podcasts 62 I believe on my list and it went fairly haywire. We intended to speak about many things but got bogged down on the question of what it means to say that a proposition is true. And I considered this actually a very interesting problem in philosophy, but it seemed to me that we got stuck at a point that wasn't very interesting and many of our listeners felt the same. And at the time I didn't let the conversation proceed to other topics because I felt that it would just be pointless. I knew you wanted to talk about things like the validity of religious faith and he jungian archetypes and many other controversial things. And I felt if we couldn't agree on what separates fact from fantasy,

Speaker 3:          00:03:00       we would just be doomed to talk past one another. I think it's, it's still possible we are doomed to talk past one another, but we ran a, a twitter poll after our first podcast and despite all the complaints I received about our conversation, 81% of people wanted us to make a second attempt. I think 30,000 people answered that pole. So it was a considerable number of people. I decided we should give our people what most of them claim to want and um, we'll just see how it goes because I don't want us to fight the same battle all over again. I think listeners who are curious about how that last conversation went can listen to it and I'm sure the topic of truth and falsity will come up. But if it does, I think the best thing to do is kind of flag it on the fly and move on.

Speaker 3:          00:03:50       And I think this will be an exercise in seeing just how much can profitably be said across differing epistemologies. Would that warning about the various road hazards? Uh, I think we should just see where we wind up and I, I think it could be someplace interesting because you and I appeared share many of the same concerns. I think we both find the question of how to live in this world to be the most important one. And I think we're equally concerned about some of the very well subscribed answers to that question that are obviously wrong. And so I think we should just do our best to, to make sense. And see where it goes. Well, I hope so too. That seems right. I mean, you place a tremendous emphasis on moral necessity of the spoken truth and that's certainly something that I'm in accord with.

Speaker 3:          00:04:39       And you're also concerned with ethics in relationship to the alleviation of suffering from, from what I've been able to understand from what I, from what I've read of your writings and your also very much concerned with the relationship between scientific fact and value. And so we do share this intense concern about the same domain and I think for many of the same reasons and I think that you're an outstanding exponent of your particular position and that makes you an excellent person to talk about these things with. I was actually going to start with a bit of an apology because I listened to our talk twice trying to figure out where it went off the rails. It actually went okay for the first hour and then we got bogged down in the truth issue. And I think I made a couple of strategic errors, which I hope not to repeat.

Speaker 3:          00:05:31       The first one was that, um, I started the conversation by more or less accusing you of being insufficiently Darwinian and that was designed to be, I thought playful and provocative. But when I listened to our conversation again, I thought that that wasn't very wise strategic move. That was one mistake I made in the second mistake I made was that I had just read a number of things that you had written and I told you a lot about what you thought instead of letting you say it. And I was doing that partly, well partly because there is an argument to be had here and I suppose partly because I was nervous but also partly to demonstrate that I had actually familiarized myself with what you had read and I want to do indicate or what you had written and I wanted to indicate to you that I was taking it seriously.

Speaker 3:          00:06:22       But I'm going to try to not be the least bit provocative in that manner during this conversation because I really do think that we have something important to talk about. And I think that that's why so many people actually want to listen to us talk. So anyways, hopefully we get bogged down just in the interest of completing that bit of housekeeping. I don't think the first was an error at all. I mean to say that I'm being insufficiently Darwinian is provocative and I don't take it in the least bit personally. We just didn't find a path through that particular thesis that we could Converge On. As far as the second point telling me what I think in advance of our actually hitting that topic. I think that is, that's the almost certainly a mistake with me or, or anyone. And that's fine that you did that postmortem and I, and I agree with that bit.

Speaker 3:          00:07:13       So let's just start with a clean slate here and I think kind of a natural starting point would be to ask you, and again, I've heard a few of the things you've said on this topic, but I'll just let you invent yourself a new however it strikes you. What is the relationship in your view between science and religion? Well, I think that religious systems are descriptions of how people ought to act. And I think that the way that I think that those rows in a cause I evolutionary manner. And so imagine, imagine the, the dominance hierarchy structure of a chimpanzee troop or a wolf pack. Okay. So we'll, we'll use the, the wolf idea first and then switch if it's okay to the chimpanzee idea. Hmm. So as a consequence of the behavioral actions and interactions among social animals, you could think of something as a, something that might be described as a procedural covenant arising and that would be the animals knowledge of the structure of the dominance hierarchy, which is kind of ill named. But we'll use that for now so that there's a, there's a hierarchy of, of, of rank and every animal in the social community understands that hierarchy of rank. That's essentially the culture of the, of the, of the troop or the or the pack. And there's an implicit recognition of the value of each individual within that, that troop or pack such that, for example, two wolves

Speaker 4:          00:08:56       square off in a dominance dispute. Of course they puff themselves up to make to make themselves look large and they growl at each other and they engage in throws, just threatening displays and generally speaking the wolf that ha that has the lowest threshold for anxiety. Activation will capitulate first generally without much more than the the pose of a fight and rollover and expose his neck and then the dominant wolf will not deign to tear it out basically and you could think of the wolves acting out what you would describe propositionally as respect for each individual's value and then in the chimp troops, friends to walls. Research has indicated for example that if the dominant Turkey is only based on brute force and that chimp out the top who's generally male is there because he's a barbarian dictator, let's say. Then he's very likely to be taken out by two male chimps, three quarters his power who are much better at social bonding and who made a very tight compact between one another and and so that the chimp troop that's based on a tyranny is unstable.

Speaker 4:          00:10:22       What de Waal indicated was that the chimp tropes that tend to be more stable are run by dominant males who actually are very good at social bonding and reciprocity and who pay a fair bit of attention to the females and infants in the troop. So the dominants isn't power so much as as it might as you might think of as good politics. And so if there's an emergent ethic that, and I truly believe it's emergent ethic that's very similar to what piaget described as emerging among children when they play games, that not only specifies the nature of the social contract, let's say, but also is structured as if the individuals within the social contract have some implicit value. So imagine that as human beings diverged away from their chimpanzee progenitors there, you know, the common ancestor we have with chimpanzees, we already started to act out this ethic.

Speaker 4:          00:11:22       It was coded in our procedures to speak technically because we have a procedural memory. And then as we develop cortically, we watch each other and, and ourselves very, very intently. And once we develop language, we were able to start encapsulating that procedural ethic first in stories and that story. Those stories were partly about what a very well structured procedural ethic might be and how it might go wrong, but also about how an individual within that procedural ethic should be treated and should act. And the storytelling, which was the mapping of that procedure was the birthplace of the image and story basis of religious ideation as far as I can tell. So that's the basic thesis. It's like Piaget's notion that children when they first come together to learn a game, if they're, if they're young enough, they can play the game when they're together, but if you take them out of the game and ask them individually about the rules, they give widely disparate accounts so they've got the procedure in place, but they haven't got the episodic representation.

Speaker 4:          00:12:38       Technically speaking, it's only in, it's only once they become more linguistically sophisticated that they can actually come up with a coherent representation of the rules. And then it's only later when they start to construe themselves, not merely as followers of the rules, but also as originators of the rules. And that's akin to the recognition of, I would say, constructive individuality in relationship to the state. And so I see these things as very, very, very deeply biologically predicated. Where's the concept of an archetype come into this picture? Well, okay, imagine this, Sam, you tell me what you think about this. So you know how if you, if you have a, can I tell you just a two minutes story? So, okay. So one time I was at the hockey rink with my son and he was playing, he was young, he was about 12, and they were playing his championship game in this little league that they had.

Speaker 4:          00:13:34       And, uh, my son was pretty good hockey player, but there was a kid on the team who was better than him who was kind of the star, but he was, uh, he was a diva, you know, and even though he would score goals and all of that, he wouldn't pass and he wouldn't, he wasn't facilitating the development of any of the other team members. And so anyways, we watched this game and it was very close. It was a very exciting game. And in the final few minutes of the last period, the other team scored and my son's team and this, this stars team lost. And so then the kids went off the ice and that, and the diva kid smashed his hockey stick on the cement and started to complain bitterly about how unfair the game is. And then his, his idiot father came running up to him and told him how unfair the raffing had be and how, and how it was stolen from them and how catastrophic all of that was.

Speaker 4:          00:14:29       And I thought it was one of the most highness displays of poor parenting that I'd ever seen. Now. So there's, there's a, there's a moral of that story. So his kid was very good at playing hockey, but he wasn't very good at being a good player. And so, you know, you always tell your kids, doesn't matter whether you win or lose it, it matters how you play the game. And of course you don't know what that means and neither does the kid. And it's often a mystery to the kid what that means because obviously you're trying to win. But, but imagine it this way. Imagine that human beings, that the goal of human life isn't to win the game. The goal of human life in some sense is to win the set of all possible games. And in order to win the set of all possible games, you don't need to win any particular game.

Speaker 4:          00:15:20       You have to play in a manner that ensures that you will be invited to play more and more games. And so when you tell your children to be good sports to play properly, what you mean is play to win, but play to win in such a way that people on your team are happy to play with you and people on the other teams are happy to play with you and so that you keep getting invite, getting invited to games. Now if you think of each game as a, as a, uh, small hierarchy of value or dominance, then obviously the appropriate thing is to move up the hierarchy. But that's what animals do is they move up to in their specific hierarchy. But because human beings are capable of abstraction, we've been able to conceptualize the hierarchy as such rather than any specific one. And then also to characterize a mode of being that is most likely to move you up the hierarchy no matter what that hierarchy is.

Speaker 4:          00:16:23       And as far as I can tell, that's the archetype of the hero. The hero is the person who's most likely to move up any given dominance hierarchy at any time in any place. And the hero is also, and then so that the nature of that archetipal hero first was acted out. It was, it was laid out in procedure and then it was acted out and then it was described. But it's also, it's multidimensional. It's not only he who plays to be invited to play again, but also he who goes out into the great unknown to face chaos and the dangers there, but to gather what's valuable as a consequence and to bring it back to the community. And that's the, that's the basis of the Dragon Myth archetype, which is of course plays out in art and literature throat. While throughout recorded history, the oldest story we have, which is the Enuma elish from Mesopotamia, is a, a story about Marduk who's the culture hero and also the, the highest God in the Mesopotamian Pantheon.

Speaker 4:          00:17:27       He confronts the Dragon of chaos, cuts her into pieces and makes the world, in fact, one of his names was nam, I can't remember the name unfortunately, but it meant he who creates ingenious things as a consequence of the combat was tie a Matt who's the dragon of chaos. So he cuts off, he counts up to the unknown into pieces and makes ingenious things out of them. And it's a perfect description of, of the human archetype. It's the fact that we are hyper exploratory and that we use our capacity to explore the dangerous unknown, to gather the treasure that lies there and then to distribute it to the community. So, and that, in terms of the evolution of that archetype, Sam, think about it this way. Okay. Again, you could tell me what you, what you think about this. So we know that roughly speaking, that human females mate across and up dominance hierarchies, whereas chimpanzee females are nonselective majors, the dominant chimps, males will chase away the subordinate chimps from that female's in estrus.

Speaker 4:          00:18:35       And so they're more likely to have offspring. Okay. The females will mate with anyone, whereas human females are very selective and they have hidden ovulation and they mate across and up dominance hierarchies. So imagine the woman once the man who's most capable of rising up the set of all dominance hierarchies. So what happens is she outsources that problem to the computational capacity of the male hierarchy. And she let's the man fight it out among themselves, compete and cooperate to determine who the best man is. He's provided with the majority of the meeting opportunities. And so that's how the extended religious phenotype manifests itself in evolutionary space, which was something that you and Richard Dawkins, we're wondering about the last time that you talked, like it's not psychopathy, which was in some sense, you know, you were thinking about the charismatic liar, but really what's being selected for is the, the, the consciousness because that's the right way of thinking about it. That's best able to rise across the set of all dominance hierarchies and females are selecting very hard for that, which is at least in part why we've had this tremendously expanded cortical capacity.

Speaker 2:          00:19:53       Well, let me see if I can wade into this picture and find places of agreement and disagreement for clarity sake. I think it's useful to distinguish between two different intellectual projects here with respect to values and morality and the question of just how to live in this world, which is aren't at least nominal starting point first. There's the, the description of how we got here, right? And this captures all of evolutionary psychology and much of what you just began to say about

Speaker 2:          00:20:28       selection pressures with respect to dominance hierarchies and you know, the kind of heroic male mate female apes will find attractive and all that. Then you can add religion to that as perhaps an extended phenotype or the possibility of group selection pressure. We are more religious tribes have a way of organizing themselves in a more durable way than, than less religious tribes. And therefore we have, there's something Ian, our evolutionary history that has selected for religiosity, say an overarching story that unites non-kin in a way that is more energizing than some other story. You know, I don't really have much of a dog in that fight. I think some of that as plausible. Some of it isn't. I think group selection though you haven't mentioned it, is working to some degree in the, in the background of this way of talking about religion in evolutionary terms.

Speaker 2:          00:21:24       And at the moment I happen to be convinced that group selection is implausible and based on some bad analogies. But again, this is not, this doesn't strike me as important for this conversation or for really for anything that I've written about the relationship between morality and science or facts and values because I view this problem of describing how we got here, how is it that apes like ourselves have the moral attitudes and concerns that we have? That's a distinct project which was quite separate from the question of deciding how we should live now given what we are and given the opportunities available to us and given the way in which are continually flying the perch that has been prepared for us by evolution with our technology and with our institutions and with our new moral norms that have absolutely nothing to do with ancient selection pressures.

Speaker 2:          00:22:22       And this is even true in a religious context. So you have in many religions, perhaps even most, you have certain ideals that could never have been selected for because they are the antithesis of anything that would offer an adaptive advantage. Celibacy, for instance, anyone who was committed to celibacy in our ancient past by definition, didn't breed. You could say that they might've helped their kin, but still celibacy is not an ideal that you can make much Darwinian sense of and yet you can have the most committed adherence of any faith tending toward a life of celibacy. At the very least, promiscuity is taboo in most religious traditions. Now I'm not taking a position that that's a good thing or a bad thing. I'm just saying that this is where evolution is no longer relevant to a discussion of how people should live and as I think I said in in a blog response to some of the things you said after our first podcast, if you want it to just take a jeans I view of how human beings should live, especially how men should live. Well then you, you would conclude that given current opportunities, every man should be passionately committed to doing more or less nothing but donate his sperm to a sperm bank because then he would could father possibly tens of thousands of

Speaker 3:          00:23:46       offspring for whom he would have no financial or emotional responsibility. From a Darwinian perspective, that should be every guy's deepest dream. You should just get up in the morning with just a commitment to that project unlike any other, they could be discovered in life. So we have motives and norms and concerns that don't narrowly track a gene level analysis of what we should be doing. So I just put that out there. I think the more interesting conversation is not to talk about how apes like ourselves could have gotten religion, but to talk about what we should do given the way the world is now and what we seem to know about it through science.

Speaker 5:          00:24:30       Well that, that's fine. I just want to make a couple of comments about that. I mean, the hypotheses that I'm proposing is certainly not dependent on groups election, so we can leave that one aside. As far as I'm, I know, I think the jury's out on the ultimate validity of the idea of group selection, but I'm not interested in going down that rabbit hole because it doesn't matter to me one way or another. It really how that's resolved with regards to

Speaker 3:          00:24:56       the potential validity of evolutionarily derived motivations to the present day, I think. I think that's more complicated. So

Speaker 5:          00:25:04       the first thing I would say is that

Speaker 3:          00:25:06       I believe there has been a central march forward with this set of very productive ideas as human beings have evolved their morality, but those have spun off counterproductive, evolutionary dead ends, like everything doesn't, it's possible, for example, that celibacy is one of those with regards to the donation to sperm bank idea. I mean that's essentially the mosquito away of propagation, right? And that's it's our versus k, is that the, is that the correct terminology? I don't remember it correctly. But there's two fundamentally different strategies, extreme strategies for propagating yourself in the world. And one is to disseminate

Speaker 5:          00:25:47       yourself as widely as possible

Speaker 3:          00:25:50       and let the offspring live or die as they may, which would be the sperm bank approach. And then there's the other one, which is high investment in children, which is maybe take it to its extreme in human beings. And so we're tilt to them a lot more towards that. And so you can't really imagine a human being being motivated to take the mosquito approach because that's really not built into us. But, but that isn't to say that he sexual morality, that's part and parcel of our being, which seems to 10 relatively strongly towards monogamy for example, as marriage is a human universal, although there are variations of it. Hmm. We're still very much tilted towards the high investment in single offspring patterns. So let me just clarify one point I, I certainly am not saying that you can't see the thumbprint of evolution in more or less everything we do, you obviously can and as you point out,

Speaker 2:          00:26:44       are sexual morality and our commitment to monogamy, all of that is amenable to being interpreted in evolutionary terms. No doubt those stories are valid and interesting to understand. My point is is that we are in the process of repudiating and struggling to outgrow most of what evolution has prepared us to want and care about and fear tribalism, xenophobia, and the list is long. But we want, we want to get out of our tribal violence program and all the rest.

Speaker 4:          00:27:14       Dress that because you see most of the evolutionary psychologists that I've encountered have what I consider the misbegotten notion that our primary period of evolutionary determination was on me, African Veldt and my viewpoint I would say spans broader time spans than that. So I'm starting from the presupposition that the most permanent things are the most real which, which I think is a reasonable, a reasonable starting point. I have a reason for saying that because what I've enabled to understand by delving deeply into the grammatical structure underneath mythology is that the, the religious landscape actually describes that which is most permanent [inaudible] what shape human evolutionary history. And I mean way back, I mean 350 million years back before trees, before flowers, back when we shared, when we shared a common ancestor with crustaceans. And so one of the most permanent features of the biological landscape is the existence of the dominance hierarchy.

Speaker 4:          00:28:25       And that's roughly portrayed in religious mythology as culture or explored territory or the known. And it's, it's usually given me the character, a logical representation of the great father. And there's a positive one and a negative one as the dominance hierarchy can support you in your development or crushed you completely. So the dominance hierarchy is one major selection mechanism and it's known territory there. There's another major selection mechanism, which is roughly speaking mother nature, and that's that which exists outside of explored territory. And it's generally being kept conceptualized as feminine, which I think the reason for that is because the unknown, it's the unknown, cognitively speaking or territorial speaking, that gives rise to new forms, but it's also more importantly that female human beings. So the feminine plays a very vicious role in the selection process. Um, you may know and probably do that you have twice as many female ancestors as male ancestors.

Speaker 4:          00:29:31       So as far as human beings are concerned, the feminine is a bottleneck through which genes must pass, so to speak. And it's a very narrow and, and choosy marble next. So it has a positive element and a negative element. So roughly it's the same thing Sam that's represented in the Dow is dnd Yang Symbol. Because that Yin Yang symbol basically is predicated on the idea that being is partly the known or the interpretive structure that's brought to bear on the situation. And so that's the White Paisley. It's a serpent to actually, and the unknown, which is the Black Paisley or a serpent, and the two are interchangeable and out of them arises meaning. So the idea behind the Taoist symbol is that you should have one foot in what you know and one foot in you in what you don't know. And that's the place where information flow is maximized. And that's the same thing as occupying the position of the hero who confronts the unknown and generates new information.

Speaker 4:          00:30:31       And those, those evolutionary realities remain absolutely unchanged. The idea that every place you go, there's something you know and an interpretive framework that you bring to bear. So there's a cultural element and everywhere you go or are, there's something that transcends that knowledge, but you have to deal with. And everywhere you go, you're there. And so that's the, so the three basic archetypical characters of mythology or the individual positive and negative culture, positive and negative and nature, positive and negative. We haven't outgrown that in the least w it's exactly the same problem it's always been. And as far as I can tell, it's exactly the same set of problems that always will be. And that's partly why these archetypal stories can't be, cannot be transcended and they cannot be, um, ignore, ignored. They pop up off of their own accord. Look, I'll give you an example. One question. Pardon? How

Speaker 2:          00:31:33       is any of that religious though I understand how, you know, thinking of the individual versus the cosmos gives us a kind of narrative structure, right? You have your protagonist and you have all of the things that can happen to him or not and all of the things that he can want or not. And it's very easy to conceive of any human life or the life of a whole civilization in terms of stories like that. But how does this bring religion into the picture?

Speaker 4:          00:32:05       Okay, well I'm okay. Approach that from two perspectives. The first perspective I presume is one that you might find interesting given your your interest in spirituality. So it's certainly capable for people to experience deeply a sense of meaning. Don't chick sent a highly talked about that as flow, which I think is a rather trivial way of dealing with it, but at least it's one that people can directly understand. But I would say you can understand when you're doing something meaningful because you're deeply engaged it and you also have a sense in some sense of standing outside of time cause you don't know. There's times flow and it also feels worthwhile and that the sacrifices that you have made to enable yourself to do that, we're justified. And so I would say because the ultimate domains of reality are in fact chaos and order or known and unknown, that when you straddle those two properly and maximize information flow, you feel a deep sense of intrinsic meaning. And that's the output of the entire structure of your consciousness telling you that you're in the right place at the right time with regards to furthering your capacity to thrive and, and move forward.

Speaker 2:          00:33:24       The question you're a Jordan, wouldn't you grant that there are pathological experiences of meaning, meaning that is actually based on a misconception or or divorced from the truth, which can be no less intoxicating to the person who's finding something meaningful.

Speaker 4:          00:33:42       Sam, I think that's a great question. One of the things that really, really disturbed me when I was first working out these ideas was exactly that question because like I've read an awful lot about extraordinarily pathological people, you know, serial killers and people who were malevolent right to their core. And that's exactly the question I asked. Because you know with serial killers for example, especially the sexual Predator types, they seem to have to live on the edge of their pathology in order to continue to be rewarded by it. You know, they have to keep extending their pathology into the unknown to keep getting that rush. And then of course there's the situation with schizophrenia where the underlying mechanisms that produce the sense of meaning actually go astray. That's especially the case say with paranoid schizophrenia. But you see that's, that's partly why I think I developed a viewpoint that's similar to yours with regards to the necessity of stating the truth or at least attempting very hard not to say what you believe to be false.

Speaker 4:          00:34:47       Because as far as I can tell, at least under most circumstances, okay. That meaning orienting system, which is actually the extended orienting reflex, technically speaking, neuropsychologically speaking, I think that you pathologize the underlying mechanisms if you speak deceitfully because you build, you build pathological micro machines, so to speak, into the architecture of your physiology and then your underlying the underlying systems, much more fundamental say limbic systems for the sake of, for lack of a better term, they start producing pathological output and take you down extraordinarily dangerous roads. So if you're going to let your intrinsic sense of meaning serve as a guide life, then you have to ally yourself with the commitment to speak the truth or at least not to engage in deceit because otherwise you will do exactly what you said and pathologize yourself and then well, and then all hell will break loose in your life. And in the life of others,

Speaker 2:          00:35:57       rigorously honest, but still mistaken, right? I mean, you could have a belief system or b raised in a culture that has a belief system that is completely illogical or out of touch with reality. You could not know it. The dishonesty doesn't have to be local to your own brain. You could just be confused. Right.

Speaker 4:          00:36:19       Well, I think this is partly why I was more insistent than I should have been in our last discussion about a particular idea about truth. I mean, because I would say there's the truth that's associated with being in possession of a set of accurate facts, but there's a more enacted truth or embodied truth, which is the consistent attempt to go beyond what you know. And so that would be the, the necessity of living in humility or in ignorance. And so that what you're doing when you're discussing with someone or when you're acting in the world is not so much attempting to prove that what you already know is completely right and correct, but attempting to understand very carefully where you're in error and learning everything you can to correct that. And you see that ideas also deeply rooted in in religious mythology. So for example, the the finger of Horus, who's the Egyptian Aye and who's also a fall camp.

Speaker 4:          00:37:24       Horace is an I and a fall can because falcons can see better than any other animal, including human beings, even though we can see very well and he's an eye because the eye with the open irs signifies paying attention. And Horace who's a messianic figure in some sense for the ancient Egyptians, had his eyes open to the corruption of the state, which was symbolized by a day. And he named Seth set, who later became Satan in, in, in the developmental pathway of this set of ideas. And Horace who lived in truth so to speak, was able to keep his eyes open and understand the corrupt nature of his society and his uncle, his uncle was seth. And to put that right again, and so there's the, there's the idea that lived truth can rescue you from pathological untruth and that might be more or factual. If you're a scientist operating in a truthful manner, you update Archaic, Archaic, empirical representations. If you're a, what would you call it? More culture hero type of person, then what you're doing is updating archaic and blind

Speaker 2:          00:38:36       representations of the proper moral pathway forward, which can never be encapsulated completely in a set of rules. So that's partly why. That's partly why, for example, in in, in the line of Christian thought, Moses couldn't reach the promised land because his morality was bounded by rules. And it's not possible to reach the proper motive being by only acting out rules because rules the same rules aren't applicable in every situation. I mean, I could tell you the Christian story in a way that you might find interesting and about 10 minutes if, if you, if you would like me to do that and let's hold off on Christianity. I want to get there because I know that's the, the system of thinking you find most interesting in this area. And so I would like to talk about that. Okay. My issue is that it seems to me that this kind of language game of, you know, talking about ancient stories and the way in which they seem to cash out some of the pre-scientific intuitions and moral norms of any group of people as though there's a validity to the whole picture when you talk that way that I, I just see that that's kind of unconstrained by anything.

