Speaker 1:          00:03          Yeah.

Speaker 2:          00:08          So yeah, my name's Christine van Gyn. I'm currently the Ontario director of the Canadian Taxpayers Federation. Uh, we work on issues of lower taxes, government waste and accountability. And oddly enough, this is the third time in six months that I've done a speech or talk publicly about the issue of free speech and specifically free speech on campus. Um, I think that this is a defining topic and mood of of 2017 and oddly support for free speech is increasingly falling along partisan or ideological lines. Now CTF, we at the Canadian Taxpayers Federation, we deal exclusively with fiscal and economic issues and you would think that that subject, government debt, generational debt and balanced budgets, you know what, you would think that that's non controversial but not so on university campuses. Our student group, a generation screwed, has been kicked off of campuses, had room space denied and we were even told by one university student union that we may need to change our name generation screwed because screwed is oppressive.

Speaker 2:          01:23          So while we may not have encountered the kind of blow back that some of, uh, some of the speakers today will have received from universities, um, it just goes to show you how little it takes to trigger a university administrators and students on campuses and just how restrictive and ham fisted, uh, they, they can work at how they can act when restricting speeds. So, uh, with that, I will introduce our speakers. Uh, our first panelist is God sad. He's the professor of marketing at Concordia University, Montreal Canada. He's the holder of the Concordia University Research Chair in evolutionary behavioral science and the Darwinian con con consumption, sorry. He, uh, is also quilt. No wait, quite well known for his popular Youtube Channel. The sad truth. A channel that has garnered over 4 million views. Yeah.

Speaker 3:          02:17          Okay.

Speaker 2:          02:17          So everyone, please welcome God sad.

Speaker 3:          02:20          Okay.

Speaker 2:          02:20          Our second panelist is they're not sitting in the right order, but I'll enter. This is the order in which they will present a, it's a, it's John carpay on the far end. He's the president of the Justice Center for Constitutional Freedoms and organization that he founded to defend the constitutional freedoms of Canadians through litigation and education. He has a BA in political science at Laval University in Quebec City and a law degree from the University of Calgary. So please welcome John Carpet. And our third panelist is Jordan Peterson's. He did in the middle. He's a psychology professor at the University of Toronto and a clinical psychologist with two main areas of study, the psychology of belief, including religion, mythology and political ideology, and the assessment and improvement of personality, including the prediction of creativity, academic and industrial performance. So everyone, please welcome John and Peter

Speaker 4:          03:21          and we're going to begin with remarks from Mr Sod.

Speaker 3:          03:25          Thank you very much. All right,

Speaker 4:          03:31          so apparently a food restaurant or here in Ottawa caused me some food poisoning. So even the restauranters are trying to stifle my famous speech because I almost didn't make it to the session. Uh, so what are some strategies for stifling opposing opinions? If you live in a dictatorship, then of course you just killed the intellectuals. Those who oppose you, you get rid of them. If you are unable to implement such a strategy, then you perhaps have some hate speech laws or some campus speech codes and of course what flows from that is the third. A way to stifle people is to create an environment that is sufficiently ominous that people engage in self censorship.

Speaker 4:          04:16          This picture right here is worth a thousand words. It basically says we condemn freedom of speech that hurts other people's feelings. What I'm going to do for the rest of today's lecture is simply read to you first person accounts of emails that I received. I received these in there enumerable. How many I received were for either students, professors, parents are writing to me to document the stuff that they are facing on campuses. And the best way to actually show you this is to just read a bunch of them. So bear with me as I actually go through about seven or eight of these. The clock by the way, is not working. So I don't know how much time we have, but I'll assume we're okay. So here is a student testimony example one I'm a 47 year old white male who because of an injury made a choice to return to school.

Speaker 4:          05:04          Sadly, it looks like my path through university is going to be interrupted and the first year to maintain full time status, I'm forced to take another social justice black lives matter. Of course, the challenge is students are not allowed to challenge or question the course content because that's considered disrespectful and may disrupt someone's safe space. I believe I am a respectful students with good attendance and who's the marks average in the mid eighties that said, after a few weeks of the one side is syllabus, I'm considering dropping out of the program and leaving school entirely. This left, this academic world is a little too much for me. Testimony to today, we had a panel discussion on the Quebec city shooting with two historians and two sociologists where I was told with solid moral, righteous stone that there is no such thing as good and bad immigrants. My heart was racing and my teeth were clenched, sorry, and grinding to this.

Speaker 4:          05:57          Finally, the spite my heart beating out of my chest. I asked a question, how do you, the panel interpret Charlie Hebdo, the Danish cartoon, Isis Salman Rushdie and the bataclan shootings. The denial of individual responsibility and complete disregard for any value based interpretation was off the table. I think I screwed myself because I'm pretty sure my professor is, let's say, quite suspicious of me now because this person aired his opinion. He knows that he's in trouble. I just feel really alone, but the thought of restoring strength, tolerance and diversity of factory university really keeps me going today. Just really proved to me that I'm up against and how alone I am. What can I do? I'm reaching out to you in the hopes that the godfather that's yours truly would be able to help direct my future research projects. Since most professors and required courses I have to take seem to be run by Social Justice Warriors Feigning Intellectual Ism.

Speaker 4:          06:56          The reason I'm contacting you is because as an honors cognitive student, part of my requirements is to complete 12 credits worth of individual research. However, because of purely political reasons, I'm apparently a violent, misogynist, racist trump supporter. I have not only lost my job at a prestigious behavioral neuroscience laboratory. I had the identity at why, why, why, but my name has been removed from the publication on research I personally conducted and the lead researcher told me that he would never work with me again. This is not North Korea, this is Canada. This is US help. I'm a fourth year student and a five year teaching program. I'll be heading to why, why, why, and next year for my one year of Teacher's college, only recently have I realized the radical left wing messages embedded in virtually all of my classes and I know that it will only get worse at the school in question.

Speaker 4:          07:53          What can I do about this? How do I stand up for the truth without risking my career as an elementary school teacher? Thank you. Let's move on to some faculty. Those were all students. I very much appreciate your courage to fight the cancer that is taking over American academia. People like me feel cheated and their attempt to pursue a tenure track career. It only takes a glimpse to the job offerings that the modern language association publishes each year to understand what is expected from recent graduates like me. It is political activism and I refuse to mix that with my academic interests. I will save you my long stories of dealing and suffering career wise from politically correct nonsense from the directions of feminism, gender, ideology, trans extremism and Islamophobia. I am trying to keep a lid on things for now as my wife is very, as a very promising academic but hasn't security position yet.

Speaker 4:          08:45          I know that if I started voicing my thoughts and arguments on social media, she'll be completely shut out of the academy. If she does secure a tenure track spot, I'm off to the races and you and others would see that I'm an ally to take notice of. Seriously. I'm more than happy to transition out of philosophy at this point, which has become a virtue signaling competition. As a fellow professor who has been frustrated by the discourse within academia on issues such as political correctness, moral relativism, and social justice. I'd like to thank you for speaking up the way you have, uh, been from within academia. Why my training and research as further removed from social issues than yours? I have nevertheless been frustrated by the conformism and group think I see and hear around me. I see. Otherwise very reasonable and capable people abandoning reason and counting to the narrative of the regressive left on many social issues.

Speaker 4:          09:36          These are all things which I would like to get involved in once the tenure decision is behind me, about one year to go. As upsetting as it is, one fierce expressing unpopular social ideas prior to tenure and the meantime, please keep fighting the good fight for freedom of speech and against start policing and orthodoxy. Almost done. I won't read this whole one, but basically this person writes to me and thanking me for my conversation with Sam Harris, agreeing with some of the issues that I raised regarding some issues dealing with Islam. But then look at the bottom. He says if you decide to mention this information in your videos, I would ask that you do so without mentioning my name. I do not have tenure yet. This is from uh, uh, this is the last testimony and then I'll wrap up. This is from a parent of a high school student.

Speaker 4:          10:25          I recently received an email from my son's school district that they are going to be screening a film called, I'm not racist, am I as an in school field trip at the end of January for high school students. I did some preliminary research on this and I'm absolutely appalled at the content of the movie based on the descriptions, the trailer and additional materials surrounding it. It appears to be a feature length film pushing the agendas of white privilege, institutional racism and white people are the problem. It's scares me beyond belief that they are attempting to force these ideas on developing minds and now of course the usual request that they be anonymous for reference. My son is a junior at xxx. I have included the original email as well as the pdf of the communication that was sent out. If it is something you feel you should, you should, should be shared with others. I only ask that you keep identifiable information from my son or myself out for our safety. This is not North Korea for his safety. I'm sure you understand. So to conclude, freedom of speech is everything and I should know I come from the Middle East. I escaped that which you don't want to have replicate here in Canada. So no more language police, no more thought police, no more echo chambers that sean intellectual diversity, no more identity politics, no more culture of offense and the ethos of perpetual victimhood. No micro

Speaker 5:          11:54          aggressions, no trigger warnings, no safe spaces and no cultural appropriation. Science reason and logic. Trump, trump ideology and feelings.

Speaker 3:          12:06          Thank you very much. [inaudible]

Speaker 5:          12:21          is it okay to uh, to move this away please? Thank you very much. Good morning. My thanks to the Manning Center man unconference for inviting me to speak with you this morning. And it's a, it's a great honor to be on the same panel with Dr. Jordan Peterson and Dr Saad free speech in Canada is not dead, but at Canadian universities it is certainly is on life support. Uh, each year of the Justice Center releases the Campus Freedom Index, uh, most recently with the new website www.campusfreedomindex.ca where you can very easily and quickly look up your own university and see what letter grade a, b, c, d, F has been assigned to your university or to your student union. Uh, based on its policies, based on his practices. We're trying to follow Dr. Michael Walkers. Great Dictum if it matters, measure it. So annual campus freedom index measures with a objective criteria, the state of free speech at over 60 Canadian universities.

Speaker 5:          13:38          The situation on the whole, it's, it's very bad. There are far more f's handed out. Then there are a letter grades and the Justice Center has been involved with uh, over 12 court actions against universities and student unions in four provinces. Fortunately, we have had some successes a number of years ago. The University of Calgary took it upon itself to sensor a small pro life group on campus and threatened the students with a trespassing charges and even with non academic misconduct charges with penalties ranging up to expulsion if they continue to express their prolife us on campus. The students continued with her expression and they were indeed found guilty of non academic misconduct for having done soul. Now the penalty was not expulsion, it was a warning, but we took the university to court and in 2014 in the case of Wilson versus the University of Calgary, we got a court ruling setting aside the, uh, university of Calgary's decision to find the students guilty of non academic misconduct.

Speaker 3:          14:51          So that case

