Speaker 1:          00:00:00       Yeah,

Speaker 2:          00:00:15       I'm talking today to clear layman who's, who's rich, needed a magazine online called Colette, which I think is become quite popular and quite successful in relatively short period of time and it's certainly a magazine that I've come to admire. It looks like it's staffed by real journalists and so we're going to talk today a little bit about how she's managed that and well in general and about what her, her aims and ambitions are. So I guess we might as well start. Claire, you could introduce yourself to my audience and, and tell, tell them who, who you are and how you managed this.

Speaker 3:          00:00:54       Okay. So, um, I am a former graduate student in psychology, but before I went back to graduate school I, uh, I was working, had a couple of different jobs. My first degree was in English, so I always wanted to be a teacher of literature. Stories had that aesthetic interest. I just had sort of a crisis in my graduate studies where I realized that wasn't for me and I wanted to pursue writing, but I knew there was nowhere that would publish the stuff that I wanted to write. And I thought, well, why don't I build my own platform? And in the back of my mind I knew that there were people that I knew, academics that I knew, um, who would also grab the opportunity to be published.

Speaker 2:          00:01:49       So what made you think that there was nobody there that would publish the sorts of things that you wanted to? Right.

Speaker 3:          00:01:55       Alright. So it's fairly simple. Um, I, I was working on an article about a psychologist called lead Justin, who he's a social psychologist who studies the accuracy of stereotypes. And so it's a, it was a long form, signed a article about a scientific topic but completely contradicts a left wing kind of narratives. And those two things don't find an easy home. So there's a lot of conservative places that, uh, published sort of conservative commentary, but it's often just about economics or some kind of partisan political battle. And it interested in sciences is not very deep. However, the place, the best places for scientific journalism such as the Guardian or wide or scientific American, they weren't going mia. Anything that contradicts very strong left wing narrative such as stereotype accuracy or the biology of sex differences, intelligence research. So there's these areas of the behavioral sciences that don't find a platform and I just wanted to create that platform and I also wanted to publish.

Speaker 3:          00:03:19       I'm not just scientific stuff, but a sort of classical liberal and any kind of commentary that doesn't indulge in these regressive postmodernist kind of narrative. I wanted to, to, to make it a free space for that. And some of my early, um, contribute is where one of my earliest contributed. This was a guy called Geoffrey Taylor who was an editor at the Atlantic and he wrote for places like the new republic, but they stopped publishing his pieces because he became critical of Islam and he wanted to write pieces that were critical of Islam and he couldn't get published even though he was this, um, you know, they'd publish his other work, but anything that he wanted to publish that was critical of Islam just wouldn't get past stitches. So publish it.

Speaker 2:          00:04:15       Sure. What you found was a implicit censorship in some sense. That's not the case. It's an exquisite censorship in many cases, so the stereotype literature is interesting because one of the things the so called stereotype researchers have failed to do is two distinct stereotype from heuristics. Yeah. People use low resolution representations of the world all the time too soon and it's absolutely vital that we do that we we cannot function without, without categorization and they. I know this was a problem with bondage sheets work and she did some of the early work on stereotyping and remember she did a talk at Harvard when I was teaching in Boston and she was taken to task by the audience who weren't all social psychologists for failing to distinguish between categorization and stereotyping and. But that's actually a really big problem. It's not a trivial issue with regards to the research and so yeah. I don't remember the name of the psychologist that you interview.

Speaker 3:          00:05:17       Yeah. So his name is Lee Justin. He's a psychologist at Rutgers University and I'm. Hey was one of the founders of the Heterodox Academy. Okay. Yeah, and he has a blog called rabble rouser at psychology today and I discovered that back in 2015. I think it was, and he had these amazing essays about how he has battled group thing, can left wing bias in his area of social social psychology and he's got these amazing anecdotes and stories about how science in his particular area has not been self correcting.

Speaker 2:          00:05:59       Yes. Well see psychology as being corrupt. Discipline for about 25 years as far as I can tell. And you know, you see that reflected in things like, um, the political work that's been done. So what's it called? Um, system justification, for example, social psychology that's being put forward by John Joseph, I remember correctly. He's a student of Missouri and bond and she on there, there's a, there's definitely an implicit left bias there because the notion fundamentally is that if you are justifying the current system in any way, which means that you know, you might have some element of patriotism in your thinking or believed that the system isn't just an oppressive patriarchy that are, that that actually constitutes something approximating a political pathology. So it's, it's really pernicious because it's, it's, it's built into the terminology rather than being an explicit part of the theory. And you know, the other thing that I noticed too that that was very interesting to me, it took me decades to figure this out, was that there was people have been studying the authoritarian personality basically since the end of World War Two.

Speaker 2:          00:07:10       Right. And there's the authoritarian personality scale that Adorno, if I remember correctly, it's the theater or donor developed and you know, for a long time I was trying to figure out why in the world there wasn't the equivalent on the left. You know, it's really, I mean, I hate to speak in conspiratorial terms, but it's essentially a conspiratorial movement that that's deeply embedded within social psychology to deny the existence of authoritarian authoritarian tendencies on the left wing. No one's managing good authoritarian left weighing scale. And it's partly because it's partly because of the tremendous denial post world war two that anything like leftist authoritarianism could exist and really took me a long time to sort that out. I couldn't, I couldn't understand why that glaring absence existed. And we've been trying to rectify that in my lab and trying to do that in a politically neutral way. You know, by doing a large scale, a factor analysis of collections, of political beliefs so that we can look at it from a relatively objective perspective without trying to drive home some eight priority political belief. So, so you said you had a crisis in some sense when you were in graduate school at pursuing psychology and what did that consist of?

Speaker 3:          00:08:32       Uh, there were lots of factors going on and I had some issues with the course. I was doing forensic psychology and I found um, the way it was run a little bit flexible and authoritarian and I'm a mother so I had, I had my son needs now for, but at the time was just the baby and I needed a lot of flexibility and they couldn't accommodate me. And um, I just, I just felt there was, I could offer more through writing and through communication of scientific ideas. Then being a practicing psychologist. I mean, I don't want to get into the full backstory of what happened in my course, but, um, I, I have have very cynical feelings towards universities in general. I, I'm, yeah, I went, I went back to graduate school at. I ha. I thought that I thought that, you know, considering all of the rhetoric, uh, um, around, you know, helping, helping women and helping people pursue their creative. I thought that there would be some flexibility for a young mother, but there really wasn't an um, but that, that was not the only issue though, other issues. But yeah, it's said it's, I don't know if I really wanted.

Speaker 2:          00:10:03       Yeah, but you don't want it. I was just what exactly it was that put you on this alternative path. And so how long have you been running quill out?

Speaker 3:          00:10:14       Since November 2015.

Speaker 2:          00:10:17       Okay. So it's pretty new. Yeah. So what did you tell us how you did that and how you've got, how you've attracted writers and how you've grown and, and I'd like to know everything about it, including whatever it is that you're doing for a monetization strategy because the fact that you've been able to launch a new, what would you call it? A new domain, a new enterprise devoted to journalism. This really quite surprising because, I mean it's, you bailed out of psychology into journalism and I got out of the fire into the frying pan because that's not exactly something that you'd consider if you had a business proposal and presented that to someone who said, well, I'm going to start a new site devoted towards journalism, you know, I think you'd be laughed out of the venture capitalist's office because it's so. It's so difficult to monetize journalism now. So. So tell me a little bit about how you, how you got this all going?

Speaker 3:          00:11:17       Well, I was just brainstorming with my husband one night domain names, so I knew that to start a website, uh, I needed an original domain name and we were just brainstorming and I didn't know where that came from, but it just came into my head and we looked that up and that was available. So I bought the domain name. I was running my own blog. So I transferred my own log over to this new domain and put all of my old essays. Are Penn, played around with what the website would look like for about two weeks. I was playing around with these statistics and I'm not a developer so I had to use sort of a website template out of the box, so the aesthetics were really important to me and I knew that if I was going to do something had to look really good and so I was playing around with that and then I put the word out through social media that I was going to launch a site and would anyone like to contribute and I happened to have some context in my social network who had essays up their sleeves.

Speaker 3:          00:12:27       My two first contributors were a Brian Boutwell who is a criminologist at St Louis University and Jamie, who's an excellent writer based in London and Brian. He started. His first essay was about being a criminologist who studies biology and about being shunned by his field and he. I didn't realize he was such a brilliant writer before I started writing. For me it just, it was just pure luck that he happened to be such brilliant rider. The second essay that he published something like 100,000 views in just a few weeks, so we immediately sort of exploded and that was just due to the quality of the contributors that I had straight away would be relatable for the first is the first one was on chrome, biosocial criminology. The second one was on behavioral genetics and the essay was about how parenting might not shape your personality as much as you think it does, uh, because he, he and he was explaining the data from twin studies and um, it was just such a well written and counterintuitive kind of essay just exploded. So I mean lots of people disagreed with it. Um, but it, it, it made a huge impact. And I'm. Jake go to

Speaker 2:          00:14:02       the heart of the conflict between the social constructionist and the biologists. Yeah, I know that's a new word that sort of emerged. I don't know if it's specific to Canada or north, but the word is biological essentialist. Then that seems to be like a social justice warrior code for Fascist as far as I can tell. And you know, biological essentialist seems to be anyone who believes that there's any degree of biological influence on any element of human character whatsoever. And you know, last year I was concerned because of what was happening in Canada that being a biologist was eventually going to be illegal in some sense, which I actually believe it is technically a certain provisions of our law because it's PLC 16, that audio post last year, which was passed nationally, has written social constructionism into the law. So our law now, now, it was predicated on the idea that their relationship between biological sex, gender expression, gender identity and sexual proclivity, which are all to this independent factors are in fact technically independent.

Speaker 2:          00:15:12       That there is no causal relationship between them. And which is palpably absurd notion because the, the correlation between them, you know, make biological males almost always have a male gender identity. They almost always act and dress like males and they're almost always hidden. Sexual. It's the correlations across the levels are almost all or, or exceed point nine five across all of the levels. And yet the law. Now it's technically the case that you have to treat those as independent and, and that and that, uh, suggesting that they're not like, I can't, I can't say that it's tantamount to hate speech, but I would say that it's close to that and the, I don't know if you've seen the sort of ridiculous animations that have been used, animated drawings, like the ginger, the genderbread person or the gender Unicorn.

Speaker 3:          00:16:07       Yeah, yeah, yeah. I have.

Speaker 2:          00:16:10       Yeah. And so those are being pushed forward very hard in institutions all across Canada, elementary schools, junior high schools, the military, the police, you name it, where there's this tremendous emphasis on the social construction of identity and it's as if a social constructionists have taken to the law to enforce what they cannot prove scientifically what they failed to prove scientific or what's even being disproved scientifically would be a more accurate way of thinking about it. Then the fact that there was an all out assault on, on biology by the left is unbelievably ominous in my estimation.

Speaker 3:          00:16:46       Yeah, I agree. Just two things on that. We've got an article coming out on quizlet written by two evolutionary psychologists on the false dichotomy between sex and gender and they give it some historical context. So the fault, that false dichotomy I think started with Moonee. Yes, exactly. And it's, and then it was weaponized by feminists to deny biology entered, denied sex differences basically. Um, so that's a very strange thing for feminists to do it. One of

Speaker 2:          00:17:27       the things that James Damore has just pointed out lately, he's the guy that wrote that memo for Google, is that the problem with denying the sex differences is that you automatically make the argument that if there are sex differences, essentially they're making the argument that the female differences or something like inferior because why would you object to their existence? And the Moore's memo was actually quite careful because he said, well we should take a look at these differences and if we want to maximize the economic utility of women, which seems to be a reasonable thing to do, then we should actually have a serious discussion about what the differences are and see if we can set up our institution so that we can take advantage of the, of the difference in perspective and orientation, but the two sexes might bring to bear on the, on the workplace and on, on economic issues in general. And you don't use that happening because people are starting to sort themselves out into occupations bisects essentially and you know, the longterm social consequences of that aren't obvious and we don't know how to balance that. But it's, it doesn't, it isn't necessarily the case that it's a bad thing.

Speaker 3:          00:18:38       Yeah. And my position has always been that women have probably more to lose when sex differences are denied. I think because of women's biological clock and the fact that we bear much more of a burden when it comes to child bearing and child weary. If you denied that, you know, women pay a huge price, if, if you denied the fact that what women go through that to bear children, like firstly I think we need to separate mothers out from women. There's, there's sort of a completion when we talk about things like the gender gap where there's a lot of the rhetoric implies that all women are discriminated against. The women who pay a penalty, our mothers and we need to talk about that more and we, we shouldn't minimize the, the work and the sacrifice and, and the, the, the, the costs and the Nag that we've been pouring into that. And I think when we deny sex differences, we sort of, we, we do, we minimize and we sort of dismiss everything that women do that is female normative, such as caring and, and, and working for others and sacrificing pay for their children. And you know, all of these things.

