Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:13       this is the most practical of all the things that we've discussed so far. Um, it's really, you could consider it a component of industrial organizational psychology, but it's a component that has a strong emphasis on individual differences and so you could consider it first an exploration of the practical utility of psychological concepts in predicting real world phenomena, but you could also consider it a part of the validation of the psychometric models of personality that we've described because one of the things that you want to do to determine whether or not a construct. So what's a hypothetic hypothetical social psychological phenomena or entity, whether or not that's real depends to some degree on what it's good for. Right? Part of the aim of science is prediction and control and so

Speaker 2:          00:01:14       it's useful to take a look at important life outcomes among human beings and to determine whether or not you can predict that because that's one way of testing whether or not the phenomena that you've derived say from your statistical analysis, both in the case of fluid intelligence or intelligence more broadly. And in the case of the big five actually has the capacity to manifest itself in a meaningful way in the world outside of inside the lab. That's one domain of potential validation, but then outside the lab as well. And so what we're going to do today is to look at the factors that determine performance in the real world. And so you might think, well, what are some important real world outcomes on which performance might vary? And we're going to stick to those that are rather obvious today. We talked about creative achievement already for example, but you could think of creative achievement, entrepreneurial achievement, those actually clumped together.

Speaker 2:          00:02:14       They're part of the same phenomena. You think about academic achievement and you could think about success in the workplace and then those can be subdivided because success in the workplace for example, needs to be analyzed in terms of success. Say at simple jobs in success at complex jobs you'd like. There's different ways of fractioning fractionating a phenomena to increase your capacity, to understand it and to measure it and then to predict it. But those are rough domains where there's self evident individual differences. And where the capacity to predict performance would at least be of some utility, a performance in the workplace. This is an interesting one. Performance in the workplace is a tricky measure. A tricky issue. I've been working on performance prediction tests for a long time because I was interested in, because I'm a clinical psychologist and because I have a practical side, I'm often interested in what the utility of psychological measurements might be outside the lab.

Speaker 2:          00:03:15       It's interesting to consider that from an ethical perspective too. So if you're hiring people, you have to conundrums that lay themselves in front of you and one is the ethical necessity to give each person a fair chance. And the other is the ethical necessity to place the proper person in the proper position. And you might say, well you could do that randomly and like there are countries in Europe for example, that have a quasi random approach to the selection of university students. So Holland just like that, they have a pretty open admission policy. Now, what that means is that everyone has a chance to go to college, but the downside of it is that the failure rate in the first year, for example, is extraordinarily high. Now you might say that's a perfectly reasonable price to pay for the open admission and for the opportunity to give everyone a chance, but you could also say, well, that's a hell of a waste of time for the people who go into the first year of college or university and fail.

Speaker 2:          00:04:13       It's not a pleasant experience for them. It's a very expensive in terms of time and resources and perhaps it would have been better for them and for broader society had. They'd been able to determine beforehand whether they had two sets of qualities that were necessary to increase the probability of success. Because if I could tell you, well, you know, you have a 80 percent chance of success in this domain and only a 20 percent chance in this domain. You still might want to take the risk in the 20 percent success domain. But you might also think, well, I might as well go off and function where my particular combination of proclivities has the best opportunity to manifest itself. And, and because why not position yourself for success rather than failure? Now, I'm not saying that the ethical conundrum between those two alternatives is something that's easy to, uh, what would you say an easy thing to map your way through.

Speaker 2:          00:05:10       It's by no means an easy way to map your way through because there are strong arguments to be had on both sides of the equation, so, but there's still the scientific question that remains, which is to what degree can you accurately predict people's performance and to what degree does that reflect positively or negatively on your psychological concepts? And then there's the actual practical utility of potentially offering to schools, to universities and to workplaces in general the probability of selecting people with an above average chance of succeeding. It's even more complicated. Say if you're selecting not so much entry level employees in a company because maybe you tell yourself they are more towards the possibility of bringing more people in and letting them fail or succeed in the job, but let's say you're replacing a management team at a medium to large size corporation. You know if you bring in managers that are in competent, not only are they going to fail, which is obviously not very good for them, and the failure rate among managers is very high.

Speaker 2:          00:06:11       It exceeds. It exceeds 65. I figure, I think it's 65 percent of managers. I believe that's correct. Add zero or negative net value to the companies. It's something like that. The failure rate in managerial positions is overwhelming and the problem with bringing someone into a managerial or an executive position even worse, who isn't competent to play that role is that they can wipe out the careers of everyone that they're supervising. And in the case of say, large companies, they can bring the whole damn company down and so it's not like the the, the ethic of people deserve an equal chance, let's say, to fail and succeed isn't a very practical ethic. When you're putting someone in a high demand position where the consequences of failure are can be overwhelming, not only for that person but for all the people that they happen to be whose destiny they happen to be involved in determining.

Speaker 2:          00:07:02       And so then you might say, if you could come up with a selection process that would increase the probability of hiring and above average manager from 50 slash 50 to 60 slash 40 or 70 slash 30. Maybe you're actually ethically compelled to use that. And in fact, by law, this is particularly the case in the United States. You're required by law to use the most effective, valid, reliable and nondiscriminatory selection process that currently exists in order to select your employees. And one of the things that's going to happen to employers in the next 10 years is they're going to get a very nasty shock for using interviews. Because the data on unstructured interviews indicates quite clearly that a, that they're discriminatory, partly because they they, for example, if you're tall and assertive and good looking and charming, then you're much more likely to do well in an interview, but that doesn't necessarily have any bearing whatsoever on the probability that you'll succeed in the position and so and not only that, the predictive validity of unstructured interviews is very low.

Speaker 2:          00:08:07       It's about point one, two. It's something like that which means that if you just pick people randomly for success or failure, let's say you'd have a 50 slash 50 chance of predicting whether someone was going to be a success or a failure. It's just a coin toss and then if you used an unstructured interview, you'd get that up to 56, 44, which is slightly better, but it's by no means it's not even close to the accuracy that you could get. For example, if you just use the standard test of conscientiousness, which would give you a correlation of about point two five with with say managerial with managerial productivity and there's this interesting. This is an interesting thing to know. It's called the binomial effect size, display effect size is the magnitude of an effect, right, and and it's not an easy thing to get a handle on all that you really need to, if you're going to be a psychologist, because in any study there is an effect size indicator correlation off often or an r squared, which is the correlation squared or a Cohen's d, which has the effect size expressed in standard deviation.

Speaker 2:          00:09:05       So something like that, but you kind of have to understand that at a basic level to understand what statistics actually do. And there's this phenomena called the binomial effect size display that can help you understand in an embodied sense what the magnitude of a correlation means. So here's how it works. Imagine that you have a predictor of point two zero. So the correlation is r equals point two zero between phenomena. One will say conscientiousness and phenomena, two, workplace performance point two, zero correlation. The question might be, well, how much? How much would you improve your predictive capacity over chance levels if you applied that predictor? And the answer is that the ar is the difference between the odds ratio. So let me explain that. So point five, zero point five zero. If you subtract one from the other, you get zero. So the predictive validity of selection by chance is zero point five, zero minus point five, zero equals zero.

Speaker 2:          00:10:07       That's the predictive validity of chance. If you have a predictor of point two zero, which is approximately, that's sort of the low end estimate for conscientiousness, then that would change your odds ratio from point five, zero point five zero, right? Random two, point six, zero point four zero because point six zero minus point four, zero point two zero. And so the correlation coefficient turns out to be the difference between the odds between the odds. So and so it gives you a quick rule of thumb. So for example, so if you have a point two zero predictor that gives you 60 slash 40, if you have a point three zero predictor, that gives you 60 5:35 because point six, five minus point three five is point three zero. And if you have a point six predictor, which is really up on the high end, right, you're really starting to push your limits of statistical predict prediction validity at that point.

Speaker 2:          00:10:59       That gives you a point eight zero minus point two zero. And so what you've done, if you use a predictive of a predictor that has a correlation Coefficient of point six zero, which you could get, for example, if you took conscientiousness and combined that with a good test of Iq for predicting complex jobs, you might be able to get up to point six that moves your odds ratio of selecting an above average person for the position from point five, zero point five, zero two point eight, zero point two zero. So it cuts your failure rate by more than half, right? Brings it down from point five, zero. Point two zero, because point eight, zero minus point two, zero point six zero. So that's a really good thing to know. That's called the binomial effect size display. It's really good thing to have in your mind. It's very simple.

Speaker 2:          00:11:40       It's just a, it's just subtraction and it gives you some sense of the power of, of, of statistical prediction. Now the question might be, well, let's say you had a predictor of point two zero conscientiousness. You might say, well, if you square, they are. That gives you four percent of the variance. Who the hell cares for percent of the variance? You've left 95 percent of the variability between people in terms of their performance unexplained. You might say, well, why even bother? Well, the answer to that question is how much difference in productive output is there between people? Because if there's a tremendous degree of productive, of difference in productive output between people than increasing your ability to predict someone's performance, even by some relatively small increment might have massive economic utility. If let's say the top 10 percent of your people are 50 times as productive as the bottom 10 percent of your people than shifting your ability to predict up so that you have more of those extremely high performing people or less of the extremely low performing people might more than payoff might more than pay for itself.

Speaker 2:          00:12:48       From an economic perspective, even though your prediction, your predictor isn't, doesn't have that massive amount of power when that actually happens to be the case. So back in 1968, there was a guy named Walter Michelle. He had reviewed, he's a social psychologist. He reviewed the personality literature up to that point and concluded that the typical personality measure only predicted the typical performance measure at about point two and that's actually remained relatively stable. I would say it's a little higher than that. It's probably point two five, especially if you do things like correct for measurement, error and so forth. And what Michelle said was, because it's only point two five, let's say you square that, that's five percent of the variants. You leave 95 percent of the phenomena unexplained. You might as well not even bother measuring personality and so that actually killed the field of personality from a psychometric perspective for about 25 years.

Speaker 2:          00:13:37       Really until about the early 19 nineties when people woke up and thought, wait a minute, what are the typical effect sizes in other domains of prediction? And then they found out that, well, the point two zero correlation that was typical of personality prediction was actually pretty damn good by social sciences or health sciences standards, like it doesn't sound good when you just think about it as an absolute measure because it leaves 95 percent of the phenomena unexplained, but when you compare it to other things that people consider of reasonable magnitude than it turns out that personality psychologists are doing just fine. And then also in the 19 nineties, and I'll show you some of this, the economic calculations done and the so one of the calculations would be well imagine that you have maybe it took 20 companies and you did it a distribution of the productivity of their employees.

Speaker 2:          00:14:28       It's hard thing to do because you have to measure their productivity. So how the hell do you do that? Right? With salespeople, you can measure sales. That's pretty straightforward. With lawyers, you can measure hours billed. Like there are some, there are some occupations where the performance measure is sort of built into the job. But if you're a manager in the mid level of a large corporation, how the hell can you tell how productive you are? It's so there's a measurement problem on the productivity measurement and as well as the performance prediction and and it's. It's a very intractable problem and the way that people often do that is by saying, well, let's say you're a manager in the mid level of a corporation. How do we determine how productive we are? You are, while we might ask you to compare your, your work productivity with your peers, maybe construct up a questionnaire asking about your efficient use of time and so forth, and then we might get your peers to do the same thing to you.

Speaker 2:          00:15:17       We might get your supervisors to do the same thing to you and we might get your, your subordinates to do the same thing to you and then aggregate across all those measures and infer that that aggregate opinion actually constitutes a valid measure of productivity. You actually don't know, right? Because that assumes that what you're doing, that your peers and your supervisors and so forth. Our rating is actually related in some positive manner to the bottom line of the company and you actually don't. You actually can't figure that out. This is actually, I think why, why large companies start to become unstable is because if there's enough layers between the operations of the people in the tiers of the corporation and the real outcome measure, which is basically profit because that's what we've got. Then the relationship between your activity as a manager and the productivity of the company starts to become increasingly blurred and that might mean that you're working as hard as you can on something that's actually going to cost the company money so you would actually be much more productive from a profit perspective if you just didn't go to work at all and that that happens a lot in large corporations because you'd never know, especially if there's a lot of steps that have to be undertaken in a process before you can test the product in the market.

Speaker 2:          00:16:31       You have no idea if you're wasting time and resources. You just can't tell. So the performance measurement issue is a very, very complicated one. We haven't talked about it that much, but I gave you a kind of a brief overview of it. Now what you really want to do is have multiple sources of information about performance and aggregate across them and if you can use real world measures that are tied to two income generation, so much the better because you have to use something as your gold standard, right? You have to say at some point while we're going to define this as reality, when it comes to performance and in a free market economy, roughly what you do there is you say that what profit is the proxy for productivity and that isn't the same thing saying is that it isn't the same thing as saying that profit is productivity.

