Speaker 1:          00:00:00       Okay,

Speaker 2:          00:00:12       so okay, so we've talked a little bit about motivation last time or quite a bit about motivation and what I, I told you that I was basically teach you, teaching you a personality neuroscience approach to personality and part of the reason that I have to go into the biology to give you is to give you the kind of foundation that you need in order to understand. I would say what's essentially the cutting edge in personality research. You know, I mean I know that what we're going, what we covered last lecture and what we're going to cover today are relatively complicated, but if you get them right then you're right at the forefront of, of, of our ideas about brain function and emotion and about personality. So you get all that at the same time and today you'll get a little bit of learning theory thrown in as well.

Speaker 2:          00:01:01       So learning learning theory is basically what used to be what's alternatively described as behaviorism, and I don't. I used to teach behavior is I'm in this class, but I've subsumed it underneath the biology because the old. A lot of the old behavior presuppositions, although they were extremely useful, we're not right, which is exactly what you'd expect. They were formulated in the 19 fifties, um, and it's actually the sign of the progress of science that theories that are 60 years old or no longer. Right. So, um, we'll also cover a little bit of behavioral theory today too. So, okay, so the hypothesis we've been working on so far, or we'll call it the working theory, is that motivations set goals or more accurately that they define as a conceptual space within which you perceive the world and within which you act toward some goal and, or to some endpoint and the endpoint in some sense as specified by the motivational system.

Speaker 2:          00:02:02       It's a hypothalamic system, are often, but not always, but not only is the goal specified, but they, the underlying motivational systems also tune your perception. So you're only looking at the things that you know to be relevant to the pursuit of that goal. And they also either disinhibit or activate the behavioral schemes that you would normally use to pursue the goal. And sometimes those are the, let's say, the motor schemes, because that would be more accurate. When you think about behavior, you tend to think about voluntary behavior, but a motivational state will disinhibit or activate depending on the situation, autonomic responses. So for example, when you, when you were food deprived and you start to think about food and start to organize your behavior towards food as an end and to perceive the world that way, your body also prepares for food. And so the motivational state is an all encompassing psychophysiological phenomena.

Speaker 2:          00:02:58       It's not as simple as change behavior, which was an early be behavioral theory or as simple as something that's merely setting a goal. It's much more complicated than that. It's useful to think about as we've already talked about with regards to psychodynamic theory. It's useful to think about a motivated state as a micro personality. It's got one aim in mind fundamentally, so it's not particularly sophisticated, but it has all the other elements of a personality. So now, so motivation establishes the framework within which goals are pursued and the goal itself. And then roughly speaking emotions or at least many of the emotions track progress towards goals, and so they kind of tell you whether you're on the right track or not. So that's a reasonable way of distinguishing them, even though there is no single motivation system or a single emotion system. There's some basic motivations.

Speaker 2:          00:03:57       Um, these are the sorts of things that Freud would have associated fundamentally with Ed. So, and he thought of there's this primordial and that's exactly right because pretty much all of these motivational systems we share certainly with other people also with other mammals. And then of course with animals that are farther down the evolutionary chain than mammals. So some of these systems are extraordinarily old. In fact, all of them are extraordinarily old hunger, consequence of food deprivation, obviously thirst. Obviously people are very dependent on water. Pain. Pain's complicated. There's, there's physical pain. And then there's, it's mental equivalents and the mental equivalent of pain, our grief, disappointment, frustration, roughly speaking. And so you can, the way you can think about that as you know, you saw the picture of the nervous system that I showed you last time with the branches going up into the brain obviously, but with all the branches are the roots say going down into the body.

Speaker 2:          00:04:59       So we discussed the central nervous system as a sort of all encompassing system distributed throughout the body. Imagine that part of that network throughout your body is associated with pain reception and that would be roughly equivalent to systems registering levels of input that are high enough to potentially damage them. That's where pain seeps seems to come in. And that different pieces of that can be activated at different times. So if it's psychological pain, as I said, grief, frustration, disappointment seems to fall into that category. A loneliness as another one. Um, then maybe it's primarily the cortical circuitry for pain that's activated in. Although people who are depressed, for example, or who are grieving often have somatic pain as well. And depression really looks like it's a pain state. Um, we know loneliness is because if you take like little chicks or little kittens and you make them lonesome and they'll cry which is a or, or, or peep if their chicks and you can stop them from doing that by using opiates and it's not because it stops them from vocalizing because that would be a possibility.

Speaker 2:          00:06:10       Just get them so stoned on, you know, morphine that they can't peep and you think, well, they're now they're not lonesome anymore. So that's, the experiments have been done carefully enough to factor out the effect of the opiates on the vocalization. So, and that's also led to some suspicion that people who have have had a history of extraordinarily painful personal relationships might be those who are more prone to opiate use. And so opiates analgesics are, they basically dampen out pain and frustration and disappointment and grief and loneliness. So there's an anger and aggression system. It's complicated. There's probably two of them. One is defensive aggression, that's probably more associated with neuroticism technically. The other is probably predatory aggression. And, you know, human beings are definitely predators square meters and you know, uh, our closest relatives, chimpanzees, for example, they're, they're pretty good hunters. They, they'll, they'll pack, gathered together and packs and bring down 30 lb, call us monkeys, and the meat is very popular among the chimps.

Speaker 2:          00:07:16       And so predatory aggression seems to be a separate circuit. And as we'll discuss further along, I think the predatory aggression circuit and the maternal solicitude circuit, because there's also a care circuit have evolved to be at opposite ends of the same distribution. I think that's the agreeableness distribution in the big five. So in one day and there's maternal solicitude and the other end, there's predatory aggression and you can imagine how those things have to inhibit one another. Um, because well, with, with many mammals, bears for example, the males are so predatory that you have to keep them away from the cubs because they'll kill them. Human beings, I mean there's some aggression towards children, especially if the children aren't biological relatives. But men are pretty caring for male mammals. And women are actually quite predatory for male mammals. So thermal regulation, your hypothalamus takes care of whether you're hot or cold, panic and escape, that those are circuits that also seemed to be associated with pain fundamentally, although threat can maybe trigger them as well, and the panic escape system doesn't exactly seem to be the same system as the anxiety and fear system.

Speaker 2:          00:08:29       Even though they sound they sound roughly equivalent, right? You might think of panic as just the extreme level of fear. I think fear can trigger panic, but panic seems to be a more primordial circuit and if you're panicking, there's an immense impetus to to escape. So that's a difference. Circuit affiliation to care. We covered sexual desire, exploration and play. Both of those seem to be separate circuit. So Jaak Jaak Panksepp actually wrote a great book called affective neuroscience. By the way, if any of you are interested in like the psychobiology of behavior and motivation, Jaak Panksepp book is one of the best. We don't have a paper by him in in our collection, but he's a very smart guy. He wrote this book called affective neuroscience and it's actually given its title and the relative complexity of its. Of its thoughts, it's actually quite readable even though it's a text is a little more personal than your typical text might be.

Speaker 2:          00:09:25       And Panksepp is also very interested in a psychodynamic and personality idea. So he's a very broad thinker. And so if you're interested in, you know, uh, an approach to psychology that sort of crosses the threshold from personality into emotion in biology, Panksepp as well as grave. There's a great paper that you're reading. Panksepp's a very, very good source. He's a very, he discovered the play circuit for example. Um, and he also discovered that rats laugh. So if you take a rat, it laughs. You can't hear it though because it laughs ultrasonically like a bat. But if you record the rat giggling and then slow down the tape, then you can tell that the rat laughs. Rats need to play in. Most mammals need to play in order to socialize them. So, so one of the things you can think about this when your parents do, and this is probably especially relevant for the man because one of the things you might ask is what role do men play in the socialization of children?

Speaker 2:          00:10:26       And one thing that men really do seem to do with kids is to engage in rough and tumble play, especially once they're a little older than to say two to five or something. And kids love that. They absolutely love rough and tumble play gets them so excited that you know, they get out of control fundamentally, but rough and tumble play is an excellent mode of socialization because it teaches the child that the distinction between the aggression and too much aggression. Right? Because if you're wrestling with the kid, the kid has to keep their behavioral output under a fair degree of control to keep the game going, to make it rough enough to be exciting but not so rough that they get hurt or you know, that they stick their thumb in their dad's I or something like that. And you can think of that from a phd and sense too because it's a game, but imagine that if you're trying to figure out how to configure yourself around other people, if you haven't had that rough and tumble play, you don't really know where the boundaries of your body are, you know, and, and you don't know how much you can take and how much you can be stretched and how much you can be thrown around and when something actually hurts rather than this frightening.

Speaker 2:          00:11:33       And so all of that intense sort of play that, that, um, that boys in particular are likely to engage it. No, the girls also like, it seems to be very useful for teaching children about how to engage with the world but, and with other people in a physical way. And that's one of the physiological for higher order socialization. So it's very useful. I mean, I've, I've always often noted that children who haven't had the opportunity to engage in physical play, they're kind of awkward. You know, they, they're not, they're not seated well in their body and it's like they're kind of vague physically. Whereas the ones who've been twisted around in Banton, thrown up in the air and wrestled in general, there are a lot more conscious of their limits and their abilities and their body and they're also much more able to invite other kids to play. You can think about this with regards to dogs. You know if you have a dog, you know the dog, you can tell when the dog wants to play, right? What does the dog do?

Speaker 2:          00:12:36       Yeah. Jumps around and it puts his rear end in the air often and its head down. It looks up, which is a little bit submissive and little bit friendly and it wags its tail. It might bark and it moves back and forth and like little kids that want to play do well. They don't put their tails in the air obviously, but they, they, they, they engage in play invitation behaviors like that, you know, little bit of teasing sometimes and they're trying to get some play initiated on. It's also practice for later dominance. When chimps play the males in particular as they approach adolescence, the play behavior because then they'll throw sticks. At the old chimps who were laying down and sleeping or come up and poke them or tease them, and then as they become more and more powerful and more and more adolescence and into adulthood, did not play, will become full blown dominance challenges as you don't, no doubt noticed if you were in junior high school because that's exactly what happens to teachers.

Speaker 2:          00:13:32       Right? The little elementary school kids, they're kind of cute when they misbehave. They're sort of playful book by the time grade eight or grade nine comes around. The pushing on the teacher is a lot harder and so you can see how play shades into dominance. Just butte, but it is a separate circuit exploration that's a separate circuit and one of the things that we'll talk about today is Swanson's elaboration of the fact that half of the hypothalamus is fundamentally devoted towards exploration, which is quite cool. It means exploration is a really, really, really old system and it's sort of like if you haven't got anything else to do so you don't want to play. You're not hungry, you're not thirsty, you're not angry. You're not too warm or too cold, et Cetera, et cetera. Your default isn't sort of quiescent sleep, right? You don't just

Speaker 2:          00:14:22       run out of batteries and lie on the floor unless you're of course, obviously, unless you're very tired. What will generally happen is if the other fundamental motivational states have been satiated, then you'll engage in exploration and some different people at different rates. If you're extroverted, you'll engage in exploration in the social environment and if you're open, then you'll engage in exploration at a more cognitive level, so that would be with regards to artistic creativity or to fiction or or the expression of some sort of intellectual or philosophical pursuit and the reason that you're wired up that way is because if you have a little extra energy, you might as well use that to map out more of the environment so that when push comes to shove somewhere down the road, he'll be in possession of more information and more flexible and more knowledgeable in your. In your, in your conceptual and perceptual structures and also in your actions. So people have a pretty strong tendency to default to exploration, but there's variability in that.

Speaker 2:          00:15:27       You can also sort of divide up these motivations as ingestive or defensive. That's not a bad way of looking at it. And then there's reproductive motivations as well. That's unlikely to be a full map. It kind of depends on where you put the emotions because we know for example, that there's a separate disgust circuit and that doesn't seem to load with anxiety or with pain. It's, it's its own biological system and it seems to be associated with trait conscientiousness maybe and also with political conservatism in orderliness. So those things are all quite interesting. We all kind of clumped together and. But whether that's an emotion or motivations, not exactly clear, but we'll talk about it a little bit more. So there's the hypothalamus and as you can see it's not one thing. Of course, nothing at the macro level in the brain is one thing.

Speaker 2:          00:16:23       Obviously it's this layered thing, just like everything else in the world, except even more so because the brain is so incredibly complicated and you can see by looking at that there's all those little, all the things that are colored, they're basically hypothalamic modules, I guess would be a reasonable way of putting it and you can tell they're even at an anatomically distinct, so obviously they're not doing exactly the same thing. So you might think of brain anatomy as sort of a fixed, what would you call something that we've already managed quite well and we have all the categories. Systems down in the structure of the brain is quite well known and that's really not true at all. Like the brain is truly terra incognita and it isn't even like our naming a rituals. Let's say our conventions are not necessarily appropriate for one to one mapping of say structure onto function.

Speaker 2:          00:17:15       So they're, they're, they're sort of anatomical, they're markers for anatomical convenience in some ways. Okay, so, so here's a way of thinking about it. So you have your frame which specifies your lack. Say I'm hungry and then a goal pops up, which is, well, I should have something to eat, and the hypothalamus is modulating perceptual and cognitive circuits so that you think that and so that you start to parse up the world into a place where a hungry person like you could become satisfied and then the behaviors kick in that are relevant to that pursuit and so you can think of yourself as popping through these sorts of frames on a fairly sick basis throughout the day. You know, obviously you get hungry, you get thirsty, you get tired, and so your consciousness is being modulated by subcortical circuitry that is basically charged with your self preservation and in some ways you come along for the ride.

Speaker 2:          00:18:19       I mean your consciousness is mostly there in some sense to detect deviations from not so much expectation but from desire, right? Because you lay out one of these little maps on the world and then you want something to happen and what your consciousness does more or less is more monitor and if something that you don't want to happen happens, then consciousness will take a look. In some sense, you remember that hierarchy of goals that I showed you from motor output up to higher order goals, your consciousness kind of moves up and down that thing. If you've made an error trying to figure out at which level of abstraction that error should be rectified, which is sort of what you do when you think, and so that process is going to kick in whenever you're moving towards your desired end and something that you don't want to have happen, happens, right? You usually stop that sort of an anxiety response, the stopping, and then if nothing else happens, that's too bad, well then you'll. You'll start to explore it in. Animals often do that by moving around, but people will do that just as with equal facility just by running simulations in their mind and trying to calculate what went wrong. Right? Trying to think about it. That's a form of exploratory behavior as well. That would be more associated with trait. Openness with intelligence. So,

Speaker 2:          00:19:46       so there's how Swanson divides up the hypothalamus see the little pink things there on the left are part of the defensive circuits, and then the red things on the left are part of the reproductive circuits and you know, obviously those, the fact that those circuits exist lays onto Darwinian theory quite nicely. The defensive circuits obviously protect you from dying in the reproductive circuits, you know, facilitate your reproduction, just not much of a fairly obvious conclusion.

