Speaker 1:          00:00          Yeah,

Speaker 2:          00:32          so today I'm going to tell you the best three stories that I know. I think these stories are absolutely phenomenally potent and the reason for that is that I think they illustrate in an extraordinarily powerful way the nature of the processes that lead to the establishment of Western democratic ideals received whose work I rely on substantially substantially to make the following argument has taken Western academic culture to task in a manner that hasn't fully been revealed yet. He said that like all human cultures, the West is parochial and narrow in its viewpoint, and although over the last 300 years, there's been a substantial amount of cross cultural intermingling and a potential broadening of philosophical and religious horizon broadening has not been sufficiently complete.

Speaker 2:          01:39          If we build on the viewpoint that I've been developing with you over the last few courses and make the presupposition that religious modes of thinking are more phenomenological than they are rational, which means that they deal more with what you experience say. Then with the objective world, if we look at archaic religious stories through that Lens, then they can start to open up and so given that I want to open up three religious stories to you today too, in depth and one only in passing because we'll return to it later. I'll start with a Judaeo Christian myth of genesis. When I say myth, I don't mean untruth. I mean a form of knowledge that's narrative instructor and predicated on presumptions that aren't empirical. A myth describes processes of transformation. A myth describes the process whereby elements of experience come into being and transform. The fundamental structural elements of genesis are the word of God and chaos and Hebrew, words for chaos and waste our tail for chaos and Tau who for waste and Tom in particular, Tohu who as well are very interesting words because you can track their derivation historically and sometimes if you can track the derivation of words historically, you can get some sense of the culture mill you out of which the word sprang, and we know what time at means because we have written records of a story that involves a character named ty Matt and time out as a dragon who lives at the bottom of the ocean.

Speaker 2:          03:24          In the oldest creation myth we have, which is the Enuma Elish, the Sumerian creation myth, Sumeria, Babylon acadia rightly regarded as the birthplace of modern western civilization.

Speaker 2:          03:44          In Genesis two, processes unite to produce being the first of those processes are states is chaos represented by tail Marto, who? The second of those processes is logos and logos is another word that has an extraordinarily broad range of meaning. It's generally transcribed in the Christian tradition has the word, and it's identified with Christ, which is a very peculiar identification because it's the word of God that creates order out of chaos, and of course the word of God in Genesis is a phenomena that predates the birth of Christ infinitely from a classical religious perspective, so the fact that the two beings are identified as a great peculiarity and also of great interest, the fundamental story of genesis as something like this and it's perhaps the most brilliant contribution of Judeo Christian thought to world history, it's, it's total impact is virtually incalculable. The idea is this, that chaos can be conceptualized as something that has an essentially feminine aspect as a matrix and a matrix is a structure from which other structures emerge and the story in genesis makes the hypothesis that logos, which is the word of God, a phenomena associated with speech and communication and logic, logos, logic, rationality, courage, exploration, all combined into a single entity or a trait logos.

Speaker 2:          05:27          The combination of logos and chaos is what brings order into being. That's what the story in genesis means. It's not an empirical description of the origin of objects. It's a phenomenological description of the origin of experience, the idea being that without the piercing glance of whatever consciousness is, whatever the background of experience is, the Matrix, chaos cannot be conceptualized as real. It takes the interplay between the feminine principle chaos and the masculine principle logos in order to produce being now that's of substantial importance when you give some consideration to the fact that immediately in genesis, after the establishment of livable order, the data Yahuah identifies as the individual human being with logos right made in God's image. That's the essential characteristic of the human being and what that means is that the logo is that operates in human beings, which is this capacity to make order out of chaos is identical to the principal. That gives rise to the cosmos from a mythological perspective, so it partakes of the daddy in a very direct sense. In so far as being itself is dependent on its operation. Now, it's still possible to claim given that perspective that a story with that sort of structure is superstitious and then it doesn't bear any relationship. To what actually constitutes reality, but you have to understand that that story, old as it is, is predicated on older stories and it's on the ground that those older stories established that our entire concept of natural rights rests. So if you believe that natural rights have an existence that's more than merely arbitrary,

Speaker 2:          07:24          the reason you believe that is because they're predicate, those rights are predicated on the ideas that are expressed in these myths. Okay, so now we're going to go back in time to Sumeria and I'm going to show you how this Sumerian creation myth lays itself out. And not only that, I'm going to describe to you the direct political implications of the enumerated list, the Sumerian creation myth, because the political implications of that myth are well understood because the political structure of Sumeria was directly associated with the structure of the myth because the Sumerian emperor was regarded as the earthly representative of the highest God in the Mesopotamian Pantheon, whose name was Marta. So in so far as you were emperor, the reason that you were emperor, and this is what gave your sovereignty

Speaker 2:          08:17          legitimacy, right? Because sovereignty has to have legitimacy, otherwise there's constant revolutions. What gave sovereignty legitimacy in Mesopotamia was the identification of the emperor with Marta and that has, that has certain implications for the emperor, which we'll discuss in some detail. The story starts like this, you've got this dragon, Talia, Matt, and tie them out is a great primordial beast who lives at the bottom of the ocean and the ocean is water and water is associated with the primal element in archaic thinking, and I you. There's reasons for that already. If you viewed the transformation of deserts as a consequence of rain can understand why water would be considered the element that gives life, right? That the element that that brings life fourth, and we know from an evolutionary perspective that that's accurate and we know that we're 90 percent water and so to consider water.

