Speaker 1:          00:00          Yeah,

Speaker 2:          00:12          so I want to tell you, I'm going to make an a little announcement first. I'm going to do a series of lectures, I think starting in May, maybe at the Isabel Bader theater. We're trying to look into booking that on. I'm going to do a psychological interpretation of the Bible from beginning to end. That's the plan anyway, so I'm going to do that once a week. So if you're interested in, in that, I would recommend that you men, maybe you're not and that's fine obviously, but if you go onto my twitter account, you could just, there's a place you can sign up. It doesn't mean that you'll attend. I'm just trying to see if there are people who are interested in. I'd been interested in doing that for a long time and so I think I'm going to try it. So anyways, that's the announcement then. Sad about it. I guess so.

Speaker 2:          00:56          Okay. So look, we're going to switch gears today. Um, the first half of this course as you've no doubt already gathered is because it's round grounded essentially in clinical theories of personality. It tends more towards the philosophical and I told you that the reason for that was that I regard clinical psychology as a branch of engineering rather than a branch of science. It's human engineering obviously, and because of that it's an applied science and so that means it straddles the ground between a science and a practice and it and because it's. It involves human beings. It necessarily involves value because we live inside value structures and so the logical consequence of that is that investigation into the philosophy of value is necessary in order to understand clinical psychological theories. Because really what you're trying to do as a clinician, you could say you're trying to do two things.

Speaker 2:          01:50          One is to help people have less terrible lives, but you're also trying to help them have better lives and there's obviously a value structure that's inherent in that attempt because you're moving from something of less value to something of more value and so and it's best to just face that and all the complexities that come along with that head on. Now. I think what you do as a clinician to overcome whatever tendency you might have to impose your value structure on someone is you do an awful lot of listening and so my basic practice with people is to say to them, well, obviously you're here because you would like things to be better, but that's okay. We can use your definition of what constitutes better. We can use your definition of what constitutes worse at air or we can establish that through dialogue and negotiation.

Speaker 2:          02:38          What are you aiming at? How would you like things to be better a year from now safe? If you could have what you wanted? If your life was put together, what would that look like and you can have a very straightforward discussion with people about that. If you're not trying to cram the way that are orienting the world into your particular perspective. Now that's one of the dangers of being the adherent of a psychological school. Now, having said that, it's also there was research done many years ago showing that if you are an eclectic psychotherapists best, which means that you sort of picked and chose from different psychotherapeutic schools. You tended to not be as effective as you were if you were the dedicated adherent of a given school. And I think the reason for that is that there's so many schools have psychological thought that if you say that you pick and choose from all of them.

Speaker 2:          03:25          What that really means is that you don't know anything about any of them. And then there's also the additional factor maybe might call it that. If someone comes to you and they're very chaotic and confused, helping them impose any structure onto their life is likely to be an improvement over no structure at all. And you could think about that in a pig, Eddie and sense is that you know you're going to be happier playing a game rather than no game. And there's many games that you could play that are better than no game. And so if you go to a therapist that has a particular viewpoint and they help you structure your understanding of the world within the confines of a given clinical model and you came in, they're very chaotic and uncertain, then maybe that's going to be a lot better for you than just floundering.

Speaker 2:          04:10          And I, and I think there's some real truth in that. And I think that that's part and parcel of the same, uh, of another, what you might call it, reasonable observation about maturation, is that it's very necessary for people at some point in their life to dedicate themselves to a single game of some sort, which is kind of what you're doing in university. You know, you have to become one thing at some point in your life. And the sacrifice of course, is that you give up all the other things that you could become. But the, you don't really have a choice because if you don't decide voluntarily to become one thing, you know, to become a disciplined adherents of some specific, uh, uh, practice or profession or viewpoint, then you risk just aging chaotically and you, you don't get away with not aging. So you might as well age into something that's, that's actually something rather than just remaining or then just becoming an old child, which is really not a, not a good thing.

