Speaker 1:          00:00:00       [inaudible]

Speaker 2:          00:00:15       Bjorn Lomborg. It's a Danish author and president of the Copenhagen Consensus Center, a project base us think tank. We're prominent. Economists are seeking to establish priorities for advancing global welfare. He's the former director of the Danish government Environmental Assessment Institute in Copenhagen. Bjorn became known internationally for his book, The skeptical environmentalist in 2001 and how to spend $75 billion to make the world a better place. Cool it in 2007 which is also a movie and lately published in 2018 prioritizing development, a cost benefit analysis of the UN sustainable development goals among many other works in books. And so I'm hoping we'll have a very productive conversation today and welcome to this discussion. Thanks a lot of term. All right, so why don't you just start by letting people know what you've been up to over the last, let's say two decades. I know that's a very broad question and and why. I mean I've been interested in talking to you because I read a number of your books a few years ago and I was interested in their economic analysis and and as a way of determining which, which crises, let's say, or which potential crises are real and also how they might be managed most intelligently.

Speaker 3:          00:01:36       Thank thanks a lot drew. So you know, fundamentally what I tried to do is to say [inaudible], this really is very, very obvious. We only have a limited amount of resources, so let's make sure we focus those resources on the places where we can help the most, where we can do the most good. Remember, what is it that we mostly focused on in the world? It's very often the things that get the headlines, the things that people talk about, it talk about. And very often that ends up being the things that have the cutest animals. So the most crying babies of the groups with the best pr and surely that's not the right way to prioritize the right way. It should be to look at if I spend a dollar or a peso or rupee here, will I do more good than if I spent that same dollar a rupee, a piece out over here.

Speaker 3:          00:02:22       So basically asking across all the different areas you can spend resources, where do I help the most? Now obviously that's a huge conversation in and of itself because it's not easy to just determine that. But the basic idea is simply to say let's focus on the places where you can do the most good rather than the places where it makes us feel the best about ourselves. So that's really what I've been trying to do for, for, for, for two decades. And you know, prioritizing the world and trying to say where should you spend money, of course makes the, the projects that we say these are the really, really great interventions. They all love us and think we're the best thing since sliced bread. But of course the, the projects and the policies that are not so effective, we think we're terrible. So, you know, it creates a lot of antagonism and makes a lot of people annoyed and interest in it.

Speaker 3:          00:03:11       But I think it's crucial to ask these questions. Well, one question would be, what's the alternative? You know, like when I was looking at the UN development goals, for example, if I remember correctly, there was something approximating 200 of them. And this was a few years ago, I worked on a UN panel and I thought, well the problem with 200 goals is that you can't have 200 they're not goals if there's 200 of them, because you absolutely have to prioritize in order to move forward. Assuming some limitation on resources, which is exactly what, what you, what you just described. And so then, then the question would become, well, how do you calculate benefit? And that's a really difficult problem, which is I think why it wasn't addressed with the mishmash of 200 goals, apart from the fact that you're going to offend people by rank ordering their priorities.

Speaker 3:          00:03:57       So why don't you tell people a little bit about the, about the methods that you used? Because I think they're extremely interesting. So you're absolutely right. The sustainable development goals. We actually work with the UN back in 2015 when they were doing this. I, uh, it was, it was, uh, it was about a 60 to 90. It was very unclear, uh, UN ambassadors. I actually met with a quarter of them, uh, in New York, can talk to each one of them said, shouldn't we try to, you know, focus on the targets that would do the very most good. And of course, each one of them said yes individually, but the, the, the combined effort of all the UN ambassadors was of course not to actually do the best goals. It was to get everybody's goals in there. So, you know, the Norwegians had three ideas and the Brazilians at four and everybody else had, you know, three or four that they want in there.

Speaker 3:          00:04:44       That's why we ended up with 169 targets. Uh, which of course simply means you promised everything to everyone everywhere. And that means a lot of people are going to be very disappointed when 2030 rolls around and we haven't actually dealt with all the things that we promised. Right? So what happens there? What happens there is that you, the people who are doing that and including everyone on the list, maximize short term emotional wellbeing of the people who had been doing the consultation at the cost of medium to longterm progress, but then again, they're not going to be around in 2030 and all possibility to suffer the consequences of that. So yeah, or at least they're not. Nobody's going to see that. We failed to do as much good as we possibly could because we will have done a little bit of good everywhere, but doing a little good everywhere.

Speaker 3:          00:05:32       It's not nearly as good as doing an enormous amount of good in the places where you can view the very most good with extra resources. Again, remember we're estimating the total cost of the sdgs as somewhere in there in the range of two and a half trillion dollars and the actual amounts available, there's about $140 billion. So we literally have 5% of what we're promising. So we're promising the world and then we say, hey, here's a small amount of money and let's spread it similarly. So everybody gets a little bit of it. Okay. So that's, so that's partly where you derive your premise that we're dealing with limited resources is that you're actually using a real number and the number of you're using is what's actually available. And when you wrote how to spend 75 billion, you basically go calf of what it was available that yes, that was about much, much earlier on.

Speaker 3:          00:06:21       And that was mostly sort of a, it's a fun idea to say how would you spend a specific amount? Yes. And that was half. Uh, so, so we weren't saying we should spend all of it in the exact way that we were talking about how would totally agree with you. So to agree with you, people have to agree that everything can't be done for everyone all at once at infinite expense. And that it's useful practically. And, and also even in a Utopian sense in desirable sends to rank order so that the obvious money that's available, the money that's genuinely available can be targeted best. And so then the next question would be how do you go about that in the least controversial and most empirically sound manner to, to do the rank ordering. So we use cost benefit analysis, which is a very well established economic tool that tries to say, all right, for each of the proposals that you come up with, how much will that proposal cost?

