Speaker 1:          00:01          Yeah,

Speaker 2:          00:32          you really can't tell the meaning of someone's life till the very end. It's for the same reason, right? Is that how all the pieces fit together in the story or in the life is not necessarily determined until the final moment and I think that's part of the reason too. Why among Catholics, for example, in Christians in general, there's an idea that salvation can always be attained, right? Right up until the last moment. No matter what your life was like and you think, well that's a pretty cheap trick because you can run around doing terrible things your whole life, but as long as you get it together the last second, then you're Scott free. But if you think about it in terms of a story, then you can understand how that could conceivably be the case and it's for this reason, of course, that this lecture in particular makes me nervous more than any of the other ones I do because I've been telling you a story that's basically 40 hours long.

Speaker 2:          01:20          Right? And it's spoken for them and then who knows how long and it's written for him and it's. It's complicated to pull it together properly and that's partly because as far as I've been concerned, we've been talking about issues in psychology that are more difficult than any other, first of all, conceptually, even from a neuropsychological perspective because I've been offering you a model of the way the brain processes the environment that I think is really novel and and I think it reflects the current state of neuroscience and but, but more than that, there's the problem that we've been dealing with issues all the way along of life and death and of war and destruction and have the possibility for all clearheaded optimism. A possibility which as we've discussed more or less escape tolstoy say for most of his life. Right? Because when tolstoy woke up from his delusions, he looked at the world and he said, well, clearly it's such a terrible place. That as if you're not looking at it through the veils of illusion, there is no way that you can do anything but stand in opposition to it. Once you understand its basic structure, right? Suffering and innocent suffering and complete vulnerability and the whole existential mass that makes up life out turns out that tolstoy overcame his

Speaker 2:          02:42          rationally induced cynicism in a kind of mystical way.

Speaker 2:          02:48          He had a dream that he was suspended from some transcendent space by a belt around the middle of his waist, which hung them over a period of chaos and in that image he found and fair enough, it's a powerful image, but it's not well delineated. Right, and it worked well for tolstoy and you can see that the image has power, but you can't. You can't grab it with your rational mind. You can't take it into pieces and analyze it as an argument and that's what we do if we're intellectuals, right? We try to understand the detailed structure of something and I think the detailed structure of what tolstoy apprehended as optimistic is actually comprehensible and we've been working towards that and circling around to the entire course of this lecture series, but I found with this material that with each circling around the target, it gets clearer and clearer.

Speaker 2:          03:43          It's a funny thing. It's like you're looking at something that's too complicated to see all at once, so you have to look at it from multiple different perspectives and again and again, and each time you look at it, it becomes clearer and clearer. That still the case for me when I go through this material, every time I go through it, I think, oh yeah, that piece fits there and that piece fits there and that's how that makes sense and oh, that's a lot more remarkable than I thought it was to begin with and so on, and it seems fundamentally inexhaustible, and of course that's what you'd expect from deep, deep stories, right? Stories that have been around for thousands and thousands of years wouldn't have been around for thousands and thousands of years unless they were in some sense, inexhaustible, and we've talked about some of the processes that might contribute to that.
