Speaker 1:          00:00:00       [inaudible].

Speaker 2:          00:00:20       All right, well I'm talking today with Dr. James Lindsey, Dr Peter Boghossian, and Dr Helen pluck roads and they're all famous or infamous depending on your perspective as the authors of a series of hoax articles that were published in what purport to be academic journals in the last year following up work done by socal back. How long ago was that? Now it's gotta be like 25 years now. Right, right. So we've all assumed or you've all assumed that the situation hasn't improved. So the first thing I'm going to do, we're going to have an extended discussion about these articles and about the motivation for producing them and then the necessity for that, the morality of that at the aftermath and all of that in. The first thing I'm going to do is have each of you introduce yourself and then we'll launch right into a discussion of, let's call it the scandal. Dr. Lindsey.

Speaker 3:          00:01:19       Yeah. Good to be here. So I have a background in mathematics and physics. My Phds in math. I left academia in 2010 and had been studying, uh, mostly religious and moral philosophy and psychology since, and then got wrapped up in this idea. I kind of was the, I guess, epicenter of the project. I did all the submissions and managed all the emails and all of that. And then Peter and Ellen, uh, filled in all of my weaknesses. And so we spent, you know, an 18, about 18 months working on this a year, really 10 months writing papers. Then there was the getting ready to go public. So, um, that's kind of who I am and how I got into this. I just, uh, uh, lapsed mathematician who gives a lot of concern to how we produce knowledge and what academic standards are and should be. So what, why did you leave academia? I wish I could say that it was like this Prussian thing. I saw the writing on the wall that it was going mad and I wanted out, but really it was just a number of personal responsibilities and commitments that led me to not want to pursue, um, employment where I didn't know where I would be placed from one post doc to the next. It was family commitments primarily.

Speaker 2:          00:02:40       But you were still interested enough to continue with this project? Interested enough in the academic world? Yeah. I never really

Speaker 3:          00:02:48       need to stop researching or reading and thinking and coming up with new ideas. Uh, it's very difficult to do mathematics without some institutional backing. Uh, math is hard as some people have noticed. So I didn't have the resources necessary really to pursue mathematical research independently, but I found that I could dig into philosophy and I could dig into a psychology kind of on my own, not professionally of course, but, um, that's enough to get an idea of what I was, was looking at in a philosophical sense to answer questions that I was really deeply interested in. Mostly the question that drove me probably from about 2011 forward was, you know, what do people really mean? What are they talking about when they say the word God? And so I really got involved in talking about they're thinking about religion. That's what led me to religious and moral psychology, trying to understand why people, uh, believe things that they do and why they, why they manifest their beliefs in certain ways.

Speaker 3:          00:03:46       And ultimately because I was, you know, that kind of a guy, I just wanted to find out what I figure. I live in the southeast us, so really religious area. People talk to me about their belief in God all the time. I hear it constantly at different levels from the, you know, yeah, there's, I, I kind of believe level all the way to the borderline insane level of conviction to very implausible propositions level. And I wanted to understand, I know the people talking about ideas like God means something when they saved the term. It's something very, not just do they mean something. They need something very important to themselves. And I wanted to figure out from a perspective that didn't rely upon the religious, the theology or the religious mythology or narrative, what they were speaking to as articles within, in the material world. And so I became very interested in that and spent a number of years reading and writing about it.

Speaker 3:          00:04:45       And by the way, the kind of culture war, if you want to call it that progressed. It's seeing what was happening to people I was interested in. I'm Sam Harris for example, was, was certainly one of these people. You see these people get called racist or sexist for what seemed to be nothing. And you try to dig into it again with the interest in meaning of words, kept seeing these references back to these, you know, power dynamics and um, sociological definitions that that only see racism or sexism is structural entities that allow basically people of people to be considered racist or sexist just because of their identity by just by virtue of being, say, a white male, you could be racist and sexist inevitably are. That's exactly, exactly. So that's what led me to get curious about the grievance studies. Can. And ultimately, Peter, let's hear, let's hear from you and tell everybody who you are and what you're up to.

Speaker 4:          00:05:41       I'm currently teaching philosophy at Portland State University in the philosophy department and I am up to James Lindsey and I just finished a book how to have impossible conversations that will come out probably in 2019 decapo press

Speaker 5:          00:05:58       and I don't know what I'm up to now because I made be looking at a career change very soon. So, um, we go get into that later. But the university filed charges against me. They found me guilty of not seeking irb approval and that

Speaker 2:          00:06:15       investigation is ongoing for the falsifications. We better have quite a conversation as well about IRB approval. That's another rabbit hole we can punch down because that's another catastrophic catastrophe that the University of has inflicted upon itself over the last two decades. So that's something that's becoming increasingly politicized. So it's very difficult to understand how you could get irb approval for a satire

