Speaker 1:          00:00          Hmm.

Speaker 2:          00:07          I identify as a liberal because I was raised by a super strong feminist mother and I believe in equal rights for all human beings. I hate definition, I'm a conservative because I voted for Donald Trump. The liberal policies are more humanistic, inclusive and less restrictive. I believe that my conservative values align most with my morals. Conservative.

Speaker 3:          00:36          Gotcha.

Speaker 2:          00:38          Okay.

Speaker 4:          00:41          I am nervous. Think these topics are, I think they're really a sensitive to a lot of people and a lot of people feel very strongly and know a lot of feelings get hurt and you see that in society and stuff like that, so that's fine.

Speaker 2:          01:01          I'm going to risk because like yeah, we were forming relationships with like talking, getting to know each other outside. Just like now, is it all gonna Change? Like

Speaker 4:          01:10          let's hope not.

Speaker 3:          01:24          Yeah.

Speaker 2:          01:25          I personally think that it's, you're in my pants, your civic duty to vote. Yup. And I don't see why you can complain if you didn't take the initiative to go out and let your voice be heard. And that's what it is. That people should be going out and making their voices heard and that should be just general, like what we do because that's what we are supposed to do as opposed to, oh, I somebody else will take care of it. Oh, it's not my problem all, I don't know

Speaker 5:          01:48          is it

Speaker 4:          01:52          most of the people I know that didn't vote kind of non voted their conscience and yet I think that everyone should still have a say in right to be participating in, I wouldn't want to just silence somewhere

Speaker 2:          02:08          then they should be participating. That's that. That's the issue is they aren't participants, but they're not seeing any value in the local elections at all. Yeah. There's a lot of things other than your friends. Do they go, look, I saw no value in any local election at all. Zero. Nothing carry about any local action. Guys do realize a lot of the people being affected by Trump are people who can't even vote, so they're complaining. I'm like, go ahead, complain. You've been here since you were six, five months old. You still can't vote or you ever to tell those people and they don't have it, right. Yeah, yeah. No, I think those people have a right to complain. However, my beliefs and my thoughts are pointing towards people who are, have the ability to have all of the rights and the ability to register, to vote or to vote. No. Yes. I agree with what you guys have. Your premise that if you can vote people who cannot vote, they don't have that. Right. That's true. So that's why I disagree.

Speaker 4:          03:00          Uh, I'm not going to lie. I didn't vote. So all y'all in the comments, you guys can put it in there now. Uh Huh. I think Donald Trump is doing the best job and became,

Speaker 3:          03:21          I think

Speaker 4:          03:27          my personal favorite. I'm not, I don't agree with a lot of the ways he conducted himself in his presidential campaign, but I think if we look at him versus look at him from before he was elected president and he's a very, very different person. Um, we're not in world war three, so we used to have the same freedoms. We can still talk about it and like it's still not liking. You can still all these things and I think that you could be doing the worst job in is doing right now. It could be much worse.

Speaker 2:          04:00          I think he's doing the worst job. Like when did it be okay for him to be the least common denominator? When was it okay for our president? Are the leader of this country to be oh well he's was not as bad as he could.

Speaker 4:          04:15          Yeah. Um, I'll be honest, I didn't vote for Donald Trump, but on January 20th I said, you know, I hope it does the best job just like an Obama did. I said, I hope he does because that's, I have to put my faith in the office of the president regardless of bright, bold it, whoever that is, they deserve my respect.

Speaker 6:          04:28          The only reason I voted for him or the primary reason was because Ben Carson came out and supported him. That's how a conservative would behave, is not going to be swearing. It's not going to go through a divorce and he's not going to be on the news saying stupid things that is more conservative person would look like to me

Speaker 3:          04:44          like that. Yes.

Speaker 4:          04:51          I think the people of the opposite party do not know that.

Speaker 6:          05:15          I just think that people don't, you get different experiences so you're going to learn differently. You're going to see things through different, through different lenses

Speaker 2:          05:22          and today feel like there's missed information on a lot of the conservative side. You guys have info wars, you guys have things that are blatantly saying sandy hook was fake, that the hurricanes are to populate. Um, climate change like there that we have an agenda as in like there is another reason for us besides saving humanity to try and do something about what we're causing.

Speaker 6:          05:47          It just comes back to they don't, what do you believe to be true and why? I think sometimes, um, when I've had interactions with people that disagree, there's so much emotion attached to it and it's hard.

