Speaker 1:          00:02          MMM.

Speaker 2:          00:09          Meaning let's take a moment to make sense of meaning or at least see how other people do. What kinds of things means something, words. We usually think those means something. Signs. Sure. I'll give you that one. Body language. Okay. Buildings. I don't know about that one. Rocks. Again, I don't really know about that. Let's just focus on these things. The ones we're comfortable saying means something. What do they have in common as far as their meaning goes? They all have some on the surface, symbolic features, something that they are like a painted sign with this specific pattern. A sequence of letters and arm with fingers held in a certain way, but we also take them all to stand for something else. Meaning is what makes this possible. Do you use the traditional term? We could call all of these signs. Then we'd say that all of these signs stand for something and we call this relationship meaning in linguistics, semantics, hashes out this relationship between words and phrases and their meanings.

Speaker 2:          01:33          Some quirks come up when you look at meaning and language. One major one is fuzziness words don't necessarily have fixed independent meanings. Think of words like pizza, cheese, sauce, bread. We don't take these to mean the same thing, but they all depend on each other in a way and each one encompasses a different range of things for different people in different cuisines. The form of a word and the meaning of a word don't match or parallel each other. The relationship between them is mostly arbitrary. There's nothing about the sound or shape of the English word cheese or for that matter, the Italian word format joke that inevitably link them to this meaning meaning changes over time. The old English word Sally meant fortunate, but that word now pronounced silly means something quite different if you're interested in meaning and the etymology of words. Here's a video with more on meaning change.

Speaker 2:          02:40          Also, context really matters for meaning and language and ambiguity lingers around many corners. If I tell you he turned red, you can imagine a few possibilities. This kind of issue brings the actions surrounding any bit of language to our attention. Linguists have a term for this context that feeds the meaning of any piece of language pragmatics. That's the fancy term for the context. Sensitivity of meaning. Context isn't just important for recognizing the meaning of words the faces, people make, the tones, somebody uses touch or body movement all communicates something about meaning. Subtler features even come into play like how far or how close somebody is standing to you, which in the 1960s one anthropologist termed proxemics escaping beyond immediate interactions with other humans. We also think that physical signs and symbols have meanings. I already admitted as much about this particular sign earlier, gathering up all the different meaningful signs and studying how they work is the business of semiotics.

Speaker 2:          03:55          Semantics in language, semiotics in signs in general, but enough of this name dropping meaning matters in logic too. But here it's not so much about how context and communication impact meaning but about the role. Meaning plays in reasoning, arguing and thinking. I can take thoughts like she likes Tofu and he likes ice cream. She likes ice cream and he likes to food. She likes ice cream and he likes ice cream. And I can reduce them to a common pattern. X and y. That pattern is the logical form we see in all three sentences. Now the three of them don't mean the same thing. Once we assign meanings to that bit of logic x and Y, we get three sentences and we can tell if they're right or not. Of course we do need to define some of the words. Who is he? Who is she? What exactly counts as Tofu? How would we know that they like it? Here the focus is on defining words, clarifying meaning and avoiding pitfalls like using vague language to arrive at a false conclusion. As long as I'm asking questions, here are some more general ones looking at the images from before. I thought of these ones as meaningful. Is that a property they have outside of my head?

Speaker 3:          05:18          Yeah.

Speaker 2:          05:18          Is the meaning just inside my head? What's the role of my psychology and determining meaning.

Speaker 3:          05:26          Okay.

Speaker 2:          05:26          Similarly, our meanings tied to real things in the world around us. Are they just tied to ideas in our mind? Is the meaning part of our thoughts? A separate component, like logic suggests somehow different from the structure of our thoughts.

Speaker 3:          05:43          Okay.

Speaker 2:          05:44          Do the best dictionaries tell us what words actually mean or do the merely document how words are being used? What about common sense? The feeling of shared meaning across the group of people? Does it have any role in meaning? Do Meanings Exist? If so, where? What are they made of for things to mean? Does meaning itself have to mean? If so, how does it, these and other deceptively simple questions get us thinking about the issues that the philosophy of language takes up when it comes to meeting. Well, we can keep going, meaning matters in a variety of subjects, in studies, but I just wanted to leave you with an idea of how meaning is approached to compliment my other videos and linguistics and logic and language learning. As always, thanks for learning.
