Speaker 1:          00:10          Hey

Speaker 2:          00:10          everybody, so a lot of people out there have been asking me about my writing and whether or not there's something of mine that you can read. Well, today I'm going to be releasing my first book, Big City, which I wrote about a year ago on gumroad.com, a digital copy for $3. Now I hope that you think that that's fair. I put a lot of work into this and I don't think it's so much money where you know if you don't like the book, you feel that you've wasted it. Obviously though, I hope that you do like it. You can find the link for the full text in the dupe later today. I'm going to be reading the first part of it for you firstly because I love to read and listen to fiction. Secondly, because it'll give you guys a chance to see what the book will be like.

Speaker 2:          00:54          Now, just a few words here before I get started. In the way of a summary, imagine that you're reading the back flap here in the bookstore. As the title suggests, the story is about a big city and impossibly big city of vast urban sprawl that goes on and on in every direction of city you couldn't possibly see all of in a lifetime and one in which people get so easily lost in the confusion of streets and high rises and bars and moving lights. It's a science fiction setting, certainly influenced by cyber punk, but the story is about eight people who are trying to live and survive in this chaotic mess of a place and who are all experiencing this very unique and strange phenomenon called seeing the whole thing. Now there is a secret buried in the story about what the city is, what seeing the whole thing means about what they're all doing there, but of course you have to read the whole thing to find out what that what that is. Okay, so go to a dark place, getting them, getting the mood. Here's the first part of big city called Mac ludgate.

Speaker 2:          02:06          Mac ludgate returned from the [inaudible] region, also called coat Malai, province and sector 22 way without a tatter of currency to his name. He had begun his sojourn to that blistery junction of try district gambling, not six months before dreaming of a streak, but all he got was a dark new appreciation for settling debts. He picked the scab on his forehead and thought this is ready to fall off as the automated female voice recording spat out the name of his home district now entering loan and district Taj Zhou Province municipal sector 25. A change here for all silverline. Tram stores will open on my right and again in three alternate languages, but he was wrong about the scab. It bled. Here were the things Mac knew as he stepped from the tram into loan n one, he could stay at Shelly's for as long as he liked to. The ice on most of his bets was covered. He had little to worry about in the way of rancorous businessmen. Three, he was guaranteed at least one free meal everyday at his uncle Warren's restaurant on the corner of 15th and Catskill Street, and four, there was every chance that Mr Hoy econ would hire him back to his old position at lm and p. So long as Hoy con didn't know that mack was living with his daughter, he nestled himself into the cocoon of these near certainties and use them as a coat against the unseasonable. Cold

Speaker 2:          03:24          loan and station was empty and they'll mac could not recall the time when it was otherwise. The space provoked in him, the feeling of being only recently abandoned by a host of people, strange that anyone would gather here he said to himself as a rush of hot air, move through the terminal and at once vivified his suspicions with paralyzing emphasis, hints of Phantom Card players, eyes receding into their sockets. Rhinestone whores, toothless, always smiling, the flotsam of degeneracy behind every corner. He was sure of it. Mac blinked rapidly to dispel these apparitions, but captured instead the after images of dusty fluorescents that spread light through the station all thin and dry, more ghosts. They had followed him here. Nerves short circuited. Oh God. Six months of uppers withdraw. His heart raced away and these silly tricks of the night, so affected Max eggshell spirit that he ran from loan and station and a boyish frenzy fleeing a host of illusory terrorists.

Speaker 2:          04:22          Shelly grave lived on the east side of loan end in a triplex behind Jefferson Park, near Uncle Warren's restaurant on 15th have a building that small was a rare commodity and loan n and rare is still. She and her daughter Lisa occupied the whole first floor. Most of that district's population was crammed into the row of towering apartment blocks that lined the far edge of town, but shelly had gotten years ago at a low fixed rent before prices rose drastically. District wide fluctuations of that kind were frequent and all sectors of the city like when through skyscraper and streets and unexplainable as a matter of course. Why this particular rent stayed fixed is easy enough to puzzle out if you know Shelly Mac

Speaker 2:          05:05          knocked on her door, hasn't hesitantly in a way a man does when he is merely trying to prove to himself that he was there and did that thing. Really. He was of two minds, he needed rest and warm sometime for his nerves to settle. This was clear from the episode at the Tram Station, but being here bashfully, knocking like a teenager, Matt could not help but recognize a scene from a story played over and over. It annoyed him to know what shelly would say when she opened the door, how he would respond, where the night would go, what the next day would bring and so forth. He wanted desperately to deviate from this plot, but it was hopeless. His character always wanted to deviate in the scene to do something impetuous or dangerous or just plain wrong, but never did. So shelly opened the door and the story played on, look, a millionaire.

Speaker 2:          05:52          Yeah, and it's all yours. He pushed fire. What's that smell? Does that fish? Where did you get fish from? So you expect to come in and what? She had already botched the practice speech. Jump in bed with this is in your world. I'm walking around and Mac, listen to me. I give my arm for a dose of Xeno. Got Any, but he had already spotted traces on the coffee table, tiny blue speck, sprinkled over the smiles of magazine cover girls and grocery store coupons. He turned over an issue of celebrity health with the famous actress Jocelyn Marquette, posing candidly on the cover and there it was. The feebly hid porcelain jar. No data piece. Spade my, her daughter Lisa in school. Bingo Mac. Join me, will you? We can yell at each other tomorrow. I'm deadbeat. He dropped a small blue tablet into his pipe. One thing he had not lost in Cotana and ground it down with the bud of the pen.

