Speaker 1:          00:00          Yeah.

Speaker 2:          00:04          This episode comes with a very strong content warning for frank discussions of and immediate clips involving rape and sexual harassment.

Speaker 3:          00:14          Okay.

Speaker 2:          00:15          There's a surprisingly disturbing trend running through a lot of mass media entertainment, a trend that often flies under the radar. Let me explain. You're watching a popular TV show or movie laughing along at the high jinks when suddenly things take a jarring term,

Speaker 4:          00:35          chuck go, I'm going to smother you and Julie.

Speaker 2:          00:43          Wait a minute. That

Speaker 4:          00:45          a rape joke. I'm going to smother you up and giving up and Julie Go. Yup. Certainly was this one. Here is our booty. Maybe it's just an anomaly.

Speaker 5:          01:00          That's an end with us riding into the sunset. It ends with me dying of cancer and you winning the icebox award for softest mouse.

Speaker 2:          01:07          Hold up. That's another rape joke in another superhero. Blockbuster. Let's try something else. Don't drop the soap. Big homie.

Speaker 4:          01:17          Where will you be watching the working consume me from. That's right. A prison. So I'll send you Barstow.

Speaker 2:          01:23          How about we try a comedy instead? Lacks and open. Why wait, wait my ass. Yikes. Let's switch to a TV show. As soon as you dropped the soap, Dave rape your buck. That's what happens. I'm saying

Speaker 5:          01:43          uh, Bieber was at briefly jailed early this morning. He went to jail early this morning and the police report described him as five foot nine and 140 pounds or as is suddenly put it just right.

Speaker 3:          01:57          Okay.

Speaker 2:          01:58          Likely notice the pattern here. In each case, sexual assault is played for laughs and in each case, the targets of the joke are men. He's like a bite size seekers. Yeah.

Speaker 3:          02:12          Hi.

Speaker 2:          02:16          Scenarios involving the sexual abuse of men can include a wide range of behavior. No, we'll do when you're in scene. Prom casual punch lines about unwanted kissing or touching gratuitous one liners about anal rape. They will charge your butthole and told parking garage. Start putting O'Connor causing their man Buicks. Carla Sierra's Oldsmobiles. Somebody's going to put her in Amia. Yeah, no, don't buy down. It's hard to overstate just how common jokes about men being sexually assaulted are most popular comedic actors and their writers engage in this type of humor.

Speaker 4:          03:02          She'll look at me, I'll get raped like crazy too. Yeah, totally. I get raped just as much as you would think you're more capable than I hate nick. I'm not saying anything like that. Okay. You're pretty close to say

Speaker 2:          03:17          statistically speaking, men are far more likely to be the perpetrators of sexual violence then our people of any other gender. And so that's what we'll be focusing on in this video. We'll examine media in which women are portrayed as perpetrators in a future episode. He's, he's the one who famously said, I'd take a bullet for Donald Trump. Well, nowadays looking at prison time, we'll see if he's willing to take a dick. Sexual assault of man has comedy is so ubiquitous and so normalized that you may not have even noticed. It shows up everywhere. And when I say everywhere, I mean everywhere,

Speaker 6:          03:58          even at the Oscars. And why does all per his nerve to rob for this soap because no one wants to do it alone. Speaking of songs

Speaker 2:          04:09          is about male rape. There seem to be an awful lot of them

Speaker 6:          04:13          hands against the prison while show Kane on a mouthful. The ball.

Speaker 2:          04:18          Yeah. His sex slave. You couldn't go go. Me and Nathan.

Speaker 6:          04:24          Oh, whoa.

Speaker 2:          04:28          The sexual assault of men is a Goto joke for many popular animated sitcoms.

Speaker 7:          04:33          Rick and Morty go to giant prison. You know, if somebody drops the soap, it's going to land in our heads and crush our spines. Morty, you know, it'll be really easy to rape us after that.

Speaker 8:          04:41          Yeah.

Speaker 7:          04:46          What do you collect? Mass Lane.

Speaker 8:          04:49          Okay, let's do it. Not like this

Speaker 2:          04:55          because well, you slept a violet. Did you? Repeatedly. You might be surprised to find out that slightly less explicit variations on these jokes also show up in children's media with alarming regularity. This is never going to work. Of course, it will look very pretty. That's what they'll say in jail. Love is in the air, judge. It just smell it.

Speaker 8:          05:20          Did you see what's up there? Just that guys cherry.

Speaker 2:          05:22          You got any idea what they do to exit San Ricardo prison? It ain't over easy. Notice how these jokes are all designed to demean, humiliate or emasculate a male character for being the victim or potential victim of sexual violence. The me too movement has brought to light the rampant sexual abuse perpetrated by powerful men in Hollywood. Well, many of those telling their stories have been famous women. There were also a handful of male celebrities coming forward as survivors, including actors, Rapp and Terry Cruz. Cruz has been especially vocal even testifying about his experience in front of Congress in support of the survivor's bill of rights, where he stressed that sexual assault isn't really about sex, it's about power.

Speaker 4:          06:12          I was sexually assaulted by a successful Hollywood Asian. The assault lasted only minutes, but what he was effectively telling me while he held my genitals and his hand was that he held the power that he was in control.

Speaker 2:          06:33          Since coming forward, Terry Cruz has faced a good deal of backlash from other straight men and it's no coincidence that much of the ridicule directed at him. Bayer's an uncanny resemblance to the punchlines we're discussing in this video.

Speaker 4:          06:46          This is how toxic masculinity permeates culture. As I shared my story, I was told over and over that this was not abuse, that this was just a joke.

Speaker 2:          07:03          As with all comedy, it's important to ask who or what is being targeted by the joke. So let's take a few examples from popular mainstream comedies and talk about what we're meant to be laughing at and why. Because it's the why that helps eliminate how underlying messages can have a negative impact on the way we think about assault and masculinity. Fetologist standing by best one you can find in the 2015 comedy, get hard will Farrell plays a wealthy hedge fund manager who finds out he's going to prison for embezzlement. The core premise of the movie is that Farrow's character is terrified of being raped in prison. There's a hundred percent chance that you're going to be somebody's bitch. Kevin Hart's character exploits that panic to get hired as a toughness coach to help prepare him for life on the inside. This setup, as you might imagine, leads to a steady stream of rape jokes.

Speaker 2:          08:01          You know what that is? That's a big ass black men. When you're Pale White, I don't want any more. That's enough. Too late. He didn't tag the next guy in. At the heart of these jokes is the perceived emasculation of men who are scared of or become emotional over the possibility of sexual assault. Hey, listen up everyone. I'm extremely sad thought we have already to set. Hey fellows, my heart's already been right. Get hard is just one of many, many examples where male characters on the receiving end of sexual assault jokes are framed as weak, cowardly, a feminine or unmanly obviously.

Speaker 4:          08:44          Yup. Kenny. Kenny, stop crying. Stop crying. Can he look at me? Yes. Show me a mean face. Kenny

